year,ace
1851,36.23999999999999
1852,73.28000000000007
1853,76.49000000000002
1854,30.99999999999999
1855,18.12
1856,48.94
1857,46.84
1858,44.79000000000002
1859,55.729999999999976
1860,62.06000000000001
1861,49.71000000000002
1862,46.03
1863,50.34999999999999
1864,26.54999999999999
1865,49.12999999999998
1866,83.65
1867,59.970000000000006
1868,34.649999999999984
1869,51.020000000000024
1870,87.79999999999991
1871,88.38999999999982
1872,65.38000000000002
1873,69.46999999999998
1874,47.049999999999976
1875,72.47999999999996
1876,57.05000000000001
1877,73.35999999999991
1878,180.85000000000028
1879,63.62999999999989
1880,131.07999999999976
1881,59.250000000000014
1882,59.467500000000044
1883,66.70000000000002
1884,72.05999999999999
1885,58.299999999999955
1886,166.16499999999982
1887,181.26000000000008
1888,84.94499999999998
1889,104.04249999999995
1890,33.345
1891,116.10499999999975
1892,115.83749999999976
1893,231.14749999999967
1894,135.42000000000002
1895,68.7650000000001
1896,136.08249999999967
1897,54.539999999999914
1898,113.23749999999995
1899,151.0249999999998
1900,83.34499999999991
1901,98.97499999999997
1902,32.64999999999998
1903,102.0699999999998
1904,30.344999999999956
1905,28.37749999999999
1906,162.88
1907,13.060000000000006
1908,95.10999999999997
1909,93.34000000000002
1910,63.9
1911,34.65499999999998
1912,57.2625
1913,35.595000000000006
1914,2.5300000000000007
1915,130.09500000000003
1916,144.01250000000002
1917,60.66749999999998
1918,39.8725
1919,55.03999999999999
1920,29.809999999999974
1921,86.53000000000003
1922,54.51500000000003
1923,49.310000000000024
1924,100.18749999999996
1925,7.252499999999994
1926,229.55750000000026
1927,56.47749999999996
1928,83.47499999999992
1929,48.067499999999995
1930,49.772500000000015
1931,47.83499999999998
1932,169.66249999999994
1933,258.5700000000002
1934,79.06749999999994
1935,106.21249999999988
1936,99.77500000000005
1937,65.84999999999998
1938,77.57499999999997
1939,43.68250000000005
1940,67.78999999999992
1941,51.76499999999998
1942,62.485
1943,94.01000000000002
1944,106.75249999999994
1945,63.41499999999999
1946,19.6125
1947,88.48999999999998
1948,94.97749999999994
1949,96.44749999999985
1950,211.2825000000002
1951,126.32499999999986
1952,69.07999999999997
1953,98.50749999999996
1954,104.40000000000003
1955,164.65000000000012
1956,56.672499999999964
1957,78.66250000000002
1958,109.69249999999995
1959,77.10749999999987
1960,72.89999999999996
1961,188.89750000000004
1962,50.45
1963,112.0899999999999
1964,153.04249999999993
1965,86.74749999999993
1966,136.97999999999996
1967,125.42999999999985
1968,46.60499999999998
1969,148.31249999999977
1970,66.63249999999998
1971,96.7724999999999
1972,35.60499999999997
1973,47.85
1974,68.37
1975,76.06249999999996
1976,84.17249999999994
1977,25.317499999999992
1978,63.2175
1979,92.91749999999995
1980,148.93750000000017
1981,100.3274999999999
1982,31.502499999999994
1983,17.402499999999996
1984,84.29499999999977
1985,87.9825
1986,35.79249999999999
1987,34.35999999999996
1988,102.99249999999991
1989,134.8425
1990,96.80249999999991
1991,35.53749999999998
1992,76.22249999999995
1993,38.415
1994,32.019999999999996
1995,227.38250000000014
1996,166.18250000000018
1997,40.927500000000045
1998,181.15500000000006
1999,176.52750000000037
2000,119.14249999999996
2001,110.07499999999999
2002,67.42750000000007
2003,176.275
2004,226.88000000000002
2005,245.33250000000046
2006,83.32999999999996
2007,73.885
2008,145.71749999999997
2009,52.58000000000001
2010,165.4825000000002
2011,126.30249999999982
2012,132.63249999999982
2013,36.11999999999996
2014,66.725
2015,62.68499999999996
2016,142.52750000000015
2017,224.87750000000023
2018,132.58249999999987
2019,132.2025
2020,180.37250000000037
2021,145.55749999999986
2022,110.44999999999987
2023,148.21000000000004
2024,161.58249999999992
2025,130.77249999999995
