coc_number,rent_2012,rent_2024,income_2012,income_2024,homeless_per_10k_2012,homeless_per_10k_2024,d_rent,d_income,d_homeless
AK-500,1104.0,1489.0,76495.0,103284.0,38.32006441245352,57.09589370608811,385.0,26789.0,18.775829293634594
AK-501,1023.2379274616428,1337.8139954533187,66144.50450240589,87454.52212962159,17.507210868183957,22.32969323526857,314.5760679916759,21310.017627215697,4.822482367084614
AL-500,804.2744222075454,1230.918133877347,50784.621873369535,74765.2525762701,17.937775778853602,9.573118766570374,426.6437116698015,23980.630702900562,-8.364657012283228
AL-501,782.6127588690949,1136.2545396381631,45352.230790414476,66329.97362711669,10.32908059778332,10.997049532340286,353.6417807690682,20977.742836702215,0.6679689345569653
AL-502,548.2442358808947,793.644153551993,38314.45660484425,59724.58219591116,7.210563475491596,7.886553801318931,245.39991767109825,21410.125591066913,0.6759903258273354
AL-503,679.9643590965263,1100.6046191119108,53932.7490266218,82575.45240730752,10.84344882410211,11.093544843109408,420.64026001538446,28642.703380685714,0.25009601900729805
AL-504,773.3664081332921,1090.039792265238,47258.841187506325,64362.745009871694,12.665305644773287,8.842307842346854,316.6733841319459,17103.90382236537,-3.8229978024264337
AL-505,,,,,,,,,
AL-506,760.0,1037.0,43996.0,66231.0,7.507247951558495,4.247521867329149,277.0,22235.0,-3.259726084229346
AL-507,584.7168186370642,826.5360623868704,37110.434440701174,56046.59370506077,5.81566316939202,8.47406450528792,241.81924374980622,18936.159264359594,2.6584013358959
AL-508,,,,,,,,,
AR-500,746.2411542310294,1057.3995296683934,48055.20213665577,67328.23923371322,21.277828128300705,17.308465475062864,311.15837543736393,19273.03709705745,-3.969362653237841
AR-501,700.2712147570326,1151.4297062292653,46463.2974961465,80764.39414673451,3.6162990096006906,8.010296730943464,451.15849147223275,34301.09665058801,4.393997721342774
AR-503,623.839721063517,873.4561090466689,38630.78504229751,56169.60072910018,31.619807625789186,9.549997146647195,249.61638798315187,17538.81568680267,-22.069810479141992
AR-504,555.6683247615912,756.219596644552,34784.927551949186,49931.39414723365,,,200.5512718829608,15146.466595284466,
AR-505,586.8488361515998,773.5089345775666,36236.75734364659,51269.09594025963,2.079745231209177,3.314593962239626,186.6600984259668,15032.338596613037,1.234848731030449
AR-508,,,,,,,,,
AR-512,562.742663198507,781.0062449349288,35467.672964793026,50948.60334652238,,,218.26358173642177,15480.930381729355,
AZ-500,813.7766968221919,1209.3330360213934,43485.45303664872,66836.01081114697,15.018594012047963,19.36301798370933,395.5563391992015,23350.55777449825,4.344423971661367
AZ-501,782.0,1212.0,46443.0,70315.0,23.581285668438753,21.348737912846918,430.0,23872.0,-2.2325477555918347
AZ-502,944.0011352864019,1707.7917662204704,54380.20795609751,89288.99892418555,15.843109969505983,23.050075954092357,763.7906309340685,34908.79096808804,7.206965984586374
CA-500,1508.0,2857.0,90747.0,164281.0,37.41533408026075,55.13894547429891,1349.0,73534.0,17.72361139403816
CA-501,1447.0,2476.0,73802.0,140970.0,69.32993994933446,97.88517221345388,1029.0,67168.0,28.555232264119425
CA-502,1265.0,2357.0,71516.0,129367.0,26.51977894577493,58.870545228464444,1092.0,57851.0,32.35076628268951
CA-503,1019.0,1790.0,55846.0,92175.0,19.008990738862977,44.71709592374771,771.0,36329.0,25.708105184884737
CA-504,1243.0,2158.0,63565.0,104674.0,90.06058950210536,50.66535951914114,915.0,41109.0,-39.39522998296422
CA-505,1340.0,2375.0,78187.0,127229.0,21.535753773946794,25.660581718076582,1035.0,49042.0,4.1248279441297875
CA-506,1192.760637824223,2046.6037932038432,60589.40218290061,99517.49989601962,54.74631952352473,62.61111065597274,853.8431553796202,38928.097713119016,7.864791132448005
CA-507,1598.0,2668.0,90962.0,149091.0,27.953639371062394,42.0268509164938,1070.0,58129.0,14.073211545431406
CA-508,1380.0,2264.0,66571.0,111093.0,100.94821190635254,68.28306838272475,884.0,44522.0,-32.66514352362779
CA-509,954.0,1317.0,43721.0,68092.0,164.8571657380819,88.54923406056585,363.0,24371.0,-76.30793167751605
CA-510,978.0,1623.0,49866.0,81468.0,27.706521964486647,38.6760429055283,645.0,31602.0,10.969520941041651
CA-511,1021.0,1734.0,53895.0,92179.0,21.94835352376689,66.19477939736453,713.0,38284.0,44.24642587359764
CA-512,1541.0,2922.0,87751.0,158855.0,24.44524530041815,28.22134010292177,1381.0,71104.0,3.776094802503618
CA-513,822.6586664511273,1292.3707426213348,45071.86475745926,71226.0181078528,12.722142468194644,27.589393264359853,469.7120761702075,26154.153350393535,14.867250796165209
CA-514,867.343495521361,1391.726679488649,46046.929840204524,74532.53778026858,40.23193369433404,38.55709584908905,524.3831839672881,28485.60794006406,-1.674837845244987
CA-515,1201.332192735095,1991.9875334763447,69847.76996176952,110867.24087823524,15.813814709831417,14.961317959975277,790.6553407412496,41019.470916465725,-0.8524967498561402
CA-516,876.860909582427,1225.988797891671,43716.315065823386,68913.12084602758,16.731218090150612,76.75925245939327,349.1278883092441,25196.805780204195,60.028034369242654
CA-517,1297.0,2237.0,69571.0,111471.0,17.610759606030264,29.398606761679556,940.0,41900.0,11.787847155649292
