coc_number,year,rent_coc,income_coc,homeless_per_10k,unsheltered_per_10k,total_population
AK-500,2012,1184.0,72575.0,38.32006441245352,1.6704474460528997,299321.0
AK-500,2013,1167.0,79045.0,37.48484068942707,1.7372653438950156,299321.0
AK-500,2014,1251.0,76337.0,34.17735474624233,1.7706742928160737,299321.0
AK-500,2015,1241.0,78662.0,40.35801029663806,5.980201856869382,299321.0
AK-500,2016,1296.0,85634.0,36.916888557769084,8.018147741053918,299321.0
AK-500,2017,1291.0,79166.0,37.68529438295342,5.178387082763989,299321.0
AK-500,2018,1238.0,83648.0,36.549390119637444,3.1404411985794516,299321.0
AK-500,2019,1230.0,82716.0,37.11734225129543,3.240668045342625,299321.0
AK-500,2021,1335.0,86654.0,44.06640362687549,5.078160236000816,299321.0
AK-500,2022,1381.0,100751.0,49.91296968806064,4.176118615132249,299321.0
AK-500,2023,1474.0,94437.0,58.79975010106207,11.191997888554427,299321.0
AK-500,2024,1536.0,105356.0,57.09589370608811,11.559496326686066,299321.0
AK-501,2012,1147.5166145718008,66997.02445454874,17.507210868183957,3.3597389002911773,437534.0
AK-501,2013,1073.8496125299037,70577.1704050545,18.83282213496551,3.496871100303062,437534.0
AK-501,2014,1145.6506066244506,71810.50239557086,17.39293403484072,2.102693733515567,437534.0
AK-501,2015,1110.8982842282514,74713.58862329743,17.095814268148303,3.1540406002733503,437534.0
AK-501,2016,1176.1839293555154,73256.6600965995,19.084231168320635,4.616784067066788,437534.0
AK-501,2017,1167.6423788396733,72807.74123208961,16.387297901420233,3.1768959669419976,437534.0
AK-501,2018,1150.217212618779,73999.35075345747,21.072648068492963,4.913903833759205,437534.0
AK-501,2019,1204.8077849156293,73460.89477788718,18.192871868243383,4.022544533681954,437534.0
AK-501,2021,1224.243912371109,75747.86853242453,14.398881001247902,0.0,437534.0
AK-501,2022,1340.8473124050583,84125.59104087099,18.878532868302806,5.302445067126212,437534.0
AK-501,2023,1334.0463587507556,90385.54680382142,19.518483135024933,3.039763766930113,437534.0
AK-501,2024,1382.8056773489395,94623.05108108617,22.32969323526857,3.039763766930113,437534.0
AL-500,2012,792.5671045998307,49293.73502489465,17.937775778853602,7.334837430368959,951623.0
AL-500,2013,818.1121523168699,50709.29995568267,15.436785365633238,5.348756808105731,951623.0
AL-500,2014,840.3846490837346,50150.63214710553,13.965614534327145,4.350462315433738,951623.0
AL-500,2015,835.1899097844071,53774.433068313265,12.116142632113768,2.4904820501396037,951623.0
AL-500,2016,866.1501186646934,56255.0896570726,12.904269863170605,2.0596391638285327,951623.0
AL-500,2017,874.7994903231111,55691.23788008545,11.47513248418754,2.2803147885244472,951623.0
AL-500,2018,936.9303297613254,58921.17210077441,9.468035135762797,2.301331514685963,951623.0
AL-500,2019,949.6089852110248,60083.92873791012,10.308704182223423,3.4257263643270495,951623.0
AL-500,2021,1019.5175509129391,62237.74831032842,9.194817695663094,3.352167822761745,951623.0
AL-500,2022,1125.9421247635064,71188.24164389321,9.909386385154626,3.5938601736191744,951623.0
AL-500,2023,1197.56344413771,71743.82488726074,8.900583529401874,4.014194696849488,951623.0
AL-500,2024,1332.9820937412294,77881.07980433824,9.573118766570374,4.15080341689934,951623.0
AL-501,2012,776.4262161706293,42431.7333734617,10.32908059778332,5.050496822259983,613801.0
AL-501,2013,776.3963705199477,43563.06239798956,8.031919139916683,3.7960185793115357,613801.0
AL-501,2014,833.384099383324,45209.42785509254,9.742571289391838,2.2319937569342505,613801.0
AL-501,2015,835.4974947666304,45760.373429989144,9.416732784729904,3.4864719998826983,613801.0
AL-501,2016,856.1763236707149,49420.12114231816,10.149869420219256,3.8448943550108257,613801.0
AL-501,2017,850.7214367450123,49185.35890855641,9.872906691256611,4.317360186770631,613801.0
AL-501,2018,904.4064807472233,47806.70782504642,8.976850803436292,3.7960185793115357,613801.0
AL-501,2019,925.2699499091829,52024.11353709046,8.227422242713843,3.2909688970855377,613801.0
AL-501,2021,987.7243162207776,54909.51142071871,3.567931626048182,0.0,613801.0
AL-501,2022,1004.4358679690991,60149.144161399476,9.53077626136158,3.209509270920054,613801.0
AL-501,2023,1122.6181310296822,62045.77361846329,10.915589906174803,5.8162173082155295,613801.0
AL-501,2024,1235.6497677117043,68966.1621596357,10.997049532340286,5.718465756816949,613801.0
AL-502,2012,568.0,41908.0,7.210563475491596,0.1502200724060749,266276.0
AL-502,2013,563.0,43891.0,8.374769036638675,0.9764304706394868,266276.0
AL-502,2014,600.0,40309.0,7.8489987832174135,0.7511003620303746,266276.0
AL-502,2015,644.0,42577.0,9.200979434872087,1.1642055611470805,266276.0
AL-502,2016,607.0,43427.0,12.65604110021181,1.915305923177455,266276.0
AL-502,2017,657.0,45352.0,5.821027805735402,0.8262103982334119,266276.0
AL-502,2018,632.0,49014.0,9.614084633988794,0.8262103982334119,266276.0
AL-502,2019,637.0,46632.0,14.646457059592302,7.548558638405264,266276.0
AL-502,2021,751.0,50218.0,6.872568312577926,1.2768706154516365,266276.0
AL-502,2022,834.0,59461.0,8.712764199552344,1.2768706154516365,266276.0
AL-502,2023,745.0,64864.0,7.323228529796151,1.2017605792485992,266276.0
AL-502,2024,848.0,69113.0,7.886553801318931,2.027970977482011,266276.0
AL-503,2012,673.2916358964961,52857.93999408487,10.84344882410211,3.1262002375912177,559785.0
AL-503,2013,687.0569696358754,53352.36056408004,10.468304795591164,3.1619282403065463,559785.0
AL-503,2014,693.3808215904247,54027.88153410155,9.57510472770796,0.6609680502335717,559785.0
AL-503,2015,718.4622455109451,55629.995119764244,7.502880570218923,1.1254320855328386,559785.0
AL-503,2016,737.42928303665,55558.01247863669,6.87764052270068,1.5541681181167768,559785.0
AL-503,2017,731.6095467953875,58399.58019454399,7.788704591941549,1.7685361344087462,559785.0
AL-503,2018,800.0981914187788,61737.41839555022,7.574336575649579,2.072224157489036,559785.0
AL-503,2019,817.6167322904533,64471.72169371922,8.288896629956144,1.5541681181167768,559785.0
AL-503,2021,901.7734420398598,71923.76444772955,5.35920040729923,0.0,559785.0
AL-503,2022,1032.3337435569836,77348.8981987737,9.807336745357592,4.126584313620408,559785.0
AL-503,2023,1141.2227037019438,83303.73841293588,11.54014487705101,4.448136338058362,559785.0
AL-503,2024,1200.9618077114699,82517.85529211632,11.093544843109408,4.376680332627705,559785.0
AL-504,2012,779.4811151368501,44796.03625417501,12.665305644773287,3.744977439111608,384515.0
AL-504,2013,793.2087000627517,46259.57557362605,13.39349570237832,3.0167873815065733,384515.0
AL-504,2014,801.2825410364428,46558.02140861945,12.743326008088111,2.1065498095002795,384515.0
AL-504,2015,822.3548234178716,45128.789523583786,11.468993407279301,1.7684615684693705,384515.0
AL-504,2016,816.4072783208069,47302.018757220554,9.544491112180278,1.924502295099021,384515.0
AL-504,2017,853.5767458152652,49653.634240715095,9.804558989896362,1.6384276296113287,384515.0
AL-504,2018,878.0945164960182,52865.4921469202,9.596504687723495,1.7944683562409791,384515.0
AL-504,2019,882.7506849315068,55422.9296803653,8.582239964630768,1.4823869029816783,384515.0
AL-504,2021,932.9816125630647,52823.01403052365,5.591459370895803,0.0,384515.0
AL-504,2022,990.7728251098365,61518.191913244955,7.229887000507132,1.1963122374939859,384515.0
