year,reason_collapsed,reason_specific,move_type,poverty_status,count,source_file
2016,employment,total,all,100_to_149,728.0,reason_2016_tab19.xls
2016,family,total,all,100_to_149,1102.0,reason_2016_tab19.xls
2016,housing,total,all,100_to_149,1655.0,reason_2016_tab19.xls
2016,other,total,all,100_to_149,374.0,reason_2016_tab19.xls
2016,employment,total,all,all,7087.0,reason_2016_tab19.xls
2016,family,total,all,all,9645.0,reason_2016_tab19.xls
2016,housing,total,all,all,14823.0,reason_2016_tab19.xls
2016,other,total,all,all,3583.0,reason_2016_tab19.xls
2016,employment,total,all,at_or_above_150,5247.0,reason_2016_tab19.xls
2016,family,total,all,at_or_above_150,6060.0,reason_2016_tab19.xls
2016,housing,total,all,at_or_above_150,9959.0,reason_2016_tab19.xls
2016,other,total,all,at_or_above_150,2065.0,reason_2016_tab19.xls
2016,employment,total,all,below_100,1112.0,reason_2016_tab19.xls
2016,family,total,all,below_100,2483.0,reason_2016_tab19.xls
2016,housing,total,all,below_100,3209.0,reason_2016_tab19.xls
2016,other,total,all,below_100,1144.0,reason_2016_tab19.xls
2017,employment,total,all,100_to_149,498.0,reason_2017_tab19.xls
2017,family,total,all,100_to_149,1119.0,reason_2017_tab19.xls
2017,housing,total,all,100_to_149,1452.0,reason_2017_tab19.xls
2017,other,total,all,100_to_149,396.0,reason_2017_tab19.xls
2017,employment,total,all,all,6447.0,reason_2017_tab19.xls
2017,family,total,all,all,9738.0,reason_2017_tab19.xls
2017,housing,total,all,all,15014.0,reason_2017_tab19.xls
2017,other,total,all,all,3703.0,reason_2017_tab19.xls
2017,employment,total,all,at_or_above_150,5075.0,reason_2017_tab19.xls
2017,family,total,all,at_or_above_150,6465.0,reason_2017_tab19.xls
2017,housing,total,all,at_or_above_150,10690.0,reason_2017_tab19.xls
2017,other,total,all,at_or_above_150,2181.0,reason_2017_tab19.xls
2017,employment,total,all,below_100,874.0,reason_2017_tab19.xls
2017,family,total,all,below_100,2154.0,reason_2017_tab19.xls
2017,housing,total,all,below_100,2872.0,reason_2017_tab19.xls
2017,other,total,all,below_100,1126.0,reason_2017_tab19.xls
2018,employment,new_job_or_job_transfer,all,100_to_149,275.0,reason_2018_tab17_1.xls
2018,employment,other_job_related_reason,all,100_to_149,45.0,reason_2018_tab17_1.xls
2018,employment,retired,all,100_to_149,5.0,reason_2018_tab17_1.xls
2018,employment,to_be_closer_to_work_easier_commute,all,100_to_149,111.0,reason_2018_tab17_1.xls
2018,employment,to_look_for_work_or_lost_job,all,100_to_149,70.0,reason_2018_tab17_1.xls
2018,employment,total,all,100_to_149,506.0,reason_2018_tab17_1.xls
2018,family,change_in_marital_status,all,100_to_149,126.0,reason_2018_tab17_1.xls
2018,family,other_family_reason,all,100_to_149,397.0,reason_2018_tab17_1.xls
2018,family,to_establish_own_household,all,100_to_149,520.0,reason_2018_tab17_1.xls
2018,family,total,all,100_to_149,1043.0,reason_2018_tab17_1.xls
2018,housing,better_neighborhood,all,100_to_149,71.0,reason_2018_tab17_1.xls
2018,housing,cheaper_housing,all,100_to_149,283.0,reason_2018_tab17_1.xls
2018,housing,foreclosure_eviction,all,100_to_149,26.0,reason_2018_tab17_1.xls
2018,housing,newer_better_larger_home,all,100_to_149,742.0,reason_2018_tab17_1.xls
2018,housing,other_housing_reason,all,100_to_149,208.0,reason_2018_tab17_1.xls
2018,housing,own_home_not_rent,all,100_to_149,164.0,reason_2018_tab17_1.xls
2018,housing,total,all,100_to_149,1493.0,reason_2018_tab17_1.xls
2018,other,change_of_climate,all,100_to_149,8.0,reason_2018_tab17_1.xls
2018,other,health_reasons,all,100_to_149,67.0,reason_2018_tab17_1.xls
2018,other,natural_disaster,all,100_to_149,19.0,reason_2018_tab17_1.xls
2018,other,other_reasons,all,100_to_149,148.0,reason_2018_tab17_1.xls
2018,other,to_attend_or_leave_college,all,100_to_149,149.0,reason_2018_tab17_1.xls
2018,other,total,all,100_to_149,391.0,reason_2018_tab17_1.xls
2018,employment,new_job_or_job_transfer,all,all,3341.0,reason_2018_tab17_1.xls
2018,employment,other_job_related_reason,all,all,366.0,reason_2018_tab17_1.xls
2018,employment,retired,all,all,348.0,reason_2018_tab17_1.xls
2018,employment,to_be_closer_to_work_easier_commute,all,all,1821.0,reason_2018_tab17_1.xls
2018,employment,to_look_for_work_or_lost_job,all,all,492.0,reason_2018_tab17_1.xls
2018,employment,total,all,all,6369.0,reason_2018_tab17_1.xls
2018,family,change_in_marital_status,all,all,1435.0,reason_2018_tab17_1.xls
