coc_number,emp_2012,emp_2023,employment_growth_12_23,avg_weekly_wage_2012,avg_weekly_wage_2023,inmig_persons,in_migration_rate,pop_2012,pop_2024,population_growth_12_24
AK-500,153363.0,144835.0,-0.055606632629773806,1019.0,1369.0,14084.0,0.047053163660418076,291470.0,288976.0,-0.008556626754039866
AK-501,170167.0,169991.0,-0.001034278091521858,936.1939565250607,1274.8212787735822,21645.0,0.04947044115428744,412113.0,437242.0,0.06097599444812467
AL-500,428009.0,469504.0,0.09694889593443129,926.8985208254967,1298.679020839013,39780.0,0.04180226833525461,937231.0,992132.0,0.05857787461148852
AL-501,224107.0,254217.0,0.13435546413097316,761.252401754519,1073.8871239924947,24764.0,0.040345323647240715,595523.0,659579.0,0.1075625962389362
AL-502,83719.0,89719.0,0.07166831901957739,652.7124667040935,938.9080350873282,11604.0,0.04357884300500233,267864.0,271960.0,0.015291341874981334
AL-503,245195.0,309165.0,0.2608943901792451,963.737559901303,1349.0300842592144,34312.0,0.06129496145841707,537304.0,641422.0,0.19377856855709244
AL-504,160919.0,169168.0,0.051261814950378765,774.9231041704212,1090.424820296983,18654.0,0.048513061909158293,385379.0,396082.0,0.02777266016051731
AL-505,,,,,,,,,,
AL-506,84756.0,97726.0,0.15302751427627542,809.0,1109.0,7459.0,0.03683984373070712,194254.0,237552.0,0.2228937370659034
AL-507,452008.78382284037,497919.02753023145,0.10156936181440464,669.9970334343348,957.4061837343266,70051.16818764718,0.04598126397311351,1522674.8264336674,1548058.6905863942,0.01667057451273397
AR-500,278447.0,300665.0,0.07979256375540049,824.2042902239923,1133.319970731545,30240.0,0.051516535036013875,567616.0,610633.0,0.07578539012289999
AR-501,203084.84782082128,273598.62869184685,0.3472134018252254,836.8513824273841,1246.7382100039672,36967.0270318278,0.07187302324896819,474782.23682723206,612005.1385986726,0.28902282168019355
AR-503,298057.3782020637,306904.393355755,0.029682255165291167,648.6367267910234,922.9429012220985,40804.43897208661,0.047522228750483744,849897.8703111585,855360.3575926968,0.006427227873318975
AR-504,101053.0,100547.0,-0.005007273410982355,601.6983760996704,841.8307856027529,16486.0,0.04615457836283669,361459.0,347733.0,-0.037973878088524565
AR-505,112551.0,104678.0,-0.06995051132375546,687.9002230100133,972.1494105733774,10184.0,0.033093945991616025,318813.0,279476.0,-0.12338580923613529
AR-508,,,,,,,,,,
AR-512,32686.0,35040.0,0.07201860123600318,607.3129474392706,848.5069063926941,5586.0,0.054399376734674,103417.0,104885.0,0.014194958275718692
AZ-500,400369.44093117776,464216.2740264183,0.1594697960632205,709.732586156215,1021.5531222403134,104321.12721199989,0.06392316019894881,1583745.4778774863,1753040.6362159336,0.10689543282253558
AZ-501,346828.0,386655.0,0.11483213581371746,806.0,1144.0,37193.0,0.037069262800771025,981048.0,1060490.0,0.08097666984693919
AZ-502,1667475.5590688223,2234828.725973582,0.34024676632837114,924.9267786157349,1351.892609379884,151248.87278800012,0.03695069428441183,3846185.522122514,4565307.363784066,0.18697013899233486
CA-500,903053.0,1119710.0,0.23991615110076595,1845.0,3359.0,65269.0,0.03462443556053507,1788393.0,1902047.0,0.06355090855309767
CA-501,586538.0,723526.0,0.23355349525520938,1605.0,3213.0,41291.0,0.04856153605509701,807755.0,830235.0,0.02783022079714765
CA-502,658708.0,793089.0,0.2040069347874931,1224.0,1822.0,61706.0,0.038440908612355836,1515136.0,1649473.0,0.08866332791247783
CA-503,589646.0,709131.0,0.2026385322719055,1038.0,1475.0,51321.0,0.034692760089231396,1422348.0,1594006.0,0.12068635805020994
CA-504,177222.0,207356.0,0.17003532292830462,867.0,1346.0,14143.0,0.02841237825849378,483456.0,485040.0,0.0032764098490865767
CA-505,323484.0,369761.0,0.1430580801523414,1157.0,1611.0,42982.0,0.03879504479093802,1052047.0,1165012.0,0.10737638147345129
CA-506,185611.0,214645.0,0.15642391884101697,792.589727979484,1141.2948822474318,14929.0,0.030576423650082334,471666.0,504903.0,0.07046723740952283
CA-507,106021.0,110678.0,0.043925260089982175,1134.0,1749.0,9451.0,0.03643997871667733,252759.0,257969.0,0.020612520226777287
CA-508,93489.0,103428.0,0.10631197253152777,855.0,1256.0,7966.0,0.029402320147934344,262340.0,264926.0,0.009857436913928489
CA-509,29766.0,32162.0,0.080494523953504,662.0,998.0,2418.0,0.027663055291789175,87577.0,90244.0,0.030453201182958994
CA-510,164187.0,197158.0,0.20081370632266868,781.0,1168.0,16350.0,0.03081643769519433,515115.0,553990.0,0.07546858468497326
