state,filings_2020_sum,baseline_sum,months,ratio_2020_vs_baseline
Minnesota,118096,101143.25,77,1.167611283995719
Missouri,253976,254015.0,77,0.9998464657598961
Indiana,403487,437231.0,77,0.9228234045618906
Wisconsin,151212,166343.118,77,0.9090367056844516
Pennsylvania,602907,684611.0,77,0.8806563143157209
Connecticut,102429,118106.268,77,0.8672613378995262
Rhode_Island,41226,49780.0,77,0.8281639212535155
Newmexico,78449,101623.026,77,0.7719608743002792
Virginia,676610,975682.5,77,0.6934735428789591
Delaware,65821,105324.0,77,0.6249382856708823
