coc_number,coc_name,total_population,overall_homeless,unsheltered_homeless,family_homeless,homeless_per_10k,unsheltered_per_10k,rent_coc,income_coc,saiz_elasticity,wrluri_coc
AK-500,Anchorage CoC,299321.0,1709.0,346.0,388.0,57.09589370608811,11.559496326686066,1489.0,103284.0,,
AK-501,Alaska Balance of State CoC,437534.0,977.0,133.0,279.0,22.32969323526857,3.039763766930113,1337.8139954533187,87454.52212962159,,-0.9886584748217124
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",951623.0,911.0,395.0,126.0,9.573118766570374,4.15080341689934,1230.918133877347,74765.2525762701,2.144763946533203,0.7155625820159912
AL-501,Mobile City & County/Baldwin County CoC,613801.0,675.0,351.0,234.0,10.997049532340286,5.718465756816949,1136.2545396381631,66329.97362711669,2.0380117893218994,-0.03559191784475595
AL-502,Florence/Northwest Alabama CoC,266276.0,210.0,54.0,74.0,7.886553801318931,2.027970977482011,793.644153551993,59724.58219591116,3.851161241531372,-1.3660840643700445
AL-503,Huntsville/North Alabama CoC,559785.0,621.0,245.0,113.0,11.093544843109408,4.376680332627705,1100.6046191119108,82575.45240730752,3.0429438124470614,-0.14598770439624786
AL-504,Montgomery City & County CoC,384515.0,340.0,141.0,94.0,8.842307842346854,3.6669570757967827,1090.039792265238,64362.745009871694,3.5814337730407715,0.02409054620253004
AL-505,Gadsden/Northeast Alabama CoC,,335.0,284.0,3.0,,,,,,
AL-506,Tuscaloosa City & County CoC,202471.0,86.0,17.0,18.0,4.247521867329149,0.8396264156348316,1037.0,66231.0,,-0.4441903829574585
AL-507,Alabama Balance of State CoC,1523472.0,1291.0,1138.0,473.0,8.47406450528792,7.469779556171692,826.5360623868704,56046.59370506077,3.858027645181957,-0.9558736684647409
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston Counties",,132.0,73.0,36.0,,,,,,
AR-500,Little Rock/Central Arkansas CoC,586996.0,1016.0,464.0,481.0,17.308465475062864,7.904653524044456,1057.3995296683934,67328.23923371322,2.7923145294189453,-0.39522526395583885
AR-501,Fayetteville/Northwest Arkansas CoC,514338.0,412.0,193.0,81.0,8.010296730943464,3.752396284155555,1151.4297062292653,80764.39414673451,2.076729062307008,-0.393149627190309
AR-503,Arkansas Balance of State CoC,858639.0,820.0,482.0,115.0,9.549997146647195,5.613534908151156,873.4561090466689,56169.60072910018,2.8209357092019953,-1.3698557028394467
AR-504,Delta Hills CoC,,,,,,,756.219596644552,49931.39414723365,,1.6462217607690595
AR-505,Southeast Arkansas CoC,307730.0,102.0,32.0,7.0,3.314593962239626,1.0398726156045885,773.5089345775666,51269.09594025963,10.262127415562738,-0.7820216338533206
AR-508,Fort Smith CoC,,433.0,163.0,64.0,,,,,,
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",,,,,,,781.0062449349288,50948.60334652238,,
AZ-500,Arizona Balance of State CoC,1631977.0,3160.0,1934.0,687.0,19.36301798370933,11.850657209017038,1209.3330360213934,66836.01081114697,2.1285667611214354,-0.06128895366072824
AZ-501,Tucson/Pima County CoC,1003338.0,2142.0,1281.0,321.0,21.348737912846918,12.767382477290802,1212.0,70315.0,1.4191339015960693,0.5035525560379028
AZ-502,"Phoenix, Mesa/Maricopa County CoC",4093262.0,9435.0,4076.0,2089.0,23.050075954092357,9.957828255313245,1707.7917662204704,89288.99892418555,1.6135566234588623,0.4991195637829423
CA-500,San Jose/Santa Clara City & County CoC,1885056.0,10394.0,7401.0,1375.0,55.13894547429891,39.26143308209411,2857.0,164281.0,0.7603265643119812,0.8773859143257141
CA-501,San Francisco CoC,850282.0,8323.0,4354.0,1103.0,97.88517221345388,51.20654088878749,2476.0,140970.0,0.661586344242096,
CA-502,"Oakland, Berkeley/Alameda County CoC",1605217.0,9450.0,6343.0,699.0,58.870545228464444,39.51490670731746,2357.0,129367.0,0.661586344242096,1.0790934562683105
CA-503,Sacramento City & County CoC,1479300.0,6615.0,3944.0,1080.0,44.71709592374771,26.661258703440815,1790.0,92175.0,,0.3560557961463928
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",497776.0,2522.0,1577.0,198.0,50.66535951914114,31.680916717559704,2158.0,104674.0,1.0017296075820923,1.6454838514328003
CA-505,Richmond/Contra Costa County CoC,1107925.0,2843.0,1959.0,328.0,25.660581718076582,17.681702281291603,2375.0,127229.0,0.661586344242096,0.9067171812057495
CA-506,"Salinas/Monterey, San Benito Counties CoC",488252.0,3057.0,2379.0,435.0,62.61111065597274,48.72483881274424,2046.6037932038432,99517.49989601962,1.055021841936384,-0.27029434027322957
CA-507,Marin County CoC,259358.0,1090.0,788.0,204.0,42.0268509164938,30.382714240547813,2668.0,149091.0,0.661586344242096,1.4871290922164917
CA-508,Watsonville/Santa Cruz City & County CoC,270931.0,1850.0,1485.0,171.0,68.28306838272475,54.81100353964662,2264.0,111093.0,1.1887423992156982,
CA-509,Mendocino County CoC,87409.0,774.0,552.0,92.0,88.54923406056585,63.151391733116725,1317.0,68092.0,,0.09586459398269653
CA-510,"Turlock, Modesto/Stanislaus County CoC",530561.0,2052.0,980.0,265.0,38.6760429055283,18.471014642991097,1623.0,81468.0,2.1665163040161133,0.32341238856315613
CA-511,Stockton/San Joaquin County CoC,714860.0,4732.0,3469.0,454.0,66.19477939736453,48.526984304619084,1734.0,92179.0,2.072873115539551,1.503189206123352
CA-512,Daly City/San Mateo County CoC,754748.0,2130.0,1145.0,563.0,28.22134010292177,15.170626487251374,2922.0,158855.0,0.661586344242096,1.5213501453399658
CA-513,"Visalia/Kings, Tulare Counties CoC",606030.0,1672.0,1341.0,232.0,27.589393264359853,22.127617444680958,1292.3707426213348,71226.0181078528,1.9665818214416504,-0.058524611445019116
CA-514,Fresno City & County/Madera County CoC,1116526.0,4305.0,2758.0,447.0,38.55709584908905,24.7016191293351,1391.726679488649,74532.53778026858,1.8360768556594849,0.2273009568452835
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",469210.0,702.0,366.0,115.0,14.961317959975277,7.8003452611836925,1991.9875334763447,110867.24087823524,,0.8016886115074158
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",313187.0,2404.0,1434.0,375.0,76.75925245939327,45.7873411093053,1225.988797891671,68913.12084602758,1.8249019384384155,-0.5993879747006355
CA-517,Napa City & County CoC,140823.0,414.0,203.0,45.0,29.398606761679556,14.415258871065095,2237.0,111471.0,,1.4642442464828491
CA-518,Vallejo/Solano County CoC,429596.0,1725.0,1436.0,72.0,40.154005158334805,33.42675443905436,2163.0,100401.0,1.1440908908843994,1.5728049278259277
CA-519,"Chico, Paradise/Butte County CoC",223877.0,1381.0,580.0,174.0,61.685657749567845,25.90708290713204,1414.0,67928.0,1.7394890785217285,-1.193199634552002
CA-520,Merced City & County CoC,265001.0,837.0,428.0,99.0,31.584786472503875,16.15088244950019,1343.0,65510.0,2.386730670928955,0.4289912283420563
CA-521,"Davis, Woodland/Yolo County CoC",209671.0,942.0,633.0,83.0,44.92752931974379,30.190155052439298,1857.0,91752.0,,0.4988754093647003
CA-522,Humboldt County CoC,135182.0,1573.0,1194.0,223.0,116.36164578124307,88.3253687621133,1287.0,61160.0,,0.14234288036823273
CA-523,"Colusa, Glenn, Trinity Counties CoC",62517.0,248.0,129.0,68.0,39.66920997488683,20.63438744661452,1121.0248726220266,66586.92806536224,,0.33126963286950756
CA-524,Yuba City & County/Sutter County CoC,169303.0,928.0,682.0,166.0,54.81296846482343,40.28280656574307,1380.0086167404725,78168.84142470713,2.6539721488952637,-0.6347492933273315
CA-525,El Dorado County CoC,183000.0,284.0,135.0,32.0,15.519125683060109,7.377049180327869,1715.0,108845.0,,
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties CoC",153259.0,719.0,525.0,134.0,46.91404746213925,34.255737020338124,1427.0771211131762,79568.30677651077,,
CA-527,Tehama County CoC,63015.0,324.0,247.0,51.0,51.416329445370145,39.19701658335317,1184.0,63784.0,,-0.5628150105476379
CA-529,Lake County CoC,64076.0,604.0,435.0,135.0,94.26306261314689,67.88813284224982,1368.0,60621.0,,-0.5358677506446838
CA-530,"Alpine, Inyo, Mono Counties CoC",33561.0,106.0,69.0,11.0,31.58427937188999,20.559578081701975,1370.4256593596137,85489.29066053787,,-0.1757821887731552
CA-531,Nevada County CoC,,516.0,258.0,103.0,,,,,,
CA-600,Los Angeles City & County CoC,9246562.0,71201.0,49509.0,10707.0,77.0026740749697,53.54314392744027,1954.0,90112.0,0.6265944242477417,0.551615297794342
CA-601,San Diego City and County CoC,3253356.0,10605.0,6110.0,1563.0,32.59710895456876,18.78060685642764,2246.0,106268.0,0.6727622747421265,0.7675888538360596
CA-602,"Santa Ana, Anaheim/Orange County CoC",3132211.0,7322.0,4173.0,1128.0,23.376458354817093,13.322857240460493,2434.0,116289.0,0.6265944242477417,0.7758044600486755
CA-603,Santa Maria/Santa Barbara County CoC,439395.0,2119.0,1332.0,364.0,48.22540083523936,30.314409585907896,2131.0,98161.0,,1.603325366973877
CA-604,Bakersfield/Kern County CoC,871337.0,2669.0,1663.0,216.0,30.63108762740478,19.085612111043144,1300.0,70210.0,1.6380138397216797,-0.3238082230091095
CA-606,Long Beach CoC,475317.0,3376.0,2455.0,103.0,71.02628351184578,51.64974112013667,1954.0,90112.0,0.6265944242477417,0.551615297794342
CA-607,Pasadena CoC,137381.0,556.0,321.0,101.0,40.47138978461359,23.365676476368638,1954.0,90112.0,0.6265944242477417,0.551615297794342
CA-608,Riverside City & County CoC,2323892.0,4249.0,2441.0,756.0,18.28398221604102,10.503930475254444,1901.0,93074.0,0.9431942105293274,0.7465391755104065
CA-609,San Bernardino City & County CoC,2106754.0,4255.0,3055.0,475.0,20.196947531605495,14.50098113021264,1801.0,85478.0,0.9431942105293274,0.6309657096862793
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",843110.0,2358.0,1431.0,371.0,27.96788082219402,16.97287423942309,2317.0,109797.0,,0.8451374173164368
CA-612,Glendale CoC,197895.0,175.0,80.0,72.0,8.843073346976933,4.042547815760884,1954.0,90111.99999999999,0.6265944242477417,0.551615297794342
CA-613,Imperial County CoC,178807.0,1508.0,1375.0,108.0,84.33674296867572,76.89855542568243,1056.0,57681.0,,2.982142686843872
CA-614,San Luis Obispo County CoC,278680.0,1175.0,800.0,143.0,42.16305439931104,28.70676044208411,1992.0,97446.0,1.2240349054336548,2.0814476013183594
CO-500,Colorado Balance of State CoC,1683718.0,2395.0,1342.0,440.0,14.224472269109198,7.970455860185613,1427.7341927190969,84022.34011053573,2.0913819215032783,0.07349440563643382
CO-503,Metropolitan Denver CoC,2997276.0,14281.0,2919.0,7405.0,47.64659644290349,9.738842869325348,1903.0567634609326,106797.44452325413,1.4981647460556573,0.1511054999888916
CO-504,Colorado Springs/El Paso County CoC,665171.0,1146.0,259.0,451.0,17.228652481843014,3.893735595809198,1696.0,90363.0,1.6681644916534424,-0.25208908319473267
CO-505,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",,893.0,271.0,223.0,,,,,,
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",857728.0,713.0,109.0,249.0,8.312658558424115,1.2707991344575436,,,,
CT-505,Connecticut Balance of State CoC,2736355.0,2697.0,465.0,859.0,9.856177286938282,1.699340911541083,1775.0,126257.00000000001,0.7588299512863158,
DC-500,District of Columbia CoC,659009.0,5616.0,900.0,1656.0,85.21886651016906,13.656869633039914,1954.0,109870.0,1.6058274507522583,
DE-500,Delaware Statewide CoC,934695.0,1358.0,238.0,555.0,14.528803513445562,2.546285151840975,1378.163665758903,85679.6894567226,1.7766112903984244,0.348886813774755
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",751422.0,1157.0,654.0,161.0,15.397473057749174,8.70349816747447,1746.9591213249391,81019.45770510458,,-0.06769514828920364
FL-501,Tampa/Hillsborough County CoC,1323059.0,1893.0,1022.0,640.0,14.307751959663173,7.724523244995121,1667.0,79540.0,0.9978693723678589,
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",939548.0,2110.0,721.0,515.0,22.457607274987545,7.673902770268257,1642.0,72646.0,0.9978693723678589,0.31328514218330383
FL-503,"Lakeland, Winterhaven/Polk County CoC",637691.0,1207.0,658.0,457.0,18.9276624572089,10.318477130773367,1363.0,65978.0,1.5634709596633911,0.5919604897499084
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",613723.0,1164.0,786.0,359.0,18.966211140856707,12.80708071882592,1512.6909155278624,71355.4188656801,,-0.10765855694111723
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",257326.0,391.0,250.0,70.0,15.19473352867569,9.715302767695453,1647.7215795851737,81994.67706236416,,0.6118929386138916
FL-506,Tallahassee/Leon County CoC,437469.0,840.0,216.0,218.0,19.201360553547794,4.937492713769433,1177.1498354600253,63924.78296889464,,1.4076281001459612
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2010922.0,2776.0,1094.0,766.0,13.80461300836134,5.4402905731798645,1771.4116280007493,79669.47454618615,1.1201637983322144,0.4184762503810085
