cycle_or_week,period_label,year,geography,geo_type,eviction_risk_share,behind_on_rent_share
wk42,2022 Week 42,2022,AK,state,0.104913,0.107905
wk42,2022 Week 42,2022,AL,state,0.658078,0.17493
wk42,2022 Week 42,2022,AR,state,0.496827,0.179994
wk42,2022 Week 42,2022,AZ,state,0.383486,0.117934
wk42,2022 Week 42,2022,Atlanta Metro Area,metro,0.540337,0.104052
wk42,2022 Week 42,2022,Boston Metro Area,metro,0.231799,0.117412
wk42,2022 Week 42,2022,CA,state,0.468828,0.149824
wk42,2022 Week 42,2022,CO,state,0.192027,0.074576
wk42,2022 Week 42,2022,CT,state,0.191772,0.197015
wk42,2022 Week 42,2022,Chicago Metro Area,metro,0.496241,0.208802
wk42,2022 Week 42,2022,DC,state,0.152901,0.114578
wk42,2022 Week 42,2022,DE,state,0.141944,0.131158
wk42,2022 Week 42,2022,Dallas Metro Area,metro,0.706619,0.102494
wk42,2022 Week 42,2022,Detroit Metro Area,metro,0.4838,0.247017
wk42,2022 Week 42,2022,FL,state,0.409273,0.147958
wk42,2022 Week 42,2022,GA,state,0.551963,0.14082
wk42,2022 Week 42,2022,HI,state,0.191472,0.18385
wk42,2022 Week 42,2022,Houston Metro Area,metro,0.519957,0.203318
wk42,2022 Week 42,2022,IA,state,0.116545,0.098955
wk42,2022 Week 42,2022,ID,state,0.593669,0.078208
wk42,2022 Week 42,2022,IL,state,0.521173,0.222264
wk42,2022 Week 42,2022,IN,state,0.282464,0.174556
wk42,2022 Week 42,2022,KS,state,0.316501,0.149191
wk42,2022 Week 42,2022,KY,state,0.330048,0.099279
wk42,2022 Week 42,2022,LA,state,0.634117,0.147788
wk42,2022 Week 42,2022,Los Angeles Metro Area,metro,0.352754,0.151025
wk42,2022 Week 42,2022,MA,state,0.344792,0.163864
wk42,2022 Week 42,2022,MD,state,0.444208,0.186405
wk42,2022 Week 42,2022,ME,state,0.602941,0.110047
wk42,2022 Week 42,2022,MI,state,0.460016,0.203017
wk42,2022 Week 42,2022,MN,state,0.294874,0.129895
wk42,2022 Week 42,2022,MO,state,0.203633,0.192508
wk42,2022 Week 42,2022,MS,state,0.428729,0.292633
wk42,2022 Week 42,2022,MT,state,0.357352,0.091504
wk42,2022 Week 42,2022,Miami Metro Area,metro,0.499988,0.181866
wk42,2022 Week 42,2022,NC,state,0.401842,0.110094
wk42,2022 Week 42,2022,ND,state,0.313259,0.127432
wk42,2022 Week 42,2022,NE,state,0.450015,0.073296
wk42,2022 Week 42,2022,NH,state,0.36223,0.081856
wk42,2022 Week 42,2022,NJ,state,0.485836,0.22315
wk42,2022 Week 42,2022,NM,state,0.465088,0.110393
wk42,2022 Week 42,2022,NV,state,0.240654,0.179311
wk42,2022 Week 42,2022,NY,state,0.377345,0.276563
wk42,2022 Week 42,2022,New York Metro Area,metro,0.420919,0.282398
wk42,2022 Week 42,2022,OH,state,0.546775,0.128561
wk42,2022 Week 42,2022,OK,state,0.479,0.235794
wk42,2022 Week 42,2022,OR,state,0.380221,0.117505
wk42,2022 Week 42,2022,PA,state,0.630518,0.154216
wk42,2022 Week 42,2022,Philadelphia Metro Area,metro,0.500294,0.163942
wk42,2022 Week 42,2022,Phoenix Metro Area,metro,0.226674,0.105636
wk42,2022 Week 42,2022,RI,state,0.223642,0.145848
wk42,2022 Week 42,2022,Riverside Metro Area,metro,0.150741,0.188379
wk42,2022 Week 42,2022,SC,state,0.444137,0.251639
wk42,2022 Week 42,2022,SD,state,0.308774,0.175257
wk42,2022 Week 42,2022,San Francisco Metro Area,metro,0.325059,0.110778
wk42,2022 Week 42,2022,Seattle Metro Area,metro,0.298537,0.147473
wk42,2022 Week 42,2022,TN,state,0.396465,0.116322
wk42,2022 Week 42,2022,TX,state,0.573856,0.111235
wk42,2022 Week 42,2022,US,US,0.433918,0.157765
wk42,2022 Week 42,2022,UT,state,0.671255,0.056832
wk42,2022 Week 42,2022,VA,state,0.240856,0.123284
wk42,2022 Week 42,2022,VT,state,0.224889,0.068921
wk42,2022 Week 42,2022,WA,state,0.315877,0.118179
wk42,2022 Week 42,2022,WI,state,0.61472,0.183532
wk42,2022 Week 42,2022,WV,state,0.421614,0.179009
wk42,2022 Week 42,2022,WY,state,0.550347,0.186291
wk42,2022 Week 42,2022,Washington DC Metro Area,metro,0.379721,0.130596
wk43,2022 Week 43,2022,AK,state,0.444645,0.146115
wk43,2022 Week 43,2022,AL,state,0.411303,0.221239
wk43,2022 Week 43,2022,AR,state,0.419795,0.167914
wk43,2022 Week 43,2022,AZ,state,0.455484,0.082123
wk43,2022 Week 43,2022,Atlanta Metro Area,metro,0.669944,0.111665
wk43,2022 Week 43,2022,Boston Metro Area,metro,0.155398,0.113772
wk43,2022 Week 43,2022,CA,state,0.397786,0.141285
wk43,2022 Week 43,2022,CO,state,0.352023,0.076474
wk43,2022 Week 43,2022,CT,state,0.336977,0.158817
wk43,2022 Week 43,2022,Chicago Metro Area,metro,0.547289,0.165833
wk43,2022 Week 43,2022,DC,state,0.240885,0.169198
wk43,2022 Week 43,2022,DE,state,0.135776,0.200205
wk43,2022 Week 43,2022,Dallas Metro Area,metro,0.479866,0.112548
wk43,2022 Week 43,2022,Detroit Metro Area,metro,0.543498,0.17562
