state,overall_homeless,unsheltered,chronic_ind,ppl_in_families,individuals,shelt_es,shelt_th,year,population,cb_share,severe_share,renter_hh_total,unsheltered_share,chronic_share,family_share,es_share,th_share,homeless_per_10k
AK,1642.0,255.0,278.0,580.0,1062.0,898.0,489.0,2007,683478.0,0.4230154294107707,0.18781765478155749,87403.0,0.15529841656516444,0.16930572472594396,0.35322777101096225,0.5468940316686967,0.2978075517661389,24.02418219752501
AK,1646.0,194.0,439.0,579.0,1067.0,847.0,605.0,2008,686293.0,0.42718695934256057,0.15643923010380623,83273.0,0.11786148238153099,0.2667071688942892,0.3517618469015796,0.5145808019441069,0.3675577156743621,23.98392523310015
AK,1992.0,327.0,323.0,753.0,1239.0,1009.0,656.0,2009,698473.0,0.4088325673728007,0.17579474070649662,82260.0,0.16415662650602408,0.16214859437751003,0.37801204819277107,0.5065261044176707,0.3293172690763052,28.51935579471218
AK,1863.0,192.0,164.0,745.0,1118.0,1013.0,658.0,2010,713985.0,0.4752467843254562,0.22902333233622496,91825.0,0.10305958132045089,0.0880300590445518,0.39989264626945786,0.5437466451959205,0.35319377348362857,26.09298514674678
AK,2128.0,368.0,226.0,842.0,1286.0,1035.0,725.0,2011,722718.0,0.44304582519811647,0.193878488572413,95018.0,0.17293233082706766,0.106203007518797,0.3956766917293233,0.48637218045112784,0.3406954887218045,29.444402934477903
AK,1913.0,197.0,273.0,615.0,1298.0,1139.0,577.0,2012,731449.0,0.4742546796486057,0.2067632962365529,92224.0,0.10297961317302666,0.1427077888133821,0.3214845791949817,0.5953998954521693,0.30162049137480396,26.153566414063043
AK,1946.0,205.0,166.0,584.0,1362.0,1137.0,604.0,2013,735132.0,0.4323577333896566,0.1865186168607809,89908.0,0.10534429599177801,0.08530318602261049,0.3001027749229188,0.5842754367934224,0.3103802672147996,26.47143642230239
AK,1784.0,145.0,182.0,575.0,1209.0,1139.0,500.0,2014,736732.0,0.5128972662005098,0.21595612824770236,93653.0,0.0812780269058296,0.10201793721973094,0.32230941704035876,0.6384529147982063,0.2802690582959641,24.21504699130756
AK,1956.0,317.0,182.0,614.0,1342.0,1127.0,512.0,2015,738432.0,0.47693141446378035,0.21683627386042031,90263.0,0.16206543967280163,0.09304703476482618,0.31390593047034765,0.5761758691206544,0.261758691206544,26.488559542381697
AK,1940.0,442.0,112.0,413.0,1527.0,1007.0,491.0,2016,741894.0,0.4194246483340174,0.19093814907403953,88253.0,0.22783505154639175,0.0577319587628866,0.21288659793814432,0.5190721649484537,0.25309278350515463,26.14928817324308
AK,1845.0,294.0,216.0,491.0,1354.0,1017.0,534.0,2017,739795.0,0.4582811175958084,0.20490052156062397,91397.0,0.15934959349593497,0.11707317073170732,0.2661246612466125,0.551219512195122,0.2894308943089431,24.939341304009897
