iso3,country_x,military_pct_gdp,life_expectancy,gdp_per_capita,education_pct_gdp,health_pct_gdp,homeless_per_100k,country_y,year_socx,social_spend_pct_gdp
USA,United States,3.3994367771350773,77.92090592334496,71884.4109999775,5.167044997215273,17.024823186666666,196.0,United States,2024.0,19.814
GBR,United Kingdom,2.10449189964045,81.03435191637631,46516.239451355286,5.452932476997376,11.026186532857142,22.0,United Kingdom,2023.0,22.985
FRA,France,1.9517312829580855,82.56341463414637,42359.04060030792,5.43845796585083,11.677347865714284,62.0,France,2024.0,30.649
DEU,Germany,1.3963251205112073,80.92275261324043,51100.500708072905,5.206821918487548,12.037375180000002,75.0,Germany,2024.0,27.854
JPN,Japan,1.0794596968499606,84.23526132404179,37239.897334800255,3.2190224528312674,11.383874415,3.0,Japan,2022.0,24.736
NOR,Norway,1.79572805600456,82.96759581881533,86312.64489545183,7.2451121330261214,9.829144479999998,65.0,Norway,2024.0,24.055
FIN,Finland,1.6238713571280727,81.8062717770035,50909.267057263874,6.483196067810058,9.692285378333333,13.0,Finland,2024.0,31.437
ISL,Iceland,,82.80557491289198,74287.61438296789,7.856635856628418,9.031158175714284,79.0,Iceland,2024.0,19.215
CRI,Costa Rica,,79.89599999999999,14266.0263125173,6.207459926605225,7.332323469999999,,Costa Rica,2022.0,12.644
MUS,Mauritius,0.1524218727062855,73.88933797909408,10743.973026486176,4.557631424495152,5.902978421666667,,,,
PAN,Panama,,78.401,16680.94585338119,3.4334267241376915,8.74412942,,,,
HND,Honduras,1.5139592513207216,71.87485714285715,2809.559249069396,5.508414760762091,8.15465021,,,,
NIC,Nicaragua,0.5784035496224592,73.34242857142858,2264.3562950277783,4.068467806638855,8.730764071666668,,,,
SLV,El Salvador,1.2655783123783757,71.38057142857144,4737.595694252917,3.429127182279314,9.219450473333334,,,,
MDG,Madagascar,0.6341458937147337,63.25028571428572,498.8196519837619,3.070904211104615,3.5295206316666667,,,,
MOZ,Mozambique,1.822977124912903,62.02471428571429,552.2814718855246,5.975352015683329,8.13856141,,,,
