param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.68878,0.262742,-2.14407,-1.67623,-1.28476,1.00034,2476.64
mu_position[1],-2.06857,0.0298146,-2.11646,-2.06937,-2.02066,1.00472,5930.64
mu_position[2],-1.62,0.0335238,-1.67569,-1.62007,-1.56534,1.00487,4139.4
mu_position[3],-1.1579,0.0566727,-1.25364,-1.15766,-1.06611,1.00102,4715.63
mu_player[1],-1.48147,0.0249774,-1.52187,-1.4809,-1.43936,1.00189,4784.18
mu_player[2],-1.95731,0.0294248,-2.0038,-1.95756,-1.90996,1.00119,6277.06
mu_player[3],-1.97804,0.0312997,-2.0298,-1.97823,-1.92627,1.00089,4830.64
mu_player[4],-1.73631,0.029241,-1.78452,-1.73686,-1.68782,1.00505,4869.94
mu_player[5],-1.45656,0.0276521,-1.50466,-1.45644,-1.41037,1.00177,5722.63
mu_player[6],-2.25301,0.0388212,-2.31743,-2.25249,-2.18961,0.999343,6399.75
mu_player[7],-2.00304,0.0385535,-2.06569,-2.00289,-1.94115,1.00402,4970.46
mu_player[8],-1.43848,0.0221341,-1.47478,-1.43841,-1.4031,1.00466,6209.0
mu_player[9],-1.16117,0.0256573,-1.20255,-1.16057,-1.12011,0.999842,5758.61
mu_player[10],-2.65172,0.0489145,-2.72959,-2.65065,-2.57412,1.00357,5260.52
mu_player[11],-1.64177,0.0294154,-1.68885,-1.64169,-1.59345,0.999863,6070.05
mu_player[12],-1.74255,0.0338557,-1.8,-1.74194,-1.68671,1.00058,6053.23
mu_player[13],-0.934108,0.0281127,-0.981442,-0.934415,-0.887534,1.00085,5780.45
mu_player[14],-1.66016,0.0258405,-1.70002,-1.66057,-1.61847,1.00638,4750.69
mu_player[15],-1.8206,0.0317947,-1.87398,-1.81964,-1.77,1.00713,6127.41
mu_player[16],-1.97062,0.0278022,-2.01713,-1.97008,-1.92596,1.00117,4156.32
mu_player[17],-1.94673,0.02948,-1.99622,-1.94593,-1.89911,1.0005,5499.2
mu_player[18],-2.64675,0.046437,-2.72436,-2.64617,-2.56992,1.00194,4767.08
mu_player[19],-1.66393,0.0305474,-1.71417,-1.66363,-1.61425,1.00538,6429.98
mu_player[20],-0.890482,0.0194047,-0.921809,-0.891119,-0.857989,1.01015,5326.94
mu_player[21],-1.8073,0.0334386,-1.86057,-1.8073,-1.75209,1.01074,6602.06
mu_player[22],-1.09061,0.0188597,-1.12122,-1.09117,-1.05904,1.00327,4584.29
mu_player[23],-1.64147,0.0247424,-1.68125,-1.64155,-1.60121,1.00441,4718.86
mu_player[24],-2.19235,0.0382656,-2.25695,-2.1925,-2.12822,1.00273,5362.2
mu_player[25],-2.25966,0.0422439,-2.33022,-2.25995,-2.18755,1.00778,6178.63
mu_player[26],-1.67461,0.0288164,-1.72153,-1.67487,-1.62751,1.00427,6154.52
mu_player[27],-2.05644,0.0329405,-2.1109,-2.05635,-2.00323,1.00374,5791.09
mu_player[28],-1.21882,0.0252327,-1.26172,-1.21857,-1.17711,1.00184,5197.89
mu_player[29],-2.08452,0.0356381,-2.1431,-2.08342,-2.02702,1.00722,5618.35
mu_player[30],-2.12053,0.0343357,-2.17706,-2.12051,-2.06571,0.999146,4644.9
mu_player[31],-0.757887,0.0217621,-0.793792,-0.757802,-0.722175,1.00554,6179.62
mu_player[32],-1.85355,0.0264546,-1.89603,-1.85395,-1.81009,1.00363,5322.56
mu_player[33],-1.46936,0.0284649,-1.5162,-1.46917,-1.42197,1.00253,6602.06
mu_player[34],-1.70345,0.0292152,-1.75363,-1.703,-1.65602,1.00175,5703.82
mu_player[35],-2.204,0.039327,-2.26799,-2.20455,-2.1402,1.0028,6046.4
mu_player[36],-2.1166,0.0325285,-2.16971,-2.11634,-2.06331,0.999443,6151.91
mu_player[37],-2.24037,0.0367952,-2.3021,-2.23887,-2.18159,1.0089,6236.95
mu_player[38],-1.46338,0.0274308,-1.50804,-1.46374,-1.41749,1.00604,5457.0
mu_player[39],-2.35711,0.0357246,-2.41597,-2.35728,-2.29674,1.00225,6052.3
mu_player[40],-1.11708,0.024049,-1.1567,-1.11647,-1.07902,0.999558,4353.33
mu_player[41],-0.876945,0.0176239,-0.906546,-0.877163,-0.84681,1.00217,4991.44
mu_player[42],-1.00837,0.0226275,-1.04567,-1.00843,-0.97166,1.00929,5514.5
mu_player[43],-2.15307,0.0343734,-2.20788,-2.15214,-2.09799,1.00929,6135.52
mu_player[44],-0.98712,0.0197533,-1.01974,-0.987346,-0.954837,1.01106,6116.14
mu_player[45],-2.41808,0.0404727,-2.48441,-2.41751,-2.35324,1.00277,5440.13
mu_player[46],-2.01362,0.0293722,-2.0622,-2.01324,-1.96521,1.00146,6602.06
