param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.66134,0.277826,-2.14309,-1.64592,-1.20995,1.00467,1726.56
mu_position[1],-2.06432,0.0633988,-2.16408,-2.06443,-1.95967,1.00107,2568.0
mu_position[2],-1.52198,0.0782753,-1.65554,-1.52154,-1.39531,0.999256,2476.49
mu_position[3],-1.13583,0.118835,-1.33208,-1.13521,-0.945511,1.00289,2711.72
mu_player[1],-1.65837,0.041436,-1.72361,-1.65925,-1.59098,1.00931,629.101
mu_player[2],-1.28782,0.0298172,-1.33756,-1.28808,-1.23822,1.00525,676.555
mu_player[3],-1.86407,0.0315037,-1.9148,-1.86437,-1.81338,1.00432,866.956
mu_player[4],-0.871379,0.0196889,-0.903661,-0.871805,-0.838427,1.00214,1593.09
mu_player[5],-1.06128,0.0234451,-1.10094,-1.06105,-1.0239,1.00288,1127.56
mu_player[6],-1.63621,0.0224242,-1.67397,-1.63597,-1.60018,1.00142,1888.41
mu_player[7],-1.91514,0.0254607,-1.9568,-1.9151,-1.87241,1.0019,2504.54
mu_player[8],-2.22154,0.0288313,-2.26844,-2.22166,-2.17317,1.00053,2041.32
mu_player[9],-2.35546,0.0312995,-2.40691,-2.35436,-2.30372,1.00424,2308.48
mu_player[10],-1.07737,0.0262644,-1.1205,-1.07727,-1.03527,1.00426,1680.86
mu_player[11],-0.898621,0.0192815,-0.930094,-0.898705,-0.867124,1.00333,1413.89
mu_player[12],-2.09407,0.0312891,-2.14672,-2.09336,-2.04349,1.00348,1273.71
mu_player[13],-1.01892,0.0163089,-1.04555,-1.01913,-0.992564,1.00334,2774.64
mu_player[14],-1.59762,0.0243397,-1.6372,-1.59822,-1.55713,0.999647,2621.04
mu_player[15],-1.31054,0.0175716,-1.3393,-1.31048,-1.2819,1.00005,2614.74
mu_player[16],-1.05039,0.015145,-1.07627,-1.05051,-1.02578,1.00035,3087.92
mu_player[17],-1.83861,0.031104,-1.8909,-1.83787,-1.78902,1.00306,1790.79
mu_player[18],-2.32706,0.0322991,-2.38097,-2.32712,-2.27228,1.0021,3515.95
mu_player[19],-2.11813,0.0257715,-2.16048,-2.11781,-2.07598,1.00099,2224.53
mu_player[20],-1.14165,0.0204974,-1.17455,-1.14226,-1.10722,1.00232,2450.27
mu_player[21],-1.04814,0.020266,-1.08156,-1.04727,-1.01522,1.00059,2640.77
mu_player[22],-2.03112,0.0262444,-2.07575,-2.03134,-1.98786,0.999304,2708.55
mu_player[23],-1.6918,0.0228194,-1.72936,-1.69097,-1.65514,1.0021,2412.85
mu_player[24],-1.01196,0.0164442,-1.03942,-1.01202,-0.985601,1.00207,3244.77
mu_player[25],-2.15811,0.0273552,-2.20416,-2.1581,-2.11351,1.00134,2150.52
mu_player[26],-1.87234,0.0251479,-1.91359,-1.87275,-1.83014,1.00146,1748.03
mu_player[27],-1.95233,0.0310031,-2.00486,-1.9515,-1.90195,1.00191,2047.99
mu_player[28],-1.54458,0.0204162,-1.57923,-1.54422,-1.5113,1.0005,2571.13
mu_player[29],-1.0369,0.0183996,-1.06664,-1.03709,-1.00732,1.00157,2657.35
mu_player[30],-1.8245,0.0234249,-1.86363,-1.82421,-1.78638,1.00513,2767.6
mu_player[31],-1.5104,0.0194459,-1.54197,-1.50989,-1.47822,0.99954,2363.72
mu_player[32],-1.12166,0.0196325,-1.15327,-1.12218,-1.0886,0.999352,1648.29
mu_player[33],-1.26552,0.0183129,-1.29556,-1.26547,-1.23637,1.00218,1998.73
mu_player[34],-1.56025,0.0213608,-1.59469,-1.56037,-1.52455,1.00206,3437.0
mu_player[35],-2.03392,0.0276841,-2.08045,-2.03335,-1.9894,1.00259,2804.46
mu_player[36],-1.38139,0.0197705,-1.41433,-1.38151,-1.34813,1.00063,2615.61
mu_player[37],-2.21409,0.0290081,-2.26232,-2.21403,-2.16767,1.00083,2474.3
mu_player[38],-2.1428,0.0244344,-2.18343,-2.14221,-2.10358,1.00412,1957.56
mu_player[39],-2.2383,0.0289389,-2.28618,-2.23763,-2.19198,1.00248,2403.37
mu_player[40],-1.8251,0.0249016,-1.86607,-1.82499,-1.78579,1.00292,2593.19
mu_player[41],-2.39104,0.0388995,-2.45605,-2.39012,-2.32665,0.999895,2129.85
mu_player[42],-2.21102,0.0288649,-2.25731,-2.21143,-2.16449,1.00181,1639.41
mu_player[43],-2.57572,0.0344077,-2.63462,-2.57519,-2.52077,1.0009,2223.31
mu_player[44],-1.66495,0.0241612,-1.706,-1.66423,-1.62564,1.00031,2089.18
mu_player[45],-2.4147,0.0292645,-2.46199,-2.41477,-2.36746,1.00243,1693.13
mu_player[46],-2.28521,0.0311469,-2.3383,-2.28543,-2.23333,1.00122,2628.69
mu_player[47],-1.86624,0.0281148,-1.91379,-1.86579,-1.81918,1.00169,2738.61
mu_player[48],-2.23434,0.0298123,-2.28244,-2.23338,-2.1861,1.0043,983.705
mu_player[49],-2.43403,0.0338532,-2.49026,-2.43316,-2.37939,1.00067,1826.73
mu_player[50],-1.48885,0.0268864,-1.53351,-1.48786,-1.44502,1.00262,1478.37
sigma_position,0.567596,0.283304,0.25904,0.501831,1.09835,0.999794,2069.58
sigma_player,0.327165,0.0348433,0.275743,0.324802,0.387381,1.00074,2433.85
age_slope[1],-0.0307695,0.00320319,-0.0360729,-0.0307142,-0.0255657,1.01035,527.077
age_slope[2],-0.00415586,0.00298788,-0.00912385,-0.00426362,0.000530668,0.999493,1141.64
age_slope[3],-0.0106259,0.00364688,-0.0165081,-0.0106548,-0.00471939,1.00348,845.136
phi,47.0174,3.28057,41.9455,46.8824,52.715,1.00174,2897.18
reb_per_36_at_27[1],6.86202,0.284644,6.42319,6.8501,7.33411,1.00931,629.115
reb_per_36_at_27[2],9.93577,0.296486,9.44955,9.92886,10.4364,1.00525,676.523
reb_per_36_at_27[3],5.58423,0.175926,5.30538,5.5798,5.87166,1.00432,866.983
reb_per_36_at_27[4],15.0644,0.296755,14.5831,15.055,15.566,1.00214,1593.09
reb_per_36_at_27[5],12.4599,0.292113,11.9721,12.4594,12.9309,1.00288,1127.62
reb_per_36_at_27[6],7.01158,0.157092,6.75,7.01146,7.26699,1.00137,1888.44
reb_per_36_at_27[7],5.30528,0.13503,5.08714,5.30378,5.53509,1.00196,2504.21
reb_per_36_at_27[8],3.90555,0.112611,3.72504,3.90345,4.09739,1.00053,2041.36
reb_per_36_at_27[9],3.41628,0.106909,3.24337,3.41835,3.59591,1.00419,2308.64
reb_per_36_at_27[10],12.2619,0.321898,11.7402,12.2589,12.7848,1.0043,1680.81
reb_per_36_at_27[11],14.6594,0.282644,14.2026,14.6555,15.1257,1.00328,1414.05
reb_per_36_at_27[12],4.43683,0.138621,4.2072,4.43782,4.66472,1.00348,1273.74
reb_per_36_at_27[13],12.9972,0.211965,12.654,12.9929,13.3425,1.00333,2774.43
reb_per_36_at_27[14],7.28778,0.177572,7.00284,7.28123,7.58668,0.999681,2621.25
reb_per_36_at_27[15],9.70976,0.170586,9.43304,9.7089,9.9904,1.00006,2614.81
reb_per_36_at_27[16],12.5944,0.190786,12.2711,12.5914,12.9065,1.00038,3087.85
reb_per_36_at_27[17],5.72814,0.177948,5.43366,5.72959,6.01646,1.00296,1790.9
reb_per_36_at_27[18],3.51478,0.113584,3.32859,3.51274,3.71074,1.00208,3515.71
reb_per_36_at_27[19],4.33065,0.111589,4.1497,4.33061,4.5156,1.00099,2224.46
reb_per_36_at_27[20],11.4969,0.235776,11.1225,11.4875,11.8971,1.00236,2450.41
reb_per_36_at_27[21],12.6239,0.25555,12.2064,12.6321,13.0436,1.00059,2640.72
reb_per_36_at_27[22],4.7244,0.123976,4.51667,4.72173,4.93154,0.999304,2708.61
reb_per_36_at_27[23],6.63246,0.151383,6.38635,6.63626,6.87835,1.00212,2412.82
reb_per_36_at_27[24],13.088,0.215223,12.7318,13.0854,13.4358,1.00206,3245.01
