param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.70772,0.271457,-2.17914,-1.69623,-1.2881,1.00349,2316.09
mu_position[1],-2.08067,0.0271954,-2.12622,-2.08112,-2.03602,0.999621,3623.22
mu_position[2],-1.6282,0.0331709,-1.68206,-1.62837,-1.57356,1.00026,4984.66
mu_position[3],-1.16364,0.0576922,-1.25731,-1.16385,-1.06669,1.00191,4520.13
mu_player[1],-1.33102,0.0373016,-1.39225,-1.33112,-1.26852,1.00245,638.594
mu_player[2],-1.82801,0.0417444,-1.89337,-1.82856,-1.75982,1.00525,645.75
mu_player[3],-1.86196,0.04068,-1.92769,-1.86356,-1.79449,1.00636,630.289
mu_player[4],-1.5915,0.0377079,-1.65367,-1.59127,-1.52955,1.00115,672.624
mu_player[5],-1.41719,0.0426239,-1.48581,-1.41717,-1.34567,1.00541,811.333
mu_player[6],-2.15651,0.0437604,-2.22872,-2.15681,-2.08491,1.0013,1231.97
mu_player[7],-1.87653,0.0430763,-1.94772,-1.87611,-1.80516,1.00135,1212.96
mu_player[8],-1.35668,0.0288932,-1.40555,-1.3561,-1.30892,1.00336,760.173
mu_player[9],-1.06877,0.0309417,-1.11913,-1.06883,-1.01711,1.00058,1001.06
mu_player[10],-2.57149,0.0531581,-2.66067,-2.57151,-2.48341,1.00108,1611.04
mu_player[11],-1.61097,0.0400881,-1.67668,-1.61116,-1.54598,1.00164,1025.38
mu_player[12],-1.66043,0.0382907,-1.72411,-1.66025,-1.59801,1.00385,1071.01
mu_player[13],-0.906929,0.0371155,-0.968627,-0.907228,-0.844327,1.0018,1157.32
mu_player[14],-1.59135,0.0305125,-1.63969,-1.59149,-1.5418,1.00102,1073.96
mu_player[15],-1.72577,0.040283,-1.79517,-1.72484,-1.65961,1.00277,1136.49
mu_player[16],-1.8999,0.031587,-1.95105,-1.89925,-1.84848,1.00142,1175.66
mu_player[17],-1.88799,0.0336896,-1.94318,-1.88937,-1.83152,1.00447,1731.35
mu_player[18],-2.56522,0.053676,-2.65474,-2.56421,-2.47906,1.00069,1585.32
mu_player[19],-1.59542,0.0327593,-1.64859,-1.5962,-1.54052,1.00502,1866.39
mu_player[20],-0.878834,0.0217874,-0.914354,-0.878926,-0.842882,1.00355,1880.93
mu_player[21],-1.76613,0.0345581,-1.82414,-1.76561,-1.70894,1.00415,2917.17
mu_player[22],-1.0723,0.0248251,-1.11316,-1.07234,-1.0322,1.00137,1119.52
mu_player[23],-1.60906,0.0256092,-1.65193,-1.60857,-1.56713,1.00059,2987.99
mu_player[24],-2.12945,0.0408672,-2.19935,-2.12908,-2.06124,0.999092,2059.33
mu_player[25],-2.22175,0.0405003,-2.28964,-2.22085,-2.1551,1.0037,3002.23
mu_player[26],-1.59671,0.0316684,-1.64841,-1.59576,-1.54689,1.00224,1405.68
mu_player[27],-1.97455,0.0341338,-2.03116,-1.97376,-1.91787,1.00195,1285.38
mu_player[28],-1.19748,0.0248379,-1.23637,-1.19793,-1.15658,1.0055,3467.75
mu_player[29],-2.07166,0.0346471,-2.12881,-2.0709,-2.01585,1.00135,4478.12
mu_player[30],-2.06644,0.0373139,-2.12557,-2.06612,-2.0056,1.00085,2179.74
mu_player[31],-0.755521,0.0217108,-0.791731,-0.755318,-0.719998,1.00426,4174.23
mu_player[32],-1.81903,0.0285566,-1.86374,-1.81988,-1.77169,0.999837,3227.1
mu_player[33],-1.3971,0.0297219,-1.44632,-1.39676,-1.34805,1.00144,1600.29
mu_player[34],-1.6602,0.0293721,-1.70917,-1.65982,-1.61168,1.00362,3143.2
