param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.23637,0.169274,-2.48496,-2.24104,-1.96027,1.01719,1421.89
mu_position[1],-2.13876,0.0943464,-2.28401,-2.14311,-1.97702,1.02441,164.035
mu_position[2],-2.32202,0.108013,-2.50887,-2.31705,-2.15823,1.03978,87.3798
mu_position[3],-2.36585,0.146682,-2.63516,-2.35275,-2.16221,1.04048,75.9492
mu_player[1],-1.48123,0.0394479,-1.54528,-1.48018,-1.42278,1.05846,51.0997
mu_player[2],-1.56075,0.0306037,-1.61112,-1.56074,-1.50796,1.04686,78.2074
mu_player[3],-2.00931,0.0306358,-2.06089,-2.00842,-1.96246,1.01107,375.571
mu_player[4],-2.5925,0.0423494,-2.66209,-2.58981,-2.52491,1.00304,609.557
mu_player[5],-2.38109,0.0405544,-2.45059,-2.38123,-2.3146,1.00914,1377.2
mu_player[6],-2.50591,0.0310025,-2.5566,-2.50608,-2.4542,1.01413,1327.38
mu_player[7],-2.8587,0.0364313,-2.91811,-2.86112,-2.79666,1.01517,1359.18
mu_player[8],-1.80862,0.0248719,-1.85085,-1.80915,-1.7716,1.03502,85.3704
mu_player[9],-2.73222,0.0343155,-2.78978,-2.73081,-2.67679,1.02449,2133.3
mu_player[10],-2.26778,0.0409711,-2.33563,-2.26867,-2.19393,1.00576,559.201
mu_player[11],-3.24418,0.0469569,-3.32053,-3.24561,-3.16446,1.02418,1165.02
mu_player[12],-2.80823,0.0385905,-2.87372,-2.80758,-2.74538,1.01435,504.748
mu_player[13],-1.72841,0.0217159,-1.76588,-1.72911,-1.69216,1.0509,2027.54
mu_player[14],-1.96118,0.0286792,-2.00885,-1.95978,-1.91658,1.03126,105.107
mu_player[15],-2.02656,0.0251896,-2.06899,-2.02489,-1.98642,1.01037,1005.23
mu_player[16],-1.38296,0.0182453,-1.41326,-1.38341,-1.35267,1.02397,1908.93
mu_player[17],-1.40578,0.0269541,-1.45193,-1.40446,-1.36605,1.03494,96.2451
mu_player[18],-1.51524,0.0219945,-1.55162,-1.51503,-1.47813,1.03517,1976.59
mu_player[19],-1.77441,0.0242962,-1.81522,-1.77493,-1.73583,1.05256,54.6836
mu_player[20],-2.86648,0.0417126,-2.93157,-2.86729,-2.7965,1.01701,278.543
mu_player[21],-2.27545,0.0358336,-2.33745,-2.27457,-2.2143,1.06439,1472.49
mu_player[22],-2.04555,0.0257985,-2.08743,-2.0453,-2.0058,1.01424,378.466
mu_player[23],-2.42038,0.0308338,-2.47208,-2.41902,-2.37105,1.04102,80.8033
mu_player[24],-1.66727,0.0209847,-1.7017,-1.66871,-1.63188,1.04041,1884.52
mu_player[25],-2.81281,0.0405375,-2.87818,-2.81216,-2.74214,1.04,87.6858
mu_player[26],-2.40304,0.0298677,-2.45328,-2.40342,-2.35308,1.00992,851.193
mu_player[27],-2.95759,0.0454523,-3.03674,-2.95484,-2.88913,1.01698,242.63
mu_player[28],-2.11828,0.027121,-2.16066,-2.11817,-2.07197,1.02007,203.082
mu_player[29],-2.78614,0.0402105,-2.85375,-2.78627,-2.72417,1.02645,145.295
mu_player[30],-2.9903,0.0406801,-3.05802,-2.98843,-2.92758,1.01206,751.393
mu_player[31],-1.98785,0.0259867,-2.03243,-1.98796,-1.94833,1.01824,1195.98
mu_player[32],-2.69942,0.0390375,-2.75779,-2.70146,-2.63469,1.00863,434.225
mu_player[33],-2.03063,0.0278347,-2.07735,-2.0298,-1.98742,1.04372,68.088
mu_player[34],-2.38694,0.0326467,-2.43514,-2.3865,-2.33398,1.02752,118.479
mu_player[35],-1.94414,0.0250754,-1.98671,-1.94314,-1.90343,1.01872,2316.87
mu_player[36],-2.16453,0.0264606,-2.2091,-2.16325,-2.12155,1.02987,1600.9
mu_player[37],-2.64309,0.0356088,-2.70187,-2.64393,-2.58523,1.00984,448.615
mu_player[38],-2.46872,0.0293819,-2.51232,-2.47006,-2.41878,1.01116,312.705
mu_player[39],-1.73173,0.0247216,-1.77792,-1.73062,-1.69339,1.02568,180.488
mu_player[40],-2.14011,0.0334509,-2.19352,-2.14048,-2.08165,1.0536,49.7793
mu_player[41],-2.095,0.0363133,-2.15033,-2.0971,-2.03141,1.02787,104.075
mu_player[42],-2.20892,0.0299017,-2.25784,-2.2084,-2.1581,1.03887,1695.96
mu_player[43],-2.90978,0.0420585,-2.97347,-2.91014,-2.83896,1.01559,331.102
mu_player[44],-2.51958,0.0374669,-2.57907,-2.52041,-2.4576,1.00777,401.669
mu_player[45],-1.18946,0.023739,-1.22978,-1.18817,-1.15242,1.06885,55.5479
mu_player[46],-2.67748,0.037062,-2.73582,-2.67821,-2.61763,1.00807,407.739
mu_player[47],-2.43332,0.038023,-2.5002,-2.43302,-2.3726,1.02502,108.979
mu_player[48],-1.98574,0.0322931,-2.03323,-1.98591,-1.93254,1.05239,53.925
mu_player[49],-1.93544,0.0295964,-1.98093,-1.93606,-1.88718,1.04399,92.694
mu_player[50],-2.66459,0.0468083,-2.7399,-2.66379,-2.58719,1.01819,1365.67
sigma_position,0.237255,0.218403,0.018862,0.18569,0.621963,1.17361,16.8607
sigma_player,0.478325,0.0467547,0.40505,0.47751,0.555251,1.01018,587.733
age_slope[1],0.0169471,0.00334058,0.0117307,0.0168698,0.0225008,1.058,53.685
age_slope[2],0.0294765,0.00428116,0.0220295,0.0292124,0.0366715,1.01912,491.634
age_slope[3],0.024887,0.00617841,0.0145348,0.0246978,0.0351773,1.02752,1305.51
phi,25.1115,1.58809,22.7205,25.077,27.8793,1.01511,1457.06
reb_per_36_at_27[1],8.19127,0.322324,7.67706,8.19349,8.6776,1.0584,51.1806
reb_per_36_at_27[2],7.56274,0.231521,7.18787,7.55926,7.96897,1.04686,78.2135
reb_per_36_at_27[3],4.82916,0.147826,4.58424,4.83124,5.05847,1.01107,375.533
reb_per_36_at_27[4],2.6964,0.113969,2.51288,2.70123,2.88237,1.00273,609.541
reb_per_36_at_27[5],3.33093,0.134921,3.10473,3.32774,3.55701,1.00899,1377.35
reb_per_36_at_27[6],2.93906,0.091154,2.79243,2.93714,3.09354,1.01418,1326.09
reb_per_36_at_27[7],2.06573,0.0753,1.94529,2.05936,2.1965,1.01519,1359.46
reb_per_36_at_27[8],5.9015,0.146514,5.65572,5.8966,6.12219,1.03502,85.3839
reb_per_36_at_27[9],2.34406,0.0802168,2.21165,2.34598,2.47621,1.02398,2133.35
reb_per_36_at_27[10],3.73062,0.15312,3.48297,3.72416,4.01322,1.00576,559.18
reb_per_36_at_27[11],1.40556,0.0660802,1.30081,1.402,1.52052,1.02509,1164.39
reb_per_36_at_27[12],2.17283,0.0837248,2.03358,2.17263,2.31206,1.01435,504.712
reb_per_36_at_27[13],6.39392,0.138823,6.15733,6.38789,6.62839,1.05098,2027.56
reb_per_36_at_27[14],5.06701,0.144912,4.82914,5.072,5.2959,1.03127,105.033
reb_per_36_at_27[15],4.74586,0.11936,4.54729,4.7523,4.93867,1.01036,1005.34
reb_per_36_at_27[16],9.03152,0.164822,8.76053,9.02596,9.30781,1.02407,1913.81
reb_per_36_at_27[17],8.8295,0.237183,8.4282,8.83806,9.1841,1.03494,96.2644
reb_per_36_at_27[18],7.91309,0.174142,7.62852,7.91285,8.21031,1.03513,1976.41
reb_per_36_at_27[19],6.1068,0.148609,5.86089,6.10181,6.34516,1.05257,54.6744
reb_per_36_at_27[20],2.05013,0.085693,1.91926,2.04671,2.19684,1.01702,278.315
reb_per_36_at_27[21],3.70141,0.13245,3.47665,3.70227,3.93231,1.06322,1472.36
reb_per_36_at_27[22],4.65666,0.120009,4.46422,4.65628,4.8439,1.01424,378.402
reb_per_36_at_27[23],3.20147,0.0984203,3.0387,3.20432,3.3618,1.04098,80.8979
reb_per_36_at_27[24],6.7969,0.142773,6.56542,6.78562,7.04023,1.04068,1885.01
reb_per_36_at_27[25],2.16307,0.0875909,2.02451,2.1627,2.31955,1.04,87.6918
reb_per_36_at_27[26],3.25738,0.0973129,3.09641,3.25469,3.42275,1.00993,851.1
reb_per_36_at_27[27],1.87191,0.0847586,1.72768,1.87514,2.00248,1.01698,242.564
reb_per_36_at_27[28],4.33017,0.117545,4.14896,4.32902,4.53374,1.0196,203.076
reb_per_36_at_27[29],2.22151,0.089089,2.07459,2.21943,2.36164,1.02645,145.316
reb_per_36_at_27[30],1.8113,0.0735033,1.6913,1.81318,1.92696,1.01206,751.268
reb_per_36_at_27[31],4.93331,0.128053,4.71661,4.93107,5.13046,1.01778,1196.05
reb_per_36_at_27[32],2.42264,0.0948773,2.28353,2.41589,2.58269,1.00863,434.252
reb_per_36_at_27[33],4.72692,0.131292,4.50938,4.72902,4.93377,1.04368,68.1847
reb_per_36_at_27[34],3.31053,0.108161,3.15306,3.31024,3.48873,1.02752,118.466
reb_per_36_at_27[35],5.1536,0.129214,4.93726,5.15711,5.366,1.01894,2315.17
reb_per_36_at_27[36],4.13437,0.109306,3.95276,4.13824,4.31442,1.02987,1600.68
reb_per_36_at_27[37],2.5627,0.0911391,2.41489,2.55891,2.71363,1.00924,448.406
reb_per_36_at_27[38],3.05028,0.0897545,2.91889,3.04487,3.20507,1.01116,312.693
reb_per_36_at_27[39],6.37317,0.157343,6.08359,6.37825,6.62025,1.02567,180.559
reb_per_36_at_27[40],4.23748,0.141744,4.01484,4.23353,4.49006,1.0536,49.783
reb_per_36_at_27[41],4.43345,0.161729,4.19204,4.42123,4.72145,1.02787,104.081
reb_per_36_at_27[42],3.95525,0.118293,3.76473,3.95557,4.15961,1.03892,1695.6
reb_per_36_at_27[43],1.9633,0.0828591,1.84052,1.96087,2.10551,1.01561,330.743
reb_per_36_at_27[44],2.89981,0.108734,2.73042,2.89535,3.08302,1.00777,401.667
reb_per_36_at_27[45],10.961,0.259871,10.5248,10.9721,11.3713,1.06643,55.5537
reb_per_36_at_27[46],2.47621,0.0918725,2.33427,2.47271,2.62711,1.00807,407.725
reb_per_36_at_27[47],3.16111,0.120139,2.95446,3.15978,3.35656,1.02502,108.985
reb_per_36_at_27[48],4.94461,0.159885,4.71282,4.9412,5.21207,1.05234,53.9831
reb_per_36_at_27[49],5.19926,0.154173,4.96587,5.19377,5.45395,1.04399,92.6798
reb_per_36_at_27[50],2.50936,0.117212,2.32475,2.50861,2.70831,1.01807,1365.73
reb_per_36_position_at_27[1],4.25982,0.405955,3.66748,4.22245,4.98533,1.02443,163.814
reb_per_36_position_at_27[2],3.55113,0.378752,2.92898,3.5483,4.15904,1.03978,87.3853
reb_per_36_position_at_27[3],3.4151,0.487801,2.58147,3.42387,4.14255,1.0405,75.8839
reb_per_36_league_at_27,3.90558,0.751316,2.99986,3.82853,5.06954,1.01676,1421.89
"age_curve[1,1]",3.72069,0.364244,3.17691,3.6891,4.35913,1.03258,1073.9
"age_curve[1,2]",3.78401,0.367715,3.23528,3.73781,4.43596,1.03422,920.795
"age_curve[1,3]",3.84846,0.371625,3.3029,3.79767,4.50201,1.01997,770.279
"age_curve[1,4]",3.91404,0.376003,3.36382,3.8655,4.56922,1.01336,652.662
"age_curve[1,5]",3.98079,0.38088,3.42476,3.93471,4.65473,1.01532,561.923
"age_curve[1,6]",4.04871,0.386285,3.48431,4.00286,4.7417,1.01737,364.42
