param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.83455,0.161506,-3.00662,-2.86299,-2.53821,1.01242,649.477
mu_position[1],-2.90116,0.0669547,-3.01326,-2.89948,-2.79776,1.0057,495.983
mu_position[2],-2.90589,0.0775116,-3.03214,-2.90198,-2.78368,1.00249,757.61
mu_position[3],-2.8418,0.104322,-2.99513,-2.85029,-2.65293,1.00382,1011.39
mu_player[1],-2.53387,0.0570646,-2.63003,-2.5332,-2.44176,1.00754,755.123
mu_player[2],-2.01043,0.0392145,-2.07659,-2.01053,-1.9465,1.00664,836.518
mu_player[3],-2.77119,0.0444272,-2.84542,-2.7689,-2.69932,1.01268,1009.63
mu_player[4],-2.57089,0.0435121,-2.64112,-2.57223,-2.50164,1.01996,398.183
mu_player[5],-2.86508,0.0505106,-2.94842,-2.86482,-2.78592,1.00865,496.295
mu_player[6],-3.12299,0.0484567,-3.20223,-3.12365,-3.04205,1.03106,159.098
mu_player[7],-3.32805,0.0470303,-3.40592,-3.32812,-3.25275,1.00562,833.186
mu_player[8],-2.60547,0.0383408,-2.66542,-2.60666,-2.54271,1.0375,99.1184
mu_player[9],-3.31074,0.0479291,-3.38733,-3.31081,-3.23352,1.0199,309.379
mu_player[10],-2.74974,0.0531881,-2.83857,-2.7492,-2.66718,1.01648,783.079
mu_player[11],-2.90842,0.0438247,-2.98169,-2.90693,-2.84143,1.01674,611.826
mu_player[12],-3.44953,0.0555815,-3.54111,-3.44953,-3.35753,1.00445,1040.84
mu_player[13],-2.25424,0.0278698,-2.30088,-2.25335,-2.20935,1.01071,1640.72
mu_player[14],-3.01143,0.0488422,-3.08766,-3.01415,-2.93188,1.00929,932.967
mu_player[15],-2.40361,0.0294822,-2.45269,-2.40331,-2.35513,1.00349,1118.35
mu_player[16],-2.32886,0.0287926,-2.3747,-2.32987,-2.28297,1.00651,397.84
mu_player[17],-2.48492,0.0418148,-2.55484,-2.48163,-2.41712,1.00605,834.917
mu_player[18],-3.2748,0.0523373,-3.36078,-3.27299,-3.1934,1.01097,529.291
mu_player[19],-2.52096,0.0322029,-2.5738,-2.52227,-2.46645,1.01483,379.305
mu_player[20],-3.08221,0.0497369,-3.15959,-3.08282,-3.00514,1.01042,490.44
mu_player[21],-3.38691,0.0626793,-3.48616,-3.38915,-3.28407,1.00703,719.779
mu_player[22],-2.91518,0.0375855,-2.97701,-2.91719,-2.85199,1.01256,1869.55
mu_player[23],-3.2678,0.0470301,-3.34962,-3.26524,-3.19278,1.01908,1191.05
mu_player[24],-2.44688,0.0286591,-2.49043,-2.44637,-2.39994,1.01498,381.536
mu_player[25],-3.3717,0.0500161,-3.45235,-3.3707,-3.2911,1.00907,1260.61
mu_player[26],-2.80539,0.0392803,-2.87011,-2.80452,-2.74596,1.01201,716.021
mu_player[27],-3.19771,0.0516253,-3.2842,-3.1979,-3.11331,1.01065,1523.34
mu_player[28],-2.7905,0.0332419,-2.84376,-2.79008,-2.73671,1.00785,1128.62
mu_player[29],-3.01219,0.0423603,-3.08209,-3.01453,-2.94025,1.01215,889.613
mu_player[30],-3.46848,0.0518267,-3.55617,-3.46705,-3.38655,1.01095,1915.01
mu_player[31],-2.62299,0.0342699,-2.68199,-2.62278,-2.5684,1.0204,277.599
