stat,position,mean,sd,q5,q95,rhat,ess,severity,credible_nonzero
REB,G,-0.0307695,0.00320319,-0.0360729,-0.0255657,1.01035,527.077,strong,True
REB,F,-0.00415586,0.00298788,-0.00912385,0.000530668,0.999493,1141.64,mild,False
REB,C,-0.0106259,0.00364688,-0.0165081,-0.00471939,1.00348,845.136,moderate,True
OREB,G,0.00794575,0.00728925,-0.00381767,0.020087,1.00264,1400.94,mild,False
OREB,F,0.0196542,0.00642702,0.00918992,0.0301958,1.00091,2064.33,moderate,True
OREB,C,-0.0141846,0.00688854,-0.0254551,-0.00274579,1.00185,1839.83,moderate,True
BLK,G,0.0106307,0.0106798,-0.00696314,0.0276467,1.00094,1532.24,moderate,False
BLK,F,-0.0195618,0.0101731,-0.0359872,-0.00327768,1.00011,2104.49,moderate,True
BLK,C,-0.06305,0.0101979,-0.0800617,-0.0462689,1.00041,1716.04,strong,True
AST,G,0.0169471,0.00334058,0.0117307,0.0225008,1.058,53.685,moderate,True
AST,F,0.0294765,0.00428116,0.0220295,0.0366715,1.01912,491.634,strong,True
AST,C,0.024887,0.00617841,0.0145348,0.0351773,1.02752,1305.51,strong,True
TOV,G,-0.0212413,0.0045597,-0.0283618,-0.0138154,1.01387,531.493,strong,True
TOV,F,-0.0138839,0.00597242,-0.0233808,-0.00374359,1.03232,161.85,moderate,True
TOV,C,-0.0246896,0.00738527,-0.0367184,-0.0125858,1.01948,361.773,strong,True
