param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.69071,0.2646,-2.11883,-1.68528,-1.26531,1.00273,1820.5
mu_position[1],-2.0589,0.0333065,-2.11379,-2.05873,-2.0045,0.999161,2850.96
mu_position[2],-1.61566,0.0380048,-1.67824,-1.61505,-1.55432,1.00741,2516.85
mu_position[3],-1.15644,0.0617998,-1.25764,-1.15804,-1.05259,1.00474,2726.6
mu_player[1],-1.54681,0.163373,-1.81558,-1.54426,-1.27668,1.00116,1801.39
mu_player[2],-1.69725,0.182696,-2.00063,-1.69535,-1.39809,0.998638,1180.36
mu_player[3],-1.89859,0.172348,-2.18708,-1.89739,-1.61419,1.00473,1834.12
mu_player[4],-1.40311,0.165999,-1.67416,-1.3999,-1.13196,1.00512,1739.25
mu_player[5],-1.31018,0.151083,-1.55233,-1.31125,-1.06276,1.00215,1566.09
mu_player[6],-1.95287,0.172379,-2.22865,-1.95558,-1.66168,1.001,1472.88
mu_player[7],-1.70288,0.183654,-2.00789,-1.70555,-1.40118,1.00521,1452.43
mu_player[8],-1.22036,0.107987,-1.39685,-1.21839,-1.04959,1.00056,1348.89
mu_player[9],-1.25269,0.112678,-1.43039,-1.2546,-1.07306,1.00074,1843.49
mu_player[10],-2.43863,0.166381,-2.71766,-2.43178,-2.16987,1.00134,1445.68
mu_player[11],-1.90673,0.130893,-2.12744,-1.90649,-1.69589,1.00024,1571.49
mu_player[12],-1.71633,0.138038,-1.94129,-1.71544,-1.48625,1.00434,1418.31
mu_player[13],-0.69727,0.123288,-0.903098,-0.696194,-0.493017,1.00456,1460.27
mu_player[14],-1.63943,0.100581,-1.8069,-1.63792,-1.47574,1.00515,1597.81
mu_player[15],-1.94276,0.168256,-2.22745,-1.94042,-1.67533,1.00083,1530.22
mu_player[16],-1.72663,0.10614,-1.89919,-1.72717,-1.55154,0.999869,1660.25
mu_player[17],-2.03975,0.0953649,-2.19819,-2.03815,-1.8812,1.00386,1687.82
mu_player[18],-2.43069,0.1734,-2.72618,-2.42993,-2.14846,1.00339,1494.29
mu_player[19],-1.54952,0.101409,-1.72639,-1.54796,-1.39149,0.999936,1560.51
mu_player[20],-0.846805,0.0408141,-0.913705,-0.846686,-0.782764,1.00265,2209.91
mu_player[21],-1.77707,0.0793787,-1.9077,-1.77675,-1.64126,1.00086,1538.03
mu_player[22],-1.04901,0.0639606,-1.15555,-1.04732,-0.947058,1.00026,1869.5
mu_player[23],-1.55511,0.0485284,-1.63542,-1.55445,-1.47975,1.00527,1953.98
mu_player[24],-1.90169,0.133232,-2.11962,-1.8996,-1.68182,0.998786,1640.63
mu_player[25],-2.16085,0.0845188,-2.30103,-2.16063,-2.02395,1.00241,1843.9
mu_player[26],-1.48033,0.101592,-1.64922,-1.47962,-1.31338,1.00444,1719.41
mu_player[27],-1.96146,0.123703,-2.16111,-1.96022,-1.76222,1.0029,1497.43
mu_player[28],-1.3377,0.0365183,-1.39833,-1.33643,-1.27801,1.00224,2107.93
mu_player[29],-2.07916,0.0420599,-2.1463,-2.07745,-2.00854,1.00208,2179.88
