param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.47793,0.402502,-2.28572,-1.38186,-0.958519,1.00242,392.666
mu_position[1],-2.01884,0.0478238,-2.09685,-2.01842,-1.93978,1.00459,3828.76
mu_position[2],-1.5253,0.057573,-1.61796,-1.52578,-1.43011,1.0025,3683.82
mu_position[3],-1.15518,0.096439,-1.31844,-1.15391,-1.00446,1.00136,3964.87
mu_player[1],-1.73376,0.12519,-1.93871,-1.73446,-1.52882,1.00004,3404.07
mu_player[2],-2.0581,0.129,-2.27032,-2.05703,-1.84371,1.00313,3755.99
mu_player[3],-1.11646,0.0749128,-1.24093,-1.1155,-0.99237,1.0085,2607.54
mu_player[4],-1.59026,0.0951917,-1.74405,-1.59172,-1.43292,1.00331,3653.82
mu_player[5],-1.48563,0.0707115,-1.60364,-1.48494,-1.36978,1.00656,2989.48
mu_player[6],-1.64842,0.0777866,-1.77554,-1.65041,-1.51839,1.00377,2549.8
mu_player[7],-2.00068,0.0759243,-2.12362,-2.00122,-1.87885,1.00031,3296.74
mu_player[8],-0.861122,0.0354681,-0.918646,-0.861515,-0.802767,1.0014,3739.29
mu_player[9],-1.03122,0.0496946,-1.11272,-1.03025,-0.949971,1.0047,4112.72
mu_player[10],-1.5899,0.0402467,-1.65465,-1.59077,-1.52428,1.00438,3849.88
mu_player[11],-1.75971,0.0430847,-1.83045,-1.75867,-1.69108,1.00357,2982.82
mu_player[12],-2.13159,0.0623045,-2.23438,-2.13021,-2.03255,1.0019,2883.58
mu_player[13],-2.18993,0.040354,-2.2572,-2.18863,-2.1249,1.00366,3181.79
mu_player[14],-2.32792,0.0507564,-2.4114,-2.3268,-2.24312,0.999819,3641.65
mu_player[15],-1.21856,0.0693098,-1.33054,-1.21991,-1.10319,1.00758,3711.82
mu_player[16],-0.812455,0.0324135,-0.866511,-0.813063,-0.759336,0.999358,2269.67
mu_player[17],-2.09515,0.0559617,-2.1859,-2.09535,-2.00653,1.00494,4669.12
mu_player[18],-0.997961,0.0173059,-1.02556,-0.997559,-0.969647,0.999205,4234.18
mu_player[19],-2.03626,0.0554739,-2.12759,-2.03535,-1.94368,1.003,4982.58
mu_player[20],-1.60752,0.0237427,-1.64742,-1.60721,-1.5677,1.00136,2807.99
mu_player[21],-1.52606,0.0333085,-1.58219,-1.52587,-1.47198,1.00335,3275.13
mu_player[22],-1.50253,0.0637812,-1.60628,-1.50301,-1.40166,1.00267,3022.85
mu_player[23],-1.28899,0.0185545,-1.31951,-1.28892,-1.25812,1.00048,3834.81
mu_player[24],-1.06474,0.0157726,-1.09079,-1.06451,-1.0387,1.00867,3002.98
mu_player[25],-1.9357,0.0579528,-2.03292,-1.93466,-1.8402,0.999609,3488.71
mu_player[26],-2.31555,0.0332786,-2.36973,-2.31513,-2.26008,1.00682,3344.03
mu_player[27],-2.09582,0.0297565,-2.144,-2.09677,-2.04525,1.00176,3140.61
mu_player[28],-1.15884,0.01992,-1.19281,-1.15839,-1.12769,1.00163,4386.46
mu_player[29],-1.03769,0.021464,-1.0734,-1.03757,-1.00232,1.0019,2373.42
mu_player[30],-2.07214,0.030053,-2.12293,-2.07152,-2.02249,0.999916,3131.97
mu_player[31],-1.55092,0.044173,-1.62497,-1.55058,-1.47745,1.00166,3529.22
mu_player[32],-1.6834,0.0326088,-1.73905,-1.68263,-1.62802,0.998597,3142.13
mu_player[33],-0.993799,0.0193156,-1.02356,-0.994418,-0.960234,1.00047,1004.06
mu_player[34],-2.1648,0.0325245,-2.21974,-2.16333,-2.11236,1.00597,3437.5
