param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.655253,0.0760491,-0.756975,-0.653612,-0.556716,1.0026,1402.72
mu_position[1],-0.62993,0.0356437,-0.68705,-0.630614,-0.567997,0.998947,1435.52
mu_position[2],-0.671516,0.0388756,-0.738256,-0.669188,-0.610407,1.00144,1622.19
mu_position[3],-0.658901,0.0568206,-0.752482,-0.656592,-0.565071,1.00292,2111.55
mu_player[1],-0.6779,0.170433,-0.945207,-0.672781,-0.404119,1.00586,4045.87
mu_player[2],-0.182591,0.175966,-0.479414,-0.17948,0.104511,1.00038,3832.21
mu_player[3],0.0243919,0.157383,-0.230763,0.0237027,0.282169,1.00482,2901.32
mu_player[4],-1.0212,0.212429,-1.37789,-1.02101,-0.669345,1.00426,2459.98
mu_player[5],-0.471278,0.168595,-0.748663,-0.469429,-0.206671,1.0033,3262.24
mu_player[6],-0.343555,0.160953,-0.617176,-0.345571,-0.0749211,1.00704,2785.87
mu_player[7],-0.679688,0.189099,-0.986605,-0.678827,-0.368519,1.00427,3247.09
mu_player[8],-0.0368921,0.113805,-0.226626,-0.0336342,0.145155,1.00155,3911.39
mu_player[9],-0.421709,0.132728,-0.638677,-0.421512,-0.207223,0.999798,2874.8
mu_player[10],-0.419917,0.142371,-0.655528,-0.419438,-0.189571,1.00323,2962.61
mu_player[11],-1.12672,0.134338,-1.3422,-1.12456,-0.911424,1.00362,3401.93
mu_player[12],-1.41506,0.172671,-1.70521,-1.4157,-1.13987,1.0013,4790.68
mu_player[13],-0.852771,0.157221,-1.11555,-0.850319,-0.600265,1.00992,3684.53
mu_player[14],0.176305,0.10149,0.00622787,0.174042,0.341106,1.0003,2870.05
mu_player[15],-0.21228,0.172174,-0.489343,-0.217132,0.0790039,1.00165,3293.48
mu_player[16],-0.472183,0.0973939,-0.632149,-0.469937,-0.310829,1.00701,4901.47
mu_player[17],-0.652958,0.0892915,-0.801133,-0.652604,-0.506051,1.00366,3924.0
mu_player[18],-0.399249,0.131678,-0.609832,-0.399107,-0.176766,1.00005,2663.94
mu_player[19],-0.295279,0.0980351,-0.457428,-0.297981,-0.13364,0.998712,3696.85
mu_player[20],-0.542419,0.0531014,-0.632985,-0.542688,-0.455305,1.00175,2993.99
mu_player[21],-0.65719,0.0715473,-0.770372,-0.658611,-0.54296,1.00874,3252.67
mu_player[22],-0.319497,0.0809175,-0.449546,-0.319189,-0.182823,1.00264,2707.11
mu_player[23],-0.469565,0.0475357,-0.547658,-0.46918,-0.391376,1.00975,3644.31
mu_player[24],-0.597807,0.119891,-0.795094,-0.598784,-0.394005,1.00224,3075.76
mu_player[25],-1.31579,0.0793342,-1.44497,-1.31618,-1.18459,1.00245,3022.23
mu_player[26],-0.67274,0.0956367,-0.826105,-0.674154,-0.516547,1.00996,2776.14
mu_player[27],-0.691384,0.106963,-0.862776,-0.691068,-0.51865,1.00313,4013.47
mu_player[28],-0.33963,0.038957,-0.402874,-0.338724,-0.274101,1.00302,3738.96
mu_player[29],-0.23557,0.0324225,-0.287647,-0.235965,-0.181378,0.999688,3028.2
mu_player[30],-0.371773,0.080216,-0.511478,-0.373423,-0.234809,1.00062,4106.0
mu_player[31],-0.665125,0.0337599,-0.720265,-0.665254,-0.610197,0.999916,3393.9
mu_player[32],-0.846048,0.0501227,-0.927733,-0.845791,-0.762691,1.00952,3900.88
mu_player[33],-1.35568,0.117372,-1.54515,-1.3552,-1.15998,1.00044,3872.1
mu_player[34],-0.374771,0.0698471,-0.488838,-0.373409,-0.259338,1.00268,2460.81
mu_player[35],-0.97663,0.127122,-1.18397,-0.977348,-0.772638,1.00185,3188.45
mu_player[36],-0.446645,0.0592656,-0.542373,-0.446353,-0.348508,1.00117,3187.69
mu_player[37],-0.62955,0.0307217,-0.680708,-0.628958,-0.578333,1.00155,3453.26
mu_player[38],-0.857315,0.0777678,-0.984999,-0.85811,-0.725089,1.00608,3255.85
mu_player[39],-0.995389,0.0442467,-1.06752,-0.994698,-0.924382,0.999588,3742.67
mu_player[40],-0.909294,0.111356,-1.08995,-0.911574,-0.731554,1.00203,3074.81
mu_player[41],-0.784748,0.0512246,-0.870781,-0.784218,-0.701907,1.0036,3251.29
mu_player[42],-1.07075,0.0364167,-1.12914,-1.07174,-1.01223,1.0013,3155.98
mu_player[43],-0.584588,0.055034,-0.676133,-0.584452,-0.494868,1.00576,3177.25
mu_player[44],-0.0891321,0.024113,-0.128033,-0.0896484,-0.0496999,0.999066,3038.98
mu_player[45],-0.712763,0.0901327,-0.860132,-0.712918,-0.565486,1.00449,2786.43
mu_player[46],-0.355211,0.0267998,-0.399088,-0.35533,-0.311173,1.00484,2714.82
mu_player[47],-0.45337,0.052157,-0.53648,-0.453943,-0.369729,1.00219,2820.45
mu_player[48],-1.02354,0.0311654,-1.07369,-1.02405,-0.971688,1.00343,2341.94
mu_player[49],-0.502403,0.0401282,-0.568312,-0.501877,-0.436758,1.00126,3908.63
mu_player[50],-0.587184,0.0265809,-0.630694,-0.586635,-0.543311,0.999637,2900.43
mu_player[51],-0.607947,0.063048,-0.709807,-0.608202,-0.507496,1.00736,2716.05
mu_player[52],-0.669715,0.0351813,-0.727663,-0.668598,-0.614526,0.999847,2607.92
mu_player[53],-0.94427,0.0294773,-0.992638,-0.944855,-0.895784,1.004,2660.26
mu_player[54],-1.01625,0.0362772,-1.07349,-1.01681,-0.957278,1.00626,2621.85
mu_player[55],-1.05722,0.0863965,-1.19536,-1.05492,-0.918827,1.00486,2549.8
mu_player[56],-0.471617,0.024692,-0.512144,-0.471077,-0.431469,1.00197,2360.75
mu_player[57],-0.62875,0.032196,-0.681203,-0.629243,-0.576321,1.00137,2474.3
mu_player[58],-0.150036,0.0262762,-0.192685,-0.150535,-0.105713,0.999381,2544.9
mu_player[59],-0.804638,0.0281634,-0.851007,-0.804279,-0.758349,1.00334,2679.24
mu_player[60],-0.672141,0.0505354,-0.756757,-0.671928,-0.590231,1.00356,3335.31
mu_player[61],-0.295523,0.0251248,-0.335795,-0.296691,-0.25491,1.00146,2371.16
mu_player[62],-0.347546,0.0336379,-0.403974,-0.347191,-0.292867,1.00092,3283.12
mu_player[63],-0.799495,0.164888,-1.06683,-0.802077,-0.53072,1.0027,3483.3
mu_player[64],-1.13973,0.0669796,-1.25,-1.13945,-1.02752,1.00138,3203.61
mu_player[65],-0.875265,0.0458296,-0.950193,-0.875648,-0.798876,1.00284,3110.46
