param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.706434,0.0589738,-0.792194,-0.706733,-0.626095,1.00304,1086.22
mu_position[1],-0.698639,0.028839,-0.74593,-0.698951,-0.650618,1.00192,1682.91
mu_position[2],-0.714702,0.0311896,-0.768189,-0.713472,-0.665507,0.999898,1195.52
mu_position[3],-0.700539,0.0451207,-0.767945,-0.70277,-0.624583,1.00103,1419.13
mu_player[1],-0.639201,0.208667,-0.981493,-0.631037,-0.2933,1.00255,1693.27
mu_player[2],-0.561021,0.211678,-0.910949,-0.563088,-0.205492,1.0033,1787.34
mu_player[3],-0.507952,0.198502,-0.823107,-0.515414,-0.182268,1.00272,1746.22
mu_player[4],-0.987029,0.218779,-1.34365,-0.984576,-0.61585,1.00219,1456.47
mu_player[5],-0.696547,0.206794,-1.03641,-0.701372,-0.350829,1.00084,1289.45
mu_player[6],-0.545782,0.187515,-0.842703,-0.549519,-0.226501,1.00402,1736.19
mu_player[7],-0.776852,0.202535,-1.0957,-0.777591,-0.443306,0.999304,1401.47
mu_player[8],-0.420221,0.155621,-0.682438,-0.426258,-0.163805,1.00197,1883.2
mu_player[9],-0.551794,0.179959,-0.864107,-0.547865,-0.265247,0.999811,1615.68
mu_player[10],-0.629147,0.182262,-0.918605,-0.633911,-0.330048,1.00305,1255.91
mu_player[11],-0.875828,0.178735,-1.18319,-0.87171,-0.581566,1.00291,2058.0
mu_player[12],-1.07891,0.185491,-1.37588,-1.08383,-0.762894,1.00521,1735.4
mu_player[13],-0.905757,0.184328,-1.2191,-0.904797,-0.598903,1.00112,1560.79
mu_player[14],-0.262589,0.14888,-0.507783,-0.264497,-0.0183619,1.00211,1349.79
mu_player[15],-0.421513,0.196911,-0.737657,-0.430392,-0.0888671,1.00423,1258.18
mu_player[16],-0.447687,0.150137,-0.689843,-0.448363,-0.196677,1.00297,1795.09
mu_player[17],-0.663256,0.133401,-0.881453,-0.665673,-0.441944,1.00181,1497.62
mu_player[18],-0.703341,0.17313,-0.980337,-0.713361,-0.417307,0.999612,1921.92
mu_player[19],-0.435685,0.142132,-0.660228,-0.438979,-0.200231,1.00708,1707.44
mu_player[20],-0.554761,0.0924468,-0.708392,-0.555659,-0.396482,1.00297,2116.56
mu_player[21],-0.765256,0.106119,-0.940217,-0.764977,-0.585661,1.00437,1714.79
mu_player[22],-0.469306,0.117947,-0.66715,-0.46852,-0.284631,1.00544,1290.66
mu_player[23],-0.554732,0.0834059,-0.693202,-0.555129,-0.416996,1.00387,1583.68
mu_player[24],-0.659432,0.142195,-0.900035,-0.658348,-0.423886,1.00083,1570.44
mu_player[25],-1.1238,0.114961,-1.31118,-1.12456,-0.937031,0.999245,1069.62
mu_player[26],-0.64182,0.150674,-0.885428,-0.645279,-0.391555,1.00277,1639.85
mu_player[27],-0.710059,0.152458,-0.964783,-0.710565,-0.465533,1.00296,1820.93
mu_player[28],-0.383349,0.0744511,-0.500012,-0.384428,-0.263319,1.00224,1987.71
mu_player[29],-0.311705,0.0656572,-0.418209,-0.314449,-0.205446,1.00049,1869.92
mu_player[30],-0.41747,0.124378,-0.616977,-0.416739,-0.209151,1.00503,1477.45
mu_player[31],-0.72307,0.0693682,-0.83458,-0.724613,-0.603734,1.00296,1961.95
mu_player[32],-0.801426,0.0875617,-0.94588,-0.802295,-0.661679,1.00416,1689.47
mu_player[33],-1.26907,0.162037,-1.52834,-1.27006,-1.00299,1.00229,1888.86
