param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.711754,0.0752648,-0.788755,-0.705998,-0.633726,1.00354,891.986
mu_position[1],-0.697264,0.0279049,-0.741186,-0.698964,-0.649118,1.0005,1449.44
mu_position[2],-0.714423,0.0319859,-0.766991,-0.713383,-0.663711,1.00194,1703.88
mu_position[3],-0.699211,0.043137,-0.766231,-0.70118,-0.623516,1.00207,1632.99
mu_player[1],-0.637576,0.213734,-0.987445,-0.636743,-0.274436,1.00238,1147.23
mu_player[2],-0.552442,0.208671,-0.88096,-0.554353,-0.195826,1.00055,1875.41
mu_player[3],-0.518813,0.207982,-0.852408,-0.52089,-0.176077,1.00407,2040.3
mu_player[4],-0.985536,0.233258,-1.35257,-0.983341,-0.591275,1.00598,1684.36
mu_player[5],-0.686974,0.214353,-1.03735,-0.690946,-0.328308,1.00186,1068.93
mu_player[6],-0.545571,0.189459,-0.868422,-0.543713,-0.239334,1.00405,2022.46
mu_player[7],-0.77384,0.214199,-1.11847,-0.778477,-0.428275,1.00448,1758.22
mu_player[8],-0.420637,0.154841,-0.672005,-0.419616,-0.167326,1.00687,1621.94
mu_player[9],-0.540614,0.180299,-0.830373,-0.539529,-0.24487,1.00436,1583.72
mu_player[10],-0.633624,0.177852,-0.91153,-0.639168,-0.334504,1.00576,1739.52
mu_player[11],-0.876834,0.180683,-1.1821,-0.88034,-0.580092,1.00539,1031.54
mu_player[12],-1.07569,0.18066,-1.37098,-1.07333,-0.773808,1.00217,1429.52
mu_player[13],-0.90845,0.183635,-1.20492,-0.907811,-0.603019,1.00927,1355.72
mu_player[14],-0.24865,0.139184,-0.480614,-0.251552,-0.0171965,1.00243,1713.84
mu_player[15],-0.418327,0.185908,-0.725185,-0.418426,-0.11096,1.00233,1853.19
mu_player[16],-0.45574,0.140806,-0.683203,-0.45835,-0.222225,1.00233,1510.16
mu_player[17],-0.666767,0.132504,-0.892943,-0.666282,-0.45152,1.00047,2090.23
mu_player[18],-0.69821,0.170908,-0.976111,-0.699634,-0.409904,1.00034,1680.21
mu_player[19],-0.43439,0.141109,-0.655858,-0.434237,-0.201265,1.00434,1709.05
mu_player[20],-0.555328,0.0905719,-0.704785,-0.556768,-0.403872,1.00222,2109.65
mu_player[21],-0.758821,0.116082,-0.943931,-0.76076,-0.566631,1.00267,1524.17
mu_player[22],-0.465823,0.127254,-0.679495,-0.46589,-0.256161,1.00419,2061.95
mu_player[23],-0.552507,0.0827527,-0.686303,-0.552798,-0.418702,1.00148,1728.42
mu_player[24],-0.664647,0.154455,-0.921991,-0.662239,-0.409264,0.999028,1712.05
mu_player[25],-1.1349,0.118942,-1.3292,-1.13338,-0.941235,1.00748,1869.54
mu_player[26],-0.627271,0.151101,-0.887782,-0.625597,-0.381391,1.00189,1660.41
mu_player[27],-0.701184,0.158178,-0.950759,-0.704468,-0.438802,1.00578,1693.58
mu_player[28],-0.379554,0.0735514,-0.501396,-0.378388,-0.26488,1.00239,1738.31
mu_player[29],-0.308554,0.0607896,-0.405956,-0.309816,-0.210362,1.00098,1846.81
mu_player[30],-0.41488,0.126731,-0.616554,-0.417737,-0.201834,1.00498,2723.88
mu_player[31],-0.724694,0.0676708,-0.834104,-0.722098,-0.615124,1.00213,1753.44
mu_player[32],-0.804283,0.0896485,-0.948797,-0.806236,-0.655552,1.00269,1675.61
mu_player[33],-1.27143,0.155149,-1.52774,-1.26634,-1.0166,1.00592,1367.25
mu_player[34],-0.487168,0.107097,-0.663332,-0.484707,-0.31419,1.00454,1865.01
mu_player[35],-0.927624,0.167846,-1.20354,-0.930272,-0.652602,1.00911,1993.97
mu_player[36],-0.485687,0.102948,-0.660186,-0.484845,-0.319508,1.00209,1824.77
mu_player[37],-0.723642,0.0607839,-0.826557,-0.723539,-0.622747,1.00063,1698.87
mu_player[38],-0.806042,0.125136,-1.02024,-0.804044,-0.594316,1.00589,1172.12
mu_player[39],-0.957403,0.0748476,-1.0812,-0.956944,-0.8342,1.00263,2027.72
mu_player[40],-1.00675,0.150696,-1.24907,-1.00875,-0.758171,1.00075,1866.1
mu_player[41],-0.760092,0.0851853,-0.901978,-0.758014,-0.622701,1.00013,1846.34
mu_player[42],-1.13355,0.0681849,-1.24653,-1.13211,-1.01963,1.0008,2259.67
mu_player[43],-0.654141,0.0904406,-0.799347,-0.658615,-0.502455,1.00309,1644.77
mu_player[44],-0.0909611,0.0409983,-0.158825,-0.0904915,-0.0234845,1.00585,3380.11
mu_player[45],-0.781685,0.127285,-0.989901,-0.784168,-0.57364,1.00261,1781.15
mu_player[46],-0.363265,0.0398202,-0.430311,-0.363233,-0.295705,1.00224,3324.69
mu_player[47],-0.493024,0.0907404,-0.638295,-0.49465,-0.338209,1.00091,1631.93
mu_player[48],-1.01395,0.0583145,-1.11001,-1.01372,-0.919251,1.00734,2161.01
mu_player[49],-0.61941,0.0747108,-0.740417,-0.621609,-0.494739,1.00105,2077.02
mu_player[50],-0.551924,0.0550609,-0.642931,-0.551459,-0.46203,1.00267,2081.47
mu_player[51],-0.661648,0.100591,-0.829018,-0.661211,-0.492022,1.00093,1639.04
mu_player[52],-0.666236,0.0471292,-0.742584,-0.667261,-0.589688,1.01481,2465.23
mu_player[53],-0.966623,0.05736,-1.05931,-0.966692,-0.872621,1.0036,1786.2
mu_player[54],-0.996712,0.0664214,-1.1043,-0.996743,-0.890072,1.00087,1975.25
mu_player[55],-1.00337,0.128748,-1.22025,-1.0032,-0.790469,1.00178,1658.79
mu_player[56],-0.474546,0.0396994,-0.539119,-0.474496,-0.412258,1.00376,1993.27
mu_player[57],-0.626882,0.0456255,-0.699863,-0.626751,-0.551575,1.0027,2958.4
mu_player[58],-0.132943,0.0489728,-0.212562,-0.132914,-0.0527043,1.00124,2314.31
mu_player[59],-0.800688,0.051435,-0.883644,-0.800755,-0.717664,1.0011,2596.99
mu_player[60],-0.681009,0.0903438,-0.82967,-0.681458,-0.534646,1.00199,1722.33
mu_player[61],-0.304589,0.0397506,-0.370635,-0.303185,-0.240737,1.00623,2099.03
mu_player[62],-0.375383,0.0473731,-0.454484,-0.375377,-0.298544,1.00195,1322.48
mu_player[63],-0.821131,0.18821,-1.13346,-0.819286,-0.512423,1.00449,1688.7
mu_player[64],-1.05887,0.104926,-1.23109,-1.05953,-0.886681,1.00291,1626.98
mu_player[65],-0.879429,0.0562636,-0.973988,-0.879705,-0.785289,1.00548,2274.13
mu_player[66],-1.11809,0.101358,-1.29202,-1.11797,-0.953967,1.0013,1521.71
mu_player[67],-0.583191,0.0531503,-0.672699,-0.5809,-0.495015,1.00072,2035.81
mu_player[68],-0.368984,0.0567289,-0.463107,-0.368763,-0.27934,1.00441,2226.01
mu_player[69],-0.547381,0.0522084,-0.630587,-0.54817,-0.458487,1.00169,1921.47
mu_player[70],-0.253132,0.0662298,-0.359866,-0.251464,-0.141298,1.00281,2043.24
mu_player[71],-0.714896,0.0599335,-0.811117,-0.713393,-0.623195,1.0041,1103.16
mu_player[72],-0.591782,0.0559996,-0.682701,-0.592087,-0.49856,1.00024,1848.34
mu_player[73],-0.790717,0.0518053,-0.877845,-0.792694,-0.705061,1.0024,2377.8
mu_player[74],-0.635573,0.0449829,-0.710642,-0.635709,-0.564396,1.00135,2047.46
mu_player[75],-1.20214,0.0586645,-1.30119,-1.20052,-1.10875,1.00067,2612.58
mu_player[76],-0.58962,0.048352,-0.667304,-0.591281,-0.50962,1.00189,1943.46
