param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.722602,0.096673,-0.829883,-0.719149,-0.605558,1.00511,585.001
mu_position[1],-0.714178,0.0283365,-0.760409,-0.714751,-0.667087,1.00057,914.304
mu_position[2],-0.742628,0.033592,-0.799443,-0.741247,-0.685822,1.00527,658.541
mu_position[3],-0.69088,0.0511835,-0.767323,-0.69609,-0.598098,1.00421,1027.72
mu_player[1],-0.640395,0.193991,-0.951858,-0.640281,-0.326458,1.00486,2015.96
mu_player[2],-0.637073,0.198287,-0.961955,-0.639446,-0.311921,1.00194,1094.45
mu_player[3],-0.639038,0.181733,-0.934206,-0.648257,-0.32993,1.00286,1362.57
mu_player[4],-1.2296,0.205587,-1.56699,-1.23351,-0.886271,1.01005,760.791
mu_player[5],-0.785753,0.189747,-1.10038,-0.782004,-0.490189,1.00239,1672.0
mu_player[6],-0.711837,0.165647,-0.98068,-0.7135,-0.429966,1.00239,1653.59
mu_player[7],-0.828358,0.187966,-1.13955,-0.832955,-0.520762,1.00172,1643.73
mu_player[8],-0.46223,0.148139,-0.705661,-0.461755,-0.21748,1.0055,2188.9
mu_player[9],-0.720673,0.15064,-0.975459,-0.719386,-0.478242,1.00421,1401.37
mu_player[10],-0.697505,0.159318,-0.963454,-0.699142,-0.437132,1.00403,1807.04
mu_player[11],-0.824786,0.158059,-1.08016,-0.82204,-0.553757,1.00334,1118.42
mu_player[12],-1.14498,0.158254,-1.39829,-1.14953,-0.885463,1.0015,1670.65
mu_player[13],-0.932252,0.169605,-1.20026,-0.937607,-0.651805,1.00467,1617.38
mu_player[14],-0.341032,0.130022,-0.55768,-0.340754,-0.125404,1.00266,1230.54
mu_player[15],-0.392105,0.178233,-0.684994,-0.3922,-0.0885464,1.00448,1502.91
mu_player[16],-0.565988,0.13253,-0.792392,-0.55802,-0.350831,1.00286,1514.48
mu_player[17],-0.645894,0.117207,-0.83957,-0.646954,-0.452308,1.00315,2090.9
mu_player[18],-0.69097,0.163244,-0.960263,-0.692796,-0.416595,1.00104,943.767
mu_player[19],-0.461392,0.122494,-0.655057,-0.464819,-0.255694,1.00611,2042.35
mu_player[20],-0.571996,0.0731553,-0.69086,-0.571214,-0.454865,1.00019,1754.12
mu_player[21],-0.720531,0.101015,-0.88078,-0.722993,-0.553885,1.00436,861.194
mu_player[22],-0.501466,0.113979,-0.684181,-0.500536,-0.31723,1.00165,1115.33
mu_player[23],-0.56653,0.0645866,-0.670814,-0.568714,-0.459493,1.00191,1935.98
mu_player[24],-0.757602,0.129683,-0.971785,-0.756433,-0.539389,1.00006,1406.48
mu_player[25],-1.13974,0.0963203,-1.29924,-1.14047,-0.981876,1.00944,1791.97
mu_player[26],-0.607118,0.127646,-0.821967,-0.602897,-0.40669,1.00266,1906.02
mu_player[27],-0.646588,0.138603,-0.869731,-0.647742,-0.417327,1.00324,1822.36
mu_player[28],-0.393291,0.0598291,-0.492243,-0.393878,-0.293188,1.00569,2330.82
mu_player[29],-0.325638,0.0529095,-0.411365,-0.326496,-0.240958,1.00165,2034.26
mu_player[30],-0.341724,0.115587,-0.532835,-0.340329,-0.14969,1.01017,2270.48
mu_player[31],-0.729132,0.0581307,-0.821948,-0.728303,-0.635446,1.01888,1855.31
mu_player[32],-0.794663,0.0761714,-0.919385,-0.795867,-0.667598,1.00431,911.868
mu_player[33],-1.26119,0.148885,-1.49625,-1.2657,-1.00653,1.00791,1169.39
mu_player[34],-0.482392,0.0942678,-0.63966,-0.482263,-0.324727,1.00343,1434.13
mu_player[35],-1.02507,0.144099,-1.25163,-1.02764,-0.78193,1.00286,1572.66
mu_player[36],-0.501807,0.0854409,-0.644228,-0.498921,-0.363679,1.00204,2088.62
mu_player[37],-0.702082,0.0499687,-0.785509,-0.702758,-0.61936,1.00133,939.882
mu_player[38],-0.833448,0.109962,-1.0208,-0.832114,-0.655952,1.00622,1105.34
mu_player[39],-0.965821,0.0604613,-1.0656,-0.965766,-0.864667,1.00648,1722.53
mu_player[40],-0.917329,0.143637,-1.14676,-0.919216,-0.669399,1.00394,827.58
mu_player[41],-0.785554,0.0718074,-0.90254,-0.785187,-0.667381,1.00092,1155.43
mu_player[42],-1.15327,0.0611204,-1.25049,-1.15417,-1.04749,1.01076,1537.69
mu_player[43],-0.679886,0.0764121,-0.80386,-0.679323,-0.548143,1.0043,1144.94
mu_player[44],-0.136021,0.0453814,-0.209641,-0.136571,-0.0645885,1.00137,3198.13
mu_player[45],-0.765129,0.120575,-0.95489,-0.7692,-0.559088,1.00157,1936.82
mu_player[46],-0.350854,0.049074,-0.428455,-0.350999,-0.26955,0.998375,1775.81
mu_player[47],-0.496349,0.0688337,-0.607619,-0.497313,-0.385107,1.00101,2278.34
mu_player[48],-0.973828,0.054092,-1.06388,-0.975032,-0.885391,1.00224,2789.78
mu_player[49],-0.626891,0.0610622,-0.729421,-0.625603,-0.527142,1.00159,1710.07
mu_player[50],-0.523854,0.0518155,-0.607591,-0.52398,-0.43939,1.00366,3141.87
mu_player[51],-0.664257,0.0863176,-0.802825,-0.664322,-0.520826,1.00268,1895.54
mu_player[52],-0.721411,0.0591517,-0.81706,-0.723955,-0.620608,1.00125,2140.48
mu_player[53],-0.930761,0.050141,-1.01221,-0.929634,-0.846342,1.00411,3021.0
mu_player[54],-0.967641,0.0545512,-1.05954,-0.965978,-0.881986,0.999787,2563.11
mu_player[55],-1.03349,0.109274,-1.21583,-1.03215,-0.856334,1.00533,2018.53
mu_player[56],-0.547719,0.0446045,-0.621365,-0.548132,-0.474165,1.00229,2082.66
mu_player[57],-0.638174,0.0490084,-0.719399,-0.637558,-0.560593,1.00324,2313.27
mu_player[58],-0.144498,0.0425378,-0.212671,-0.144138,-0.0739645,1.0057,3742.17
mu_player[59],-0.805075,0.0486319,-0.880787,-0.804741,-0.727054,1.00413,2862.14
mu_player[60],-0.687263,0.0713804,-0.805548,-0.686442,-0.571993,1.00148,2475.95
mu_player[61],-0.272466,0.0450061,-0.347459,-0.271601,-0.197299,0.999483,2270.62
mu_player[62],-0.398947,0.0630987,-0.50309,-0.399785,-0.295832,1.00037,1677.72
mu_player[63],-0.91524,0.170442,-1.19174,-0.915865,-0.626116,1.00379,1623.55
mu_player[64],-1.05814,0.0886253,-1.2046,-1.05764,-0.909065,1.0025,1960.56
mu_player[65],-0.855925,0.0802499,-0.989421,-0.854378,-0.725743,1.00452,1674.6
mu_player[66],-1.1163,0.0869747,-1.26045,-1.11791,-0.970791,1.00517,1052.78
mu_player[67],-0.541096,0.0717447,-0.662358,-0.537728,-0.428675,1.00076,1843.98
mu_player[68],-0.297854,0.0577009,-0.391782,-0.297936,-0.203141,1.00038,2378.62
mu_player[69],-0.616746,0.0668722,-0.726715,-0.615108,-0.507615,1.00432,2186.69
mu_player[70],-0.283878,0.077402,-0.406659,-0.282143,-0.161198,1.00286,2311.27
mu_player[71],-0.725947,0.055373,-0.814856,-0.72511,-0.634823,1.00681,3042.66
mu_player[72],-0.829159,0.0881101,-0.972969,-0.830288,-0.686371,1.00824,1834.16
mu_player[73],-0.702614,0.071252,-0.814451,-0.702676,-0.586577,1.00506,1050.17
mu_player[74],-0.67057,0.049527,-0.751678,-0.672333,-0.590221,1.00053,2296.52
mu_player[75],-1.27374,0.0757857,-1.39926,-1.27408,-1.15004,1.00337,1854.2
mu_player[76],-0.608416,0.0453026,-0.681408,-0.607758,-0.53557,1.00177,3212.31
mu_player[77],-0.600709,0.0578472,-0.697346,-0.599776,-0.501384,1.00348,1152.05
mu_player[78],-1.12179,0.0666417,-1.2315,-1.1222,-1.01405,1.00197,2024.72
mu_player[79],-0.883573,0.0535859,-0.976374,-0.884206,-0.798208,0.998859,2571.35
mu_player[80],-1.4463,0.0599645,-1.544,-1.44564,-1.34878,0.99874,2362.15
mu_player[81],-0.798431,0.0570346,-0.894166,-0.797629,-0.704653,1.00038,2537.04
mu_player[82],-0.561434,0.0775714,-0.688754,-0.562931,-0.429602,1.00149,1746.24
mu_player[83],-0.688152,0.0846573,-0.828093,-0.68897,-0.541799,1.01229,2173.74
mu_player[84],-0.647128,0.0602724,-0.740051,-0.647161,-0.546837,1.00108,1735.24
mu_player[85],-0.437939,0.108642,-0.621761,-0.436925,-0.256899,1.00274,1209.17
mu_player[86],-0.520923,0.051811,-0.605694,-0.521715,-0.432399,1.00156,2869.43
mu_player[87],-0.501269,0.0826508,-0.637571,-0.500476,-0.361962,1.00129,1152.27
mu_player[88],-0.53498,0.123493,-0.743491,-0.533255,-0.332989,1.0031,1346.76
mu_player[89],-0.84567,0.0646676,-0.949401,-0.84709,-0.734065,1.00611,1653.09
mu_player[90],-0.891576,0.0533972,-0.977366,-0.891423,-0.80149,1.0001,3704.02
mu_player[91],-0.366519,0.0812596,-0.504004,-0.366209,-0.227811,1.00588,1870.36
mu_player[92],-0.915231,0.0620007,-1.01412,-0.914894,-0.811079,1.00389,1462.78
mu_player[93],-0.511723,0.042556,-0.581483,-0.512541,-0.442918,1.01146,2573.04
mu_player[94],-0.775156,0.0941137,-0.928615,-0.774208,-0.616623,1.00277,1719.16
mu_player[95],-1.15648,0.0613324,-1.25558,-1.15777,-1.05908,1.00312,1928.11
mu_player[96],-0.647319,0.0451548,-0.720542,-0.64762,-0.57297,1.00341,3324.14
mu_player[97],-1.10208,0.104663,-1.27332,-1.10541,-0.927838,1.00255,1966.05
mu_player[98],-1.23302,0.0652702,-1.33734,-1.23219,-1.12731,1.00275,2033.34
mu_player[99],-0.458578,0.110443,-0.645943,-0.452815,-0.281351,1.00374,1355.37
mu_player[100],-0.317313,0.109897,-0.4982,-0.316384,-0.135886,1.00561,1368.17
mu_player[101],-0.73373,0.10991,-0.911228,-0.733946,-0.547027,1.00237,1291.63
mu_player[102],-0.672842,0.10016,-0.83781,-0.675496,-0.506124,1.00254,1922.11
mu_player[103],-0.266124,0.0805426,-0.400372,-0.267347,-0.135356,1.00112,2120.61
mu_player[104],-0.761923,0.0774703,-0.891554,-0.762077,-0.642368,1.00404,1954.25
mu_player[105],-0.595142,0.105767,-0.778629,-0.592422,-0.424803,1.00745,1825.57
mu_player[106],-0.677277,0.107628,-0.845958,-0.680244,-0.493289,1.00802,923.783
mu_player[107],-0.652745,0.121224,-0.853116,-0.654381,-0.45154,1.00345,1009.5
mu_player[108],-0.494633,0.108226,-0.665022,-0.498647,-0.3048,1.00808,814.769
mu_player[109],-0.69613,0.135027,-0.90656,-0.704225,-0.457255,1.00267,1960.32
mu_player[110],-0.70644,0.0578401,-0.805395,-0.706547,-0.609433,1.00423,2246.22
mu_player[111],-0.771794,0.0452532,-0.84507,-0.772797,-0.697216,1.00196,2503.55
mu_player[112],-0.868881,0.0579926,-0.960288,-0.873317,-0.772346,1.00211,2677.41
mu_player[113],-0.461674,0.0789024,-0.593637,-0.460753,-0.328821,1.00271,903.297
mu_player[114],-0.852118,0.055808,-0.944144,-0.849614,-0.765789,0.999959,2569.98
mu_player[115],-0.732221,0.0652482,-0.839659,-0.731571,-0.624538,1.00792,1648.61
mu_player[116],-1.15058,0.0915182,-1.29801,-1.15156,-0.995655,1.00514,1745.92
mu_player[117],-1.10745,0.12236,-1.30496,-1.11573,-0.898752,1.00005,1988.78
mu_player[118],-0.886835,0.0655788,-0.993974,-0.886836,-0.782234,1.00203,2767.82
mu_player[119],-0.729983,0.11881,-0.926657,-0.729761,-0.530674,1.00612,1657.0
mu_player[120],-0.822214,0.0775629,-0.944632,-0.823993,-0.692701,1.00186,1035.34
mu_player[121],-0.490299,0.110038,-0.667249,-0.490989,-0.308483,1.00294,1576.06
mu_player[122],-0.881162,0.0810237,-1.0169,-0.881769,-0.754027,1.00307,1266.81
mu_player[123],-1.11712,0.157777,-1.37971,-1.11385,-0.865855,1.00518,2080.62
mu_player[124],-0.655988,0.0767931,-0.785301,-0.65669,-0.531062,1.00116,1619.76
mu_player[125],-1.08124,0.0817815,-1.21589,-1.08135,-0.947837,1.0011,1482.0
mu_player[126],-0.612353,0.149651,-0.856436,-0.615145,-0.36441,1.00052,2173.72
mu_player[127],-0.942752,0.0973614,-1.09835,-0.941503,-0.78564,1.00127,2031.29
mu_player[128],-0.360239,0.123673,-0.561279,-0.362094,-0.154972,1.003,1647.15
mu_player[129],-0.854122,0.0930965,-1.00488,-0.855285,-0.705283,1.00416,1441.74
mu_player[130],-0.811078,0.125299,-1.01348,-0.811816,-0.599663,1.00079,1755.63
mu_player[131],-0.495271,0.138614,-0.731078,-0.495252,-0.267291,1.0012,1926.08
mu_player[132],-0.947232,0.0729751,-1.0643,-0.94883,-0.827371,1.00728,2718.06
mu_player[133],-0.663788,0.122068,-0.867762,-0.663832,-0.46226,1.0022,721.133
mu_player[134],-0.8624,0.0904769,-1.01113,-0.862449,-0.715805,1.00446,1826.78
mu_player[135],-1.11124,0.140582,-1.34242,-1.11363,-0.882232,1.00041,2090.14
mu_player[136],-0.596399,0.139576,-0.833878,-0.599764,-0.370393,1.00604,1702.79
mu_player[137],-0.466882,0.147808,-0.709712,-0.469215,-0.23503,1.00016,1942.42
mu_player[138],-0.878339,0.0999642,-1.0419,-0.877027,-0.714346,1.00048,1774.81
mu_player[139],-0.498868,0.151561,-0.74578,-0.498464,-0.232086,1.00596,1217.52
mu_player[140],-0.578548,0.134769,-0.792879,-0.579508,-0.358468,1.00316,1660.47
mu_player[141],-1.08879,0.1492,-1.31961,-1.09428,-0.837306,1.00585,1486.73
mu_player[142],-0.56825,0.100267,-0.724564,-0.566438,-0.405359,1.00099,1918.36
mu_player[143],-0.612358,0.131063,-0.82892,-0.614383,-0.3984,1.00202,1445.31
mu_player[144],-0.891096,0.125453,-1.09723,-0.892199,-0.684934,1.00102,2470.74
mu_player[145],-1.10491,0.0632663,-1.2091,-1.10602,-1.00194,1.00027,2939.51
mu_player[146],-0.280715,0.117638,-0.47379,-0.277338,-0.0936766,1.01033,1719.56
mu_player[147],-0.531439,0.126024,-0.737388,-0.531297,-0.323754,1.00515,2009.02
mu_player[148],-0.301925,0.135349,-0.534714,-0.304783,-0.0853972,1.00579,1571.61
mu_player[149],-0.66691,0.1567,-0.917634,-0.664142,-0.416704,1.00261,1924.1
mu_player[150],-0.734692,0.119001,-0.929601,-0.735518,-0.535017,1.00997,1573.43
mu_player[151],-0.832939,0.0426638,-0.903643,-0.832257,-0.760936,1.00434,2417.44
mu_player[152],-0.791147,0.0960708,-0.949809,-0.793492,-0.635531,1.00842,1602.66
mu_player[153],-0.91263,0.104019,-1.08003,-0.910226,-0.744218,1.00533,1672.4
mu_player[154],-0.896662,0.0883461,-1.03655,-0.898192,-0.749048,1.00211,1312.75
mu_player[155],-0.785762,0.0744901,-0.911605,-0.784944,-0.663298,1.00217,2198.79
