param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.792327,0.172428,-1.09206,-0.797714,-0.50191,1.00743,104.396
mu_position[1],-0.719209,0.388792,-1.16074,-0.762485,-0.135976,1.00422,125.863
mu_position[2],-0.802233,0.326103,-1.35838,-0.792698,-0.289228,1.0003,85.2433
mu_position[3],-0.831475,0.157747,-1.1135,-0.826513,-0.588616,0.994003,101.767
mu_position[4],-0.868289,0.117813,-1.06606,-0.881782,-0.689698,0.99406,109.134
mu_position[5],-0.681674,0.123997,-0.886601,-0.671059,-0.465534,1.0183,92.1479
mu_player[1],-0.620296,0.0670492,-0.719024,-0.621247,-0.519149,1.02407,67.9508
mu_player[2],-0.70881,0.109279,-0.880864,-0.710616,-0.533977,1.0107,96.3821
mu_player[3],-0.843961,0.0695293,-0.968718,-0.838548,-0.740541,0.993236,105.936
mu_player[4],-0.917189,0.0729523,-1.0231,-0.923272,-0.804045,0.986313,96.1722
mu_player[5],-0.529747,0.0602134,-0.619828,-0.531311,-0.434987,1.01277,96.0313
mu_player[6],-1.30181,0.0752908,-1.43511,-1.2963,-1.17139,1.02671,53.3027
mu_player[7],-0.732187,0.0682929,-0.838,-0.727313,-0.620757,1.00033,92.318
mu_player[8],-0.877274,0.0591654,-0.971219,-0.877336,-0.771414,1.01098,84.5718
mu_player[9],-0.613981,0.090931,-0.735429,-0.612711,-0.462663,1.00168,106.197
mu_player[10],-0.661044,0.0459983,-0.742273,-0.656138,-0.588292,1.09822,86.932
sigma_position,0.252999,0.173634,0.0401427,0.211753,0.58768,1.01132,37.2306
sigma_player,0.233864,0.0758635,0.146076,0.22133,0.361126,1.01409,81.4129
age_slope_position[1],-0.00700115,0.0496996,-0.083893,-0.00500582,0.0747293,1.11506,114.474
age_slope_position[2],0.00555469,0.0423904,-0.0728508,0.00505677,0.0664483,1.01535,76.5462
age_slope_position[3],-0.01873,0.0257057,-0.0585034,-0.0173064,0.0217715,0.991736,117.438
age_slope_position[4],0.0378366,0.0180087,0.00675871,0.0391646,0.0695193,0.998839,66.1301
age_slope_position[5],0.00599225,0.0192527,-0.0256468,0.00477407,0.0376556,1.03576,121.269
age_slope_player_sd,0.0158184,0.012299,0.00111871,0.0137454,0.0391655,1.07091,30.5558
age_slope_player_z[1],-0.376709,0.873008,-1.8853,-0.439393,1.1759,0.994393,176.884
age_slope_player_z[2],-0.343494,1.00431,-1.90123,-0.396365,1.24585,1.01768,99.9937
age_slope_player_z[3],-0.0156678,1.09579,-1.57298,-0.0698289,1.82301,1.08634,105.975
age_slope_player_z[4],-0.148416,0.900117,-1.55942,-0.155419,1.2311,1.03878,129.075
age_slope_player_z[5],0.313021,0.914622,-1.38951,0.302319,1.80434,1.06824,93.8453
age_slope_player_z[6],-0.121233,0.964938,-1.51788,-0.0533384,1.26733,1.08812,95.3243
age_slope_player_z[7],-0.0762921,0.995236,-1.63955,-0.128354,1.59894,0.994349,138.862
age_slope_player_z[8],-0.189732,0.817778,-1.5298,-0.218554,1.37482,1.00119,74.7397
age_slope_player_z[9],0.400875,0.832003,-0.942562,0.446292,1.84043,1.02132,79.9136
