param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.745454,0.06281,-0.846893,-0.741385,-0.659206,1.00262,1117.58
mu_position[1],-0.666591,0.0419291,-0.736538,-0.666813,-0.597045,1.01108,754.98
mu_position[2],-0.798779,0.125109,-1.02766,-0.774279,-0.644514,1.00586,1263.16
mu_position[3],-0.788731,0.0496837,-0.871887,-0.786598,-0.709167,1.00195,1423.25
mu_position[4],-0.750786,0.0403742,-0.816066,-0.750736,-0.685041,0.999762,1588.51
mu_position[5],-0.72316,0.0374584,-0.782323,-0.724382,-0.661476,1.00048,1714.42
mu_player[1],-0.685637,0.198224,-1.02314,-0.679553,-0.369237,1.00162,1927.81
mu_player[2],-0.589388,0.186608,-0.894815,-0.594477,-0.26474,1.00267,1977.84
mu_player[3],-0.608579,0.185886,-0.914684,-0.61119,-0.296169,1.00664,1917.83
mu_player[4],-1.31051,0.214375,-1.65052,-1.31735,-0.956727,0.99985,1625.61
mu_player[5],-0.806928,0.186711,-1.10691,-0.811791,-0.488169,1.00339,1908.78
mu_player[6],-0.662408,0.158993,-0.921076,-0.660556,-0.399036,1.0017,2471.82
mu_player[7],-0.885467,0.175792,-1.17588,-0.890327,-0.596872,1.00194,2096.15
mu_player[8],-0.428927,0.143757,-0.662044,-0.431268,-0.192393,1.00278,1676.44
mu_player[9],-0.707224,0.148502,-0.95969,-0.703844,-0.456693,1.00242,1780.46
mu_player[10],-0.740663,0.16133,-1.00102,-0.740635,-0.466643,1.00222,2848.37
mu_player[11],-0.829827,0.155461,-1.08907,-0.828364,-0.575111,0.998327,2239.39
mu_player[12],-1.23243,0.161025,-1.48947,-1.23659,-0.967571,1.00438,2042.43
mu_player[13],-0.940872,0.15158,-1.18662,-0.941838,-0.686398,1.00333,1870.35
mu_player[14],-0.30838,0.130767,-0.518748,-0.310509,-0.0858577,1.00839,1202.76
mu_player[15],-0.330167,0.17087,-0.615129,-0.333012,-0.0390831,1.00131,2616.25
mu_player[16],-0.611963,0.131563,-0.830003,-0.607366,-0.398111,1.0065,1875.26
mu_player[17],-0.609467,0.110342,-0.796512,-0.610623,-0.424704,0.999734,2142.0
mu_player[18],-0.658373,0.151013,-0.898831,-0.659973,-0.405356,1.00116,1632.07
mu_player[19],-0.492478,0.117273,-0.679711,-0.492213,-0.298477,1.00075,2378.66
mu_player[20],-0.572625,0.0716563,-0.686701,-0.571875,-0.459536,1.0014,2324.62
mu_player[21],-0.745979,0.0991362,-0.903508,-0.745228,-0.583354,0.999692,1613.47
mu_player[22],-0.513296,0.102638,-0.674156,-0.514064,-0.340864,1.00195,2067.64
mu_player[23],-0.588968,0.0684902,-0.698914,-0.587005,-0.475399,1.00267,1997.86
mu_player[24],-0.708308,0.127863,-0.926438,-0.707346,-0.504731,1.00256,2299.46
mu_player[25],-1.10887,0.0941623,-1.261,-1.10873,-0.952621,0.999632,2709.82
mu_player[26],-0.645313,0.12508,-0.853748,-0.644236,-0.439198,0.998186,2152.77
mu_player[27],-0.656097,0.135563,-0.876991,-0.656143,-0.43162,1.00186,2383.74
mu_player[28],-0.390483,0.0605165,-0.489708,-0.389038,-0.29235,1.00455,3262.39
mu_player[29],-0.330631,0.0524963,-0.417291,-0.330514,-0.246793,0.999596,2599.33
mu_player[30],-0.308484,0.113348,-0.498472,-0.311333,-0.120701,1.00401,2427.12
mu_player[31],-0.733108,0.0542641,-0.822472,-0.733908,-0.642971,1.00304,2579.63
mu_player[32],-0.818119,0.07112,-0.933158,-0.816895,-0.697571,1.00247,1993.5
mu_player[33],-1.26113,0.130475,-1.47259,-1.26577,-1.03453,1.00677,1616.26
mu_player[34],-0.507549,0.0883069,-0.648261,-0.511664,-0.358463,1.00384,2560.65
mu_player[35],-1.04063,0.142047,-1.27001,-1.04434,-0.794931,1.00206,2294.92
mu_player[36],-0.482885,0.0835559,-0.616887,-0.481465,-0.346833,1.00314,2735.06
mu_player[37],-0.695832,0.0513605,-0.779147,-0.696701,-0.609074,1.00381,2986.05
mu_player[38],-0.819989,0.0999369,-0.983573,-0.818514,-0.658374,1.00049,2581.01
mu_player[39],-0.968256,0.0620916,-1.07233,-0.969647,-0.867714,1.00001,2217.01
mu_player[40],-0.922635,0.142141,-1.14939,-0.928007,-0.691136,1.00326,1172.61
mu_player[41],-0.783249,0.0721289,-0.900964,-0.783424,-0.66631,1.00886,2649.65
mu_player[42],-1.15663,0.0587674,-1.25384,-1.15665,-1.06115,1.00173,2455.25
mu_player[43],-0.693724,0.0761151,-0.813602,-0.693713,-0.56954,1.00056,2437.16
mu_player[44],-0.134331,0.0452021,-0.208697,-0.134239,-0.0566824,1.00719,3001.65
mu_player[45],-0.733661,0.129868,-0.95701,-0.73019,-0.529549,1.00018,2536.24
mu_player[46],-0.355622,0.0483181,-0.43489,-0.355222,-0.276827,0.999464,2984.72
mu_player[47],-0.478894,0.0706489,-0.593921,-0.480402,-0.362705,1.00387,2226.26
mu_player[48],-0.97551,0.0560134,-1.06545,-0.974038,-0.885832,1.00206,3775.81
mu_player[49],-0.619291,0.0652435,-0.721493,-0.620904,-0.512703,1.0005,2534.88
mu_player[50],-0.524995,0.0484149,-0.601523,-0.523946,-0.447628,1.00105,5126.59
mu_player[51],-0.693625,0.0822269,-0.828006,-0.69366,-0.55798,0.999213,2560.3
mu_player[52],-0.724832,0.0602436,-0.821029,-0.726908,-0.621558,1.00741,2704.66
mu_player[53],-0.927096,0.049952,-1.00711,-0.92859,-0.844508,1.00504,4136.89
mu_player[54],-0.967149,0.053611,-1.05459,-0.96609,-0.88099,1.00148,3425.71
mu_player[55],-1.02942,0.109534,-1.21124,-1.02609,-0.849497,1.00221,2403.8
mu_player[56],-0.548129,0.0446536,-0.61998,-0.548463,-0.474004,1.00297,3012.85
mu_player[57],-0.629476,0.0463719,-0.703796,-0.629776,-0.551353,0.999875,2551.15
mu_player[58],-0.144778,0.0450109,-0.219723,-0.144379,-0.0711541,0.99931,4122.51
mu_player[59],-0.80474,0.0465974,-0.882446,-0.803094,-0.728041,1.00569,4183.64
mu_player[60],-0.702795,0.0706063,-0.820352,-0.70284,-0.585359,1.009,2049.87
mu_player[61],-0.275315,0.045121,-0.349049,-0.275936,-0.201265,0.999412,2851.46
mu_player[62],-0.400494,0.0575238,-0.495405,-0.399674,-0.307552,0.999449,2698.43
mu_player[63],-0.954109,0.16695,-1.21582,-0.958338,-0.669286,1.00382,2096.07
mu_player[64],-1.04018,0.0868547,-1.18417,-1.04141,-0.900046,1.00226,2217.18
mu_player[65],-0.869253,0.0807096,-0.997378,-0.869317,-0.733045,1.00184,2118.7
mu_player[66],-1.10486,0.0829039,-1.23538,-1.10597,-0.964624,1.00272,1782.91
mu_player[67],-0.546733,0.0691365,-0.661892,-0.54508,-0.43575,1.00345,2658.58
