param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.766865,0.0684687,-0.872726,-0.764207,-0.674021,1.00205,1007.02
mu_position[1],-0.664808,0.0413266,-0.73079,-0.664411,-0.597523,1.00037,1105.61
mu_position[2],-0.79985,0.109148,-1.00553,-0.787721,-0.650163,1.00368,1095.17
mu_position[3],-0.810651,0.0482495,-0.891317,-0.807322,-0.735174,1.00123,926.722
mu_position[4],-0.798531,0.0446726,-0.870926,-0.799527,-0.722292,1.0019,1187.97
mu_position[5],-0.757092,0.0372236,-0.817912,-0.757151,-0.697645,1.0024,1189.64
mu_player[1],-0.578218,0.164503,-0.864264,-0.569828,-0.327671,1.01575,282.259
mu_player[2],-0.708688,0.143348,-0.940331,-0.714311,-0.483162,1.01844,999.268
mu_player[3],-0.746129,0.134444,-0.951852,-0.755601,-0.514668,1.0052,1226.4
mu_player[4],-1.54359,0.228073,-1.8623,-1.56198,-1.13678,1.03502,104.64
mu_player[5],-0.903429,0.129828,-1.1106,-0.899699,-0.689669,1.00582,1483.92
mu_player[6],-0.716498,0.119128,-0.904607,-0.717846,-0.516094,1.00731,1222.35
mu_player[7],-0.889598,0.133986,-1.10585,-0.894982,-0.668226,1.00193,1149.61
mu_player[8],-0.520238,0.107584,-0.684356,-0.528519,-0.324847,1.00445,652.333
mu_player[9],-0.724585,0.100934,-0.885055,-0.725869,-0.558505,1.00155,1558.03
mu_player[10],-0.732419,0.114092,-0.926006,-0.73317,-0.554167,1.00291,971.785
mu_player[11],-0.852822,0.118298,-1.05041,-0.849014,-0.653606,1.00302,1017.49
mu_player[12],-1.27374,0.120474,-1.46698,-1.27659,-1.0698,1.00495,742.765
mu_player[13],-0.992283,0.112405,-1.17345,-0.991799,-0.813748,1.00887,961.245
mu_player[14],-0.339215,0.0922111,-0.486063,-0.339212,-0.194347,1.01127,1062.12
mu_player[15],-0.294664,0.12711,-0.516202,-0.288169,-0.0934681,1.01186,271.071
mu_player[16],-0.511206,0.0976747,-0.668783,-0.506525,-0.360371,1.00623,599.837
mu_player[17],-0.636498,0.0751002,-0.760676,-0.636656,-0.51468,1.01375,1386.99
mu_player[18],-0.759909,0.106076,-0.92183,-0.767145,-0.576203,1.00298,869.093
mu_player[19],-0.397881,0.0842259,-0.540297,-0.395042,-0.259451,1.00132,1166.24
mu_player[20],-0.556643,0.0535616,-0.642517,-0.557066,-0.467966,1.00209,1749.13
mu_player[21],-0.753268,0.0722155,-0.868515,-0.753884,-0.632573,1.00214,1559.08
mu_player[22],-0.4996,0.0781132,-0.631477,-0.495638,-0.379211,1.00577,957.877
mu_player[23],-0.556266,0.0528002,-0.646825,-0.556545,-0.467368,0.999986,2284.01
mu_player[24],-0.743728,0.0896303,-0.888495,-0.74561,-0.593077,1.00406,1186.02
mu_player[25],-1.16686,0.0723541,-1.28394,-1.16871,-1.05044,1.00671,1713.06
mu_player[26],-0.570741,0.0952677,-0.729862,-0.566053,-0.427163,1.00978,680.271
mu_player[27],-0.662429,0.0957743,-0.817869,-0.661951,-0.504184,1.00429,1191.04
mu_player[28],-0.385292,0.0536368,-0.474121,-0.38425,-0.298936,1.00424,2511.06
