param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.66952,0.0841554,-0.783678,-0.670354,-0.544965,1.00477,1294.87
mu_position[1],-0.65887,0.0346973,-0.710035,-0.662721,-0.597148,1.00068,746.917
mu_position[2],-0.707118,0.0393938,-0.772438,-0.705286,-0.643943,1.00525,505.442
mu_position[3],-0.634289,0.0557627,-0.716459,-0.640154,-0.534378,1.00202,1095.59
mu_player[1],-0.492662,0.204238,-0.835895,-0.4862,-0.187226,1.00024,1148.62
mu_player[2],-0.423082,0.196181,-0.742156,-0.426831,-0.0983322,1.00486,1372.58
mu_player[3],-0.474837,0.189417,-0.783354,-0.47061,-0.165567,0.999677,2243.02
mu_player[4],-1.16815,0.193263,-1.48264,-1.16748,-0.85384,1.00428,1860.85
mu_player[5],-0.62458,0.18163,-0.937794,-0.621152,-0.311431,1.00954,2422.62
mu_player[6],-0.539842,0.165152,-0.82011,-0.538401,-0.284086,1.01216,1507.87
mu_player[7],-0.727632,0.179596,-1.02254,-0.729212,-0.427433,0.999403,2745.22
mu_player[8],-0.353335,0.138228,-0.563906,-0.358104,-0.128451,1.01129,1932.65
mu_player[9],-0.626499,0.152868,-0.889763,-0.629723,-0.389105,1.00198,1452.53
mu_player[10],-0.55238,0.139223,-0.783631,-0.551181,-0.324191,1.00309,2501.03
mu_player[11],-0.677935,0.162206,-0.939154,-0.679708,-0.407818,1.00671,1928.07
mu_player[12],-1.00745,0.142264,-1.24059,-1.00689,-0.771291,1.00435,2327.73
mu_player[13],-0.813187,0.157823,-1.07218,-0.809303,-0.555171,0.999224,2044.17
mu_player[14],-0.247664,0.121067,-0.444937,-0.248406,-0.0411245,0.999778,1605.72
mu_player[15],-0.178881,0.161447,-0.442052,-0.178283,0.0816191,1.00629,2039.47
mu_player[16],-0.420106,0.128458,-0.642188,-0.41311,-0.215218,1.00132,929.776
mu_player[17],-0.553633,0.111753,-0.739524,-0.553694,-0.377744,1.0042,1762.46
mu_player[18],-0.584884,0.141614,-0.808428,-0.590143,-0.347434,0.999485,1782.37
mu_player[19],-0.38915,0.113211,-0.579397,-0.38937,-0.204849,1.00767,2347.89
mu_player[20],-0.528932,0.0714356,-0.644236,-0.529482,-0.413311,1.00241,2087.92
mu_player[21],-0.688139,0.0902734,-0.835827,-0.689026,-0.541971,1.00422,1294.99
