param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.711219,0.0892903,-0.852526,-0.705624,-0.59154,1.00264,792.498
mu_position[1],-0.676053,0.0370127,-0.734026,-0.677094,-0.611173,1.00491,464.444
mu_position[2],-0.755347,0.0446249,-0.831291,-0.755038,-0.681097,1.00985,443.009
mu_position[3],-0.681888,0.0562776,-0.766651,-0.685659,-0.57968,1.00348,1337.36
mu_player[1],-0.359677,0.195013,-0.708221,-0.34172,-0.0725316,1.00903,183.657
mu_player[2],-0.594997,0.157553,-0.856773,-0.594465,-0.338463,1.00353,848.219
mu_player[3],-0.655218,0.144998,-0.878114,-0.660754,-0.40924,1.00578,1004.16
mu_player[4],-1.35525,0.224418,-1.67497,-1.38279,-0.945804,1.02078,119.393
mu_player[5],-0.838942,0.153724,-1.08747,-0.842889,-0.591293,1.00398,1340.74
mu_player[6],-0.653511,0.127418,-0.876107,-0.646918,-0.461816,1.00713,920.967
mu_player[7],-0.724815,0.146519,-0.965147,-0.726929,-0.489546,1.00408,1260.92
mu_player[8],-0.484212,0.10505,-0.657458,-0.489045,-0.298227,1.00338,905.345
mu_player[9],-0.648393,0.109768,-0.826896,-0.650891,-0.46848,1.00467,1460.43
mu_player[10],-0.627314,0.115011,-0.820613,-0.626043,-0.444473,1.00548,691.958
mu_player[11],-0.817454,0.12678,-1.0254,-0.815264,-0.612,1.00634,1211.06
mu_player[12],-1.20007,0.126797,-1.40345,-1.20836,-0.981434,1.00408,706.58
mu_player[13],-0.962561,0.122864,-1.16894,-0.966923,-0.753504,1.00044,1153.08
mu_player[14],-0.308767,0.096444,-0.466859,-0.30782,-0.151198,1.00563,1184.57
mu_player[15],-0.235278,0.139333,-0.490442,-0.223728,-0.0274782,1.00816,225.583
mu_player[16],-0.451961,0.0931619,-0.607005,-0.448564,-0.305237,1.00124,968.623
mu_player[17],-0.617077,0.0834547,-0.751282,-0.619335,-0.478429,1.00399,1481.49
mu_player[18],-0.718217,0.11573,-0.898118,-0.726787,-0.52265,1.00324,783.621
mu_player[19],-0.329281,0.0877523,-0.482192,-0.322481,-0.193032,1.0007,888.706
mu_player[20],-0.549091,0.0582693,-0.640644,-0.551326,-0.446029,1.00405,1823.36
mu_player[21],-0.707371,0.074273,-0.822715,-0.70979,-0.584954,1.00487,1391.07
mu_player[22],-0.485882,0.0778449,-0.617286,-0.483366,-0.354683,1.00099,1586.75
mu_player[23],-0.531901,0.0534149,-0.620357,-0.533926,-0.442422,1.00356,1635.4
mu_player[24],-0.726774,0.0944883,-0.884732,-0.72838,-0.570401,1.00093,1345.03
mu_player[25],-1.15879,0.0745675,-1.27656,-1.16031,-1.03837,1.00327,1246.45
mu_player[26],-0.480828,0.0992977,-0.643535,-0.475434,-0.31938,1.01304,750.057
mu_player[27],-0.5401,0.101117,-0.713466,-0.538909,-0.376279,1.00573,1047.7
mu_player[28],-0.370647,0.0561695,-0.463455,-0.36965,-0.279184,1.00201,2007.52
mu_player[29],-0.265088,0.0535411,-0.35505,-0.265454,-0.178114,1.00035,1542.27
mu_player[30],-0.320225,0.0873501,-0.469337,-0.315372,-0.189342,1.00249,648.891
mu_player[31],-0.596852,0.0577934,-0.689256,-0.597746,-0.501749,1.00524,2215.7
mu_player[32],-0.809829,0.0571999,-0.90215,-0.809847,-0.715768,1.00463,2154.75
mu_player[33],-1.33739,0.112176,-1.50761,-1.34327,-1.13717,1.00406,403.88
mu_player[34],-0.442387,0.0631615,-0.545479,-0.441194,-0.341695,1.00279,1429.14
mu_player[35],-0.976584,0.101631,-1.13925,-0.979927,-0.79951,1.00452,932.696
mu_player[36],-0.50919,0.0683686,-0.622802,-0.507624,-0.398554,1.00058,1361.54
mu_player[37],-0.641884,0.0490606,-0.71946,-0.642903,-0.561176,1.00263,2031.55
mu_player[38],-0.768964,0.0775949,-0.89562,-0.765621,-0.646331,1.00559,1426.12
mu_player[39],-1.06213,0.0601138,-1.16376,-1.06171,-0.96417,1.00224,1657.39
mu_player[40],-0.853564,0.0936516,-1.00681,-0.855797,-0.697895,1.0034,1172.46
mu_player[41],-0.783377,0.0558508,-0.872629,-0.784712,-0.690863,1.00042,2153.48
mu_player[42],-1.06573,0.0597768,-1.16924,-1.06519,-0.968019,1.00172,2072.68
mu_player[43],-0.620391,0.0567256,-0.716015,-0.61849,-0.528644,1.00554,1662.57
mu_player[44],-0.119601,0.0543446,-0.210084,-0.118563,-0.0336848,1.00376,1244.1
mu_player[45],-0.779921,0.0828162,-0.903308,-0.785424,-0.641739,1.00324,1033.42
mu_player[46],-0.304266,0.0583055,-0.400439,-0.303605,-0.209837,1.00251,1741.46
mu_player[47],-0.436827,0.0560123,-0.528107,-0.438238,-0.347767,1.01038,1314.89
mu_player[48],-1.00277,0.0731615,-1.12638,-1.00098,-0.88773,1.00324,2844.57
mu_player[49],-0.449975,0.0780989,-0.580271,-0.450793,-0.322233,1.0019,2193.58
mu_player[50],-0.512981,0.0580308,-0.607533,-0.51272,-0.414925,1.0053,2132.33
mu_player[51],-0.573404,0.0665761,-0.688218,-0.572048,-0.46502,1.00199,1081.72
mu_player[52],-0.792053,0.0655337,-0.903111,-0.792444,-0.683553,1.00339,1689.69
mu_player[53],-0.914635,0.0581822,-1.01167,-0.914488,-0.822525,1.00277,1947.12
mu_player[54],-0.890133,0.0558326,-0.982884,-0.890885,-0.798631,1.00244,2233.29
mu_player[55],-1.02309,0.08421,-1.15819,-1.02526,-0.883908,1.00215,1386.22
mu_player[56],-0.520388,0.0531493,-0.606622,-0.520722,-0.433355,0.999807,1447.26
