param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.680898,0.0711059,-0.780225,-0.681145,-0.590166,1.00338,776.48
mu_position[1],-0.671659,0.0291531,-0.718051,-0.67318,-0.622857,1.0017,858.839
mu_position[2],-0.68993,0.034814,-0.747949,-0.689756,-0.636943,1.00757,755.329
mu_position[3],-0.681557,0.0474479,-0.761305,-0.681925,-0.604653,1.00124,1822.86
mu_player[1],-0.550013,0.212564,-0.9014,-0.554442,-0.200034,1.00029,2750.3
mu_player[2],-0.499441,0.195606,-0.818516,-0.497962,-0.180931,1.00705,2347.13
mu_player[3],-0.461325,0.188649,-0.762979,-0.45998,-0.146159,1.0045,2050.24
mu_player[4],-0.957611,0.219048,-1.30067,-0.963229,-0.595106,1.00578,2372.26
mu_player[5],-0.683467,0.199019,-1.03037,-0.678116,-0.34762,1.00433,3058.7
mu_player[6],-0.503185,0.178206,-0.795329,-0.505877,-0.208419,1.00153,2575.99
mu_player[7],-0.72207,0.20376,-1.05467,-0.72572,-0.38198,1.00034,2681.38
mu_player[8],-0.397389,0.14654,-0.63349,-0.395356,-0.151754,0.99975,2339.89
mu_player[9],-0.520243,0.165482,-0.788209,-0.52512,-0.240115,1.00751,1735.87
mu_player[10],-0.571629,0.162093,-0.845221,-0.571545,-0.307188,1.0009,2340.69
mu_player[11],-0.823003,0.172832,-1.11162,-0.81809,-0.542426,1.00383,2362.02
mu_player[12],-0.995681,0.171863,-1.276,-1.00501,-0.70289,1.00067,1748.33
mu_player[13],-0.876015,0.167648,-1.14871,-0.873597,-0.597004,1.00117,2323.25
mu_player[14],-0.242744,0.138184,-0.468944,-0.243889,-0.0212963,1.00027,1885.95
mu_player[15],-0.315896,0.174292,-0.602327,-0.320481,-0.0389296,1.00184,2209.23
mu_player[16],-0.40493,0.140955,-0.631055,-0.404817,-0.174835,1.00202,2417.15
mu_player[17],-0.608861,0.124731,-0.813829,-0.611462,-0.408893,0.99965,1874.46
mu_player[18],-0.640381,0.157249,-0.891877,-0.642697,-0.380665,1.00529,1889.61
mu_player[19],-0.399445,0.132604,-0.622172,-0.39496,-0.18923,1.00131,2601.75
mu_player[20],-0.542863,0.0846333,-0.684431,-0.541058,-0.40457,1.00178,2404.15
mu_player[21],-0.715604,0.100123,-0.884117,-0.713217,-0.555924,1.00251,1975.0
mu_player[22],-0.471428,0.11224,-0.648477,-0.471986,-0.283685,1.00204,2255.42
mu_player[23],-0.554279,0.0779407,-0.683609,-0.551562,-0.426803,1.00041,1618.53
mu_player[24],-0.606033,0.136783,-0.824842,-0.606263,-0.379811,1.00344,2412.58
mu_player[25],-1.07642,0.112874,-1.2661,-1.07511,-0.899393,1.00176,2159.29
mu_player[26],-0.583006,0.143987,-0.831896,-0.580975,-0.356631,1.0037,1952.62
mu_player[27],-0.640147,0.151696,-0.898447,-0.637673,-0.401458,1.013,2078.11
mu_player[28],-0.351471,0.0752533,-0.47232,-0.351253,-0.225021,1.00261,1575.79
mu_player[29],-0.292587,0.0602514,-0.394559,-0.292665,-0.190177,1.00301,1564.33
mu_player[30],-0.352933,0.123956,-0.554173,-0.353839,-0.15476,1.00399,2554.32
mu_player[31],-0.720532,0.0645359,-0.824183,-0.719788,-0.616816,1.00164,2219.37
mu_player[32],-0.778555,0.0871786,-0.91808,-0.781225,-0.635936,1.00699,2035.94
mu_player[33],-1.22805,0.137932,-1.44186,-1.22786,-1.00126,1.0021,2248.07
mu_player[34],-0.463936,0.0999882,-0.625569,-0.467066,-0.298074,1.00098,1578.83
mu_player[35],-0.906193,0.151361,-1.16498,-0.904983,-0.662042,1.00072,1831.32
mu_player[36],-0.456639,0.0971449,-0.615945,-0.459796,-0.293924,1.00279,2399.64
mu_player[37],-0.714371,0.0600177,-0.810152,-0.715162,-0.614509,1.00067,1836.52
mu_player[38],-0.776146,0.11153,-0.963271,-0.778224,-0.590673,1.00119,2201.02
mu_player[39],-0.933163,0.0740145,-1.05321,-0.934384,-0.815606,1.01055,1625.44
mu_player[40],-0.962121,0.142798,-1.19674,-0.960746,-0.721407,1.00491,1946.39
mu_player[41],-0.750246,0.0827357,-0.884323,-0.751007,-0.617999,1.00148,2217.39
mu_player[42],-1.12925,0.0666068,-1.23582,-1.12973,-1.01724,1.00543,2577.47
mu_player[43],-0.632612,0.0892102,-0.771766,-0.6339,-0.479166,0.99941,1561.63
mu_player[44],-0.0780663,0.042658,-0.145311,-0.0786885,-0.00730284,1.00456,1479.92
mu_player[45],-0.72914,0.127071,-0.935011,-0.729256,-0.524953,1.00479,2084.66
mu_player[46],-0.345836,0.0409859,-0.41038,-0.346206,-0.278639,1.00053,1680.85
mu_player[47],-0.461381,0.0833888,-0.597063,-0.46333,-0.322931,1.00928,2331.72
mu_player[48],-0.994158,0.05679,-1.08789,-0.993682,-0.899998,1.00166,2091.94
mu_player[49],-0.60069,0.0722906,-0.714127,-0.600477,-0.481579,1.00566,1751.16
mu_player[50],-0.532769,0.0550401,-0.624212,-0.531081,-0.446221,1.00327,1442.55
mu_player[51],-0.641158,0.0992397,-0.803001,-0.64165,-0.478266,1.00164,1892.6
