param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.704457,0.0623923,-0.797132,-0.700212,-0.626626,1.00886,1186.8
mu_position[1],-0.68611,0.0302711,-0.732231,-0.688455,-0.634108,1.00341,842.407
mu_position[2],-0.711305,0.0332585,-0.768596,-0.710211,-0.657827,1.00589,956.05
mu_position[3],-0.704597,0.04367,-0.776442,-0.704196,-0.632515,1.00494,2002.49
mu_player[1],-0.47124,0.198467,-0.7983,-0.472166,-0.152671,1.00544,2815.74
mu_player[2],-0.435756,0.204438,-0.78915,-0.43301,-0.100048,1.00035,3021.15
mu_player[3],-0.402353,0.188673,-0.718691,-0.400247,-0.092719,1.00672,3189.68
mu_player[4],-0.883439,0.217249,-1.23925,-0.880872,-0.523228,1.00091,3134.41
mu_player[5],-0.717968,0.199997,-1.06255,-0.716853,-0.390552,1.00056,2682.78
mu_player[6],-0.552057,0.177031,-0.843546,-0.554407,-0.258366,1.00427,2255.51
mu_player[7],-0.701507,0.193129,-1.02697,-0.700668,-0.374668,1.00841,2925.67
mu_player[8],-0.457458,0.156596,-0.711248,-0.459293,-0.186428,1.00319,3406.82
mu_player[9],-0.597451,0.166867,-0.8686,-0.592911,-0.332512,1.00268,2413.17
mu_player[10],-0.529014,0.16967,-0.806832,-0.530174,-0.240107,1.00463,2740.73
mu_player[11],-0.649961,0.164377,-0.930357,-0.647016,-0.379881,1.00412,2814.96
mu_player[12],-0.838578,0.173577,-1.124,-0.837745,-0.553554,1.00053,2718.56
mu_player[13],-0.865557,0.1873,-1.17392,-0.858573,-0.554437,1.00262,2787.27
mu_player[14],-0.197654,0.143643,-0.428211,-0.197713,0.0434962,1.01586,2814.09
mu_player[15],-0.308943,0.189486,-0.616118,-0.306974,-0.00801731,1.00507,3232.45
mu_player[16],-0.403101,0.134449,-0.621813,-0.404119,-0.175513,1.00469,2544.24
mu_player[17],-0.421944,0.129786,-0.63224,-0.426142,-0.207274,0.999547,2581.43
mu_player[18],-0.555917,0.166595,-0.824669,-0.551984,-0.285393,1.00542,2765.47
mu_player[19],-0.397462,0.134472,-0.615238,-0.395545,-0.180514,1.00289,2584.96
mu_player[20],-0.518188,0.0931464,-0.668653,-0.518788,-0.364487,1.00793,3070.95
mu_player[21],-0.737472,0.111606,-0.921399,-0.736871,-0.556078,1.0074,2028.97
mu_player[22],-0.50142,0.116438,-0.685262,-0.504353,-0.308808,1.00042,2699.2
mu_player[23],-0.584214,0.088337,-0.724124,-0.584048,-0.436901,1.00145,2498.34
mu_player[24],-0.600608,0.144207,-0.844749,-0.597441,-0.36401,1.00099,2715.13
