param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.699468,0.0693369,-0.814101,-0.693701,-0.608894,1.00274,1323.85
mu_position[1],-0.61488,0.0429564,-0.681013,-0.616371,-0.543272,1.00422,865.642
mu_position[2],-0.765219,0.129752,-1.00614,-0.737963,-0.598735,1.00227,1228.69
mu_position[3],-0.727769,0.0518322,-0.816798,-0.727222,-0.644911,1.00135,870.429
mu_position[4],-0.693478,0.044535,-0.765651,-0.694603,-0.61723,1.00171,1096.01
mu_position[5],-0.700859,0.0401205,-0.764438,-0.700811,-0.634826,1.00209,1333.48
mu_player[1],-0.557536,0.205891,-0.890728,-0.564284,-0.214776,1.0045,2524.11
mu_player[2],-0.461666,0.208732,-0.807064,-0.459412,-0.113233,1.00636,2884.47
mu_player[3],-0.434275,0.19311,-0.751074,-0.432929,-0.113901,1.00754,3524.22
mu_player[4],-0.990703,0.220571,-1.3491,-0.986874,-0.631688,1.00024,2836.41
mu_player[5],-0.689044,0.195206,-1.0125,-0.683736,-0.363514,0.99984,3028.42
mu_player[6],-0.477476,0.177475,-0.752963,-0.477091,-0.18189,1.00874,2791.31
mu_player[7],-0.740245,0.202935,-1.07385,-0.746957,-0.412403,1.00331,3012.78
mu_player[8],-0.381315,0.147307,-0.613284,-0.380813,-0.148525,1.00081,3431.67
mu_player[9],-0.522407,0.166569,-0.788731,-0.525462,-0.243325,1.00257,2843.57
mu_player[10],-0.587153,0.159258,-0.847538,-0.588426,-0.318303,1.00233,3340.29
mu_player[11],-0.818819,0.168029,-1.09881,-0.812717,-0.543875,1.00876,2642.59
mu_player[12],-1.06772,0.171706,-1.35029,-1.07345,-0.775167,1.00258,2607.6
mu_player[13],-0.880418,0.171294,-1.16277,-0.879778,-0.601002,1.00449,2442.52
mu_player[14],-0.223604,0.134216,-0.442202,-0.223008,-0.00240568,1.00167,2815.64
mu_player[15],-0.273552,0.180936,-0.573273,-0.275805,0.0237441,0.99932,2539.64
mu_player[16],-0.451821,0.13398,-0.670283,-0.45221,-0.235964,1.00402,2007.58
mu_player[17],-0.584691,0.125478,-0.79018,-0.584946,-0.369175,1.0018,2908.23
mu_player[18],-0.621678,0.158644,-0.881319,-0.627579,-0.353033,0.99905,2792.12
mu_player[19],-0.409794,0.127948,-0.621252,-0.41076,-0.203327,1.00346,2332.34
mu_player[20],-0.543633,0.082323,-0.678956,-0.543253,-0.414727,0.999487,2718.99
mu_player[21],-0.713663,0.103527,-0.881908,-0.715925,-0.5446,1.00249,2503.54
mu_player[22],-0.476995,0.113096,-0.666135,-0.479684,-0.28438,1.0009,2714.39
mu_player[23],-0.569377,0.0828501,-0.708275,-0.569254,-0.431777,1.00077,1631.59
mu_player[24],-0.588974,0.140739,-0.829712,-0.591303,-0.362777,1.00024,3805.98
mu_player[25],-1.06133,0.1036,-1.23044,-1.06101,-0.892032,1.00812,2670.11
mu_player[26],-0.584928,0.129374,-0.798093,-0.583423,-0.379508,1.00274,2640.36
mu_player[27],-0.60721,0.149769,-0.859168,-0.603417,-0.370394,1.00229,2050.95
mu_player[28],-0.352251,0.0741863,-0.473069,-0.353005,-0.22664,1.00525,2070.35
mu_player[29],-0.288969,0.0648929,-0.391301,-0.289474,-0.180782,0.999142,1671.53
mu_player[30],-0.330527,0.120979,-0.527266,-0.332468,-0.129275,1.00474,2515.08
mu_player[31],-0.722462,0.0671403,-0.832058,-0.724272,-0.610321,1.00087,2215.42
mu_player[32],-0.783551,0.0844956,-0.917632,-0.78542,-0.643826,1.00047,1658.05
mu_player[33],-1.21746,0.147152,-1.45886,-1.22099,-0.98028,1.00198,2431.58
mu_player[34],-0.476764,0.0983048,-0.636799,-0.47459,-0.313846,1.00107,1938.49
mu_player[35],-0.870256,0.148686,-1.11622,-0.870151,-0.627686,1.00258,3112.88
mu_player[36],-0.45147,0.0949523,-0.609651,-0.451384,-0.301679,1.00123,3954.11
mu_player[37],-0.714376,0.0602298,-0.813672,-0.715261,-0.612186,1.00504,1996.79
mu_player[38],-0.765698,0.113191,-0.954813,-0.768086,-0.57547,1.00066,2868.47
mu_player[39],-0.931289,0.0739837,-1.05307,-0.930533,-0.805605,1.00299,2026.77
mu_player[40],-0.953356,0.132833,-1.17096,-0.951338,-0.733412,1.00026,3177.93
mu_player[41],-0.754341,0.0788723,-0.88091,-0.754434,-0.624417,1.00175,2083.47
mu_player[42],-1.13154,0.0685192,-1.24311,-1.13102,-1.01667,1.00229,2184.04
mu_player[43],-0.636035,0.0920675,-0.782562,-0.638286,-0.484229,1.0004,2076.54
mu_player[44],-0.0833003,0.0421733,-0.148343,-0.0855596,-0.015316,1.0052,1907.85
mu_player[45],-0.746397,0.1435,-0.986978,-0.740514,-0.514871,0.999335,3252.04
mu_player[46],-0.347701,0.0402858,-0.410026,-0.349145,-0.280097,1.00382,1750.77
mu_player[47],-0.45646,0.0798304,-0.586248,-0.455477,-0.324854,1.00254,1852.27
mu_player[48],-0.989837,0.0605506,-1.08792,-0.989269,-0.890577,0.999869,1803.28
mu_player[49],-0.596186,0.0701916,-0.706474,-0.597699,-0.480462,1.00071,2071.86
mu_player[50],-0.531998,0.0527319,-0.615186,-0.533436,-0.445449,1.00128,1783.29
mu_player[51],-0.653625,0.09663,-0.813916,-0.652308,-0.493611,1.00522,2270.35
mu_player[52],-0.667863,0.0451253,-0.741698,-0.669049,-0.594499,1.00011,1587.68
mu_player[53],-0.945917,0.0551176,-1.03669,-0.945617,-0.857903,1.00358,2743.41
mu_player[54],-0.984308,0.0623768,-1.09174,-0.981915,-0.884205,1.00017,1892.95
mu_player[55],-0.960935,0.112867,-1.14215,-0.963159,-0.770873,1.00645,2437.57
mu_player[56],-0.460452,0.0431124,-0.528511,-0.461879,-0.387589,1.00536,1597.92
mu_player[57],-0.602834,0.05075,-0.685108,-0.604942,-0.518272,0.999991,1623.81
mu_player[58],-0.118214,0.0510326,-0.200346,-0.119917,-0.0313399,1.00207,1812.73
mu_player[59],-0.786706,0.0543856,-0.877614,-0.787345,-0.694289,1.00393,2261.93
mu_player[60],-0.644577,0.0865037,-0.785776,-0.643866,-0.501141,1.00174,1891.46
mu_player[61],-0.298007,0.0391197,-0.363459,-0.297913,-0.234947,1.0,1747.75
mu_player[62],-0.36198,0.0457911,-0.436411,-0.363123,-0.288277,1.00301,1293.52
mu_player[63],-0.769891,0.168777,-1.04753,-0.773595,-0.491432,1.00179,2714.91
mu_player[64],-0.983352,0.0953468,-1.14265,-0.984574,-0.828258,1.00669,2625.94
mu_player[65],-0.874278,0.0579425,-0.97327,-0.873271,-0.778144,1.00158,2369.84
mu_player[66],-1.08074,0.08935,-1.23219,-1.08068,-0.930201,1.0031,2074.22
mu_player[67],-0.563609,0.0522502,-0.647882,-0.564607,-0.473628,1.00001,1911.0
mu_player[68],-0.353254,0.0582979,-0.443656,-0.357226,-0.251641,1.00373,2064.39
mu_player[69],-0.524552,0.0551845,-0.613959,-0.524495,-0.434176,0.99907,1628.16
mu_player[70],-0.247261,0.0638829,-0.354064,-0.248217,-0.143096,1.00217,2768.98
mu_player[71],-0.692814,0.061038,-0.788495,-0.692322,-0.590789,1.00733,1891.18
mu_player[72],-0.593158,0.0569329,-0.686612,-0.593932,-0.496009,1.00399,2152.47
mu_player[73],-0.781315,0.0562538,-0.872772,-0.780785,-0.687287,1.0024,2024.99
mu_player[74],-0.631227,0.0467535,-0.706894,-0.631507,-0.550934,1.00445,1670.58
mu_player[75],-1.19474,0.0582851,-1.29102,-1.19386,-1.10014,0.999073,2432.86
mu_player[76],-0.564483,0.0511195,-0.649431,-0.565611,-0.478918,1.00082,2153.34
mu_player[77],-0.538967,0.0702168,-0.649731,-0.540976,-0.423379,1.00477,1786.46
mu_player[78],-1.07876,0.0799022,-1.21328,-1.07671,-0.949411,1.00489,2006.91
mu_player[79],-0.853584,0.0604077,-0.951713,-0.854997,-0.757434,1.00134,2138.52
mu_player[80],-1.37845,0.0716798,-1.49682,-1.37877,-1.26089,1.00166,2184.47
mu_player[81],-0.817215,0.0541647,-0.898968,-0.822995,-0.725369,1.00182,1361.21
mu_player[82],-0.573708,0.0530248,-0.658492,-0.575338,-0.482706,0.999596,2118.18
mu_player[83],-0.704251,0.0686683,-0.813417,-0.705723,-0.589814,1.00075,1769.36
mu_player[84],-0.620015,0.0716031,-0.734866,-0.622756,-0.50009,1.00411,1868.3
mu_player[85],-0.313483,0.083722,-0.446968,-0.314904,-0.175088,1.00231,2226.87
mu_player[86],-0.648971,0.0534102,-0.730735,-0.64988,-0.558115,1.00018,1321.43
mu_player[87],-0.530311,0.0598902,-0.623587,-0.531497,-0.430524,1.00151,1854.66
mu_player[88],-0.487263,0.0701964,-0.598817,-0.487872,-0.367922,1.00015,2399.61
mu_player[89],-0.821954,0.0491016,-0.900276,-0.823211,-0.741134,1.00299,1850.55
mu_player[90],-0.854012,0.0647961,-0.956093,-0.856663,-0.745874,1.00116,1839.39
mu_player[91],-0.290659,0.0631113,-0.391981,-0.291695,-0.180243,1.00013,1739.21
mu_player[92],-0.880246,0.0696454,-0.993059,-0.881417,-0.764805,0.998799,2286.89
mu_player[93],-0.478533,0.0474475,-0.554783,-0.47951,-0.399109,1.00249,1899.35
mu_player[94],-0.858296,0.073708,-0.978782,-0.857295,-0.7429,1.00037,2309.6
mu_player[95],-1.1471,0.0710783,-1.26378,-1.14953,-1.02789,1.00327,1850.95
mu_player[96],-0.630238,0.0519361,-0.712695,-0.630656,-0.542436,1.00172,1729.92
mu_player[97],-1.01118,0.0875701,-1.15834,-1.00662,-0.878275,0.999196,2283.12
mu_player[98],-1.27134,0.0701206,-1.38319,-1.27291,-1.1536,1.00651,1587.68
mu_player[99],-0.329304,0.0818765,-0.46355,-0.329566,-0.197281,1.01402,2709.13
mu_player[100],-0.169675,0.086348,-0.311457,-0.173294,-0.0230971,0.999955,1728.17
mu_player[101],-0.5633,0.0878747,-0.709001,-0.563827,-0.418542,1.00063,2199.12
mu_player[102],-0.32061,0.0787121,-0.449185,-0.323506,-0.191743,1.00238,2113.43
mu_player[103],-0.256094,0.0564366,-0.349005,-0.256464,-0.160788,1.00196,2144.21
mu_player[104],-0.798421,0.0652586,-0.90509,-0.7972,-0.691861,1.00291,2195.86
mu_player[105],-0.768962,0.0914301,-0.912795,-0.768183,-0.619804,1.00183,1881.03
mu_player[106],-0.658452,0.0802369,-0.786159,-0.658584,-0.531055,1.00389,2354.43
mu_player[107],-0.747778,0.0911749,-0.894347,-0.747119,-0.596814,1.0031,2962.98
mu_player[108],-0.493157,0.0737831,-0.612013,-0.494237,-0.370755,1.00241,1954.3
mu_player[109],-1.1584,0.109307,-1.34489,-1.15708,-0.987643,1.00083,2570.1
mu_player[110],-0.602974,0.0498265,-0.680138,-0.604629,-0.519696,1.00077,1375.65
mu_player[111],-0.768303,0.0502158,-0.848532,-0.770756,-0.683985,1.00496,1596.0
mu_player[112],-1.01882,0.0531478,-1.10409,-1.01903,-0.92909,1.00202,1969.51
mu_player[113],-0.638616,0.0550188,-0.729719,-0.639545,-0.543332,1.00252,1390.87
mu_player[114],-0.889688,0.0488399,-0.970169,-0.890664,-0.809122,1.00071,1599.43
mu_player[115],-0.717889,0.0751106,-0.835946,-0.718752,-0.592401,1.0013,2040.0
mu_player[116],-1.13127,0.101416,-1.29343,-1.13325,-0.957294,0.999662,1677.64
mu_player[117],-1.05901,0.133838,-1.28557,-1.06038,-0.837009,1.00497,3116.51
mu_player[118],-0.925424,0.0517724,-1.00868,-0.925619,-0.83939,1.00446,2534.82
