param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.37105,0.215513,-2.70705,-2.37659,-2.01565,1.00692,1426.29
mu_position[1],-2.08778,0.0493877,-2.16473,-2.08891,-2.00338,1.00051,1668.82
mu_position[2],-2.48651,0.059981,-2.58071,-2.48895,-2.38418,1.009,584.61
mu_position[3],-2.5636,0.0980075,-2.72518,-2.56361,-2.40647,1.00061,1461.6
mu_player[1],-1.49251,0.250782,-1.90515,-1.49439,-1.07646,1.00076,1495.2
mu_player[2],-1.79955,0.244333,-2.20404,-1.80666,-1.38873,1.00405,1541.51
mu_player[3],-1.6078,0.252532,-2.01713,-1.60934,-1.18678,1.00282,1262.85
mu_player[4],-2.60051,0.296274,-3.07328,-2.59741,-2.11677,1.00457,1600.51
mu_player[5],-2.0984,0.278346,-2.56499,-2.08974,-1.64219,1.00973,1651.45
mu_player[6],-2.0099,0.222034,-2.36971,-2.01107,-1.64432,1.00343,1560.82
mu_player[7],-2.72778,0.283876,-3.20015,-2.72784,-2.25245,1.00322,1360.71
mu_player[8],-1.62936,0.178201,-1.94189,-1.62577,-1.34537,1.00302,1243.65
mu_player[9],-2.3528,0.21751,-2.72907,-2.35534,-1.98665,1.0131,1585.47
mu_player[10],-2.51828,0.226948,-2.88642,-2.52329,-2.1361,1.00063,1619.99
mu_player[11],-2.96198,0.265064,-3.40002,-2.9588,-2.5251,1.00032,1505.55
mu_player[12],-2.47566,0.233922,-2.86528,-2.47736,-2.08946,1.00245,1106.97
mu_player[13],-2.58114,0.241446,-2.96216,-2.58641,-2.18597,1.00443,1254.6
mu_player[14],-1.69578,0.162341,-1.97203,-1.6881,-1.43454,1.00066,1330.01
mu_player[15],-1.88751,0.23031,-2.26384,-1.89029,-1.50353,1.00402,1078.63
mu_player[16],-1.78176,0.175832,-2.06545,-1.78364,-1.48175,1.00222,1345.85
mu_player[17],-1.83711,0.150732,-2.08303,-1.836,-1.59378,0.999361,1047.29
mu_player[18],-2.45174,0.219163,-2.81084,-2.45565,-2.0935,1.00337,1385.33
mu_player[19],-2.02394,0.174747,-2.30237,-2.02243,-1.73121,1.00354,1090.34
mu_player[20],-2.57944,0.137318,-2.81269,-2.57996,-2.36062,1.00162,1386.81
mu_player[21],-2.34799,0.157147,-2.60857,-2.35147,-2.09513,1.00569,1609.97
mu_player[22],-2.2229,0.162308,-2.48214,-2.21953,-1.9578,1.0015,1486.97
mu_player[23],-2.3486,0.110428,-2.52465,-2.3525,-2.16367,1.00535,773.938
mu_player[24],-2.02159,0.178912,-2.32353,-2.02462,-1.7257,1.00108,1200.7
mu_player[25],-2.00373,0.130424,-2.21706,-2.00533,-1.79223,1.00248,1370.81
mu_player[26],-1.76423,0.172272,-2.05216,-1.76295,-1.48029,1.00324,1247.85
mu_player[27],-2.77992,0.209237,-3.1322,-2.77978,-2.44371,1.00176,1540.12
mu_player[28],-2.41016,0.108245,-2.59199,-2.40983,-2.23053,1.0071,1033.61
mu_player[29],-1.91415,0.0787492,-2.0415,-1.91477,-1.78232,1.00268,1693.43
mu_player[30],-1.66301,0.141874,-1.89841,-1.66162,-1.43181,0.999501,1207.94
mu_player[31],-2.59676,0.10973,-2.7694,-2.59895,-2.41849,1.00243,1666.16
mu_player[32],-2.57774,0.131445,-2.78991,-2.57894,-2.35936,1.00363,1409.93
mu_player[33],-1.4616,0.159795,-1.72145,-1.46818,-1.20042,1.00268,1572.46
mu_player[34],-1.95563,0.128636,-2.17553,-1.95438,-1.75156,1.00122,1036.24
mu_player[35],-2.80186,0.219027,-3.14932,-2.80347,-2.43772,1.00104,1406.58
mu_player[36],-2.05006,0.127393,-2.26734,-2.05382,-1.84373,0.999831,1203.16
mu_player[37],-1.88008,0.0757341,-2.00556,-1.88109,-1.75431,1.00213,1301.57
mu_player[38],-2.3173,0.158536,-2.57383,-2.31318,-2.07005,1.00485,1091.2
mu_player[39],-2.6971,0.107721,-2.87488,-2.69482,-2.52225,1.00244,1597.3
mu_player[40],-2.0724,0.178063,-2.36449,-2.07315,-1.76486,1.00227,1431.68
mu_player[41],-3.15827,0.139546,-3.38828,-3.1565,-2.92476,1.00086,1271.68
mu_player[42],-2.33455,0.0898269,-2.47898,-2.33324,-2.18813,1.00148,1786.19
mu_player[43],-2.75015,0.132761,-2.96378,-2.75082,-2.53623,0.99927,1419.4
mu_player[44],-1.73669,0.055272,-1.82391,-1.73846,-1.63895,1.0074,732.714
mu_player[45],-2.38542,0.168784,-2.6635,-2.38603,-2.10454,1.00149,1355.67
mu_player[46],-2.05784,0.0544199,-2.14904,-2.05934,-1.97051,1.0011,3014.92
mu_player[47],-2.396,0.120845,-2.60053,-2.39131,-2.20002,1.00274,1279.61
mu_player[48],-2.77929,0.0934049,-2.93204,-2.77955,-2.63144,1.00553,2698.21
mu_player[49],-1.70514,0.0897891,-1.85396,-1.7041,-1.56341,1.00767,1496.4
mu_player[50],-2.68953,0.092826,-2.84005,-2.68907,-2.53984,1.00278,1407.28
mu_player[51],-2.83572,0.1475,-3.08186,-2.8404,-2.58356,1.00446,1642.98
mu_player[52],-2.27634,0.0726188,-2.39586,-2.2748,-2.16179,1.00513,1147.84
mu_player[53],-1.75478,0.0635452,-1.85847,-1.75387,-1.65317,0.999996,1820.61
mu_player[54],-1.99764,0.0821665,-2.13429,-1.99703,-1.86533,1.00418,1116.86
