param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.686003,0.0662255,-0.768082,-0.688946,-0.602936,1.00392,704.313
mu_position[1],-0.68529,0.0291043,-0.731927,-0.686494,-0.635027,1.00433,700.483
mu_position[2],-0.694296,0.0323275,-0.748778,-0.693883,-0.641953,1.00175,822.837
mu_position[3],-0.687165,0.0423438,-0.75712,-0.687447,-0.617586,1.00294,1311.08
mu_player[1],-0.21565,0.222947,-0.593712,-0.203057,0.122524,1.04896,57.1294
mu_player[2],-0.500517,0.157666,-0.76619,-0.495711,-0.249217,1.00464,831.685
mu_player[3],-0.615574,0.156211,-0.867792,-0.620271,-0.347447,1.00101,1131.3
mu_player[4],-1.14121,0.203032,-1.45307,-1.14672,-0.796933,1.02168,156.379
mu_player[5],-0.800621,0.181971,-1.08845,-0.806266,-0.499672,1.00654,690.205
mu_player[6],-0.597108,0.14525,-0.82334,-0.603676,-0.342366,1.00815,1122.3
mu_player[7],-0.684292,0.15377,-0.937008,-0.683668,-0.440126,1.00449,1040.11
mu_player[8],-0.48316,0.123088,-0.684596,-0.485105,-0.287398,1.01066,1201.27
mu_player[9],-0.583284,0.129302,-0.792788,-0.584973,-0.376248,1.0075,1219.54
mu_player[10],-0.647345,0.128059,-0.84818,-0.649908,-0.428974,1.01158,1331.76
mu_player[11],-0.62075,0.160992,-0.908555,-0.614721,-0.364842,1.00901,761.117
mu_player[12],-1.02091,0.134809,-1.23031,-1.02711,-0.787183,1.00939,764.362
mu_player[13],-0.904895,0.151078,-1.13996,-0.913716,-0.652355,1.00054,1228.34
mu_player[14],-0.373716,0.116854,-0.569198,-0.374516,-0.178791,1.01435,1016.23
mu_player[15],-0.205326,0.155269,-0.48317,-0.192,0.0264442,1.01012,296.899
mu_player[16],-0.346142,0.112719,-0.536967,-0.341605,-0.173433,1.00619,782.045
mu_player[17],-0.527065,0.103504,-0.703856,-0.52326,-0.367065,1.00665,837.248
mu_player[18],-0.70236,0.127566,-0.915648,-0.699917,-0.499157,1.0044,1361.62
mu_player[19],-0.369239,0.111349,-0.560609,-0.364606,-0.193719,1.00526,915.183
mu_player[20],-0.54127,0.0777399,-0.666793,-0.540841,-0.417054,1.00175,1456.63
mu_player[21],-0.693464,0.0900427,-0.846021,-0.690492,-0.551684,1.0025,1281.34
mu_player[22],-0.545421,0.0957223,-0.695088,-0.547693,-0.385578,1.00121,1259.97
mu_player[23],-0.65224,0.0733353,-0.76564,-0.653507,-0.523131,1.00732,889.097
mu_player[24],-0.646195,0.103718,-0.811998,-0.647704,-0.472247,1.00927,1240.04
mu_player[25],-1.01886,0.0937161,-1.17443,-1.02328,-0.869111,1.00896,1301.24
mu_player[26],-0.426503,0.121116,-0.638982,-0.411301,-0.250441,1.0136,463.465
mu_player[27],-0.487173,0.128829,-0.714158,-0.477426,-0.295708,1.02459,168.688
mu_player[28],-0.333048,0.0736983,-0.454659,-0.333345,-0.212242,1.00402,1218.53
mu_player[29],-0.3323,0.0667772,-0.444377,-0.33317,-0.224185,1.00554,1797.08
mu_player[30],-0.219824,0.114131,-0.429131,-0.210203,-0.0545509,1.01255,239.853
mu_player[31],-0.759551,0.0721124,-0.874277,-0.761929,-0.640583,1.00314,1818.74
mu_player[32],-0.748837,0.0726913,-0.870495,-0.749316,-0.624067,1.00812,1009.15
mu_player[33],-1.1896,0.115435,-1.36947,-1.19464,-0.999455,1.00358,1140.57
mu_player[34],-0.464988,0.0868851,-0.602157,-0.466212,-0.321063,1.00285,1522.79
mu_player[35],-0.954613,0.126008,-1.15623,-0.959611,-0.742186,1.00888,964.112
mu_player[36],-0.472966,0.0798505,-0.605226,-0.474424,-0.336814,1.00463,1672.97
mu_player[37],-0.796067,0.0645803,-0.896512,-0.797907,-0.685826,1.0065,1077.18
mu_player[38],-0.765129,0.0919064,-0.914237,-0.763601,-0.614835,1.00551,1342.3
mu_player[39],-0.936881,0.0695687,-1.04895,-0.940392,-0.818613,1.00601,1616.37
mu_player[40],-0.919749,0.109394,-1.10213,-0.918469,-0.741559,1.01105,920.221
mu_player[41],-0.750973,0.0741943,-0.875391,-0.752077,-0.628118,1.00165,1668.49
mu_player[42],-1.14852,0.0778743,-1.27618,-1.15019,-1.01611,1.00283,1806.65
mu_player[43],-0.674377,0.0844165,-0.808548,-0.678608,-0.535646,1.003,1347.53
mu_player[44],-0.0862948,0.0496172,-0.165937,-0.0864893,-0.0045854,1.01314,1260.49
mu_player[45],-0.70546,0.105638,-0.88436,-0.706009,-0.535365,1.01494,1389.63
mu_player[46],-0.360718,0.0488704,-0.439547,-0.361155,-0.280385,1.00333,1740.08
mu_player[47],-0.468842,0.0735683,-0.590087,-0.469504,-0.347014,1.00554,1030.88
mu_player[48],-0.995288,0.0649951,-1.09955,-0.996812,-0.886687,1.00202,2052.28
mu_player[49],-0.66113,0.0657132,-0.766295,-0.661799,-0.549101,1.00292,1294.08
mu_player[50],-0.522434,0.0606183,-0.621036,-0.523706,-0.421444,1.00169,1484.05
mu_player[51],-0.678426,0.0876688,-0.822116,-0.678873,-0.531345,1.00231,1333.71
mu_player[52],-0.655008,0.0534389,-0.744075,-0.654444,-0.567427,1.00307,1182.09
mu_player[53],-0.96467,0.0614732,-1.06568,-0.966012,-0.860622,1.00342,1499.98
mu_player[54],-1.0067,0.0678264,-1.11806,-1.00727,-0.897506,1.00092,938.565
mu_player[55],-0.96437,0.0955022,-1.11488,-0.966374,-0.802951,1.00125,1228.19
mu_player[56],-0.447663,0.0506296,-0.529319,-0.448928,-0.365465,1.00375,1155.82
mu_player[57],-0.621198,0.0614846,-0.721416,-0.624175,-0.520113,1.00146,1855.32
mu_player[58],-0.0942845,0.0537623,-0.182757,-0.0932446,-0.00634214,1.00512,1528.26
mu_player[59],-0.784131,0.0604075,-0.881151,-0.783193,-0.681886,1.00171,1695.6
mu_player[60],-0.646865,0.0755135,-0.771037,-0.646503,-0.526884,1.00033,1774.66
mu_player[61],-0.306648,0.0484362,-0.384931,-0.30743,-0.228125,1.00223,2183.39
mu_player[62],-0.354798,0.0580071,-0.452077,-0.355796,-0.254865,1.00029,1376.27
mu_player[63],-0.902963,0.14156,-1.12514,-0.908301,-0.670344,1.00828,758.894
mu_player[64],-0.912055,0.0878634,-1.05672,-0.913949,-0.770325,1.0016,1429.19
mu_player[65],-0.875904,0.0608407,-0.972602,-0.877585,-0.775937,1.00539,1677.78
mu_player[66],-1.12554,0.0840765,-1.25793,-1.1276,-0.985131,1.00161,911.601
mu_player[67],-0.557664,0.0571838,-0.648109,-0.559954,-0.462445,1.00408,1288.69
mu_player[68],-0.361673,0.0614483,-0.463085,-0.361984,-0.261125,1.00588,2026.06
mu_player[69],-0.536692,0.0624423,-0.642071,-0.537643,-0.43368,1.00059,1371.58
mu_player[70],-0.250736,0.060497,-0.348848,-0.248579,-0.152533,0.999788,1662.99
mu_player[71],-0.69122,0.0670428,-0.797977,-0.692927,-0.579559,0.999037,2198.49
mu_player[72],-0.608664,0.0599757,-0.705337,-0.608038,-0.509975,1.00017,1311.11
mu_player[73],-0.779442,0.0652204,-0.881429,-0.780367,-0.673447,1.00094,1482.18
mu_player[74],-0.627051,0.0559756,-0.719118,-0.626989,-0.534834,1.00734,1564.2
mu_player[75],-1.17962,0.0669783,-1.2878,-1.18243,-1.06576,1.00709,1379.81
mu_player[76],-0.562704,0.05603,-0.653041,-0.5643,-0.469733,1.00094,1380.43
mu_player[77],-0.501106,0.0677492,-0.611793,-0.499623,-0.392956,1.00959,892.906
mu_player[78],-1.06033,0.0756616,-1.17948,-1.06242,-0.937655,1.00678,1506.27
mu_player[79],-0.874717,0.0659509,-0.981283,-0.874653,-0.767178,1.00143,1529.31
mu_player[80],-1.30234,0.072332,-1.42384,-1.30164,-1.18605,1.00256,1233.02
mu_player[81],-0.822626,0.0579034,-0.913794,-0.822916,-0.725908,1.00944,1594.55
mu_player[82],-0.562977,0.0547611,-0.653896,-0.563198,-0.473353,1.00215,1272.96
mu_player[83],-0.706656,0.0625169,-0.805774,-0.707185,-0.602026,1.00023,1213.08
mu_player[84],-0.641861,0.0646847,-0.744366,-0.645,-0.532577,1.00128,1170.16
mu_player[85],-0.311317,0.0730679,-0.429434,-0.312573,-0.192176,0.999778,1342.99
mu_player[86],-0.723225,0.0588192,-0.819584,-0.723275,-0.625303,1.00269,941.34
mu_player[87],-0.553928,0.0545173,-0.638969,-0.55615,-0.460903,1.00318,1731.25
mu_player[88],-0.488317,0.0647563,-0.593978,-0.488487,-0.378701,1.00285,1693.96
mu_player[89],-0.824849,0.0562767,-0.916094,-0.825236,-0.730033,1.00057,1854.06
mu_player[90],-0.863098,0.0694084,-0.977975,-0.864825,-0.745876,1.00032,1727.9
mu_player[91],-0.319708,0.0570405,-0.410998,-0.319624,-0.226679,1.00354,1379.88
mu_player[92],-0.880331,0.0693971,-0.994059,-0.881347,-0.76531,1.00502,1444.15
mu_player[93],-0.478585,0.0558932,-0.569188,-0.479695,-0.385142,1.0058,1199.51
mu_player[94],-0.848944,0.0679434,-0.964349,-0.847584,-0.740419,1.00289,1518.15
mu_player[95],-1.17146,0.068383,-1.2785,-1.172,-1.05986,1.00152,1720.69
mu_player[96],-0.631942,0.0570292,-0.729392,-0.630929,-0.537536,1.00524,1427.29
mu_player[97],-1.02347,0.0802502,-1.1534,-1.02452,-0.892376,1.00044,1679.07
mu_player[98],-1.29521,0.0740175,-1.42129,-1.29455,-1.17584,1.00229,1879.91
mu_player[99],-0.329301,0.070163,-0.445022,-0.330105,-0.216469,1.00437,1298.35
mu_player[100],-0.194328,0.0727809,-0.31598,-0.192103,-0.0752777,1.00686,1113.8
mu_player[101],-0.582585,0.0758397,-0.702934,-0.584268,-0.4574,1.00632,1211.52
mu_player[102],-0.376421,0.0642343,-0.477305,-0.376089,-0.27028,1.00142,748.669
mu_player[103],-0.264471,0.0561359,-0.356295,-0.26397,-0.170773,1.00788,1429.64
mu_player[104],-0.791486,0.0670486,-0.905385,-0.790482,-0.683094,1.00173,1833.86
mu_player[105],-0.671602,0.0750979,-0.801504,-0.672424,-0.554496,1.00618,442.624
mu_player[106],-0.688032,0.072109,-0.805915,-0.689345,-0.56667,0.999721,1275.61
mu_player[107],-0.757697,0.0760804,-0.882521,-0.760363,-0.635848,1.00218,1774.72
mu_player[108],-0.523237,0.064889,-0.626268,-0.524382,-0.41464,1.00105,1534.68
mu_player[109],-1.11045,0.0913936,-1.26782,-1.10852,-0.968135,1.00254,1319.13
mu_player[110],-0.609425,0.0572469,-0.703166,-0.61071,-0.515319,1.00144,1148.35
mu_player[111],-0.776377,0.0549936,-0.866136,-0.778595,-0.68239,1.00106,1752.1
mu_player[112],-1.03792,0.0567211,-1.13,-1.03773,-0.945921,1.00054,1749.21
mu_player[113],-0.652952,0.057218,-0.744735,-0.654973,-0.554396,1.00257,1411.97
mu_player[114],-0.892127,0.0618162,-0.991999,-0.892853,-0.791733,1.00276,2501.69
mu_player[115],-0.746923,0.0692903,-0.861587,-0.746497,-0.63604,1.00562,1195.83
mu_player[116],-1.21976,0.0963016,-1.37367,-1.22122,-1.05836,1.00287,861.816
mu_player[117],-1.07167,0.104916,-1.23697,-1.07376,-0.887472,1.00291,870.421
mu_player[118],-0.928177,0.0602672,-1.0269,-0.928275,-0.829915,1.00605,1777.61
mu_player[119],-0.793478,0.0987497,-0.955465,-0.791766,-0.631977,1.0038,1477.93
mu_player[120],-0.64024,0.0537054,-0.729489,-0.640629,-0.550441,1.00508,687.083
mu_player[121],-0.523236,0.0925938,-0.673291,-0.523092,-0.374104,1.00048,1535.83
mu_player[122],-0.881587,0.059456,-0.982117,-0.881731,-0.784317,1.00264,1371.1
mu_player[123],-1.13949,0.10284,-1.30703,-1.1382,-0.967329,1.00316,1259.76
mu_player[124],-0.508331,0.0594431,-0.602139,-0.510568,-0.406915,1.00715,1213.66
mu_player[125],-1.03899,0.0615346,-1.14307,-1.03733,-0.941572,1.00365,2171.99
mu_player[126],-0.645187,0.102429,-0.815381,-0.645868,-0.47409,1.00287,1130.0
mu_player[127],-0.962761,0.0699392,-1.07263,-0.964002,-0.84467,1.00093,1272.98
mu_player[128],-0.196346,0.0783488,-0.319104,-0.197178,-0.0649958,1.00244,1166.15
mu_player[129],-0.994514,0.075046,-1.11702,-0.993536,-0.871553,1.00608,1908.88
mu_player[130],-0.683938,0.0820888,-0.814179,-0.686384,-0.545944,1.00483,967.361
mu_player[131],-0.349435,0.0999674,-0.515345,-0.348139,-0.18806,1.00872,1166.08
mu_player[132],-1.03376,0.0655213,-1.13597,-1.0353,-0.922872,1.00222,1557.15
mu_player[133],-0.859806,0.0846044,-0.99936,-0.859927,-0.718654,1.0069,687.777
mu_player[134],-0.881327,0.0653786,-0.99109,-0.880224,-0.773309,1.00353,1263.34
mu_player[135],-0.907871,0.0927615,-1.05764,-0.907899,-0.755277,0.99949,1031.63
mu_player[136],-0.457695,0.0857317,-0.596338,-0.457486,-0.32371,1.00311,1317.34
mu_player[137],-0.436884,0.101646,-0.607903,-0.435358,-0.269666,1.00723,778.001
mu_player[138],-0.870794,0.0797097,-1.00067,-0.869428,-0.744096,1.00817,1987.99
mu_player[139],-0.492996,0.0887041,-0.637117,-0.496227,-0.346557,1.00391,1397.75
mu_player[140],-0.581966,0.0827829,-0.709186,-0.588162,-0.438078,1.00207,1401.73
mu_player[141],-1.0292,0.0971778,-1.18635,-1.03113,-0.856467,1.00625,1059.58
mu_player[142],-0.556515,0.0728334,-0.677778,-0.556305,-0.441215,1.00158,1406.72
mu_player[143],-0.637043,0.089668,-0.78298,-0.638401,-0.486645,1.00247,1166.42
mu_player[144],-0.671951,0.0854276,-0.808257,-0.672857,-0.530161,1.00312,1213.2
mu_player[145],-1.05289,0.0735098,-1.1768,-1.05187,-0.928764,1.00339,1674.16
mu_player[146],-0.24774,0.0816875,-0.384586,-0.245152,-0.12104,1.00673,570.321
mu_player[147],-0.530398,0.0834367,-0.669469,-0.529914,-0.392789,1.00639,1732.88
mu_player[148],-0.0740334,0.0866635,-0.225245,-0.0686133,0.0624768,1.00835,487.446
mu_player[149],-0.810407,0.116116,-1.00383,-0.812829,-0.61289,1.00175,1638.23
mu_player[150],-0.674249,0.0767152,-0.795989,-0.67774,-0.541756,1.00303,1291.49
mu_player[151],-0.847699,0.0674106,-0.96188,-0.845339,-0.73969,1.00547,1451.92
mu_player[152],-0.949035,0.0723759,-1.06875,-0.947975,-0.831909,0.999914,1453.83
mu_player[153],-1.02208,0.0928953,-1.17378,-1.02164,-0.87085,1.00146,1567.87
mu_player[154],-0.918893,0.0607774,-1.01357,-0.919789,-0.816133,1.00198,1356.26
mu_player[155],-0.853659,0.0602576,-0.951644,-0.851495,-0.754021,1.00306,1966.7
mu_player[156],-0.434334,0.107935,-0.621667,-0.430069,-0.264881,1.00652,828.507
mu_player[157],-0.179741,0.094078,-0.329179,-0.181926,-0.0283214,1.01233,1523.19
mu_player[158],-0.669543,0.0739099,-0.788732,-0.67035,-0.549271,1.0029,1400.92
mu_player[159],-0.751005,0.108688,-0.937123,-0.741676,-0.588133,1.0052,586.25
mu_player[160],-0.636435,0.0677803,-0.74659,-0.636888,-0.524816,1.00121,1318.84
mu_player[161],-0.444962,0.0985704,-0.605645,-0.446919,-0.288999,1.00333,1252.02
mu_player[162],-0.775294,0.12732,-0.9837,-0.773159,-0.573976,1.00288,1195.46
mu_player[163],-0.793817,0.096579,-0.953425,-0.792949,-0.636666,1.01305,586.007
mu_player[164],-0.471509,0.0989454,-0.635067,-0.467173,-0.308833,1.00549,960.412
mu_player[165],-0.374303,0.0970153,-0.527355,-0.374635,-0.211146,1.00183,1324.56
mu_player[166],-0.773703,0.0952754,-0.929459,-0.775809,-0.619135,1.01133,1099.86
mu_player[167],-0.692737,0.0880476,-0.844645,-0.691191,-0.556424,1.0052,1114.94
mu_player[168],-0.686534,0.0889241,-0.834068,-0.683639,-0.540919,1.00279,1601.98
mu_player[169],-0.606337,0.112843,-0.79517,-0.604693,-0.416164,1.00091,1202.08
mu_player[170],-0.674771,0.0661723,-0.783447,-0.674443,-0.567899,1.00119,1474.12
mu_player[171],-0.361552,0.0883604,-0.505776,-0.362557,-0.21842,1.00613,1116.59
mu_player[172],-0.482484,0.108573,-0.656658,-0.482008,-0.307964,1.00155,1472.68
mu_player[173],-1.34683,0.0815895,-1.47722,-1.34469,-1.21126,1.00119,1083.89
mu_player[174],-1.05098,0.0919466,-1.19217,-1.05127,-0.900495,1.00124,921.477
mu_player[175],-1.33124,0.0772734,-1.45576,-1.33288,-1.20132,1.0033,1917.38
mu_player[176],-0.952186,0.0760236,-1.07552,-0.953072,-0.82149,1.00237,2133.29
mu_player[177],-0.313341,0.124729,-0.535736,-0.303169,-0.117095,1.00353,1166.32
mu_player[178],-0.83793,0.121162,-1.03628,-0.839865,-0.641522,1.00501,993.304
mu_player[179],-0.703402,0.0817399,-0.842608,-0.702096,-0.568388,1.00151,1149.63
mu_player[180],-0.625912,0.109401,-0.805154,-0.626689,-0.442914,1.00646,1109.1
mu_player[181],-0.517675,0.108362,-0.679552,-0.524549,-0.325192,1.00938,1309.01
mu_player[182],-0.567342,0.115308,-0.744618,-0.572087,-0.373541,1.00118,982.193
mu_player[183],-0.946791,0.125775,-1.15194,-0.948248,-0.739942,1.00643,1244.04
mu_player[184],-0.712413,0.102862,-0.887382,-0.714419,-0.542344,1.00521,1079.19
mu_player[185],-0.575401,0.108554,-0.763374,-0.573194,-0.404055,1.00794,1332.85
mu_player[186],-0.449551,0.112978,-0.643849,-0.450235,-0.271869,1.00807,1551.6
mu_player[187],-0.662023,0.0943833,-0.826868,-0.660833,-0.508621,1.00997,1447.82
mu_player[188],-0.745313,0.117407,-0.930986,-0.749502,-0.545942,1.00347,911.429
mu_player[189],-0.721771,0.131073,-0.932571,-0.725002,-0.505297,1.00357,986.421
mu_player[190],-0.617201,0.0889079,-0.765295,-0.617932,-0.469212,1.00613,1155.67
mu_player[191],-0.710927,0.101264,-0.879025,-0.712293,-0.538968,1.00815,1635.92
mu_player[192],-0.757617,0.105918,-0.927284,-0.762044,-0.581882,1.01039,1381.58
mu_player[193],-0.805936,0.0963788,-0.963702,-0.805748,-0.653063,1.00264,1092.35
mu_player[194],-0.397558,0.0830017,-0.528597,-0.399652,-0.255088,1.00944,1373.04
mu_player[195],-0.376513,0.128987,-0.597591,-0.369636,-0.167542,1.00835,1061.2
mu_player[196],-0.882984,0.0823209,-1.01656,-0.882525,-0.741059,0.999387,1541.7
mu_player[197],-0.631824,0.110942,-0.817258,-0.629248,-0.455269,1.00546,1159.74
mu_player[198],-0.794017,0.0725808,-0.916335,-0.79531,-0.673673,1.00342,1292.03
mu_player[199],-0.818392,0.0912606,-0.962571,-0.819912,-0.659143,1.00248,1507.05
mu_player[200],-1.0219,0.0918158,-1.1716,-1.02379,-0.868909,1.00723,1002.1
sigma_position,0.0669914,0.0891435,0.00594121,0.039558,0.215364,1.00775,271.757
sigma_player,0.279358,0.016255,0.254187,0.278799,0.308497,1.00338,1430.59
peak_age_pos[1],27.7787,1.41494,25.3606,27.8237,29.9784,1.00571,430.255
peak_age_pos[2],28.0673,1.42816,25.6887,28.0952,30.3674,1.00251,377.249
peak_age_pos[3],27.9709,1.38084,25.7304,27.9902,30.221,0.999664,1132.55
gamma_pos[1],0.00386949,0.000898016,0.00242673,0.00387461,0.00532815,1.00488,625.765
gamma_pos[2],0.00433021,0.00102038,0.0026599,0.00432975,0.00602995,1.0088,977.514
gamma_pos[3],0.00234185,0.00140184,0.000321265,0.00217085,0.00494671,1.00023,1205.1
beta_age_pos[1],-0.00132667,0.0123312,-0.0206305,-0.00138923,0.0192978,1.00779,428.861
beta_age_pos[2],0.00513367,0.0130625,-0.0165209,0.00507313,0.0268122,1.00525,370.848
beta_age_pos[3],-0.00135923,0.0131257,-0.0237444,-0.00134152,0.0199216,1.00144,787.408
sigma_age_player,0.0182968,0.00804216,0.00216998,0.0191106,0.0306267,1.07473,36.6649
age_tilt_player_z[1],1.40149,0.940518,-0.252639,1.47282,2.79655,1.02072,171.151
age_tilt_player_z[2],0.34925,0.800679,-1.01951,0.378811,1.62943,1.0005,1195.71
age_tilt_player_z[3],-0.185901,0.88413,-1.63451,-0.190457,1.27671,1.0022,1322.38
age_tilt_player_z[4],-1.06735,0.920847,-2.4886,-1.14004,0.554001,1.01302,354.568
age_tilt_player_z[5],-0.394335,0.906952,-1.88744,-0.424257,1.14113,1.0065,1205.06
age_tilt_player_z[6],-0.138285,0.902953,-1.65721,-0.118604,1.37413,1.00401,1633.05
age_tilt_player_z[7],0.145727,0.915308,-1.40066,0.167362,1.69059,1.00118,1370.82
age_tilt_player_z[8],0.119223,0.907115,-1.38722,0.137091,1.58087,1.00328,1201.1
age_tilt_player_z[9],-0.173798,0.886627,-1.62915,-0.152359,1.32512,1.00209,1414.35
age_tilt_player_z[10],-0.0514425,0.871172,-1.46446,-0.0525309,1.35476,1.00189,2467.17
age_tilt_player_z[11],0.582506,0.932999,-0.941626,0.608642,2.09164,1.00485,1407.1
age_tilt_player_z[12],-0.343355,0.91394,-1.83462,-0.34104,1.19108,1.00392,1324.96
age_tilt_player_z[13],-0.217148,0.953954,-1.80015,-0.257483,1.41423,1.00116,1758.93
age_tilt_player_z[14],-0.0702444,0.925193,-1.56914,-0.0613224,1.48209,1.01002,1221.28
age_tilt_player_z[15],0.870614,0.948565,-0.748275,0.897856,2.41182,1.00248,388.547
age_tilt_player_z[16],0.460597,0.929149,-1.07894,0.456381,1.99316,1.0023,1169.01
age_tilt_player_z[17],0.403086,0.893567,-1.11164,0.409504,1.81705,1.00647,975.694
age_tilt_player_z[18],-0.0561913,0.960338,-1.62432,-0.0615931,1.54411,1.00469,1849.94
age_tilt_player_z[19],0.331338,0.93238,-1.21523,0.342664,1.79964,1.01004,1318.55
age_tilt_player_z[20],-0.00207499,0.902681,-1.47685,-0.00372908,1.4795,1.00633,1867.06
age_tilt_player_z[21],0.2537,0.957399,-1.34819,0.264465,1.81585,1.00195,1854.82
age_tilt_player_z[22],-0.199703,0.907688,-1.69185,-0.193418,1.31413,1.00727,1729.87
age_tilt_player_z[23],-0.594614,0.956503,-2.20523,-0.58968,0.887157,1.00809,1161.38
age_tilt_player_z[24],-0.105944,0.905627,-1.56771,-0.110663,1.38522,1.0033,1476.82
age_tilt_player_z[25],0.0273417,0.959825,-1.55259,0.0225484,1.57298,1.00179,1664.39
age_tilt_player_z[26],0.680883,0.935928,-0.829742,0.674003,2.25679,1.00542,805.718
age_tilt_player_z[27],0.744222,0.956142,-0.896527,0.784357,2.27706,1.0155,286.032
age_tilt_player_z[28],0.3089,0.941237,-1.22513,0.314062,1.84606,1.0008,1860.15
age_tilt_player_z[29],0.00323906,0.965975,-1.52642,-0.00330584,1.58471,1.0003,2001.41
age_tilt_player_z[30],0.930046,0.98461,-0.717867,0.956719,2.5632,1.01669,282.858
age_tilt_player_z[31],-0.209947,0.97169,-1.78425,-0.257312,1.42689,1.00167,2036.89
age_tilt_player_z[32],0.0315374,0.936253,-1.45201,0.0197174,1.56906,1.00797,1171.85
age_tilt_player_z[33],-0.27647,0.907609,-1.81166,-0.241512,1.2626,1.00589,1507.39
age_tilt_player_z[34],0.170935,0.915171,-1.29889,0.152743,1.62699,1.00732,1757.12
age_tilt_player_z[35],-0.406325,0.948444,-1.92162,-0.414566,1.17046,1.01,1410.27
age_tilt_player_z[36],0.0867357,0.865739,-1.34944,0.112119,1.49196,1.00147,1815.36
age_tilt_player_z[37],-0.564922,0.971797,-2.18211,-0.588615,1.03072,1.00509,816.561
age_tilt_player_z[38],-0.0559613,0.916955,-1.49111,-0.0655499,1.49736,1.00324,1366.72
age_tilt_player_z[39],-0.197685,0.928512,-1.75089,-0.213319,1.31699,1.00015,1880.25
age_tilt_player_z[40],-0.00848215,0.941175,-1.64605,0.019384,1.54041,1.00223,1585.8
age_tilt_player_z[41],-0.117262,0.925937,-1.6641,-0.13182,1.33075,0.998916,2160.29
age_tilt_player_z[42],-0.249192,0.975305,-1.83291,-0.273102,1.3466,1.00165,2026.01
age_tilt_player_z[43],-0.133788,0.944654,-1.63074,-0.145519,1.50115,1.00293,1980.78
age_tilt_player_z[44],0.113985,0.993227,-1.54689,0.130932,1.71424,1.00268,2461.62
age_tilt_player_z[45],0.161846,0.960512,-1.37835,0.130796,1.72996,1.00348,1830.96
age_tilt_player_z[46],-0.138742,0.923866,-1.66319,-0.0994328,1.34309,1.00219,1400.76
age_tilt_player_z[47],0.160533,0.944716,-1.41362,0.14851,1.71014,1.00827,1557.98
age_tilt_player_z[48],-0.110516,0.983995,-1.68276,-0.145831,1.50975,1.00623,1782.86
age_tilt_player_z[49],-0.168161,0.907624,-1.68443,-0.140893,1.31279,1.00023,1631.25
age_tilt_player_z[50],0.0362991,1.0301,-1.64277,0.0367751,1.70077,1.00488,1515.27
age_tilt_player_z[51],-0.150702,0.948961,-1.67135,-0.14163,1.35937,1.00187,2116.63
age_tilt_player_z[52],0.242886,0.973356,-1.33942,0.258294,1.81039,1.00205,1916.41
age_tilt_player_z[53],-0.220934,0.951053,-1.74983,-0.224448,1.36041,1.00584,1609.6
age_tilt_player_z[54],-0.370452,0.988994,-1.95047,-0.36531,1.23716,1.0017,1055.01
age_tilt_player_z[55],-0.227606,0.924723,-1.74518,-0.22748,1.30926,1.00382,1254.1
age_tilt_player_z[56],0.35709,1.00993,-1.34263,0.36301,2.03113,1.00144,1753.37
age_tilt_player_z[57],-0.260569,0.977926,-1.85051,-0.244218,1.35527,1.00482,2675.14
age_tilt_player_z[58],0.411852,0.932403,-1.11561,0.404761,2.00029,1.00795,1209.96
age_tilt_player_z[59],0.0533728,0.914168,-1.49502,0.0781087,1.60128,1.00082,1595.4
age_tilt_player_z[60],0.0476233,0.952552,-1.50013,0.0409188,1.61214,1.00396,1866.99
age_tilt_player_z[61],0.0194186,1.00412,-1.70276,-0.0334564,1.7101,0.999378,2359.16
age_tilt_player_z[62],0.147721,0.932581,-1.3709,0.14751,1.64492,1.00528,1858.97
age_tilt_player_z[63],-0.43961,0.899392,-1.95958,-0.416211,0.980837,1.00506,1174.4
age_tilt_player_z[64],0.29813,0.967865,-1.33485,0.283845,1.8686,1.00227,1736.02
age_tilt_player_z[65],0.0323156,0.955733,-1.5607,0.0127772,1.60864,1.00041,1600.95
age_tilt_player_z[66],-0.299884,0.956599,-1.862,-0.326113,1.31156,1.00786,992.443
age_tilt_player_z[67],-0.348491,0.978981,-1.9227,-0.354869,1.1885,1.00503,1284.04
age_tilt_player_z[68],-0.275468,1.02721,-1.93706,-0.264061,1.36036,1.0094,1569.01
age_tilt_player_z[69],0.173821,0.981966,-1.4409,0.189329,1.80153,0.99999,1367.15
