param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.781851,0.176841,-1.11576,-0.768391,-0.560172,1.03806,114.679
mu_position[1],-0.721051,0.12085,-0.909327,-0.731573,-0.503361,1.0037,114.547
mu_position[2],-0.896206,0.133461,-1.10542,-0.889978,-0.693705,1.00437,78.7661
mu_position[3],-0.636136,0.104685,-0.779103,-0.637789,-0.466708,0.994826,119.048
mu_player[1],-0.623233,0.128881,-0.809738,-0.614459,-0.430751,1.01408,89.3578
mu_player[2],-0.675211,0.190205,-0.933734,-0.686432,-0.378946,0.997694,92.2387
mu_player[3],-0.780833,0.143696,-1.02161,-0.759879,-0.56441,1.01675,45.9668
mu_player[4],-0.859276,0.131791,-1.04583,-0.866219,-0.616227,1.02943,56.3482
mu_player[5],-0.44673,0.127462,-0.679567,-0.42451,-0.260068,1.0058,110.132
mu_player[6],-1.22706,0.1405,-1.46036,-1.21457,-1.05009,1.0079,72.7999
mu_player[7],-0.684048,0.121186,-0.866617,-0.689876,-0.44249,1.05797,100.388
mu_player[8],-0.866141,0.115634,-1.06736,-0.860521,-0.678972,1.00814,88.6167
mu_player[9],-0.614239,0.134835,-0.834655,-0.595468,-0.377206,1.00174,109.483
mu_player[10],-0.609451,0.114471,-0.783386,-0.628255,-0.390482,1.03622,104.004
sigma_position,0.279183,0.223281,0.0579541,0.207993,0.708665,1.06391,29.4883
sigma_player,0.215413,0.0769856,0.109408,0.21009,0.342259,0.987313,81.7417
peak_age_pos[1],28.0232,1.40322,25.8612,28.1095,30.171,1.03247,68.4139
peak_age_pos[2],27.9796,1.34692,25.6979,27.9659,30.3857,1.05503,40.7097
peak_age_pos[3],28.3127,1.18709,26.4492,28.3303,30.0812,1.07972,32.1383
gamma_pos[1],0.0090766,0.00709553,0.000681422,0.00731568,0.0220605,1.04185,39.1365
gamma_pos[2],0.00404679,0.00326152,0.000503049,0.00318637,0.010053,0.999544,60.923
gamma_pos[3],0.00370891,0.00320257,0.000201283,0.00258996,0.00975226,1.01722,46.9707
beta_age_pos[1],0.000314533,0.0385248,-0.0566209,-0.00230745,0.0634386,1.013,92.6761
beta_age_pos[2],0.00913625,0.0360659,-0.0465958,0.0101992,0.0631171,0.999732,114.545
beta_age_pos[3],0.00828322,0.0342316,-0.0387004,0.00673213,0.0731467,0.9961,86.6633
sigma_age_player,0.0231661,0.0188094,0.0027512,0.0168147,0.0641726,1.0528,38.2441
age_tilt_player_z[1],-0.0632941,0.897213,-1.57522,-0.0213349,1.20034,0.999902,107.236
age_tilt_player_z[2],0.0265484,0.919911,-1.36404,0.02234,1.50553,0.999396,98.8813
age_tilt_player_z[3],0.547859,0.869185,-0.922809,0.677615,1.87914,1.07333,27.2984
age_tilt_player_z[4],-0.302084,0.941273,-1.79009,-0.26728,1.17948,0.996049,122.422
age_tilt_player_z[5],0.061176,1.03856,-1.43824,0.0978421,1.53436,0.998491,167.85
age_tilt_player_z[6],-0.563185,0.86883,-1.80118,-0.595338,0.875832,1.04326,82.5311
age_tilt_player_z[7],-0.0823543,0.844918,-1.63013,-0.0690631,1.40947,1.04459,83.9129
age_tilt_player_z[8],0.0755062,0.837226,-1.44626,0.220393,1.29951,1.01473,144.334
age_tilt_player_z[9],0.197879,0.917756,-1.09979,0.185836,1.6273,1.01121,62.0905
