param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.687596,0.0623272,-0.781342,-0.685855,-0.606754,1.0057,870.558
mu_position[1],-0.674805,0.0304806,-0.724232,-0.675345,-0.623232,1.00005,956.727
mu_position[2],-0.694285,0.033236,-0.749644,-0.694515,-0.641097,1.00218,1175.48
mu_position[3],-0.684215,0.0448818,-0.756439,-0.685444,-0.610181,0.9999,1994.13
mu_player[1],-0.533088,0.2076,-0.868145,-0.534138,-0.203893,1.00491,2269.42
mu_player[2],-0.527466,0.191873,-0.832705,-0.52779,-0.215865,1.00076,1872.9
mu_player[3],-0.47505,0.190685,-0.793909,-0.478384,-0.164497,1.00028,3047.13
mu_player[4],-0.974525,0.214603,-1.33357,-0.970199,-0.629274,1.001,2276.94
mu_player[5],-0.697911,0.204743,-1.0347,-0.703559,-0.363917,1.00448,2846.99
mu_player[6],-0.507226,0.179643,-0.796709,-0.507344,-0.204097,1.00612,2372.75
mu_player[7],-0.727,0.187974,-1.0319,-0.729967,-0.41558,1.00148,2855.5
mu_player[8],-0.42448,0.151467,-0.6746,-0.421732,-0.179816,1.00345,2732.64
mu_player[9],-0.529608,0.152235,-0.776781,-0.529688,-0.279768,0.999122,3183.88
mu_player[10],-0.572156,0.162865,-0.839015,-0.570297,-0.29984,1.00598,2485.61
mu_player[11],-0.800894,0.168488,-1.08663,-0.798616,-0.532842,1.00077,2535.33
mu_player[12],-0.968422,0.165991,-1.24623,-0.967046,-0.703535,1.00741,1552.52
mu_player[13],-0.882443,0.17023,-1.16372,-0.880003,-0.595206,1.00579,2428.06
mu_player[14],-0.256554,0.13932,-0.478641,-0.260605,-0.0295197,1.00348,1674.97
mu_player[15],-0.333359,0.174667,-0.619516,-0.337019,-0.0426348,1.00313,2345.42
mu_player[16],-0.413046,0.138187,-0.652167,-0.410936,-0.194619,1.01043,2534.73
mu_player[17],-0.594692,0.125747,-0.804662,-0.593681,-0.384564,1.003,2773.42
mu_player[18],-0.655008,0.158777,-0.922099,-0.654046,-0.399356,1.00153,2530.61
mu_player[19],-0.385597,0.127236,-0.600094,-0.385078,-0.179054,1.00351,1911.87
mu_player[20],-0.545379,0.0818584,-0.675,-0.547524,-0.405252,1.0096,2557.37
mu_player[21],-0.715015,0.105997,-0.888338,-0.714241,-0.541142,1.00044,2246.5
mu_player[22],-0.487849,0.109391,-0.664766,-0.488513,-0.312443,1.00289,2736.84
mu_player[23],-0.558248,0.0781995,-0.687864,-0.555675,-0.429506,1.00026,2663.01
mu_player[24],-0.584889,0.138198,-0.804738,-0.589645,-0.348882,1.00442,2869.58
mu_player[25],-1.08469,0.102851,-1.25134,-1.08603,-0.91294,1.00131,2034.4
mu_player[26],-0.57776,0.139444,-0.804133,-0.575815,-0.360327,1.00141,2639.99
mu_player[27],-0.622202,0.145248,-0.858825,-0.619348,-0.385311,1.00223,2570.65
mu_player[28],-0.356351,0.0706031,-0.471468,-0.354179,-0.23977,0.999019,2033.14
mu_player[29],-0.31878,0.0623334,-0.421969,-0.318854,-0.220064,1.00027,1691.73
mu_player[30],-0.353044,0.112775,-0.536487,-0.353648,-0.170734,1.00148,2393.21
mu_player[31],-0.721809,0.0628413,-0.822863,-0.722886,-0.617674,1.00246,1649.53
mu_player[32],-0.786501,0.0826714,-0.924672,-0.788334,-0.650088,1.00211,1946.43
mu_player[33],-1.23832,0.135487,-1.45706,-1.23972,-1.00413,1.00352,2050.22
mu_player[34],-0.457706,0.101881,-0.62599,-0.45541,-0.284275,1.0027,2191.83
mu_player[35],-0.906129,0.143726,-1.14307,-0.904946,-0.676537,1.00353,2450.99
mu_player[36],-0.463389,0.0975148,-0.621111,-0.460054,-0.297879,1.00349,2283.57
mu_player[37],-0.706921,0.0599113,-0.80305,-0.708076,-0.604021,1.0031,1805.95
mu_player[38],-0.778027,0.110772,-0.960474,-0.777697,-0.596307,1.00149,2156.32
mu_player[39],-0.927036,0.0718296,-1.04557,-0.927633,-0.805844,1.0027,1978.9
mu_player[40],-0.97177,0.140738,-1.20715,-0.966524,-0.741471,1.00031,2142.67
mu_player[41],-0.735622,0.0806179,-0.865636,-0.733847,-0.605505,1.001,2542.98
mu_player[42],-1.13148,0.0639666,-1.23947,-1.13175,-1.03018,1.002,1789.42
