param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.778593,0.196578,-1.08766,-0.759783,-0.534616,1.00057,200.0
mu_position[1],-0.742216,0.103323,-0.917218,-0.750177,-0.580085,0.993585,85.907
mu_position[2],-0.892677,0.15136,-1.11884,-0.878888,-0.665296,0.99925,80.8012
mu_position[3],-0.616984,0.118292,-0.841212,-0.610181,-0.458668,1.02883,106.583
mu_player[1],-0.612441,0.108186,-0.799744,-0.612058,-0.435312,0.984257,88.3656
mu_player[2],-0.685763,0.136106,-0.89677,-0.683359,-0.478911,1.01896,70.1723
mu_player[3],-0.86705,0.147179,-1.10283,-0.839054,-0.648622,1.01498,95.9105
mu_player[4],-0.832893,0.12361,-1.03602,-0.831808,-0.642205,0.992816,54.1995
mu_player[5],-0.446895,0.123829,-0.629127,-0.458737,-0.199582,0.999432,104.493
mu_player[6],-1.13061,0.167481,-1.40497,-1.13393,-0.84504,1.01974,50.3141
mu_player[7],-0.719904,0.110216,-0.89332,-0.719417,-0.553534,1.02851,178.601
mu_player[8],-0.861228,0.128856,-1.09101,-0.856086,-0.639417,1.02361,77.059
mu_player[9],-0.627738,0.121405,-0.817067,-0.631918,-0.441282,0.995485,112.353
mu_player[10],-0.601592,0.0997863,-0.73359,-0.605963,-0.420738,1.02246,84.2298
sigma_position,0.264346,0.248852,0.0438312,0.192113,0.582576,1.05714,40.4883
sigma_player,0.177401,0.100307,0.0389491,0.170187,0.346391,1.05227,36.4545
peak_age_pos[1],28.0762,1.6144,25.6519,27.9275,30.5788,1.00477,76.5448
peak_age_pos[2],28.1942,1.84445,25.7453,28.0147,31.8966,0.990509,63.5043
peak_age_pos[3],28.4545,1.32803,26.6089,28.4697,30.8293,1.04942,52.7991
gamma_pos[1],0.00702978,0.0065718,0.000819049,0.00538995,0.0215475,1.01144,101.093
gamma_pos[2],0.00360259,0.0034546,0.000187885,0.00263448,0.00948146,1.02988,69.7892
gamma_pos[3],0.0049509,0.00481873,0.000100958,0.00398745,0.0135701,0.99918,48.7521
beta_age_pos[1],0.00869932,0.0366775,-0.0539201,0.00912735,0.0636717,1.00229,104.582
beta_age_pos[2],0.0139637,0.0394005,-0.053097,0.0178032,0.0735978,1.02909,76.9042
beta_age_pos[3],0.014332,0.0289099,-0.0308065,0.0111692,0.0638277,0.993436,85.8992
sigma_age_player,0.031193,0.0220963,0.000618211,0.0303281,0.0723318,1.07146,29.3626
age_tilt_player_z[1],-0.098183,0.892484,-1.69259,-0.0136103,1.12998,1.03552,147.108
age_tilt_player_z[2],-0.12223,0.867881,-1.45152,-0.107789,1.34547,1.08809,90.5141
age_tilt_player_z[3],0.50007,0.881164,-0.933157,0.483294,1.84405,1.06155,133.075
age_tilt_player_z[4],-0.284224,0.917277,-1.49301,-0.482213,1.28663,1.04868,121.146
age_tilt_player_z[5],-0.0780428,1.01359,-1.61818,-0.0783514,1.38099,0.991208,151.662
age_tilt_player_z[6],-0.557917,1.09967,-2.1128,-0.633454,1.42818,1.03251,87.6436
age_tilt_player_z[7],-0.0303285,0.703317,-1.20183,-0.00584927,0.977576,1.05798,132.188
age_tilt_player_z[8],-0.01243,0.973872,-1.43311,-0.0895158,1.48726,1.0814,97.2533
age_tilt_player_z[9],0.30643,0.881645,-1.03835,0.239306,1.73632,1.0166,123.433
age_tilt_player_z[10],0.376575,0.883498,-1.1019,0.387915,1.78776,0.994326,171.187
beta_pace,0.109381,0.0460652,0.0289549,0.111674,0.184743,1.00313,166.889
beta_mates_usage,-0.122058,0.107832,-0.295189,-0.116221,0.0518195,0.997516,124.765
beta_team_quality,-0.00269926,0.0406954,-0.0715871,-0.000766378,0.0573229,1.03423,74.8573
beta_gravity,-0.00355566,0.031779,-0.0582104,-0.00296358,0.0446504,0.988213,74.525
beta_young_on_tank,-0.0206733,0.247286,-0.398728,-0.0407397,0.395683,1.08459,99.6926
beta_alpha_promotion,0.00374611,0.232912,-0.338389,0.013542,0.34728,1.10439,176.713
beta_wowy_resid_young,0.0249329,0.281328,-0.440832,0.0326588,0.43894,1.01342,161.573
beta_wowy_resid_peak,-0.0681649,0.0451308,-0.145288,-0.0627931,-0.00646523,0.987487,87.6201
beta_wowy_resid_old,-0.0590054,0.199408,-0.32778,-0.0429388,0.296499,1.01444,58.2928
phi,10.8776,1.06355,9.31898,10.8515,12.8997,0.998716,94.1257
age_tilt_player[1],0.00780448,0.0348679,-0.0535045,0.00850878,0.0606056,1.00179,90.2961
age_tilt_player[2],0.00794003,0.0307792,-0.0419671,0.00853168,0.0588997,1.01023,66.2259
age_tilt_player[3],0.034611,0.0459518,-0.0290016,0.0343419,0.119135,1.04211,55.3805
age_tilt_player[4],-0.00688695,0.0538045,-0.0948959,-0.00710811,0.0710514,1.00727,76.9245
age_tilt_player[5],0.0133356,0.0527377,-0.0623117,0.0112569,0.0878953,1.0248,103.283
age_tilt_player[6],-0.0122359,0.0580125,-0.124745,-0.00688161,0.0619972,1.02936,58.2484
age_tilt_player[7],0.00721063,0.0413474,-0.0555494,0.0103685,0.0675369,1.01124,75.0808
age_tilt_player[8],0.0164991,0.0487366,-0.0520513,0.0188383,0.0995685,1.00942,91.5044
age_tilt_player[9],0.0260387,0.0406216,-0.0344253,0.0201091,0.110044,0.99494,109.388
age_tilt_player[10],0.0244271,0.0517067,-0.0540296,0.0288693,0.0856562,0.996196,189.201
rate_per_36_at_27[1],19.6268,2.14271,16.18,19.5204,23.2943,0.984257,88.3656
rate_per_36_at_27[2],18.2983,2.45009,14.6839,18.1771,22.3005,1.01896,70.1723
rate_per_36_at_27[3],15.287,2.19775,11.9495,15.5563,18.8197,1.01498,95.9105
rate_per_36_at_27[4],15.7714,1.95757,12.7751,15.6694,18.9407,0.994889,54.1995
rate_per_36_at_27[5],23.2051,2.97247,19.1901,22.7549,29.4868,0.997955,104.493
rate_per_36_at_27[6],11.7875,2.04112,8.83353,11.5836,15.4637,1.02013,50.3141
rate_per_36_at_27[7],17.6294,1.92075,14.7347,17.5333,20.6969,1.0317,178.601
rate_per_36_at_27[8],15.3402,1.97049,12.0916,15.2936,18.9936,1.01944,77.059
rate_per_36_at_27[9],19.3561,2.32335,15.9022,19.1365,23.1559,0.995485,112.353
rate_per_36_at_27[10],19.824,2.00479,17.2866,19.6397,23.6363,1.03164,84.2298
rate_per_36_position_at_27[1],17.2283,1.76814,14.3868,17.0022,20.1547,0.995235,85.907
rate_per_36_position_at_27[2],14.9101,2.22627,11.7597,14.9489,18.5087,0.998735,80.8012
rate_per_36_position_at_27[3],19.5558,2.22931,15.5235,19.5571,22.7566,1.02883,106.583
rate_per_36_league_at_27,16.8458,3.40589,12.1322,16.8396,21.0926,0.999344,200.0
"age_curve_position[1,1]",10.61,5.83682,3.3733,9.46784,22.4776,1.01664,117.162
"age_curve_position[1,2]",11.4742,5.37781,4.82825,10.6311,21.9379,1.01693,118.741
"age_curve_position[1,3]",12.3763,4.84268,6.14524,11.7511,21.4234,1.01686,116.663
"age_curve_position[1,4]",13.2941,4.24538,7.34544,12.6948,21.1662,1.01637,112.209
"age_curve_position[1,5]",14.1974,3.61394,8.88068,13.5751,20.8815,1.01823,108.946
"age_curve_position[1,6]",15.0481,2.99142,10.9967,14.8863,20.3036,1.01531,107.238
"age_curve_position[1,7]",15.8035,2.43381,12.4183,15.6101,19.9837,1.0014,86.2425
"age_curve_position[1,8]",16.4209,2.00452,13.4592,16.3555,19.8984,1.00445,80.1734
"age_curve_position[1,9]",16.8629,1.7636,13.9931,16.641,19.9706,1.00047,83.4271
"age_curve_position[1,10]",17.103,1.7476,14.3396,17.0135,20.5223,1.00171,97.6177
"age_curve_position[1,11]",17.1295,1.95382,14.3106,17.1033,20.8905,0.985134,115.747
"age_curve_position[1,12]",16.9473,2.35225,13.7313,16.7401,21.3652,0.989511,128.953
"age_curve_position[1,13]",16.5763,2.90293,12.5691,16.2754,22.0831,1.00469,122.377
"age_curve_position[1,14]",16.0479,3.55934,11.6845,15.6923,22.5507,1.02019,111.658
"age_curve_position[1,15]",15.3997,4.27067,9.79315,14.8573,22.6719,1.02831,110.403
"age_curve_position[1,16]",14.6704,4.98826,7.63985,14.1741,22.937,1.02612,102.676
"age_curve_position[1,17]",13.8956,5.67257,6.21653,13.359,23.6314,1.01905,103.565
"age_curve_position[1,18]",13.1049,6.29713,4.48336,12.5893,24.182,1.01582,91.1708
"age_curve_position[1,19]",12.321,6.8492,3.09723,11.6609,24.5782,1.01259,86.5618
"age_curve_position[1,20]",11.5597,7.32751,2.0528,10.8609,24.8117,1.0167,83.2179
"age_curve_position[1,21]",10.8315,7.73875,1.30514,9.79953,24.878,1.01846,83.2474
"age_curve_position[1,22]",10.1425,8.09374,0.79526,8.68661,24.7759,1.02023,83.3059
"age_curve_position[1,23]",9.49597,8.40447,0.445465,7.61362,24.6669,1.02024,83.5179
"age_curve_position[1,24]",8.89311,8.68207,0.245889,6.69436,25.0333,1.01886,83.5774
"age_curve_position[2,1]",10.7228,5.83126,3.33547,9.34523,21.8388,1.01904,68.4464
"age_curve_position[2,2]",11.2309,5.41003,4.01907,10.0769,21.503,1.01992,65.8316
"age_curve_position[2,3]",11.7468,4.95709,4.80974,10.6643,20.8208,1.02316,63.3974
"age_curve_position[2,4]",12.2639,4.47663,5.68456,11.3372,20.825,1.02564,61.0249
"age_curve_position[2,5]",12.7737,3.97656,6.84689,12.0499,20.4176,1.02582,62.0437
"age_curve_position[2,6]",13.2659,3.4697,7.99131,12.8651,19.9254,1.02494,62.6995
"age_curve_position[2,7]",13.7294,2.97543,9.28864,13.2296,19.112,1.01726,69.7228
"age_curve_position[2,8]",14.1517,2.52196,10.5907,13.7583,18.3929,1.00694,75.3503
"age_curve_position[2,9]",14.5207,2.14893,11.2995,14.4902,18.1071,0.994963,82.9114
"age_curve_position[2,10]",14.8246,1.90557,11.8188,14.8758,17.9012,0.986435,84.183
"age_curve_position[2,11]",15.0534,1.83306,12.2755,15.1165,17.8483,0.992054,86.5218
"age_curve_position[2,12]",15.1996,1.93361,12.1594,15.0434,18.1998,0.998476,85.5851
"age_curve_position[2,13]",15.2587,2.16852,12.1086,15.107,18.3667,1.01342,83.6137
"age_curve_position[2,14]",15.2299,2.49211,11.4436,15.1097,19.04,1.02498,68.3913
"age_curve_position[2,15]",15.116,2.87383,10.807,15.1265,19.791,1.03345,63.0915
"age_curve_position[2,16]",14.9229,3.2976,10.1437,14.7678,20.4908,1.0386,62.3016
"age_curve_position[2,17]",14.6596,3.75428,9.27004,14.3236,21.0193,1.043,50.8772
"age_curve_position[2,18]",14.3368,4.23609,8.41131,13.8804,21.8086,1.04041,52.2306
"age_curve_position[2,19]",13.9664,4.73427,7.60668,13.199,22.6592,1.03866,56.2495
"age_curve_position[2,20]",13.5606,5.23909,6.79007,12.4575,23.6541,1.03404,60.0858
"age_curve_position[2,21]",13.1308,5.74096,5.74213,11.9186,23.6031,1.03111,60.5079
"age_curve_position[2,22]",12.6877,6.23168,4.75064,11.088,23.2477,1.0284,60.4896
"age_curve_position[2,23]",12.2406,6.70526,3.88619,10.3988,23.5486,1.02998,66.2796
"age_curve_position[2,24]",11.7969,7.15818,3.17706,9.71889,24.5593,1.03687,67.9103
"age_curve_position[3,1]",12.3781,5.37651,4.74421,11.4801,21.932,1.01393,57.1592
"age_curve_position[3,2]",13.2968,4.89566,5.93754,12.7256,21.7149,1.01345,59.0136
"age_curve_position[3,3]",14.2502,4.3811,7.22363,13.7319,21.4769,1.01337,61.009
"age_curve_position[3,4]",15.2177,3.85331,8.85635,14.9053,22.0385,1.01419,61.0329
"age_curve_position[3,5]",16.1732,3.34306,10.3214,15.9289,21.4121,1.01895,57.0794
"age_curve_position[3,6]",17.0864,2.89101,12.4526,17.319,20.9222,1.02243,58.437
"age_curve_position[3,7]",17.9248,2.54107,13.5494,18.2692,21.6745,1.01336,69.0708
"age_curve_position[3,8]",18.6559,2.32508,14.6549,18.7407,21.9799,1.01113,80.9497
"age_curve_position[3,9]",19.2502,2.24657,14.8616,19.4504,22.5047,1.02275,96.0446
"age_curve_position[3,10]",19.6845,2.2858,15.5242,19.788,23.1168,1.02418,95.959
"age_curve_position[3,11]",19.9439,2.4276,15.8901,19.8198,23.7438,1.02561,74.7579
"age_curve_position[3,12]",20.0237,2.67958,16.2406,19.6954,23.9796,1.02722,51.9725
"age_curve_position[3,13]",19.9295,3.06158,15.3691,19.7463,24.6516,1.02864,53.2861
"age_curve_position[3,14]",19.6762,3.582,14.1164,19.2801,25.9283,1.01246,74.1782
"age_curve_position[3,15]",19.2863,4.22631,13.3493,18.7469,27.162,1.00504,86.5625
"age_curve_position[3,16]",18.7869,4.96294,12.2929,18.1149,28.3638,0.998418,84.4982
"age_curve_position[3,17]",18.2072,5.75483,10.7047,17.4826,29.5505,1.00364,82.0905
"age_curve_position[3,18]",17.5758,6.56769,9.04363,16.1348,29.6832,1.00744,85.0909
"age_curve_position[3,19]",16.919,7.37405,7.25688,15.178,30.7555,1.01866,85.9669
"age_curve_position[3,20]",16.2593,8.15423,5.98712,14.4289,32.3093,1.01577,84.1361
"age_curve_position[3,21]",15.6147,8.89591,4.50605,13.801,33.7172,1.024,82.6202
"age_curve_position[3,22]",14.9989,9.59302,3.28113,12.6875,34.5871,1.02481,80.2409
"age_curve_position[3,23]",14.421,10.2445,2.3304,11.8052,35.3628,1.03221,76.4964
"age_curve_position[3,24]",13.8866,10.8528,1.60994,10.704,36.0371,1.04499,75.3049
pace_lift_strong,0.109381,0.0460652,0.0289549,0.111674,0.184743,1.00313,166.889
usage_lift_strong,-0.122058,0.107832,-0.295189,-0.116221,0.0518195,0.997516,124.765
team_quality_lift_strong,-0.00269926,0.0406954,-0.0715871,-0.000766378,0.0573229,1.03423,74.8573
gravity_lift_strong,-0.00355566,0.031779,-0.0582104,-0.00296358,0.0446504,0.988213,74.525
young_on_tank_lift,-0.0206733,0.247286,-0.398728,-0.0407397,0.395683,1.08459,99.6926
alpha_promotion_lift,0.00374611,0.232912,-0.338389,0.013542,0.34728,1.10439,176.713
wowy_resid_lift_young,0.0249329,0.281328,-0.440832,0.0326588,0.43894,1.01342,161.573
wowy_resid_lift_peak,-0.0681649,0.0451308,-0.145288,-0.0627931,-0.00646523,0.987487,87.6201
wowy_resid_lift_old,-0.0590054,0.199408,-0.32778,-0.0429388,0.296499,1.01444,58.2928
