param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.722898,0.0984241,-0.895377,-0.707024,-0.630851,1.02443,273.905
mu_position[1],-0.692293,0.0300519,-0.738872,-0.693195,-0.641164,1.00881,1073.2
mu_position[2],-0.712503,0.0329345,-0.767745,-0.712457,-0.658434,1.00734,748.802
mu_position[3],-0.70716,0.0440435,-0.778919,-0.707132,-0.637254,1.00646,2419.35
mu_player[1],-0.478742,0.206715,-0.822919,-0.478013,-0.153722,1.00196,2002.06
mu_player[2],-0.466276,0.200256,-0.803777,-0.466724,-0.138641,0.999591,2631.58
mu_player[3],-0.403652,0.189751,-0.710677,-0.405568,-0.0914799,1.00574,2591.95
mu_player[4],-0.885989,0.207729,-1.21984,-0.88214,-0.544534,1.00056,2869.4
mu_player[5],-0.719895,0.190837,-1.03686,-0.717263,-0.416776,0.998943,3006.95
mu_player[6],-0.542437,0.173378,-0.830614,-0.548034,-0.258138,1.00714,2355.4
mu_player[7],-0.683541,0.183021,-0.979859,-0.689416,-0.389184,0.999849,2155.69
mu_player[8],-0.478141,0.146672,-0.717756,-0.480453,-0.229521,1.00129,2772.37
mu_player[9],-0.604532,0.167237,-0.874166,-0.610277,-0.328014,1.00328,2234.53
mu_player[10],-0.533857,0.169099,-0.811029,-0.525388,-0.258179,1.00067,2966.61
mu_player[11],-0.638525,0.166556,-0.902073,-0.640022,-0.373121,1.0008,2734.17
mu_player[12],-0.809144,0.158269,-1.06914,-0.806711,-0.54942,1.00063,2014.43
mu_player[13],-0.87051,0.171821,-1.14828,-0.871524,-0.580796,1.0014,2120.06
mu_player[14],-0.210598,0.132858,-0.423868,-0.212633,0.0147303,0.999359,2332.49
mu_player[15],-0.349286,0.179284,-0.637899,-0.348591,-0.0536317,1.00226,2664.37
mu_player[16],-0.396981,0.138765,-0.616174,-0.393921,-0.173211,0.999748,2342.01
mu_player[17],-0.413876,0.12901,-0.62143,-0.416326,-0.199515,0.999745,2169.69
mu_player[18],-0.56486,0.163378,-0.836645,-0.563702,-0.295288,0.999493,2833.64
mu_player[19],-0.380082,0.136998,-0.609981,-0.377953,-0.159275,1.00289,2653.68
mu_player[20],-0.524864,0.0900241,-0.673085,-0.525247,-0.378601,1.00407,3928.31
mu_player[21],-0.728893,0.112806,-0.919345,-0.724958,-0.546692,1.00376,2029.98
mu_player[22],-0.512626,0.124121,-0.713723,-0.512348,-0.301617,1.00411,3774.66
mu_player[23],-0.591037,0.0903564,-0.737441,-0.590863,-0.442389,1.00189,1934.4
mu_player[24],-0.574428,0.142323,-0.81038,-0.574787,-0.345317,1.00195,2469.07
mu_player[25],-1.02321,0.117519,-1.22113,-1.02125,-0.824498,1.00262,2657.27
mu_player[26],-0.493577,0.139965,-0.724067,-0.495693,-0.265861,1.00638,2794.65
mu_player[27],-0.552214,0.142011,-0.78086,-0.551597,-0.319019,0.999271,2548.73
mu_player[28],-0.360056,0.0816427,-0.497386,-0.360563,-0.228152,1.00482,1984.54
mu_player[29],-0.333681,0.0763104,-0.454842,-0.335056,-0.207437,1.00491,2867.29
mu_player[30],-0.298007,0.12347,-0.509835,-0.294863,-0.100356,1.00156,2684.03
mu_player[31],-0.712829,0.076782,-0.839887,-0.715083,-0.582085,1.00075,2567.95
mu_player[32],-0.763527,0.0910327,-0.909646,-0.76643,-0.614192,1.00377,2165.62
mu_player[33],-1.22642,0.147299,-1.46459,-1.22714,-0.989254,1.00164,2122.53
mu_player[34],-0.442292,0.104622,-0.606229,-0.444212,-0.274858,1.0033,2290.19
mu_player[35],-0.845757,0.153386,-1.10727,-0.841838,-0.596449,1.00263,2261.46
mu_player[36],-0.490937,0.105148,-0.664575,-0.492807,-0.320585,1.00098,2376.24
mu_player[37],-0.704802,0.0694325,-0.819603,-0.70457,-0.591693,1.00065,1973.06
mu_player[38],-0.753468,0.121565,-0.959625,-0.755519,-0.550356,1.00182,1991.25
mu_player[39],-0.907739,0.0803344,-1.03785,-0.908092,-0.775982,1.00136,2244.75
mu_player[40],-0.931878,0.147618,-1.17182,-0.929874,-0.680816,1.00061,2103.02
mu_player[41],-0.710066,0.0887962,-0.855954,-0.709235,-0.565886,1.00228,2772.79
mu_player[42],-1.11673,0.0779151,-1.24484,-1.11586,-0.995689,0.999512,3426.2
mu_player[43],-0.611914,0.0934456,-0.764744,-0.6125,-0.458222,0.999952,2369.32
mu_player[44],-0.115631,0.0472389,-0.191566,-0.11651,-0.0342268,0.999966,945.498
mu_player[45],-0.649373,0.133406,-0.867208,-0.647511,-0.429313,1.00689,2080.18
mu_player[46],-0.413227,0.0475237,-0.491102,-0.412995,-0.334426,1.00209,2134.3
mu_player[47],-0.431408,0.0879311,-0.577028,-0.430144,-0.287152,1.00159,2329.66
mu_player[48],-1.03277,0.0636418,-1.14032,-1.03179,-0.928129,1.00165,1825.63
