param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.65281,0.261089,-2.10706,-1.64256,-1.24418,1.00104,1937.91
mu_position[1],-2.05464,0.0309834,-2.1032,-2.05466,-2.00297,1.00011,1495.25
mu_position[2],-1.61359,0.0352003,-1.67154,-1.61328,-1.55628,1.00144,2460.25
mu_position[3],-1.13699,0.0573867,-1.23374,-1.13469,-1.04307,1.0057,2575.96
mu_player[1],-1.49191,0.197052,-1.8223,-1.49206,-1.17678,1.00115,1982.55
mu_player[2],-1.86239,0.192084,-2.17236,-1.85935,-1.54946,1.00079,2479.99
mu_player[3],-1.89738,0.191104,-2.20747,-1.89553,-1.5836,1.00207,1925.74
mu_player[4],-1.53087,0.187705,-1.8425,-1.5321,-1.22796,1.00215,1676.02
mu_player[5],-1.22015,0.17427,-1.49954,-1.22099,-0.92624,1.00052,2214.72
mu_player[6],-2.05991,0.179342,-2.35044,-2.05832,-1.7573,1.00075,1679.43
mu_player[7],-1.72482,0.18345,-2.0299,-1.72645,-1.42021,1.00016,2345.23
mu_player[8],-1.38477,0.139889,-1.61575,-1.38403,-1.15851,1.00266,2271.24
mu_player[9],-1.23756,0.150935,-1.48765,-1.23155,-0.995427,0.999432,1519.62
mu_player[10],-2.3696,0.163814,-2.64114,-2.3689,-2.0943,1.00432,1446.06
mu_player[11],-1.5643,0.153314,-1.8161,-1.56779,-1.30769,1.00099,1769.3
mu_player[12],-1.7663,0.159468,-2.0269,-1.76768,-1.50704,1.00621,1912.06
mu_player[13],-0.921641,0.147332,-1.16303,-0.920286,-0.684051,1.00307,2109.17
mu_player[14],-1.62749,0.130463,-1.84838,-1.62481,-1.41858,1.00036,1728.85
mu_player[15],-1.85304,0.168751,-2.12817,-1.85382,-1.58286,1.00028,1689.73
mu_player[16],-1.87864,0.139073,-2.10649,-1.87654,-1.65066,1.0007,1857.3
mu_player[17],-1.9474,0.124377,-2.15395,-1.94732,-1.74364,1.00489,1827.89
mu_player[18],-2.36278,0.170315,-2.64194,-2.36569,-2.08839,1.00093,1364.59
mu_player[19],-1.57339,0.126388,-1.78812,-1.57391,-1.36115,1.00165,1866.46
mu_player[20],-0.891628,0.0696915,-1.00347,-0.890991,-0.77439,1.00251,1952.8
mu_player[21],-1.78163,0.102403,-1.95132,-1.78195,-1.6098,1.00295,2019.05
mu_player[22],-1.05314,0.0994178,-1.2206,-1.05435,-0.890365,1.00555,2592.47
mu_player[23],-1.5818,0.0797398,-1.71193,-1.58356,-1.44868,1.00679,1920.9
mu_player[24],-2.06059,0.143447,-2.28703,-2.05759,-1.82761,1.00095,1910.69
mu_player[25],-2.17476,0.11342,-2.36499,-2.17539,-1.9887,0.999864,1977.81
mu_player[26],-1.54579,0.134075,-1.76087,-1.54551,-1.32283,1.00368,1923.01
mu_player[27],-1.85892,0.139324,-2.08815,-1.86047,-1.62205,1.01138,1763.89
mu_player[28],-1.24322,0.066379,-1.35579,-1.24228,-1.13796,1.0003,1098.58
mu_player[29],-2.04565,0.0740929,-2.16467,-2.04416,-1.92253,1.00017,2017.82
mu_player[30],-2.08624,0.126669,-2.29626,-2.08848,-1.87673,1.00252,1654.05
mu_player[31],-0.767551,0.0519074,-0.852267,-0.766535,-0.684664,1.00308,1923.01
mu_player[32],-1.7621,0.0840139,-1.89564,-1.76566,-1.61998,1.00168,2336.48
mu_player[33],-1.45333,0.126095,-1.66293,-1.45429,-1.24605,1.00129,1662.32
mu_player[34],-1.64397,0.0972905,-1.80813,-1.64396,-1.48397,1.00002,2085.05
mu_player[35],-1.92895,0.163552,-2.19417,-1.92674,-1.66439,1.00166,1354.7
mu_player[36],-2.06952,0.102935,-2.23655,-2.06594,-1.89614,1.00172,1704.4
mu_player[37],-2.24152,0.0738297,-2.36346,-2.24186,-2.12011,1.00033,2370.61
mu_player[38],-1.42875,0.101359,-1.59065,-1.42623,-1.25927,1.00283,2252.03
mu_player[39],-2.3018,0.0799182,-2.43065,-2.30414,-2.17129,1.00064,2454.9
mu_player[40],-1.19118,0.125339,-1.40144,-1.19186,-0.99052,1.00246,1313.39
mu_player[41],-0.856512,0.065443,-0.966506,-0.85489,-0.750621,1.00014,2200.76
mu_player[42],-1.01738,0.0562058,-1.10824,-1.01443,-0.926166,1.00127,1718.98
mu_player[43],-2.11394,0.0952763,-2.27526,-2.11337,-1.95895,0.99923,1746.32
mu_player[44],-1.0026,0.038217,-1.06435,-1.00212,-0.940614,1.00059,2302.71
mu_player[45],-2.29256,0.133645,-2.51364,-2.29521,-2.07647,1.00385,1834.2
mu_player[46],-2.02557,0.0505861,-2.10697,-2.02564,-1.9442,1.00196,3199.9
mu_player[47],-2.01123,0.0911448,-2.16462,-2.00866,-1.86617,1.00328,1915.22
mu_player[48],-2.48814,0.0787644,-2.61715,-2.48588,-2.36325,1.00489,2847.39
mu_player[49],-2.11702,0.0832993,-2.25332,-2.11779,-1.97585,1.00217,2264.57
mu_player[50],-2.01008,0.0620883,-2.11421,-2.00948,-1.9078,1.00135,2390.51
mu_player[51],-2.01941,0.104088,-2.19204,-2.02224,-1.84756,1.00174,1573.08
mu_player[52],-1.58082,0.049371,-1.66194,-1.58122,-1.49729,1.00732,3265.29
mu_player[53],-2.19805,0.0643632,-2.3041,-2.19992,-2.09223,1.00301,2648.79
mu_player[54],-1.52775,0.0582907,-1.6187,-1.52815,-1.43304,1.00104,1919.54
mu_player[55],-1.46518,0.107853,-1.64165,-1.46873,-1.28452,1.01416,1750.1
mu_player[56],-1.26722,0.0363407,-1.32808,-1.26757,-1.20773,1.00177,2448.35
mu_player[57],-1.90584,0.0532396,-1.99297,-1.90582,-1.81741,1.00357,2988.73
mu_player[58],-1.07228,0.0481074,-1.1506,-1.07214,-0.994791,1.00139,2306.34
mu_player[59],-0.831514,0.0388015,-0.895923,-0.831473,-0.766939,0.999985,2775.22
mu_player[60],-2.06336,0.0887907,-2.20755,-2.06571,-1.91671,1.00229,2266.14
mu_player[61],-1.01276,0.0356183,-1.0712,-1.0139,-0.957293,0.999503,2505.39
mu_player[62],-1.32104,0.0461406,-1.39685,-1.32008,-1.24459,1.00488,3006.31
mu_player[63],-1.81662,0.163955,-2.07977,-1.8173,-1.55454,1.00416,1337.4
mu_player[64],-1.91531,0.0960392,-2.07057,-1.91628,-1.75306,1.00091,1402.37
mu_player[65],-2.2416,0.076845,-2.36692,-2.242,-2.11385,1.00172,3332.34
mu_player[66],-1.83484,0.0946765,-1.98922,-1.83532,-1.68246,1.00028,1867.45
mu_player[67],-2.31375,0.0672064,-2.42827,-2.3133,-2.20013,1.0025,2912.6
mu_player[68],-1.25811,0.0494926,-1.33376,-1.25868,-1.17499,1.00255,2380.41
mu_player[69],-1.80336,0.0576424,-1.89877,-1.80373,-1.70796,1.00326,3092.9
mu_player[70],-2.00246,0.0748705,-2.12608,-2.00165,-1.87726,1.00616,2145.59
mu_player[71],-2.04984,0.0779114,-2.17711,-2.05166,-1.92146,1.00682,3574.87
mu_player[72],-1.39219,0.0558856,-1.48166,-1.39371,-1.29803,1.00207,2212.55
mu_player[73],-1.41239,0.0570844,-1.50699,-1.4126,-1.31923,1.00348,3562.91
mu_player[74],-1.10025,0.0395481,-1.16671,-1.10043,-1.03652,1.00402,3018.34
mu_player[75],-1.02434,0.0424586,-1.09596,-1.02371,-0.956279,1.00115,2632.93
mu_player[76],-2.06158,0.0575737,-2.15742,-2.06067,-1.96884,1.00396,2773.88
mu_player[77],-2.2103,0.0811484,-2.33976,-2.21089,-2.07322,0.999468,2283.78
mu_player[78],-1.6497,0.0734402,-1.77389,-1.65031,-1.53353,1.00347,2296.48
mu_player[79],-2.16537,0.0742928,-2.28931,-2.16567,-2.04101,1.00063,2307.03
mu_player[80],-1.69688,0.0626576,-1.80268,-1.69487,-1.59689,1.00458,1816.67
mu_player[81],-2.13988,0.0665905,-2.25118,-2.14106,-2.0292,1.00424,2875.2
mu_player[82],-1.05574,0.0421435,-1.12421,-1.05598,-0.984537,1.00023,2427.6
mu_player[83],-2.05263,0.0689081,-2.16566,-2.0528,-1.9379,1.0016,2108.19
mu_player[84],-1.9066,0.0739713,-2.02821,-1.90667,-1.78581,0.998708,2107.45
mu_player[85],-1.81762,0.0832514,-1.95907,-1.81691,-1.68288,1.00364,2111.6
mu_player[86],-2.02155,0.0624128,-2.12669,-2.02166,-1.92003,1.00687,2707.47
mu_player[87],-1.78348,0.0636348,-1.89129,-1.7819,-1.68308,0.999696,1073.35
mu_player[88],-2.11945,0.0820748,-2.25831,-2.11796,-1.98368,0.999816,2540.12
mu_player[89],-1.10177,0.0416423,-1.17118,-1.10201,-1.03252,1.00095,3266.36
mu_player[90],-1.88892,0.068178,-2.00382,-1.88782,-1.77942,1.00112,2333.94
mu_player[91],-1.69796,0.0613531,-1.79674,-1.69765,-1.59826,1.00017,1795.0
mu_player[92],-1.99437,0.0812852,-2.12681,-1.9945,-1.86406,0.999688,2607.41
mu_player[93],-1.53061,0.0467505,-1.60869,-1.53106,-1.45476,1.00162,2608.83
mu_player[94],-1.06936,0.0620003,-1.17392,-1.07034,-0.967692,1.00255,2336.54
mu_player[95],-1.78363,0.0658077,-1.88701,-1.78375,-1.67324,1.00505,2150.3
mu_player[96],-2.15593,0.0614587,-2.25798,-2.15689,-2.05577,1.00753,2320.32
mu_player[97],-1.76654,0.0885293,-1.90521,-1.76845,-1.61764,1.002,2257.55
mu_player[98],-2.06017,0.0701507,-2.17519,-2.06104,-1.93845,1.00408,2630.85
mu_player[99],-2.10754,0.0910687,-2.25686,-2.10625,-1.95717,1.00057,2053.04
mu_player[100],-1.44494,0.0878875,-1.58441,-1.44626,-1.30246,0.999941,1826.18
mu_player[101],-2.12376,0.0994708,-2.29148,-2.12143,-1.95097,1.00266,1879.74
mu_player[102],-1.47176,0.0715583,-1.58612,-1.47218,-1.35435,0.998823,1750.86
mu_player[103],-2.09504,0.0673872,-2.20944,-2.09407,-1.98608,0.999688,2122.7
mu_player[104],-2.1293,0.0781849,-2.26,-2.12931,-2.0002,1.00128,2530.31
mu_player[105],-1.54999,0.0806176,-1.68053,-1.54818,-1.41968,1.00221,1738.26
mu_player[106],-1.94679,0.079045,-2.07779,-1.94558,-1.8195,1.00013,1808.04
mu_player[107],-1.20948,0.0852587,-1.34577,-1.20972,-1.0651,1.00033,2212.54
mu_player[108],-1.29992,0.0680235,-1.41049,-1.30336,-1.18451,1.00207,2268.48
mu_player[109],-1.15102,0.0874903,-1.2913,-1.15213,-1.00425,1.00394,1935.32
mu_player[110],-1.52273,0.0458446,-1.59744,-1.52316,-1.44452,1.00436,3017.9
mu_player[111],-2.09049,0.0608159,-2.18756,-2.0907,-1.9918,0.998406,3069.41
mu_player[112],-1.44309,0.045129,-1.51751,-1.44393,-1.36724,1.00308,3655.46
mu_player[113],-2.21817,0.0643363,-2.32147,-2.21927,-2.11615,1.0005,3133.63
mu_player[114],-2.21764,0.0642015,-2.32224,-2.21697,-2.10866,1.00325,3485.33
mu_player[115],-1.2273,0.0712384,-1.35044,-1.22547,-1.11484,1.00103,1937.93
mu_player[116],-1.5492,0.0939637,-1.69894,-1.55174,-1.38462,1.00497,1727.63
mu_player[117],-1.54859,0.118412,-1.74673,-1.54539,-1.3623,1.00216,2037.85
mu_player[118],-2.11454,0.0626506,-2.22223,-2.11425,-2.00934,1.0014,2557.22
mu_player[119],-1.17316,0.102184,-1.34211,-1.17446,-1.00311,1.00213,1737.45
mu_player[120],-2.09756,0.0634204,-2.19966,-2.0992,-1.99093,1.00304,1984.55
mu_player[121],-1.64315,0.116884,-1.8331,-1.64368,-1.44088,1.00409,2272.41
mu_player[122],-1.83225,0.0622257,-1.93462,-1.83208,-1.73314,1.00385,2069.31
mu_player[123],-1.88742,0.120878,-2.09042,-1.88391,-1.69262,1.00127,1946.27
mu_player[124],-2.1993,0.0679893,-2.31475,-2.19932,-2.09166,1.00037,1763.53
mu_player[125],-2.15144,0.0712786,-2.26891,-2.15063,-2.03812,1.00103,3639.94
mu_player[126],-1.1791,0.109263,-1.35813,-1.17669,-1.00302,1.00247,1787.92
mu_player[127],-1.76409,0.0703944,-1.87861,-1.76443,-1.64459,1.00064,1985.6
mu_player[128],-2.01315,0.101441,-2.18007,-2.01401,-1.84908,1.00396,1689.26
mu_player[129],-2.30693,0.0989654,-2.46907,-2.30702,-2.14703,1.00078,2258.7
mu_player[130],-2.16859,0.102323,-2.3357,-2.16838,-2.00513,1.0035,1701.2
mu_player[131],-1.45059,0.116828,-1.63804,-1.45256,-1.26032,1.00011,1790.23
mu_player[132],-1.77995,0.0575473,-1.87468,-1.77849,-1.68757,1.00183,2989.84
mu_player[133],-1.90898,0.0992112,-2.07479,-1.90976,-1.74351,1.00314,1579.97
mu_player[134],-2.13967,0.0798696,-2.27502,-2.13841,-2.01017,1.0008,2609.66
mu_player[135],-1.81839,0.111019,-2.00397,-1.81882,-1.63952,1.00189,1919.55
mu_player[136],-1.6933,0.0996285,-1.86265,-1.69213,-1.52857,1.00265,1170.33
mu_player[137],-2.32105,0.139383,-2.55392,-2.32412,-2.09017,1.00145,2207.29
mu_player[138],-2.43485,0.107708,-2.61495,-2.43513,-2.25988,1.0032,2359.72
mu_player[139],-2.47127,0.127273,-2.68339,-2.4676,-2.26854,1.00709,1813.63
mu_player[140],-2.42121,0.123552,-2.62555,-2.42204,-2.21307,1.00041,2141.27
mu_player[141],-1.28448,0.108219,-1.46654,-1.28368,-1.10278,1.00078,1582.15
mu_player[142],-1.48266,0.0804578,-1.6194,-1.47986,-1.35722,1.00201,2454.2
mu_player[143],-2.32212,0.122695,-2.52931,-2.32238,-2.12139,1.0011,2338.17
mu_player[144],-1.84578,0.0954885,-2.00866,-1.84515,-1.69492,1.0003,1386.96
mu_player[145],-1.58462,0.0602033,-1.68258,-1.58438,-1.48625,1.00216,3562.98
mu_player[146],-2.3527,0.111483,-2.54205,-2.35145,-2.17227,1.00242,1845.23
mu_player[147],-1.13169,0.089908,-1.28108,-1.13271,-0.980487,1.0018,1538.64
mu_player[148],-1.4725,0.102188,-1.64361,-1.46684,-1.30995,1.00251,1455.9
mu_player[149],-1.2249,0.141887,-1.44977,-1.22833,-0.992353,1.00104,1354.11
mu_player[150],-1.70717,0.0972238,-1.86682,-1.70909,-1.54344,1.00119,2284.03
mu_player[151],-2.22752,0.0673438,-2.33692,-2.22752,-2.11745,1.00397,2758.6
mu_player[152],-1.31774,0.0651654,-1.42808,-1.31693,-1.2153,1.00043,2370.72
mu_player[153],-2.23282,0.1173,-2.42342,-2.23388,-2.03669,0.998919,2306.99
mu_player[154],-1.84912,0.0686782,-1.96495,-1.84752,-1.73885,0.999942,2059.84
mu_player[155],-2.1595,0.0712512,-2.27973,-2.15758,-2.04765,0.999089,2876.93
mu_player[156],-1.88075,0.129244,-2.0869,-1.88051,-1.66176,1.0007,2316.11
