param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-3.31971,0.426157,-4.00106,-3.33251,-2.60491,0.99927,2396.23
mu_position[1],-2.7309,0.0907081,-2.87786,-2.73158,-2.58306,1.00542,1692.65
mu_position[2],-3.1726,0.111242,-3.35545,-3.17394,-2.99634,1.00164,1376.61
mu_position[3],-4.74712,0.203672,-5.07678,-4.74817,-4.41221,0.999492,1641.22
mu_player[1],-2.60683,0.437769,-3.28832,-2.60005,-1.92017,1.0014,1735.84
mu_player[2],-3.11353,0.416811,-3.82429,-3.10225,-2.4533,1.00272,1779.17
mu_player[3],-2.4921,0.371188,-3.08499,-2.48204,-1.89837,1.00122,1708.7
mu_player[4],-2.92731,0.422353,-3.60737,-2.93499,-2.21801,1.00075,1545.12
mu_player[5],-3.46487,0.447827,-4.2385,-3.45927,-2.74646,1.00578,629.508
mu_player[6],-2.45377,0.328833,-3.00998,-2.45494,-1.90131,1.00416,2044.23
mu_player[7],-2.69477,0.412116,-3.35383,-2.70817,-1.97104,0.999934,1245.13
mu_player[8],-3.46753,0.317951,-4.01983,-3.46917,-2.95499,1.00733,921.688
mu_player[9],-2.36514,0.30093,-2.86065,-2.35672,-1.88095,1.00484,1587.03
mu_player[10],-2.48457,0.312712,-2.98654,-2.4896,-1.95365,1.00548,1337.92
mu_player[11],-3.13085,0.347223,-3.68668,-3.13195,-2.54074,1.00006,1476.62
mu_player[12],-2.84605,0.321313,-3.40274,-2.83601,-2.33897,1.00141,1401.29
mu_player[13],-6.10664,0.627422,-7.16708,-6.08436,-5.13851,1.00426,1797.86
mu_player[14],-2.33484,0.240258,-2.71751,-2.34147,-1.91895,1.00286,1005.67
mu_player[15],-2.0617,0.313589,-2.57709,-2.05303,-1.57432,0.999704,1382.9
mu_player[16],-4.23119,0.327444,-4.76402,-4.2263,-3.6881,1.00235,1742.25
mu_player[17],-2.89315,0.226413,-3.28304,-2.89001,-2.53807,0.999633,1465.67
mu_player[18],-2.30074,0.31245,-2.82635,-2.3072,-1.80279,1.00561,1622.32
mu_player[19],-2.2606,0.230072,-2.64644,-2.25957,-1.87551,1.00542,1561.28
mu_player[20],-4.01551,0.199226,-4.34116,-4.01749,-3.68533,1.0045,2092.41
mu_player[21],-2.68561,0.193828,-2.998,-2.68144,-2.37211,1.00573,1324.31
mu_player[22],-2.95142,0.223335,-3.31727,-2.95226,-2.5888,1.00452,1310.93
mu_player[23],-3.04508,0.149036,-3.28672,-3.04621,-2.79526,1.00533,1522.46
mu_player[24],-2.55756,0.247404,-2.96365,-2.55957,-2.14518,1.00053,1683.33
mu_player[25],-3.29498,0.211751,-3.67199,-3.28463,-2.96536,1.00118,1056.83
mu_player[26],-3.98134,0.298544,-4.46656,-3.9741,-3.47946,1.00365,1584.42
mu_player[27],-2.37107,0.260862,-2.798,-2.36452,-1.95608,1.00317,1698.36
mu_player[28],-4.06694,0.204914,-4.40776,-4.06707,-3.72401,1.00371,959.403
mu_player[29],-2.85255,0.119271,-3.04967,-2.85256,-2.6582,0.999202,1548.09
mu_player[30],-2.29944,0.194845,-2.61977,-2.29537,-1.98858,1.00298,1574.97
mu_player[31],-6.40475,0.531751,-7.32703,-6.37463,-5.58114,1.00005,2591.94
mu_player[32],-3.02674,0.153999,-3.29653,-3.02258,-2.77833,1.00481,1446.34
mu_player[33],-3.84169,0.296287,-4.31774,-3.84807,-3.35404,1.00269,1474.27
mu_player[34],-2.57976,0.176283,-2.8749,-2.57843,-2.29348,1.00141,1137.91
mu_player[35],-2.46139,0.277125,-2.90714,-2.46162,-2.01529,1.01048,1219.34
mu_player[36],-2.47236,0.164103,-2.74661,-2.47635,-2.20235,1.00131,2150.72
mu_player[37],-3.1452,0.11972,-3.34368,-3.14297,-2.95138,1.00059,1697.08
mu_player[38],-2.70199,0.218004,-3.05532,-2.70662,-2.33117,1.00246,586.336
mu_player[39],-2.7987,0.118566,-2.99725,-2.7968,-2.59954,1.00263,2030.68
mu_player[40],-6.14032,0.536681,-7.03691,-6.1332,-5.25863,1.00323,1168.89
mu_player[41],-7.0244,0.586213,-8.02633,-7.00879,-6.10888,1.00218,1880.87
mu_player[42],-6.74976,0.495589,-7.57991,-6.70957,-5.98047,1.00548,1557.37
mu_player[43],-2.36797,0.135523,-2.58711,-2.36864,-2.14161,1.00299,2077.34
