param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-3.91935,0.337544,-4.47086,-3.92699,-3.36337,1.00297,1773.74
mu_position[1],-4.57492,0.0615185,-4.6739,-4.57446,-4.47255,1.00074,1306.19
mu_position[2],-3.97675,0.0636013,-4.08135,-3.97803,-3.87161,1.00036,1853.48
mu_position[3],-3.19403,0.111531,-3.37463,-3.1946,-3.00526,1.00472,2278.7
mu_player[1],-3.29777,0.235164,-3.68982,-3.29026,-2.92291,1.00547,605.536
mu_player[2],-4.52511,0.242781,-4.91968,-4.52623,-4.11776,1.00417,1031.02
mu_player[3],-4.49335,0.231618,-4.88659,-4.49322,-4.12817,1.00277,1020.99
mu_player[4],-4.05607,0.250069,-4.4526,-4.05338,-3.6583,1.00394,1147.78
mu_player[5],-2.92033,0.214714,-3.2868,-2.92141,-2.57186,1.00192,770.416
mu_player[6],-4.82205,0.234707,-5.20368,-4.81194,-4.42931,1.00013,1421.75
mu_player[7],-3.72954,0.229668,-4.1044,-3.72837,-3.34803,1.00214,948.811
mu_player[8],-4.44295,0.1964,-4.78282,-4.44248,-4.11396,1.00325,1374.17
mu_player[9],-4.2441,0.239755,-4.63743,-4.24039,-3.85487,1.00188,2019.75
mu_player[10],-4.36733,0.206438,-4.72466,-4.36829,-4.03115,1.00138,1763.13
mu_player[11],-2.35021,0.17677,-2.64727,-2.34098,-2.07123,1.00806,590.976
mu_player[12],-3.7953,0.181117,-4.09296,-3.79647,-3.49792,1.00305,1205.05
mu_player[13],-2.81369,0.185715,-3.1043,-2.81143,-2.51317,1.00045,1198.77
mu_player[14],-4.10962,0.17081,-4.39242,-4.10916,-3.84313,1.00207,1669.66
mu_player[15],-4.59342,0.23171,-4.98138,-4.58586,-4.20887,1.00151,1546.2
mu_player[16],-4.4798,0.180793,-4.78792,-4.47389,-4.18292,0.999825,1538.81
mu_player[17],-4.27932,0.172991,-4.56138,-4.27838,-4.00383,1.00542,1377.77
mu_player[18],-5.11072,0.281545,-5.58338,-5.09774,-4.6578,1.00344,1746.45
mu_player[19],-4.15909,0.194445,-4.48177,-4.15337,-3.84359,0.999778,1676.21
mu_player[20],-3.40252,0.125802,-3.62533,-3.40332,-3.19704,1.00113,1425.76
mu_player[21],-4.61956,0.209028,-4.97298,-4.6105,-4.28752,1.00064,2448.83
mu_player[22],-3.52617,0.142611,-3.75893,-3.52661,-3.29121,1.00213,947.278
mu_player[23],-3.87036,0.142227,-4.10507,-3.86965,-3.64703,1.00556,1870.72
mu_player[24],-5.1437,0.247355,-5.55585,-5.13391,-4.7531,0.999208,1712.29
mu_player[25],-4.58869,0.213851,-4.94237,-4.58361,-4.24765,1.00297,2397.72
mu_player[26],-4.08994,0.196348,-4.41634,-4.08747,-3.77985,1.00053,1582.88
mu_player[27],-5.15085,0.283457,-5.63769,-5.1471,-4.70427,1.00068,2375.5
mu_player[28],-2.7368,0.104123,-2.91329,-2.73716,-2.57345,1.0004,1847.92
mu_player[29],-4.17043,0.18706,-4.48792,-4.16098,-3.87173,1.00924,2567.45
mu_player[30],-4.7145,0.214865,-5.06822,-4.71084,-4.36383,1.00562,1681.18
mu_player[31],-3.15199,0.131957,-3.36751,-3.15469,-2.93233,0.998699,2175.31
mu_player[32],-5.00568,0.224221,-5.3803,-5.0048,-4.64441,1.00194,2446.17
mu_player[33],-3.34608,0.149925,-3.59139,-3.34872,-3.10091,1.00073,905.199
mu_player[34],-4.70967,0.237712,-5.10745,-4.70353,-4.32192,1.00083,2379.96
mu_player[35],-3.57931,0.175731,-3.86348,-3.57299,-3.29944,1.00274,1297.39
mu_player[36],-4.33192,0.169313,-4.60271,-4.3286,-4.04881,0.999385,1749.16
mu_player[37],-5.15173,0.242711,-5.55199,-5.14401,-4.7503,1.00613,1995.67
mu_player[38],-3.74852,0.168027,-4.01893,-3.74627,-3.47883,1.00156,1811.46
mu_player[39],-4.35618,0.158384,-4.62465,-4.35263,-4.10037,1.00403,2798.53
mu_player[40],-3.38076,0.153451,-3.6278,-3.38063,-3.13403,1.00489,1086.31
mu_player[41],-2.78167,0.100646,-2.9477,-2.78355,-2.6182,1.00009,1074.34
mu_player[42],-3.36777,0.134636,-3.59651,-3.3708,-3.13785,1.00308,3080.22
mu_player[43],-5.14522,0.245674,-5.56374,-5.13766,-4.74934,1.00595,2667.35
mu_player[44],-3.38088,0.11126,-3.5583,-3.37942,-3.19909,1.00349,2672.24
