param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.92101,0.112879,-3.07094,-2.92466,-2.74711,1.00553,715.191
mu_position[1],-2.92461,0.0372468,-2.98504,-2.92511,-2.86175,1.0,862.027
mu_position[2],-2.97624,0.0451686,-3.0492,-2.97475,-2.90328,1.00582,915.501
mu_position[3],-2.8629,0.075797,-2.97644,-2.86913,-2.72735,1.00957,626.729
mu_player[1],-2.36201,0.189923,-2.67827,-2.34647,-2.06919,1.00729,393.229
mu_player[2],-2.6398,0.168762,-2.93134,-2.63727,-2.37659,1.0051,531.309
mu_player[3],-2.58166,0.151911,-2.82271,-2.58229,-2.34665,1.00693,619.622
mu_player[4],-3.40049,0.202368,-3.71035,-3.42018,-3.05507,1.00848,540.413
mu_player[5],-3.25881,0.22402,-3.59323,-3.27571,-2.87647,1.00511,383.162
mu_player[6],-2.78766,0.137923,-3.02066,-2.78474,-2.56171,1.00232,792.919
mu_player[7],-3.17052,0.174216,-3.45204,-3.16835,-2.88892,1.00928,978.863
mu_player[8],-2.16917,0.120192,-2.38905,-2.15904,-1.98385,1.01717,411.21
mu_player[9],-2.80829,0.137947,-3.02964,-2.80945,-2.57391,1.00176,870.792
mu_player[10],-2.84359,0.128603,-3.05172,-2.84272,-2.63914,1.00848,625.102
mu_player[11],-3.06522,0.168936,-3.33348,-3.06889,-2.77138,1.00088,831.314
mu_player[12],-3.34903,0.156137,-3.59349,-3.34792,-3.09636,1.00213,825.898
mu_player[13],-2.60963,0.162928,-2.88453,-2.60419,-2.34283,1.00372,986.584
mu_player[14],-2.19254,0.104189,-2.3567,-2.18882,-2.02078,1.01006,709.72
mu_player[15],-2.41615,0.150661,-2.69232,-2.39955,-2.21172,1.01804,318.788
mu_player[16],-2.77841,0.111681,-2.96187,-2.77848,-2.60126,1.00066,953.115
mu_player[17],-2.47391,0.102547,-2.65125,-2.46859,-2.32022,1.01202,485.711
mu_player[18],-3.14486,0.145982,-3.38227,-3.14887,-2.90772,1.00016,1345.45
mu_player[19],-2.33082,0.108155,-2.51155,-2.32803,-2.1534,1.00714,1038.18
mu_player[20],-2.63186,0.0940356,-2.78986,-2.63019,-2.48318,1.00202,1050.85
mu_player[21],-3.10132,0.114161,-3.28549,-3.10286,-2.91002,1.00375,1019.58
mu_player[22],-2.93389,0.114857,-3.11928,-2.93591,-2.7415,1.00754,535.09
mu_player[23],-3.1555,0.0914783,-3.30536,-3.1542,-3.00954,1.00853,1374.33
mu_player[24],-2.6582,0.113314,-2.84569,-2.65572,-2.47621,1.0222,200.256
mu_player[25],-2.97608,0.116268,-3.16903,-2.97642,-2.78941,1.00066,1442.14
mu_player[26],-2.87316,0.124067,-3.07041,-2.87651,-2.66743,1.00466,784.727
mu_player[27],-2.73384,0.118519,-2.93233,-2.73189,-2.54203,1.00352,960.222
mu_player[28],-2.8344,0.0920595,-2.98698,-2.82888,-2.68805,1.00861,2164.37
mu_player[29],-2.46503,0.0760786,-2.58889,-2.46338,-2.34295,0.999807,1102.51
mu_player[30],-2.50152,0.106218,-2.68744,-2.49344,-2.33887,1.00754,537.751
mu_player[31],-2.40048,0.090076,-2.54825,-2.39967,-2.25178,1.00133,1626.83
mu_player[32],-3.30435,0.098899,-3.46339,-3.30867,-3.1357,1.00682,747.117
mu_player[33],-2.43484,0.114363,-2.62684,-2.42683,-2.26098,1.01645,505.327
mu_player[34],-2.515,0.0955825,-2.67348,-2.5151,-2.36314,1.00739,882.917
mu_player[35],-3.41622,0.145493,-3.65338,-3.41494,-3.18518,0.999799,1126.73
mu_player[36],-2.9069,0.0987525,-3.08122,-2.90179,-2.74915,1.00376,685.29
mu_player[37],-2.65238,0.077698,-2.77956,-2.65202,-2.52696,1.00023,1507.97
mu_player[38],-2.64116,0.110411,-2.83457,-2.63953,-2.47194,1.0054,716.162
mu_player[39],-3.25715,0.0962035,-3.41619,-3.25483,-3.10192,1.00371,1570.17
mu_player[40],-2.79004,0.118681,-2.98298,-2.7926,-2.58693,1.00436,832.029
mu_player[41],-2.83769,0.0937253,-2.99373,-2.83507,-2.68,0.999906,1124.72
mu_player[42],-2.81202,0.0903886,-2.96882,-2.80877,-2.66876,1.00942,1725.04
mu_player[43],-3.40678,0.128115,-3.61401,-3.40271,-3.20382,1.00736,1293.21
mu_player[44],-2.20955,0.0606569,-2.31129,-2.20856,-2.10736,1.00164,1568.17
mu_player[45],-3.03606,0.125574,-3.24556,-3.03732,-2.83397,1.00074,1438.75
mu_player[46],-2.60893,0.066107,-2.71695,-2.60846,-2.4984,1.00443,1307.77
mu_player[47],-2.62852,0.0896002,-2.7796,-2.62639,-2.48751,1.01496,439.324
mu_player[48],-3.46382,0.123617,-3.67571,-3.45973,-3.27328,1.0019,1332.89
mu_player[49],-2.81145,0.0878288,-2.95368,-2.80987,-2.66963,1.00272,1049.88
mu_player[50],-2.95959,0.0895529,-3.10822,-2.95723,-2.81565,1.00281,1722.29
mu_player[51],-3.2593,0.121439,-3.46121,-3.25796,-3.06759,1.00475,1386.84
mu_player[52],-2.95368,0.0862632,-3.09051,-2.9503,-2.81289,1.00635,1562.05
mu_player[53],-2.69243,0.0746404,-2.81674,-2.69234,-2.57223,1.00165,1486.46
mu_player[54],-2.99805,0.0963738,-3.15834,-3.00013,-2.84298,1.0025,1232.21
mu_player[55],-3.12992,0.123621,-3.33383,-3.12775,-2.9359,1.00556,1376.61
mu_player[56],-2.49561,0.0605361,-2.59539,-2.4945,-2.39286,1.00248,1658.33
mu_player[57],-3.06504,0.0928841,-3.22458,-3.0632,-2.91784,1.00239,2108.87
mu_player[58],-2.31557,0.0710262,-2.43321,-2.31308,-2.20226,1.00149,896.49
mu_player[59],-3.41834,0.107977,-3.60131,-3.41655,-3.245,1.00036,2041.4
mu_player[60],-3.1152,0.104111,-3.28448,-3.11217,-2.94279,1.00353,1309.64
mu_player[61],-2.27384,0.0660442,-2.3806,-2.27255,-2.1698,1.00853,1113.63
mu_player[62],-2.85912,0.0838398,-2.9977,-2.85989,-2.72472,1.00222,1696.34
mu_player[63],-2.82371,0.153087,-3.07442,-2.82374,-2.5785,1.00182,1028.77
mu_player[64],-2.54513,0.105771,-2.71509,-2.54441,-2.37404,1.00737,1156.55
mu_player[65],-3.25194,0.109176,-3.43356,-3.25176,-3.07384,1.00224,2122.46
mu_player[66],-3.21084,0.113415,-3.39264,-3.21302,-3.02603,1.00342,1271.17
mu_player[67],-2.51224,0.0756411,-2.63874,-2.5111,-2.38953,1.00323,1732.92
mu_player[68],-2.42479,0.0792911,-2.55928,-2.42231,-2.29655,1.00271,1584.88
mu_player[69],-3.22062,0.106755,-3.38814,-3.22117,-3.04931,1.00643,1892.35
mu_player[70],-2.53519,0.077092,-2.663,-2.53216,-2.40713,1.00082,874.644
mu_player[71],-2.5696,0.0998992,-2.74074,-2.56569,-2.41081,1.00225,1794.76
mu_player[72],-2.98609,0.100536,-3.14929,-2.98515,-2.82376,1.00184,1362.55
mu_player[73],-3.1071,0.11893,-3.30035,-3.10698,-2.8994,1.00556,1813.62
mu_player[74],-3.08565,0.0918078,-3.24246,-3.08162,-2.93894,1.00467,2052.03
mu_player[75],-3.4964,0.118337,-3.68691,-3.49933,-3.30665,1.00302,1959.5
mu_player[76],-2.9378,0.0840829,-3.0774,-2.93733,-2.79493,1.00216,2080.21
mu_player[77],-2.84444,0.0937251,-2.99868,-2.84646,-2.68901,1.00202,1550.9
mu_player[78],-3.62097,0.132745,-3.84651,-3.6227,-3.407,1.00628,1738.95
mu_player[79],-2.98656,0.0954393,-3.14162,-2.98926,-2.83083,1.0053,1824.98
mu_player[80],-3.15094,0.0949141,-3.30755,-3.14974,-2.98796,1.0028,1152.38
mu_player[81],-3.17094,0.103371,-3.34359,-3.16826,-3.00228,1.0036,1895.35
mu_player[82],-2.44584,0.0662426,-2.55451,-2.44491,-2.33522,1.00091,1188.86
mu_player[83],-3.23153,0.103425,-3.4006,-3.23141,-3.06017,1.00281,1862.04
mu_player[84],-2.87405,0.0803015,-3.00519,-2.87628,-2.73984,1.00285,1183.53
mu_player[85],-2.51986,0.0862909,-2.66376,-2.51741,-2.37821,1.00015,1121.53
mu_player[86],-2.82011,0.0844699,-2.96185,-2.81727,-2.68789,1.00264,1272.27
mu_player[87],-2.7555,0.07453,-2.88222,-2.75228,-2.63694,1.00034,1140.66
mu_player[88],-2.70811,0.0918239,-2.86432,-2.70774,-2.56007,1.00762,1355.72
mu_player[89],-2.86721,0.085229,-3.00477,-2.86567,-2.72755,1.00133,1305.12
mu_player[90],-2.88386,0.109665,-3.06249,-2.87998,-2.7064,0.999799,1992.46
mu_player[91],-2.55288,0.0742835,-2.6749,-2.55657,-2.42784,1.00472,1074.39
mu_player[92],-3.24345,0.114447,-3.44327,-3.23938,-3.05384,1.00317,1626.77
mu_player[93],-2.73696,0.068633,-2.84702,-2.73598,-2.6211,1.00029,1732.15
mu_player[94],-2.85774,0.094884,-3.02065,-2.85282,-2.70379,1.00176,1254.06
mu_player[95],-3.40843,0.11024,-3.59641,-3.40505,-3.22977,1.00458,1593.59
mu_player[96],-2.85953,0.0786197,-2.98453,-2.86034,-2.73146,1.00502,2030.56
mu_player[97],-3.47348,0.140857,-3.70745,-3.46879,-3.24949,1.00487,1778.91
mu_player[98],-2.98227,0.103822,-3.15895,-2.9813,-2.80838,1.0018,1771.86
mu_player[99],-2.60601,0.0864146,-2.75517,-2.60466,-2.46936,1.00632,1038.07
mu_player[100],-2.56596,0.0819069,-2.70818,-2.56519,-2.43435,1.00544,719.761
mu_player[101],-2.66563,0.0913954,-2.813,-2.66551,-2.51261,1.00532,1327.81
mu_player[102],-3.08717,0.0977968,-3.24966,-3.0854,-2.93137,1.00312,1470.57
mu_player[103],-2.5487,0.0684688,-2.66187,-2.54744,-2.43886,1.00237,1281.8
mu_player[104],-3.28039,0.110268,-3.45988,-3.28132,-3.10502,1.00263,2224.99
mu_player[105],-3.20726,0.10837,-3.38858,-3.20491,-3.03708,1.00565,1544.96
mu_player[106],-2.97435,0.0945002,-3.12974,-2.97495,-2.82072,1.0027,1298.68
mu_player[107],-3.05861,0.112279,-3.24239,-3.06258,-2.87024,1.00353,723.388
mu_player[108],-2.56797,0.0926761,-2.71888,-2.56996,-2.41503,1.00394,707.977
mu_player[109],-2.92578,0.117208,-3.11307,-2.92279,-2.73878,1.00219,1294.15
