param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.967121,0.0880209,-1.09424,-0.9647,-0.849731,1.00294,1355.36
mu_position[1],-0.91656,0.0347772,-0.969663,-0.918239,-0.857586,1.00653,701.025
mu_position[2],-0.983602,0.0356789,-1.04186,-0.982189,-0.925217,1.00384,920.927
mu_position[3],-0.997994,0.0544836,-1.09381,-0.9933,-0.91538,1.00011,1490.35
mu_player[1],-1.02234,0.191506,-1.32858,-1.01943,-0.710452,1.0002,2123.88
mu_player[2],-0.917431,0.19562,-1.23455,-0.921108,-0.592238,0.99806,2577.81
mu_player[3],-0.710841,0.196151,-1.03047,-0.712557,-0.393231,1.00091,2847.22
mu_player[4],-1.14827,0.216317,-1.49883,-1.15054,-0.794986,1.00005,2280.42
mu_player[5],-0.687379,0.196287,-1.00609,-0.685236,-0.362331,1.0015,2740.02
mu_player[6],-0.578869,0.175112,-0.867487,-0.578744,-0.288519,1.00602,2727.31
mu_player[7],-1.03155,0.201913,-1.35622,-1.03599,-0.702896,1.00546,2237.16
mu_player[8],-0.504817,0.139106,-0.728252,-0.50523,-0.271419,1.01365,2328.02
mu_player[9],-0.799784,0.165204,-1.08417,-0.796995,-0.522212,1.00108,2236.72
mu_player[10],-0.662988,0.169778,-0.946992,-0.661188,-0.388849,1.00023,2605.28
mu_player[11],-1.12941,0.158661,-1.38139,-1.13028,-0.86957,1.00431,2664.51
mu_player[12],-1.21449,0.1736,-1.50102,-1.21336,-0.930585,0.999982,2432.37
mu_player[13],-1.21738,0.182747,-1.50713,-1.21504,-0.918065,1.00336,2644.66
mu_player[14],-0.470411,0.125121,-0.677164,-0.473592,-0.256465,1.00385,1772.99
mu_player[15],-0.688307,0.165229,-0.954063,-0.689035,-0.42454,0.999274,2708.28
mu_player[16],-0.809725,0.120496,-1.01633,-0.809603,-0.610272,1.00297,2023.42
mu_player[17],-0.840764,0.111446,-1.02646,-0.83864,-0.658632,1.00083,1911.06
mu_player[18],-0.916462,0.169878,-1.1913,-0.918839,-0.62579,1.00494,2416.66
mu_player[19],-0.596977,0.117211,-0.798007,-0.598275,-0.403572,1.01082,2771.44
mu_player[20],-0.869764,0.0785773,-0.99973,-0.87009,-0.742077,1.00473,2315.11
mu_player[21],-0.938123,0.104617,-1.11367,-0.938169,-0.767088,1.00072,1724.31
mu_player[22],-0.489221,0.10191,-0.653264,-0.490405,-0.318175,1.0062,2377.45
mu_player[23],-0.69523,0.0689854,-0.810369,-0.693806,-0.583247,1.00995,2332.24
mu_player[24],-0.708608,0.133864,-0.935746,-0.707353,-0.49896,1.00771,2063.88
mu_player[25],-1.30973,0.113971,-1.49439,-1.30877,-1.12129,1.00334,2230.39
mu_player[26],-0.939652,0.125292,-1.14276,-0.938488,-0.732817,1.0043,2773.46
mu_player[27],-0.93227,0.126064,-1.14258,-0.932457,-0.733255,0.999647,2041.54
mu_player[28],-0.685452,0.0551929,-0.778531,-0.684598,-0.593742,1.00251,2059.15
mu_player[29],-0.538753,0.0490964,-0.617258,-0.538854,-0.456438,1.00349,1068.03
mu_player[30],-0.747764,0.0977075,-0.905607,-0.747592,-0.590926,1.00092,1747.29
mu_player[31],-0.922422,0.0588338,-1.01663,-0.922859,-0.823543,1.00071,1544.15
mu_player[32],-1.10444,0.0756061,-1.22702,-1.10641,-0.979622,1.00315,2021.88
mu_player[33],-1.42593,0.147534,-1.66319,-1.42273,-1.17843,0.998911,3178.38
mu_player[34],-0.760133,0.0887584,-0.907944,-0.760698,-0.616756,1.00505,2411.09
mu_player[35],-1.19701,0.16064,-1.46465,-1.19195,-0.951375,1.00388,2767.48
mu_player[36],-0.634459,0.0817602,-0.765418,-0.635144,-0.498864,1.00249,2070.48
mu_player[37],-0.861705,0.0496858,-0.94335,-0.862116,-0.782343,1.00106,1006.06
mu_player[38],-0.991381,0.115823,-1.18423,-0.989123,-0.804336,1.00365,2222.66
mu_player[39],-1.14672,0.0674663,-1.25177,-1.14802,-1.03409,1.00161,1591.93
mu_player[40],-1.26297,0.158293,-1.5101,-1.26385,-1.00486,1.00674,2048.06
mu_player[41],-1.32754,0.0843559,-1.46802,-1.32658,-1.18306,1.00233,2326.44
mu_player[42],-1.44487,0.0678621,-1.55769,-1.44398,-1.33551,1.00562,2111.25
mu_player[43],-0.793852,0.0802366,-0.929159,-0.791373,-0.666801,1.00279,1914.86
mu_player[44],-0.522991,0.0323671,-0.57629,-0.523728,-0.467289,1.00239,996.571
mu_player[45],-1.08607,0.125816,-1.28975,-1.08587,-0.880038,0.999468,2578.29
mu_player[46],-0.683313,0.0306274,-0.733162,-0.684387,-0.633632,1.00537,628.362
mu_player[47],-0.590995,0.070805,-0.701809,-0.590032,-0.478221,1.00157,1511.58
mu_player[48],-1.19655,0.0461798,-1.26965,-1.19844,-1.12195,1.00765,1397.61
mu_player[49],-0.796393,0.0648707,-0.902123,-0.797063,-0.687037,1.00619,1831.05
mu_player[50],-0.829333,0.0422886,-0.897467,-0.830156,-0.761834,1.0007,1307.1
mu_player[51],-0.893698,0.0929167,-1.04812,-0.895346,-0.736442,1.00002,1894.34
mu_player[52],-0.993231,0.040539,-1.05635,-0.993407,-0.925095,1.00701,1447.71
mu_player[53],-1.10586,0.0466965,-1.1808,-1.10574,-1.02588,1.00332,1256.34
mu_player[54],-1.16287,0.0604776,-1.25988,-1.16363,-1.06032,1.00252,2023.02
mu_player[55],-1.3952,0.133839,-1.60443,-1.39654,-1.17726,1.00431,2247.42
mu_player[56],-0.719283,0.0311672,-0.768219,-0.720427,-0.667476,1.00256,1144.59
mu_player[57],-0.815036,0.036816,-0.872596,-0.816653,-0.752645,1.00151,1155.44
mu_player[58],-0.569882,0.0425232,-0.637424,-0.571578,-0.500164,1.00184,1593.97
mu_player[59],-1.11949,0.0459863,-1.19291,-1.12206,-1.04262,0.999993,1707.04
mu_player[60],-0.830233,0.0774641,-0.957071,-0.83112,-0.705607,1.00199,1732.85
mu_player[61],-0.740065,0.0342052,-0.793254,-0.742794,-0.68217,1.00011,1144.8
mu_player[62],-0.702218,0.0351657,-0.758995,-0.704302,-0.642722,1.00146,1167.55
mu_player[63],-1.07483,0.185024,-1.3787,-1.07296,-0.775997,1.00138,2133.18
mu_player[64],-1.18826,0.0978633,-1.34158,-1.19043,-1.02578,1.00479,2124.01
mu_player[65],-0.983692,0.0515118,-1.06528,-0.984768,-0.893459,1.0032,1082.39
mu_player[66],-1.25666,0.097239,-1.41639,-1.25561,-1.09457,0.999115,2487.28
mu_player[67],-0.853016,0.0432601,-0.924789,-0.852335,-0.781145,1.0035,1616.96
mu_player[68],-0.739516,0.0481802,-0.817376,-0.739642,-0.663843,1.00112,1606.63
mu_player[69],-0.701421,0.0452555,-0.778699,-0.701063,-0.628392,1.00078,1568.12
mu_player[70],-0.534677,0.0536668,-0.620053,-0.5352,-0.446785,1.00333,1149.92
mu_player[71],-0.828068,0.0505111,-0.911101,-0.829744,-0.743185,1.01235,1283.19
mu_player[72],-0.970217,0.0505325,-1.05043,-0.971345,-0.886438,1.00122,1530.02
mu_player[73],-1.09541,0.0512626,-1.17819,-1.09589,-1.01263,0.999522,1803.58
mu_player[74],-0.812574,0.0348941,-0.864998,-0.813654,-0.754018,1.00145,1492.89
mu_player[75],-1.55871,0.0550664,-1.64858,-1.55905,-1.47106,1.00552,1779.38
mu_player[76],-0.756657,0.0381426,-0.816963,-0.758553,-0.691934,1.01248,441.546
mu_player[77],-0.893593,0.0598137,-0.990684,-0.894231,-0.795658,1.00238,1470.1
mu_player[78],-1.28965,0.0807565,-1.42627,-1.29241,-1.156,1.00269,2033.84
mu_player[79],-1.01017,0.056387,-1.10797,-1.01114,-0.918454,1.0033,1108.51
mu_player[80],-1.63152,0.0676521,-1.7409,-1.63098,-1.52377,1.00641,1752.68
mu_player[81],-1.02203,0.0413139,-1.08993,-1.0225,-0.954933,1.00106,1389.51
mu_player[82],-1.06594,0.0431395,-1.13483,-1.06805,-0.992277,1.00172,1800.53
mu_player[83],-0.829779,0.0573053,-0.923667,-0.83021,-0.735331,1.00176,1200.66
mu_player[84],-0.764216,0.0607994,-0.86156,-0.764077,-0.663112,1.00121,1632.52
mu_player[85],-0.680511,0.0700777,-0.794145,-0.680144,-0.562002,1.00121,1847.54
mu_player[86],-0.777288,0.0404095,-0.845204,-0.777788,-0.707099,1.00725,670.098
mu_player[87],-0.669513,0.047496,-0.746763,-0.669261,-0.589611,1.00745,1164.27
mu_player[88],-0.72073,0.0588766,-0.815626,-0.721236,-0.621616,1.00178,1789.59
mu_player[89],-1.16652,0.0450028,-1.23403,-1.16807,-1.09039,1.00144,1565.41
mu_player[90],-1.02435,0.0515247,-1.11011,-1.02372,-0.942854,1.00562,1622.56
mu_player[91],-0.548869,0.0485469,-0.626737,-0.54845,-0.465566,1.00354,957.734
mu_player[92],-1.04731,0.0708237,-1.16488,-1.04641,-0.933095,1.0034,1621.74
mu_player[93],-0.725531,0.036678,-0.783382,-0.725803,-0.662191,0.999745,1118.08
mu_player[94],-1.34382,0.0750522,-1.46921,-1.34388,-1.21697,1.00167,1846.21
mu_player[95],-1.34799,0.0652192,-1.45463,-1.34893,-1.23689,1.00047,2238.08
mu_player[96],-0.83004,0.0407785,-0.896635,-0.830248,-0.763817,1.00885,969.055
mu_player[97],-1.35662,0.091498,-1.508,-1.35903,-1.20805,0.999466,2138.66
mu_player[98],-1.46264,0.0618158,-1.56539,-1.462,-1.36367,1.00561,1164.03
mu_player[99],-0.675724,0.0725698,-0.792214,-0.677098,-0.557662,1.00624,1370.51
mu_player[100],-0.594692,0.0691169,-0.706884,-0.594074,-0.481118,0.999888,2173.13
mu_player[101],-0.852385,0.0878163,-0.995626,-0.851157,-0.710429,1.00076,2003.23
mu_player[102],-0.63888,0.0622488,-0.740677,-0.638864,-0.538018,1.00159,1966.49
mu_player[103],-0.552858,0.0453455,-0.624211,-0.554154,-0.475649,1.00249,1141.13
mu_player[104],-1.12875,0.0590654,-1.22715,-1.12928,-1.02859,1.00576,1701.07
mu_player[105],-1.12516,0.0784761,-1.25175,-1.12587,-0.993945,1.00545,2069.44
mu_player[106],-0.929709,0.0711612,-1.04668,-0.932565,-0.811044,1.00505,1513.02
mu_player[107],-1.18731,0.0950669,-1.34325,-1.18925,-1.03445,1.00362,2070.92
mu_player[108],-0.796855,0.0706477,-0.911298,-0.796178,-0.675151,1.00313,2670.14
mu_player[109],-1.55476,0.115933,-1.75174,-1.55287,-1.36356,1.00238,1954.06
mu_player[110],-0.756731,0.0352461,-0.812106,-0.757479,-0.699347,1.00247,1187.46
mu_player[111],-1.02183,0.042004,-1.09283,-1.02106,-0.951643,1.00293,925.485
mu_player[112],-1.35279,0.0423011,-1.4218,-1.35473,-1.28241,1.00397,1031.92
mu_player[113],-0.743929,0.0406886,-0.808061,-0.745076,-0.678138,1.00622,1044.5
mu_player[114],-1.11805,0.041597,-1.18527,-1.12017,-1.04985,1.00216,994.051
mu_player[115],-0.998601,0.0792722,-1.1306,-0.998171,-0.867389,1.00036,2114.67
mu_player[116],-1.30223,0.101606,-1.47559,-1.30224,-1.1303,1.0001,2244.55
mu_player[117],-1.20182,0.136072,-1.4278,-1.20186,-0.980564,1.00174,2101.41
mu_player[118],-1.19082,0.0456824,-1.26291,-1.19138,-1.11547,1.00053,1153.31
mu_player[119],-1.11025,0.116832,-1.30697,-1.10927,-0.916682,1.00172,2374.89
mu_player[120],-0.769143,0.0494471,-0.851191,-0.769033,-0.688029,1.00284,1187.02
mu_player[121],-0.796218,0.125882,-1.00385,-0.797807,-0.582043,1.00624,2435.26
mu_player[122],-1.09465,0.0537109,-1.17887,-1.09372,-1.00357,1.00238,1425.54
mu_player[123],-1.47688,0.126459,-1.68644,-1.47619,-1.27344,1.00093,2130.32
