param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.33693,0.135827,-2.55326,-2.34066,-2.12912,1.00406,1150.42
mu_position[1],-2.40444,0.0611335,-2.50445,-2.40426,-2.30498,1.00451,655.094
mu_position[2],-2.31993,0.0648641,-2.42462,-2.32168,-2.21088,0.999925,998.723
mu_position[3],-2.24794,0.109936,-2.40705,-2.2596,-2.05084,1.00043,806.072
mu_player[1],-1.93991,0.352963,-2.52791,-1.93857,-1.37006,1.00174,1245.57
mu_player[2],-2.10444,0.33356,-2.66913,-2.10315,-1.57156,1.00462,1332.68
mu_player[3],-1.9262,0.339853,-2.45578,-1.93765,-1.35935,1.00221,1529.3
mu_player[4],-2.95238,0.382719,-3.55922,-2.96185,-2.33126,1.0025,1004.25
mu_player[5],-2.57563,0.368352,-3.17407,-2.57306,-1.96427,1.00305,1129.83
mu_player[6],-2.23025,0.314973,-2.75574,-2.23011,-1.7236,1.00191,1305.21
mu_player[7],-2.28446,0.331558,-2.83992,-2.27486,-1.77223,1.0041,1135.85
mu_player[8],-1.8057,0.262256,-2.22586,-1.79937,-1.38237,1.00034,1492.91
mu_player[9],-2.17366,0.286386,-2.62906,-2.18178,-1.69893,1.00011,1386.43
mu_player[10],-2.17703,0.287784,-2.65057,-2.17913,-1.71621,1.00231,1419.59
mu_player[11],-2.29663,0.318322,-2.79689,-2.29684,-1.79235,1.00086,1154.14
mu_player[12],-2.98685,0.311638,-3.49177,-2.98609,-2.47309,1.00223,1393.4
mu_player[13],-2.24015,0.29576,-2.71935,-2.23494,-1.76852,1.00287,1453.23
mu_player[14],-1.38011,0.232565,-1.76255,-1.37936,-0.99238,0.999732,1278.79
mu_player[15],-1.89629,0.302006,-2.38928,-1.89058,-1.41109,1.00482,1063.1
mu_player[16],-1.63417,0.238339,-2.03033,-1.62343,-1.24589,0.999211,1161.03
mu_player[17],-2.43185,0.219422,-2.80613,-2.42828,-2.07939,1.00316,1536.02
mu_player[18],-2.68929,0.290784,-3.15854,-2.6939,-2.21648,0.999394,1363.77
mu_player[19],-1.97903,0.223142,-2.3515,-1.97691,-1.61283,1.00082,1299.8
mu_player[20],-2.09356,0.159625,-2.3576,-2.09049,-1.83013,1.00259,1535.59
mu_player[21],-2.12316,0.180059,-2.42015,-2.1245,-1.83391,1.00344,1131.3
mu_player[22],-2.58758,0.221589,-2.95489,-2.58292,-2.2219,0.999725,1178.52
mu_player[23],-2.44725,0.155441,-2.69828,-2.44674,-2.19449,1.00191,897.897
mu_player[24],-2.52384,0.251661,-2.90752,-2.52147,-2.09714,1.00689,1366.84
mu_player[25],-2.76783,0.19038,-3.07523,-2.76946,-2.45227,1.00011,1556.73
mu_player[26],-1.5623,0.253318,-1.98151,-1.5574,-1.14523,1.00289,993.495
mu_player[27],-2.14375,0.257124,-2.57496,-2.14729,-1.72307,1.00274,1077.61
mu_player[28],-1.63284,0.126378,-1.84402,-1.62923,-1.42684,1.00171,1300.24
mu_player[29],-1.8099,0.114638,-2.0003,-1.80947,-1.61977,1.00064,1296.86
mu_player[30],-1.76568,0.223915,-2.14651,-1.76218,-1.40915,1.00113,968.606
mu_player[31],-1.92126,0.118606,-2.11431,-1.92281,-1.7278,1.00064,1569.61
mu_player[32],-2.11137,0.149676,-2.35156,-2.11118,-1.86677,1.00001,1302.23
mu_player[33],-2.77429,0.244269,-3.17526,-2.77848,-2.3733,1.00387,1279.56
mu_player[34],-2.14234,0.17803,-2.4349,-2.14656,-1.84972,1.00139,1455.35
mu_player[35],-3.05655,0.295392,-3.52876,-3.07041,-2.56074,1.00258,824.777
mu_player[36],-2.53499,0.179862,-2.83454,-2.52857,-2.24333,1.00165,1250.16
mu_player[37],-2.13724,0.113978,-2.32275,-2.13604,-1.95501,0.999133,1477.82
mu_player[38],-2.37569,0.206985,-2.71607,-2.36677,-2.04932,1.002,1326.5
mu_player[39],-2.763,0.139807,-2.98964,-2.76508,-2.53375,1.00634,1435.26
mu_player[40],-2.16687,0.227284,-2.55536,-2.1655,-1.79999,0.999866,1116.31
mu_player[41],-1.64311,0.145353,-1.88998,-1.63828,-1.40467,1.00709,1530.74
mu_player[42],-2.22049,0.121804,-2.41686,-2.22264,-2.02523,1.00328,2339.5
mu_player[43],-2.40447,0.160077,-2.65986,-2.40518,-2.13122,1.00089,1455.0
mu_player[44],-1.07866,0.0846128,-1.2177,-1.07923,-0.938649,1.00212,2048.36
mu_player[45],-2.79511,0.22543,-3.15821,-2.80034,-2.41538,1.00572,1480.94
mu_player[46],-1.90055,0.0847644,-2.03601,-1.89814,-1.75653,1.00544,1328.08
mu_player[47],-2.34363,0.154424,-2.59471,-2.34313,-2.08739,1.00308,1036.77
mu_player[48],-3.03775,0.13179,-3.25539,-3.03443,-2.83212,1.00118,1672.75
mu_player[49],-1.88032,0.128484,-2.08828,-1.88471,-1.66495,1.00221,1405.06
mu_player[50],-1.89359,0.104549,-2.06144,-1.89613,-1.72304,1.00014,1794.12
mu_player[51],-2.91552,0.193328,-3.22863,-2.90688,-2.60173,1.00134,1312.78
mu_player[52],-2.05102,0.092744,-2.20367,-2.04985,-1.89881,1.00224,1884.11
mu_player[53],-2.54001,0.107762,-2.71608,-2.54076,-2.36442,1.00477,1520.49
mu_player[54],-2.55509,0.120723,-2.75912,-2.55368,-2.36325,1.0008,1794.47
mu_player[55],-2.14137,0.195872,-2.46308,-2.15252,-1.81178,1.00274,1123.54
mu_player[56],-1.81883,0.0795972,-1.94816,-1.81902,-1.68747,1.00659,1659.32
mu_player[57],-2.39672,0.104554,-2.56832,-2.39671,-2.22955,1.00001,2354.03
mu_player[58],-1.11035,0.0921062,-1.25818,-1.11442,-0.950275,1.00337,1656.62
mu_player[59],-2.40161,0.101703,-2.56757,-2.40251,-2.23515,1.00155,1993.31
mu_player[60],-2.82804,0.164572,-3.0977,-2.825,-2.55236,0.999974,1514.44
mu_player[61],-1.79096,0.082725,-1.9292,-1.7899,-1.65166,1.00008,2302.75
mu_player[62],-1.70354,0.0899321,-1.84937,-1.70487,-1.55158,0.999007,2134.31
mu_player[63],-2.83006,0.32519,-3.33169,-2.83641,-2.2637,1.00712,962.607
mu_player[64],-3.17449,0.189719,-3.4863,-3.18177,-2.85594,1.00239,1678.29
mu_player[65],-2.97047,0.131956,-3.18441,-2.96894,-2.7549,1.00189,1879.56
mu_player[66],-2.78389,0.175828,-3.08011,-2.78534,-2.49794,1.00131,1262.72
mu_player[67],-2.23585,0.10283,-2.403,-2.24008,-2.06533,1.00546,1712.46
mu_player[68],-1.79649,0.109288,-1.97571,-1.79508,-1.62073,1.00085,1869.28
mu_player[69],-2.14087,0.108757,-2.32473,-2.1399,-1.96442,1.00167,2019.2
mu_player[70],-1.69347,0.121523,-1.88823,-1.69169,-1.50152,1.00145,1231.32
mu_player[71],-2.72445,0.140416,-2.95296,-2.72356,-2.49006,1.00588,2073.56
mu_player[72],-2.11754,0.104524,-2.28694,-2.11779,-1.95113,1.00314,1903.96
mu_player[73],-2.20059,0.108301,-2.38052,-2.1989,-2.02825,1.00724,2559.17
mu_player[74],-2.70932,0.105781,-2.88539,-2.70835,-2.53698,1.00115,1967.21
mu_player[75],-2.53914,0.106455,-2.71631,-2.53712,-2.36483,0.999544,1765.02
mu_player[76],-2.47252,0.1046,-2.64095,-2.47438,-2.30351,1.00147,1569.63
mu_player[77],-1.93739,0.12714,-2.14407,-1.93694,-1.72864,1.0058,1147.0
mu_player[78],-3.36865,0.171671,-3.65402,-3.36541,-3.09284,0.999002,1869.27
mu_player[79],-2.73049,0.125579,-2.93597,-2.73327,-2.52593,1.00053,1361.22
mu_player[80],-3.52079,0.150574,-3.76573,-3.51916,-3.27776,1.00156,1689.47
mu_player[81],-2.62941,0.109653,-2.80553,-2.62761,-2.45163,0.999928,2331.87
mu_player[82],-1.84935,0.0983929,-2.0075,-1.85177,-1.67861,1.00585,1575.54
mu_player[83],-3.24736,0.145128,-3.48005,-3.25092,-3.01236,1.00088,1467.0
mu_player[84],-2.95498,0.136136,-3.18465,-2.95671,-2.74246,1.00237,1664.57
mu_player[85],-1.77429,0.148321,-2.022,-1.77371,-1.53799,1.00342,1171.36
mu_player[86],-2.25134,0.100998,-2.41848,-2.25154,-2.08331,1.00404,1270.92
mu_player[87],-2.48949,0.119505,-2.68817,-2.4905,-2.28465,1.0012,1536.48
mu_player[88],-2.26279,0.135538,-2.48136,-2.26279,-2.04838,1.00012,1447.07
mu_player[89],-2.39566,0.0935508,-2.55235,-2.39433,-2.2367,0.999975,2107.65
mu_player[90],-2.6819,0.125888,-2.89278,-2.68148,-2.47841,1.00418,2083.36
mu_player[91],-1.95814,0.1114,-2.14458,-1.95937,-1.7764,1.00138,1349.52
mu_player[92],-3.41482,0.170445,-3.69972,-3.40728,-3.14199,1.00132,1762.92
mu_player[93],-1.89261,0.0992628,-2.05105,-1.89202,-1.72867,0.999915,1810.29
mu_player[94],-2.1178,0.130258,-2.3346,-2.11818,-1.90729,1.00006,1625.71
mu_player[95],-3.32124,0.147704,-3.57262,-3.3252,-3.07651,1.00457,1856.82
mu_player[96],-2.28599,0.101977,-2.45041,-2.28527,-2.11325,1.0034,1537.48
mu_player[97],-2.40461,0.154185,-2.6571,-2.40938,-2.14681,1.00402,1253.38
mu_player[98],-2.81787,0.132865,-3.0346,-2.81773,-2.59872,1.00612,1765.73
mu_player[99],-1.83331,0.15171,-2.07849,-1.83404,-1.58462,1.00135,1091.03
mu_player[100],-1.48721,0.15019,-1.7249,-1.49249,-1.23213,1.00397,1150.67
mu_player[101],-2.29406,0.160021,-2.54877,-2.29614,-2.03383,1.00358,1173.58
mu_player[102],-1.85728,0.13629,-2.08121,-1.85981,-1.63318,1.0032,1109.86
mu_player[103],-1.88899,0.112273,-2.07196,-1.88774,-1.70332,1.00341,1384.98
mu_player[104],-3.18517,0.160183,-3.45989,-3.18524,-2.92255,1.00282,2065.56
mu_player[105],-2.32991,0.155745,-2.57722,-2.32969,-2.0719,0.99942,1372.83
mu_player[106],-2.6172,0.151053,-2.86763,-2.61365,-2.36747,1.00003,1869.73
mu_player[107],-2.32079,0.173947,-2.60693,-2.31141,-2.04703,1.00014,1333.87
mu_player[108],-1.85715,0.129868,-2.06894,-1.85657,-1.63624,1.00165,1527.73
mu_player[109],-2.76069,0.186835,-3.07295,-2.76363,-2.45726,1.00134,1449.43
mu_player[110],-2.3308,0.0979181,-2.4902,-2.32862,-2.17161,1.00509,2114.64
mu_player[111],-2.28242,0.0991228,-2.44206,-2.28381,-2.12134,1.00642,1590.26
mu_player[112],-2.49852,0.100314,-2.6683,-2.49831,-2.33094,1.00058,2097.16
mu_player[113],-2.44234,0.117877,-2.63634,-2.44649,-2.24741,1.00262,1334.06
mu_player[114],-3.03325,0.118266,-3.2294,-3.03419,-2.84298,1.00357,2039.52
mu_player[115],-2.15208,0.134234,-2.36914,-2.15373,-1.92679,1.00276,1444.73
mu_player[116],-3.04629,0.190768,-3.36911,-3.04659,-2.73562,1.00158,1825.22
mu_player[117],-3.26313,0.250421,-3.67021,-3.27073,-2.85759,1.002,1062.93
mu_player[118],-2.79097,0.116294,-2.98674,-2.79247,-2.60333,1.01011,1865.13
mu_player[119],-2.76712,0.204002,-3.09446,-2.77551,-2.41634,1.00227,1134.18
mu_player[120],-2.23432,0.10989,-2.41804,-2.23283,-2.05739,0.999462,827.491
mu_player[121],-2.10471,0.210695,-2.44936,-2.10428,-1.77383,1.00082,1220.37
mu_player[122],-2.5357,0.115466,-2.72305,-2.53688,-2.34039,1.00281,1303.14
mu_player[123],-3.43558,0.233517,-3.81933,-3.43527,-3.06686,1.00261,1034.99
