param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.3241,0.384922,-2.93629,-2.33868,-1.66399,1.00886,2245.23
mu_position[1],-1.74993,0.0917929,-1.89399,-1.75118,-1.59436,0.999646,2322.05
mu_position[2],-2.11228,0.116667,-2.30563,-2.11298,-1.91292,1.00587,844.504
mu_position[3],-3.66274,0.203606,-4.001,-3.66601,-3.32259,1.0035,1989.93
mu_player[1],-2.26718,0.391016,-2.92826,-2.25657,-1.64021,1.00363,1359.24
mu_player[2],-2.5274,0.41337,-3.21059,-2.52239,-1.83466,1.00079,1489.01
mu_player[3],-1.381,0.364413,-1.99012,-1.37877,-0.787075,1.00425,1454.93
mu_player[4],-1.87988,0.448967,-2.61614,-1.87462,-1.16338,1.00056,1687.83
mu_player[5],-2.79794,0.409107,-3.4711,-2.80459,-2.14423,1.0006,1292.72
mu_player[6],-1.38847,0.328167,-1.92899,-1.38856,-0.852777,1.00113,1699.35
mu_player[7],-1.36476,0.468913,-2.1386,-1.37047,-0.604509,1.00029,1691.29
mu_player[8],-2.62113,0.303383,-3.12851,-2.61878,-2.11337,1.00369,1480.35
mu_player[9],-1.72333,0.288557,-2.2235,-1.71183,-1.26659,1.00117,1631.06
mu_player[10],-0.897318,0.289912,-1.35664,-0.90083,-0.42753,0.999499,1748.47
mu_player[11],-2.01195,0.317282,-2.52645,-2.00741,-1.4938,1.00965,1389.63
mu_player[12],-2.3197,0.334175,-2.85381,-2.3252,-1.78752,1.00103,1444.91
mu_player[13],-5.0779,0.67074,-6.22286,-5.0755,-3.98359,1.00283,2103.1
mu_player[14],-0.889407,0.200091,-1.21577,-0.897558,-0.56022,0.999377,1922.3
mu_player[15],-1.04532,0.303435,-1.54142,-1.04977,-0.561903,1.00043,1347.56
mu_player[16],-3.8162,0.368355,-4.43418,-3.80913,-3.21521,0.999873,1362.38
mu_player[17],-2.11394,0.211266,-2.48429,-2.10741,-1.78627,1.00027,1432.14
mu_player[18],-1.29391,0.294363,-1.77868,-1.2865,-0.81507,1.00062,1504.33
mu_player[19],-1.3355,0.210634,-1.68547,-1.33692,-0.984477,1.00062,1420.76
mu_player[20],-3.00955,0.215221,-3.36665,-3.00642,-2.66551,1.00405,1557.25
mu_player[21],-1.89021,0.175199,-2.1747,-1.88671,-1.6035,1.00528,1316.2
mu_player[22],-1.69683,0.194087,-2.02113,-1.69625,-1.39219,1.0041,1872.65
mu_player[23],-2.10913,0.140772,-2.3362,-2.10674,-1.8795,0.999895,1056.39
mu_player[24],-1.46753,0.256697,-1.89725,-1.46806,-1.03876,1.00056,1629.3
mu_player[25],-2.7001,0.205658,-3.0354,-2.69656,-2.36337,1.00341,1468.9
mu_player[26],-2.55029,0.331104,-3.08277,-2.55452,-2.00417,1.00003,1364.91
mu_player[27],-1.45363,0.240743,-1.8411,-1.45431,-1.05624,1.00235,1409.75
