param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.962387,0.0881056,-1.09456,-0.962185,-0.836085,1.0066,866.284
mu_position[1],-0.915856,0.0358497,-0.970548,-0.917992,-0.853928,1.00777,472.971
mu_position[2],-0.980405,0.0389069,-1.04279,-0.980772,-0.91752,1.00295,654.393
mu_position[3],-0.99205,0.0532163,-1.08771,-0.989947,-0.908752,0.999476,1408.19
mu_player[1],-1.03862,0.192318,-1.36242,-1.03557,-0.726921,1.00198,1797.66
mu_player[2],-0.886131,0.189167,-1.18989,-0.885127,-0.576808,1.00244,1756.44
mu_player[3],-0.718293,0.198558,-1.0448,-0.714587,-0.394021,1.00165,1652.98
mu_player[4],-1.1526,0.21715,-1.49956,-1.16372,-0.795734,1.00277,1950.0
mu_player[5],-0.675037,0.189182,-0.982124,-0.674552,-0.36687,1.00519,1870.31
mu_player[6],-0.567453,0.172495,-0.862177,-0.567177,-0.290867,1.0041,2099.09
mu_player[7],-1.03244,0.201426,-1.36486,-1.03104,-0.704355,1.00241,1673.64
mu_player[8],-0.495926,0.13531,-0.712826,-0.494884,-0.273937,1.00135,2037.83
mu_player[9],-0.805111,0.161823,-1.07815,-0.801102,-0.535298,1.0021,1646.7
mu_player[10],-0.695901,0.168007,-0.971432,-0.692604,-0.41722,1.00263,1899.77
mu_player[11],-1.13788,0.167653,-1.40741,-1.13834,-0.859892,1.00046,2063.95
mu_player[12],-1.2495,0.171835,-1.5247,-1.25493,-0.971486,1.00132,1650.58
mu_player[13],-1.22398,0.187427,-1.53214,-1.22373,-0.920442,1.00806,1629.77
mu_player[14],-0.475074,0.122776,-0.671724,-0.476939,-0.272503,0.999734,1255.37
mu_player[15],-0.650901,0.166674,-0.919192,-0.65117,-0.367714,1.00164,2087.48
mu_player[16],-0.805908,0.121777,-1.00233,-0.807546,-0.607463,1.00098,1872.86
mu_player[17],-0.851144,0.11058,-1.03686,-0.85233,-0.673174,1.00101,1944.71
mu_player[18],-0.893888,0.164974,-1.15515,-0.890391,-0.632593,1.00257,1618.48
mu_player[19],-0.623814,0.12435,-0.830729,-0.627862,-0.424361,1.00163,1473.54
mu_player[20],-0.876161,0.0774114,-1.00505,-0.876561,-0.747416,1.00769,1298.09
mu_player[21],-0.947459,0.101369,-1.11434,-0.945887,-0.782493,1.0029,1802.04
mu_player[22],-0.475045,0.105618,-0.647945,-0.472198,-0.30606,1.00351,2176.04
mu_player[23],-0.698095,0.0702544,-0.813872,-0.697759,-0.583571,1.00045,1075.64
mu_player[24],-0.747115,0.140705,-0.989106,-0.742667,-0.5303,1.00063,1628.61
mu_player[25],-1.30886,0.106777,-1.4884,-1.30858,-1.13475,0.99993,1324.41
mu_player[26],-0.935654,0.133919,-1.15039,-0.938401,-0.710022,1.0083,1536.65
mu_player[27],-0.964736,0.140647,-1.19529,-0.96194,-0.731627,1.00602,2000.95
mu_player[28],-0.680175,0.0591708,-0.775745,-0.680837,-0.584587,1.00163,810.791
mu_player[29],-0.515628,0.0489344,-0.595413,-0.515024,-0.434145,1.00369,738.299
mu_player[30],-0.736566,0.10361,-0.9068,-0.734435,-0.571926,1.00404,1350.6
mu_player[31],-0.922111,0.0565172,-1.01344,-0.922489,-0.828121,1.00147,1530.15
mu_player[32],-1.10072,0.0817753,-1.23803,-1.10416,-0.96948,1.00374,1194.01
mu_player[33],-1.4083,0.152184,-1.65597,-1.40979,-1.15193,0.999344,2092.92
mu_player[34],-0.765482,0.0917229,-0.914651,-0.765945,-0.610117,1.00008,1589.96
mu_player[35],-1.1905,0.15777,-1.44892,-1.19204,-0.931232,1.00322,1306.07
mu_player[36],-0.637688,0.0822915,-0.776676,-0.638713,-0.503345,1.00394,1203.15
mu_player[37],-0.871981,0.0521721,-0.958376,-0.872327,-0.783927,1.00586,913.554
mu_player[38],-0.984859,0.113369,-1.17623,-0.982766,-0.803737,0.999971,1925.26
mu_player[39],-1.15738,0.0704062,-1.27163,-1.15682,-1.04413,1.00516,1585.33
mu_player[40],-1.24877,0.148353,-1.49935,-1.24899,-0.997559,1.00413,1174.74
mu_player[41],-1.33951,0.0801583,-1.46973,-1.33766,-1.21033,1.00456,1831.17
mu_player[42],-1.44602,0.0703665,-1.56237,-1.44726,-1.32721,1.00448,1852.9
mu_player[43],-0.803518,0.0823798,-0.94494,-0.801816,-0.672822,1.002,942.804
mu_player[44],-0.515797,0.0335776,-0.5651,-0.51818,-0.456523,1.00665,420.266
mu_player[45],-1.09025,0.128026,-1.30391,-1.08664,-0.877111,0.998445,1525.52
mu_player[46],-0.663616,0.0300316,-0.708583,-0.664694,-0.612965,1.00388,622.483
mu_player[47],-0.595287,0.0728806,-0.716157,-0.594913,-0.475421,1.00029,1531.75
mu_player[48],-1.18178,0.0470388,-1.26173,-1.18087,-1.10577,1.00311,1587.27
mu_player[49],-0.797825,0.0637701,-0.900691,-0.799052,-0.693889,1.00075,1103.45
mu_player[50],-0.811651,0.0458361,-0.883035,-0.812247,-0.735544,1.00558,620.692
mu_player[51],-0.88981,0.0976696,-1.05326,-0.888315,-0.737658,0.999877,1488.8
mu_player[52],-0.988042,0.0408956,-1.05429,-0.987966,-0.923116,1.00317,593.462
mu_player[53],-1.11542,0.0457868,-1.19063,-1.11594,-1.03917,1.0039,1338.68
mu_player[54],-1.16051,0.0627245,-1.2651,-1.16059,-1.06029,1.00421,850.891
mu_player[55],-1.39938,0.129553,-1.6094,-1.40271,-1.18059,1.00808,1828.13
mu_player[56],-0.701523,0.033293,-0.752311,-0.703299,-0.645104,1.00576,452.661
mu_player[57],-0.806246,0.0391576,-0.867082,-0.807519,-0.74257,1.00902,601.022
mu_player[58],-0.559039,0.0406301,-0.625808,-0.560585,-0.489586,1.00037,1190.06
mu_player[59],-1.11488,0.0443367,-1.18883,-1.11482,-1.04488,1.00501,1961.15
mu_player[60],-0.82572,0.0756106,-0.950653,-0.824995,-0.705786,1.00566,1188.14
mu_player[61],-0.720349,0.0326535,-0.772421,-0.721893,-0.665725,0.999171,1152.32
mu_player[62],-0.690178,0.03664,-0.747841,-0.691057,-0.62847,1.00095,583.904
mu_player[63],-1.06543,0.182575,-1.36307,-1.06649,-0.773661,1.00065,1927.85
mu_player[64],-1.18783,0.0959433,-1.3475,-1.18763,-1.03594,1.00681,1721.53
