param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-3.54958,0.144497,-3.79589,-3.53611,-3.34832,1.00379,1012.93
mu_position[1],-3.41118,0.0348123,-3.46685,-3.41187,-3.3547,1.00405,423.131
mu_position[2],-3.59562,0.0397162,-3.65894,-3.5959,-3.53019,1.00312,815.579
mu_position[3],-3.60144,0.0711299,-3.71857,-3.60184,-3.4892,1.00243,587.049
mu_player[1],-3.40653,0.158678,-3.66687,-3.40683,-3.13456,1.00675,930.572
mu_player[2],-2.98434,0.144754,-3.22233,-2.98531,-2.74886,1.01837,439.7
mu_player[3],-3.40294,0.140671,-3.63386,-3.40053,-3.18566,1.00886,894.107
mu_player[4],-3.53187,0.160094,-3.78733,-3.53329,-3.26573,1.00061,998.635
mu_player[5],-3.49225,0.204125,-3.83274,-3.49117,-3.15044,1.00254,851.291
mu_player[6],-3.19685,0.126769,-3.40058,-3.19393,-2.9842,1.00543,880.053
mu_player[7],-3.81548,0.156713,-4.07897,-3.8162,-3.56079,1.00221,1334.82
mu_player[8],-3.3328,0.106652,-3.51141,-3.33466,-3.15711,1.00441,734.741
mu_player[9],-3.89498,0.160553,-4.15024,-3.89396,-3.6338,0.998879,1798.55
mu_player[10],-3.73797,0.139091,-3.96667,-3.73355,-3.51812,1.00228,1517.42
mu_player[11],-3.69535,0.17502,-3.97401,-3.69351,-3.42265,1.0019,1285.54
mu_player[12],-3.28788,0.126861,-3.49587,-3.28622,-3.08561,1.00325,1329.07
mu_player[13],-3.73126,0.187852,-4.03875,-3.72679,-3.42574,1.00102,1166.39
mu_player[14],-3.32179,0.106491,-3.49772,-3.31993,-3.14826,0.999561,1131.33
mu_player[15],-3.41444,0.128456,-3.62755,-3.41294,-3.20533,1.00138,1031.97
mu_player[16],-3.54428,0.111202,-3.72945,-3.54448,-3.36488,1.00512,1025.33
mu_player[17],-3.16393,0.0994901,-3.32616,-3.16365,-3.00066,1.00376,1196.57
mu_player[18],-3.59407,0.141019,-3.83052,-3.5938,-3.36773,1.00229,1810.4
mu_player[19],-3.1043,0.120284,-3.30644,-3.09672,-2.90999,1.00229,1534.08
mu_player[20],-3.99626,0.137152,-4.22794,-3.99175,-3.77449,0.999883,1762.05
mu_player[21],-3.37321,0.118395,-3.57341,-3.37165,-3.18224,1.00151,1462.29
mu_player[22],-3.56572,0.126174,-3.77061,-3.56181,-3.35872,1.00014,1406.96
mu_player[23],-3.6905,0.10727,-3.86492,-3.68929,-3.51271,1.00087,1973.22
mu_player[24],-3.58041,0.126332,-3.79159,-3.57798,-3.37757,1.00196,1511.7
mu_player[25],-3.4653,0.130661,-3.68849,-3.4668,-3.25404,1.00512,2201.82
mu_player[26],-2.96705,0.109763,-3.14438,-2.96605,-2.787,1.00608,994.952
mu_player[27],-3.85391,0.138753,-4.083,-3.85255,-3.62738,1.00731,926.226
mu_player[28],-3.39709,0.115424,-3.58763,-3.39756,-3.21264,1.00603,2887.44
mu_player[29],-3.52497,0.112366,-3.71203,-3.52447,-3.34168,0.998942,1640.42
mu_player[30],-3.64646,0.12819,-3.86187,-3.64545,-3.43862,1.00224,1807.25
mu_player[31],-3.02983,0.116571,-3.21429,-3.03015,-2.83266,0.999612,2247.85
mu_player[32],-3.82293,0.111403,-4.00919,-3.81969,-3.64205,1.00654,2003.04
mu_player[33],-3.22148,0.107255,-3.3992,-3.22101,-3.04773,1.00407,1608.92
mu_player[34],-3.45476,0.119019,-3.64859,-3.45697,-3.26083,1.00226,2279.78
mu_player[35],-3.39576,0.129661,-3.60741,-3.39687,-3.1762,1.0084,1658.03
mu_player[36],-3.52384,0.109568,-3.70345,-3.51919,-3.34549,1.00494,1620.03
mu_player[37],-3.53922,0.106784,-3.71818,-3.53431,-3.36998,1.00729,2307.42
