param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.68787,0.0872795,-1.80773,-1.6873,-1.56204,1.00393,767.736
mu_position[1],-1.69563,0.0303859,-1.74078,-1.69681,-1.64637,1.01218,571.043
mu_position[2],-1.71136,0.0334637,-1.76869,-1.70972,-1.65832,1.00746,743.878
mu_position[3],-1.63691,0.0552773,-1.72049,-1.64215,-1.54249,1.00421,977.891
mu_player[1],-1.47561,0.183472,-1.77954,-1.47526,-1.17862,1.00271,1275.99
mu_player[2],-1.51347,0.171188,-1.79376,-1.509,-1.23299,1.00466,1494.24
mu_player[3],-1.63426,0.174499,-1.91395,-1.63708,-1.34654,1.00177,1427.7
mu_player[4],-2.04738,0.197754,-2.36656,-2.05433,-1.7195,1.00413,1173.53
mu_player[5],-1.67898,0.176158,-1.95951,-1.68087,-1.37271,0.998777,1746.79
mu_player[6],-1.57314,0.156276,-1.82534,-1.57766,-1.311,1.00385,1095.23
mu_player[7],-1.74312,0.17511,-2.02943,-1.7463,-1.44578,1.00183,1734.09
mu_player[8],-1.38027,0.124847,-1.58432,-1.38085,-1.17859,1.00561,874.25
mu_player[9],-1.66393,0.14162,-1.89194,-1.66882,-1.42779,1.00176,1413.17
mu_player[10],-1.66182,0.143137,-1.89032,-1.66114,-1.42338,1.00228,1674.21
mu_player[11],-1.72758,0.156894,-1.98862,-1.72593,-1.46959,1.00455,1458.74
mu_player[12],-1.96686,0.14612,-2.20127,-1.96803,-1.73316,1.00389,1395.43
mu_player[13],-1.77103,0.159398,-2.03032,-1.7778,-1.50204,1.00016,1650.92
mu_player[14],-1.46351,0.121657,-1.66176,-1.46799,-1.26256,1.00692,1791.36
mu_player[15],-1.38197,0.149083,-1.63077,-1.379,-1.14035,1.00089,1271.78
mu_player[16],-1.40484,0.119312,-1.6038,-1.40132,-1.21505,1.00101,1281.83
mu_player[17],-1.50063,0.108407,-1.68509,-1.49926,-1.32623,1.00215,1113.29
mu_player[18],-1.7141,0.138761,-1.93779,-1.71495,-1.48768,1.00111,1383.06
mu_player[19],-1.43821,0.116736,-1.6336,-1.4362,-1.25311,1.00232,1486.25
mu_player[20],-1.46904,0.0808686,-1.60598,-1.47012,-1.33894,0.999627,1519.97
mu_player[21],-1.82309,0.0943029,-1.97578,-1.82249,-1.67674,1.00271,1208.27
mu_player[22],-1.427,0.101455,-1.59765,-1.42696,-1.2583,0.99897,1744.35
mu_player[23],-1.53213,0.0716118,-1.64927,-1.53402,-1.41354,1.00179,1047.44
mu_player[24],-1.58469,0.119393,-1.77946,-1.58336,-1.38938,0.998865,1463.02
mu_player[25],-2.04438,0.101537,-2.20883,-2.04399,-1.87253,1.00212,1789.08
mu_player[26],-1.65158,0.124666,-1.85844,-1.64892,-1.45011,1.00051,1732.99
mu_player[27],-1.64701,0.122445,-1.85019,-1.6466,-1.44933,1.00025,1112.4
mu_player[28],-1.34362,0.0619629,-1.45123,-1.34179,-1.24429,1.00406,1385.67
mu_player[29],-1.34349,0.0589928,-1.43814,-1.34517,-1.24374,1.00372,1084.92
mu_player[30],-1.44475,0.106281,-1.62378,-1.44113,-1.27856,1.00239,1380.19
mu_player[31],-1.60393,0.0690551,-1.71785,-1.60208,-1.49237,1.00196,2163.68
mu_player[32],-1.88074,0.0779827,-2.00799,-1.88248,-1.74595,1.0002,1605.2
mu_player[33],-2.15786,0.124513,-2.35793,-2.15972,-1.95496,0.999578,1816.86
mu_player[34],-1.48563,0.088597,-1.63136,-1.48644,-1.33763,1.00682,1771.69
mu_player[35],-1.97909,0.138155,-2.19883,-1.98133,-1.7446,1.01254,1244.69
mu_player[36],-1.42605,0.0877107,-1.56966,-1.42654,-1.28061,1.00483,1264.34
mu_player[37],-1.76341,0.062848,-1.87015,-1.76291,-1.66321,1.00363,799.102
mu_player[38],-1.80941,0.106385,-1.97967,-1.80873,-1.62656,1.00027,1632.99
mu_player[39],-1.95723,0.0704951,-2.0715,-1.95789,-1.84188,1.00369,1325.43
mu_player[40],-1.85967,0.126127,-2.07414,-1.8591,-1.65288,1.00389,1471.94
mu_player[41],-1.73247,0.0798224,-1.86062,-1.73382,-1.60315,1.0005,1519.05
mu_player[42],-2.01064,0.0750576,-2.13714,-2.00919,-1.88738,1.00478,1885.69
mu_player[43],-1.69041,0.0826053,-1.82631,-1.69242,-1.55474,1.00609,1331.17
mu_player[44],-1.1187,0.0379373,-1.18018,-1.11978,-1.05306,1.00296,1597.07
mu_player[45],-1.70534,0.108944,-1.88705,-1.7039,-1.53021,1.00515,1678.52
mu_player[46],-1.41693,0.0417235,-1.48497,-1.41728,-1.34893,1.00493,759.109
mu_player[47],-1.46099,0.0742753,-1.57707,-1.46346,-1.33819,1.00293,1351.67
mu_player[48],-2.0345,0.0727623,-2.15552,-2.03413,-1.9154,1.00418,2059.33
mu_player[49],-1.70155,0.0719328,-1.82127,-1.70412,-1.57829,1.0045,1128.47
mu_player[50],-1.62807,0.0527988,-1.71831,-1.62697,-1.54086,1.00325,2099.26
mu_player[51],-1.63952,0.0924444,-1.79072,-1.64067,-1.48853,1.00105,1693.01
mu_player[52],-1.62722,0.047153,-1.70328,-1.62719,-1.55354,1.00522,2136.79
mu_player[53],-1.99676,0.0588947,-2.09262,-1.99823,-1.89727,1.00224,1534.32
mu_player[54],-1.94093,0.064445,-2.05103,-1.94165,-1.83708,0.999705,2116.77
mu_player[55],-1.91957,0.104852,-2.09706,-1.92002,-1.74773,1.005,1402.11
mu_player[56],-1.52843,0.0410135,-1.59577,-1.52843,-1.46197,1.00104,1519.23
mu_player[57],-1.58151,0.0485326,-1.65975,-1.58243,-1.50109,1.00114,2116.54
mu_player[58],-1.25325,0.0490519,-1.33204,-1.25401,-1.17492,1.00482,1886.32
mu_player[59],-1.60687,0.053353,-1.69307,-1.60745,-1.51992,1.00045,2257.16
mu_player[60],-1.64838,0.0772348,-1.76958,-1.65111,-1.5234,1.00149,1487.73
mu_player[61],-1.2823,0.0407846,-1.3483,-1.28268,-1.21479,1.00243,1608.77
mu_player[62],-1.44209,0.0448531,-1.51577,-1.44256,-1.36928,1.0025,1548.24
mu_player[63],-1.8983,0.159734,-2.16019,-1.89608,-1.64095,1.00085,1546.51
mu_player[64],-1.7772,0.0871269,-1.92117,-1.77641,-1.63664,1.00258,1365.88
mu_player[65],-1.79798,0.0629432,-1.90336,-1.79676,-1.69344,1.00132,2032.98
mu_player[66],-2.07129,0.0923911,-2.21873,-2.07226,-1.91906,1.00001,1493.58
mu_player[67],-1.59777,0.0510844,-1.68201,-1.59793,-1.51386,1.00133,1049.67
mu_player[68],-1.40207,0.05578,-1.49939,-1.40075,-1.31126,0.999494,2280.81
mu_player[69],-1.561,0.0514105,-1.64536,-1.56015,-1.47575,1.00226,1800.93
mu_player[70],-1.28775,0.0587634,-1.3794,-1.28946,-1.19009,1.00156,840.804
mu_player[71],-1.65213,0.0672973,-1.76126,-1.65315,-1.53923,1.00219,1612.56
mu_player[72],-1.64059,0.0576182,-1.73531,-1.63984,-1.54827,1.00001,2077.41
mu_player[73],-1.8787,0.0690612,-1.99296,-1.87981,-1.76388,0.998798,2284.78
mu_player[74],-1.52274,0.0489281,-1.59913,-1.52342,-1.43927,1.00521,1986.88
mu_player[75],-2.05856,0.0650259,-2.16707,-2.05763,-1.94723,0.999553,1965.43
mu_player[76],-1.58046,0.0514601,-1.6627,-1.5833,-1.49564,1.00411,1000.08
mu_player[77],-1.59313,0.064062,-1.69526,-1.5956,-1.48501,1.0051,1443.68
mu_player[78],-2.05061,0.0821791,-2.18507,-2.05054,-1.92157,1.00108,1751.61
mu_player[79],-1.85986,0.0691673,-1.97296,-1.85919,-1.74686,1.00031,1477.78
mu_player[80],-2.35501,0.0733006,-2.47599,-2.35471,-2.23439,0.999581,1915.06
mu_player[81],-1.8591,0.0583699,-1.95799,-1.8597,-1.76195,1.00208,2415.86
mu_player[82],-1.55558,0.049224,-1.63504,-1.55657,-1.47399,1.00275,1629.73
mu_player[83],-1.71702,0.0663406,-1.82765,-1.71562,-1.60866,1.00297,1521.99
mu_player[84],-1.67952,0.0635656,-1.78362,-1.68121,-1.57095,1.00314,1405.61
mu_player[85],-1.37987,0.0718982,-1.50393,-1.37799,-1.26652,1.00256,1280.94
mu_player[86],-1.66537,0.0510365,-1.74706,-1.66464,-1.58474,1.00217,1192.83
mu_player[87],-1.46343,0.052041,-1.54687,-1.46463,-1.37805,1.00343,1046.26
mu_player[88],-1.5022,0.0676866,-1.61381,-1.50192,-1.39491,1.00169,1323.09
mu_player[89],-1.66933,0.0526667,-1.756,-1.66833,-1.58225,1.00554,2393.17
mu_player[90],-1.8867,0.066982,-1.99344,-1.88906,-1.7772,1.00363,2351.4
mu_player[91],-1.29903,0.0528223,-1.38602,-1.29913,-1.21201,1.00324,1123.92
mu_player[92],-1.89742,0.0768285,-2.02193,-1.89835,-1.77529,1.00268,1971.36
mu_player[93],-1.49157,0.0469202,-1.56999,-1.49039,-1.41699,1.00343,1434.87
mu_player[94],-1.75086,0.0744191,-1.87391,-1.75162,-1.63115,1.00069,2049.64
mu_player[95],-2.13753,0.0722103,-2.25044,-2.14144,-2.01963,1.00163,1984.99
mu_player[96],-1.74428,0.0531274,-1.83475,-1.74372,-1.65437,0.999859,1268.84
mu_player[97],-2.02807,0.0922663,-2.17913,-2.02982,-1.87906,1.00621,1883.58
mu_player[98],-2.30727,0.0787584,-2.43687,-2.3079,-2.17947,1.00016,1736.41
mu_player[99],-1.35709,0.0737995,-1.47489,-1.3565,-1.24069,1.00254,1100.21
mu_player[100],-1.33968,0.0750893,-1.46021,-1.34034,-1.21457,1.00538,1471.74
mu_player[101],-1.63206,0.083598,-1.77183,-1.63604,-1.49323,1.00628,1431.63
mu_player[102],-1.44025,0.069745,-1.55236,-1.4428,-1.32497,1.0092,1504.28
mu_player[103],-1.30163,0.0546085,-1.39612,-1.29967,-1.2194,1.00182,1110.74
mu_player[104],-1.81558,0.0692984,-1.92882,-1.81455,-1.70677,1.00169,1599.77
mu_player[105],-1.67438,0.0797366,-1.80595,-1.67338,-1.54514,1.00102,1496.81
mu_player[106],-1.69305,0.0707865,-1.80916,-1.6931,-1.57778,1.00602,1768.77
mu_player[107],-1.63599,0.0902241,-1.78363,-1.63567,-1.491,1.00533,1875.58
mu_player[108],-1.45635,0.0694909,-1.57366,-1.45579,-1.34292,0.998974,1701.06
mu_player[109],-1.95269,0.0999961,-2.1189,-1.94835,-1.79053,1.00096,1308.57
mu_player[110],-1.59939,0.0485236,-1.6775,-1.59892,-1.52071,1.00578,1558.9
mu_player[111],-1.84158,0.0535132,-1.92583,-1.84124,-1.74937,1.00604,1095.55
mu_player[112],-2.0361,0.0592021,-2.1372,-2.03468,-1.94143,1.00801,1559.48
mu_player[113],-1.61021,0.054307,-1.69931,-1.60953,-1.52119,1.00602,1113.62
mu_player[114],-1.83673,0.0560825,-1.93017,-1.83642,-1.74581,1.00664,1190.46
mu_player[115],-1.74677,0.0758578,-1.87349,-1.74683,-1.62268,1.0029,1635.19
mu_player[116],-2.20658,0.100644,-2.37065,-2.20881,-2.04305,1.00025,1595.99
mu_player[117],-1.98643,0.124302,-2.19918,-1.98578,-1.78188,1.00055,1630.33
mu_player[118],-1.98124,0.0616104,-2.0804,-1.98134,-1.87882,1.00189,1521.35
mu_player[119],-1.73337,0.10745,-1.91498,-1.73149,-1.55656,1.00069,1489.41
mu_player[120],-1.62707,0.057214,-1.71559,-1.62721,-1.53139,1.00136,958.018
mu_player[121],-1.54768,0.10069,-1.71279,-1.54969,-1.37601,1.00194,1447.57
mu_player[122],-1.81086,0.0626018,-1.91172,-1.81254,-1.70186,1.00236,1989.54
mu_player[123],-2.10035,0.118289,-2.2941,-2.09817,-1.90796,1.00406,1464.14
