param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.59037,0.0993915,-2.72767,-2.58978,-2.44912,1.00554,1219.73
mu_position[1],-2.60996,0.0581428,-2.70408,-2.60911,-2.51437,1.00276,1060.47
mu_position[2],-2.57919,0.0645787,-2.68024,-2.58195,-2.46794,1.00419,1139.36
mu_position[3],-2.56641,0.0901263,-2.70823,-2.57196,-2.4086,1.004,1433.34
mu_player[1],-2.27554,0.368011,-2.87138,-2.26398,-1.67935,1.00235,1596.21
mu_player[2],-2.20499,0.358221,-2.80129,-2.20661,-1.60387,1.00243,1545.99
mu_player[3],-2.09161,0.346441,-2.66188,-2.08678,-1.53069,1.00295,1930.99
mu_player[4],-3.24601,0.402341,-3.92287,-3.24154,-2.58983,1.00222,750.165
mu_player[5],-2.87016,0.371803,-3.48365,-2.87964,-2.26942,1.00112,1548.33
mu_player[6],-2.42489,0.316227,-2.9383,-2.43536,-1.90914,0.999577,2165.49
mu_player[7],-2.48425,0.343571,-3.06023,-2.48524,-1.9283,1.00211,1940.42
mu_player[8],-2.1387,0.268926,-2.57137,-2.13232,-1.69461,1.00152,1641.98
mu_player[9],-2.3872,0.293611,-2.85121,-2.38403,-1.89781,1.00228,1603.11
mu_player[10],-2.43134,0.27396,-2.8722,-2.43483,-1.96133,1.00303,2433.34
mu_player[11],-2.49062,0.306403,-3.00502,-2.47917,-2.0032,1.00035,2368.75
mu_player[12],-3.2601,0.308797,-3.75402,-3.27016,-2.75461,1.00824,1538.39
mu_player[13],-2.72538,0.310011,-3.22244,-2.72439,-2.20194,1.00117,1963.89
mu_player[14],-1.54177,0.230539,-1.92577,-1.54232,-1.15507,1.00345,1707.88
mu_player[15],-2.00304,0.308674,-2.52746,-2.00004,-1.50375,1.00311,1909.86
mu_player[16],-1.78577,0.231139,-2.16772,-1.78371,-1.41112,1.0047,1637.05
mu_player[17],-2.70368,0.20735,-3.0486,-2.70019,-2.37619,1.00042,2046.92
mu_player[18],-2.88878,0.294902,-3.34829,-2.89288,-2.3695,1.00239,1536.35
mu_player[19],-2.12811,0.239118,-2.54091,-2.12446,-1.73286,1.00176,1260.67
mu_player[20],-2.34942,0.149736,-2.60563,-2.34534,-2.10739,1.00113,2107.21
mu_player[21],-2.29435,0.178364,-2.58566,-2.29582,-2.00013,1.00244,1924.18
mu_player[22],-2.83397,0.212371,-3.17938,-2.83544,-2.4942,1.00221,2213.34
mu_player[23],-2.63221,0.151112,-2.87615,-2.63808,-2.3828,1.00296,1063.68
mu_player[24],-2.71221,0.238723,-3.09624,-2.72223,-2.29514,1.00866,1541.11
mu_player[25],-2.95285,0.20576,-3.29014,-2.95459,-2.60576,1.00856,2089.95
mu_player[26],-1.72448,0.245092,-2.12275,-1.71765,-1.31846,0.999381,1234.34
mu_player[27],-2.26696,0.249108,-2.68769,-2.2618,-1.87433,1.00819,1235.98
mu_player[28],-1.87085,0.121922,-2.06774,-1.86977,-1.66854,0.998771,2288.58
mu_player[29],-1.97971,0.11711,-2.16756,-1.98032,-1.77692,0.999716,1371.71
mu_player[30],-1.86964,0.219715,-2.24362,-1.86133,-1.53591,1.00137,1081.33
mu_player[31],-2.49594,0.126459,-2.70519,-2.49821,-2.28275,1.00008,2110.37
mu_player[32],-2.30661,0.144271,-2.55954,-2.30218,-2.08166,1.00097,1603.1
mu_player[33],-3.10777,0.254403,-3.51715,-3.11367,-2.6779,1.00201,1409.78
mu_player[34],-2.26256,0.163927,-2.5307,-2.25289,-2.00982,1.00247,1727.12
mu_player[35],-3.3332,0.302543,-3.82269,-3.3375,-2.82532,1.0039,1108.96
mu_player[36],-2.80669,0.171607,-3.08071,-2.80873,-2.51855,1.00202,2147.07
mu_player[37],-2.31141,0.115131,-2.50826,-2.31146,-2.11743,1.00312,1409.95
mu_player[38],-2.56655,0.20238,-2.91187,-2.56463,-2.22801,1.00207,1384.79
mu_player[39],-2.94736,0.137418,-3.17414,-2.94958,-2.72384,1.00138,1718.87
mu_player[40],-2.71065,0.241669,-3.12406,-2.69922,-2.31494,1.00167,1645.54
mu_player[41],-2.05907,0.138226,-2.28966,-2.05626,-1.82356,1.00453,2032.96
mu_player[42],-2.92843,0.129666,-3.14447,-2.92868,-2.71473,1.00098,2235.2
mu_player[43],-2.64767,0.168871,-2.9146,-2.651,-2.36852,0.99907,2592.26
mu_player[44],-1.46967,0.0818052,-1.60081,-1.47297,-1.33178,1.00229,1839.96
mu_player[45],-2.95055,0.237533,-3.34059,-2.95107,-2.56928,1.00194,1736.29
mu_player[46],-2.07393,0.0832671,-2.21275,-2.07221,-1.9381,1.00445,1681.9
mu_player[47],-2.51111,0.158245,-2.78065,-2.50911,-2.2538,0.999233,2121.64
mu_player[48],-3.20094,0.141017,-3.42904,-3.19659,-2.9748,1.00457,2711.21
