param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.673835,0.0714802,-0.764743,-0.677443,-0.565188,0.998903,569.415
mu_position[1],-0.669503,0.0328466,-0.719948,-0.670741,-0.614111,1.0033,348.798
mu_position[2],-0.713293,0.0372422,-0.778114,-0.71102,-0.650561,1.00023,441.773
mu_position[3],-0.64218,0.054642,-0.721834,-0.64715,-0.550438,0.999879,484.624
mu_player[1],-0.475512,0.187478,-0.787882,-0.475614,-0.164169,1.0099,210.856
mu_player[2],-0.443271,0.173274,-0.727531,-0.433094,-0.167084,1.00217,767.777
mu_player[3],-0.483721,0.157799,-0.728663,-0.487117,-0.209801,1.01209,945.764
mu_player[4],-1.15799,0.194652,-1.46297,-1.1675,-0.815317,1.00412,474.429
mu_player[5],-0.645138,0.176055,-0.933315,-0.64361,-0.348336,1.00537,740.39
mu_player[6],-0.539951,0.150787,-0.797868,-0.540528,-0.300826,1.00029,743.389
mu_player[7],-0.73574,0.176205,-1.0231,-0.733336,-0.435916,1.00294,909.042
mu_player[8],-0.373733,0.132994,-0.58209,-0.377004,-0.163569,1.0212,1012.18
mu_player[9],-0.625513,0.149327,-0.873891,-0.622207,-0.378685,1.00532,745.433
mu_player[10],-0.559548,0.134127,-0.769985,-0.560936,-0.336317,1.00292,899.513
mu_player[11],-0.669095,0.146015,-0.928962,-0.664087,-0.435425,1.0013,721.266
mu_player[12],-0.984627,0.143148,-1.21932,-0.979818,-0.734904,1.00465,1203.91
mu_player[13],-0.827691,0.15353,-1.06435,-0.829333,-0.579068,1.00306,558.516
mu_player[14],-0.264446,0.115307,-0.45911,-0.266215,-0.0705979,1.00536,712.911
mu_player[15],-0.200783,0.153765,-0.454761,-0.189862,0.041754,1.00353,678.968
mu_player[16],-0.422917,0.128196,-0.643614,-0.42187,-0.215598,1.01016,209.126
mu_player[17],-0.538915,0.0990895,-0.709336,-0.534791,-0.384147,1.00009,607.263
mu_player[18],-0.605074,0.131716,-0.815097,-0.603521,-0.383887,1.0014,692.588
mu_player[19],-0.380299,0.106918,-0.562219,-0.374173,-0.212648,1.01344,829.722
mu_player[20],-0.53253,0.0729265,-0.65193,-0.530491,-0.419716,1.00286,919.295
mu_player[21],-0.700553,0.0891223,-0.845255,-0.703226,-0.542906,1.00116,504.418
mu_player[22],-0.474825,0.106522,-0.642914,-0.475298,-0.30521,1.00306,683.34
mu_player[23],-0.55595,0.0649313,-0.661528,-0.558417,-0.443687,1.00392,505.514
mu_player[24],-0.591903,0.109928,-0.775289,-0.592863,-0.412939,0.999891,692.134
mu_player[25],-1.08732,0.0890516,-1.2333,-1.08835,-0.936719,1.00674,956.769
mu_player[26],-0.528491,0.114706,-0.722409,-0.525043,-0.348264,1.01284,496.837
mu_player[27],-0.575933,0.11504,-0.777822,-0.572573,-0.396614,1.00443,568.373
mu_player[28],-0.383422,0.0632173,-0.483888,-0.382713,-0.280614,0.998613,754.514
mu_player[29],-0.33415,0.0547658,-0.422198,-0.335659,-0.248371,1.00162,831.697
mu_player[30],-0.267817,0.0979097,-0.425419,-0.2684,-0.105092,1.00071,1009.73
mu_player[31],-0.713658,0.0557262,-0.802348,-0.716687,-0.616432,1.00131,884.928
mu_player[32],-0.780409,0.0724782,-0.893346,-0.781703,-0.661537,1.00442,684.097
mu_player[33],-1.25707,0.130366,-1.46799,-1.26699,-1.03589,1.00729,368.141
mu_player[34],-0.448854,0.0868951,-0.586326,-0.449321,-0.302103,1.00518,626.387
mu_player[35],-0.970742,0.126835,-1.17389,-0.97463,-0.75672,1.01433,598.163
mu_player[36],-0.460958,0.0829249,-0.598027,-0.466001,-0.330808,1.00319,834.429
mu_player[37],-0.669216,0.0526056,-0.756175,-0.670523,-0.583716,1.0043,804.33
mu_player[38],-0.78675,0.0927434,-0.941226,-0.784877,-0.633447,1.00528,1139.02
mu_player[39],-0.908685,0.0603445,-1.00317,-0.909391,-0.808624,1.0062,858.019
mu_player[40],-0.93433,0.131229,-1.14621,-0.935574,-0.722731,1.00621,163.636
mu_player[41],-0.725798,0.0664188,-0.839005,-0.725117,-0.619857,0.998076,970.565
mu_player[42],-1.15097,0.0600488,-1.24598,-1.15536,-1.0517,1.0041,568.88
mu_player[43],-0.635601,0.071081,-0.749408,-0.637964,-0.515925,1.00148,967.676
mu_player[44],-0.127235,0.0493875,-0.20649,-0.129232,-0.0438586,1.00135,802.117
mu_player[45],-0.694159,0.10367,-0.863017,-0.695167,-0.519238,1.0054,905.043
mu_player[46],-0.374814,0.0528892,-0.460878,-0.374486,-0.288675,0.999018,689.6
mu_player[47],-0.457345,0.0626661,-0.559197,-0.455916,-0.357483,1.0039,1090.81
mu_player[48],-0.968477,0.0591771,-1.06566,-0.970686,-0.867581,1.00649,1338.85
mu_player[49],-0.604796,0.0642314,-0.712514,-0.603868,-0.501664,1.00614,620.681
mu_player[50],-0.537591,0.053676,-0.625042,-0.53699,-0.450028,1.00221,890.054
mu_player[51],-0.650153,0.0774085,-0.778372,-0.648435,-0.526688,1.00327,903.596
mu_player[52],-0.715556,0.0587224,-0.809399,-0.715736,-0.617083,1.00112,886.51
mu_player[53],-0.904833,0.0524661,-0.992386,-0.906655,-0.818799,1.01141,955.088
mu_player[54],-0.954537,0.056028,-1.04597,-0.95495,-0.857278,1.00368,644.849
mu_player[55],-0.976283,0.0983537,-1.1439,-0.974133,-0.811712,1.00113,894.228
mu_player[56],-0.546459,0.0459125,-0.618732,-0.548675,-0.465709,1.00055,713.445
mu_player[57],-0.631602,0.0524961,-0.718394,-0.632131,-0.541718,1.00557,861.585
mu_player[58],-0.138932,0.0446746,-0.214931,-0.139573,-0.0660995,1.00083,857.734
mu_player[59],-0.797033,0.0498638,-0.877743,-0.797344,-0.713959,1.00992,1070.4
mu_player[60],-0.651796,0.0681956,-0.765612,-0.651709,-0.541423,1.0143,940.554
mu_player[61],-0.282077,0.048744,-0.362253,-0.282325,-0.203094,1.00193,768.722
mu_player[62],-0.383515,0.05895,-0.479797,-0.383047,-0.285193,1.00224,782.207
mu_player[63],-0.869415,0.162014,-1.12182,-0.869428,-0.605391,1.00377,631.75
mu_player[64],-1.01972,0.0799623,-1.14938,-1.01899,-0.896131,0.999456,727.244
mu_player[65],-0.853532,0.0731164,-0.968743,-0.85375,-0.73218,1.00343,933.69
mu_player[66],-1.10203,0.0809689,-1.22908,-1.10617,-0.968985,1.00079,607.249
mu_player[67],-0.511223,0.0716236,-0.632193,-0.510509,-0.390624,1.00152,602.425
mu_player[68],-0.28488,0.0567918,-0.376162,-0.286311,-0.189423,1.00625,1092.42
