param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.6464,0.275751,-2.10901,-1.63046,-1.21116,1.00492,855.966
mu_position[1],-2.04043,0.0326825,-2.09192,-2.04038,-1.986,1.00124,577.064
mu_position[2],-1.61232,0.0356838,-1.66614,-1.61203,-1.55379,1.00085,512.023
mu_position[3],-1.12828,0.0597041,-1.22295,-1.12814,-1.02958,1.00465,489.933
mu_player[1],-1.31902,0.127422,-1.53179,-1.31402,-1.12381,1.017,270.232
mu_player[2],-1.89309,0.130288,-2.0908,-1.89434,-1.67603,1.00544,291.496
mu_player[3],-1.907,0.105999,-2.08016,-1.90326,-1.73194,1.00079,309.789
mu_player[4],-1.50754,0.110932,-1.68876,-1.50779,-1.32878,1.00937,490.742
mu_player[5],-1.36605,0.127485,-1.56506,-1.36775,-1.16285,0.999364,347.523
mu_player[6],-2.13309,0.102736,-2.29427,-2.13231,-1.95659,1.00199,386.532
mu_player[7],-1.82897,0.113471,-2.00596,-1.83804,-1.64201,1.00539,281.334
mu_player[8],-1.39269,0.0907285,-1.54558,-1.38677,-1.25691,1.00866,210.373
mu_player[9],-1.08666,0.0932224,-1.24787,-1.08259,-0.945434,1.02034,138.836
mu_player[10],-2.55629,0.114309,-2.74351,-2.5578,-2.35835,1.01441,268.487
mu_player[11],-1.67625,0.10573,-1.84306,-1.67653,-1.50508,1.01583,221.305
mu_player[12],-1.73296,0.093566,-1.89092,-1.73018,-1.58716,1.00911,329.948
mu_player[13],-0.934237,0.0916527,-1.07848,-0.934932,-0.783389,1.00577,406.019
mu_player[14],-1.60389,0.0808168,-1.73983,-1.60249,-1.47361,1.02036,124.603
mu_player[15],-1.84395,0.0960249,-2.00256,-1.84367,-1.69128,1.00379,265.296
mu_player[16],-1.93601,0.0766043,-2.04627,-1.93641,-1.81153,1.00793,488.775
mu_player[17],-1.95627,0.0738324,-2.074,-1.95745,-1.84087,1.00534,279.216
mu_player[18],-2.57409,0.103567,-2.73465,-2.57565,-2.40246,1.0197,184.442
mu_player[19],-1.56381,0.0764091,-1.68477,-1.56563,-1.43958,1.00493,520.233
mu_player[20],-0.909519,0.0497069,-0.990862,-0.909995,-0.826608,1.00359,610.996
mu_player[21],-1.75435,0.0669864,-1.85912,-1.75297,-1.64758,1.00357,393.267
mu_player[22],-1.09963,0.0633469,-1.20486,-1.10049,-0.994865,1.0033,504.902
mu_player[23],-1.58472,0.0488214,-1.66024,-1.58385,-1.50771,0.999915,749.044
mu_player[24],-2.09009,0.0825216,-2.22049,-2.08771,-1.96598,1.00207,230.259
mu_player[25],-2.18913,0.0772428,-2.31103,-2.18764,-2.07095,1.00127,822.896
mu_player[26],-1.58381,0.0790774,-1.7023,-1.58703,-1.44593,1.00604,362.354
mu_player[27],-1.90663,0.0813474,-2.03694,-1.90781,-1.76895,1.00227,341.273
mu_player[28],-1.30652,0.0547822,-1.39653,-1.30515,-1.22001,1.00291,913.335
mu_player[29],-2.0611,0.0643449,-2.17079,-2.06532,-1.95265,1.00335,608.958
mu_player[30],-2.13172,0.0799251,-2.26506,-2.13076,-1.99979,1.00416,713.365
mu_player[31],-0.784064,0.040362,-0.851222,-0.783697,-0.719053,1.00196,505.964
mu_player[32],-1.75834,0.0530611,-1.85004,-1.7574,-1.67656,1.0029,450.912
mu_player[33],-1.38814,0.0707567,-1.50872,-1.38623,-1.27418,1.00815,250.533
mu_player[34],-1.66599,0.0582738,-1.76085,-1.66626,-1.57013,0.999935,454.222
mu_player[35],-2.08377,0.101066,-2.23953,-2.08865,-1.9096,1.01197,199.317
mu_player[36],-2.09571,0.0686186,-2.21548,-2.09453,-1.99435,1.00541,957.828
mu_player[37],-2.15743,0.0630235,-2.26194,-2.15633,-2.05823,0.9999,955.724
mu_player[38],-1.3961,0.0611878,-1.50087,-1.39508,-1.29734,1.00475,605.136
mu_player[39],-2.27984,0.0612241,-2.37821,-2.28291,-2.17493,1.00022,849.295
mu_player[40],-1.07926,0.074742,-1.21263,-1.0741,-0.969156,1.005,207.49
mu_player[41],-0.838789,0.0462205,-0.911817,-0.839425,-0.759005,1.01043,295.386
mu_player[42],-1.03843,0.0439273,-1.11109,-1.04017,-0.963624,1.00293,541.764
mu_player[43],-2.1371,0.0663761,-2.24801,-2.13689,-2.02925,1.00932,744.53
mu_player[44],-1.03321,0.0417042,-1.10003,-1.03268,-0.964843,1.00085,1110.74
mu_player[45],-2.36131,0.0767754,-2.48843,-2.36432,-2.2347,1.0034,769.917
mu_player[46],-2.00991,0.0585468,-2.10687,-2.00905,-1.91513,1.01684,619.743
mu_player[47],-2.02061,0.0584861,-2.11842,-2.01964,-1.92116,1.00585,801.12
mu_player[48],-2.53615,0.0866645,-2.68878,-2.53641,-2.39393,1.00851,715.885
mu_player[49],-2.02077,0.0713794,-2.14217,-2.0202,-1.90525,1.00855,1115.06
mu_player[50],-2.02142,0.0655113,-2.13206,-2.02224,-1.91527,1.00507,641.534
mu_player[51],-2.07061,0.076204,-2.19554,-2.06879,-1.94673,1.00571,586.931
mu_player[52],-1.63042,0.0539716,-1.72149,-1.6301,-1.54299,1.00334,442.403
mu_player[53],-2.14903,0.0581717,-2.24765,-2.14739,-2.05322,1.00361,1261.88
mu_player[54],-1.47267,0.0504871,-1.55538,-1.47362,-1.38912,1.00782,727.375
mu_player[55],-1.43058,0.0654726,-1.53732,-1.43162,-1.32135,1.00646,686.477
