param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.35768,0.220961,-2.69989,-2.36013,-2.02007,1.00282,807.47
mu_position[1],-2.10483,0.0515505,-2.18987,-2.10397,-2.02254,0.998625,1148.19
mu_position[2],-2.47904,0.0693236,-2.58631,-2.48043,-2.36752,1.00152,631.225
mu_position[3],-2.51717,0.100746,-2.68687,-2.519,-2.35311,1.00124,954.133
mu_player[1],-1.30985,0.304688,-1.80862,-1.32104,-0.795588,0.998817,971.053
mu_player[2],-2.17703,0.282733,-2.65259,-2.17952,-1.71039,1.004,897.812
mu_player[3],-1.82628,0.280534,-2.28909,-1.83154,-1.34911,1.00352,1053.59
mu_player[4],-2.85175,0.31828,-3.36347,-2.85305,-2.3285,1.0005,1013.47
mu_player[5],-2.18475,0.323668,-2.73138,-2.17016,-1.66274,0.999797,721.115
mu_player[6],-2.06206,0.271715,-2.50217,-2.05365,-1.63178,1.00341,955.9
mu_player[7],-2.70954,0.334968,-3.24064,-2.70202,-2.15966,1.00328,866.33
mu_player[8],-1.55347,0.217307,-1.9027,-1.55888,-1.20855,1.00123,1471.43
mu_player[9],-2.39043,0.251674,-2.79065,-2.39847,-1.94967,1.00116,1077.03
mu_player[10],-2.50113,0.286883,-2.97795,-2.51988,-2.02308,1.00446,712.915
mu_player[11],-2.81957,0.291989,-3.30247,-2.81755,-2.33667,0.999325,1002.04
mu_player[12],-2.27467,0.258171,-2.69993,-2.2764,-1.8469,1.00338,1242.46
mu_player[13],-2.48828,0.293618,-2.965,-2.49348,-2.00601,1.00567,907.471
mu_player[14],-1.75386,0.191524,-2.06402,-1.75402,-1.45165,1.00031,695.628
mu_player[15],-1.89718,0.280693,-2.34987,-1.89419,-1.44824,1.00956,962.758
mu_player[16],-1.79192,0.205056,-2.15282,-1.78659,-1.45813,1.00428,976.545
mu_player[17],-1.79181,0.172391,-2.07803,-1.7893,-1.51016,1.00155,800.741
mu_player[18],-2.38601,0.264879,-2.81105,-2.39295,-1.95031,1.00157,1208.21
mu_player[19],-2.13109,0.206205,-2.47547,-2.13354,-1.79782,1.01088,972.486
mu_player[20],-2.61947,0.135276,-2.83534,-2.62141,-2.38696,1.00519,1104.11
mu_player[21],-2.31087,0.153908,-2.56734,-2.30868,-2.07135,0.998993,1033.93
mu_player[22],-2.22183,0.184963,-2.51838,-2.2203,-1.92493,0.999432,752.397
mu_player[23],-2.33038,0.109807,-2.51963,-2.32557,-2.14666,1.00039,890.045
mu_player[24],-2.01831,0.202807,-2.35491,-2.01794,-1.69342,1.00271,1216.27
mu_player[25],-1.98573,0.138739,-2.21276,-1.98622,-1.75687,0.999512,943.041
mu_player[26],-1.7911,0.203249,-2.12723,-1.78059,-1.4653,0.998784,979.75
mu_player[27],-2.7271,0.238129,-3.11425,-2.72847,-2.32079,1.00333,912.274
mu_player[28],-2.34817,0.101575,-2.52048,-2.34428,-2.18042,1.00025,909.524
mu_player[29],-1.94784,0.0729854,-2.06595,-1.95037,-1.82324,0.99985,1303.14
mu_player[30],-1.62158,0.162383,-1.88091,-1.62187,-1.35924,1.00467,1385.82
mu_player[31],-2.47768,0.092551,-2.62672,-2.48135,-2.32544,1.00164,1171.84
mu_player[32],-2.56354,0.123931,-2.76117,-2.56571,-2.35295,1.00147,750.69
mu_player[33],-1.59005,0.191148,-1.9086,-1.59066,-1.27969,1.00328,899.363
mu_player[34],-1.94827,0.139986,-2.18271,-1.947,-1.7166,1.0031,553.454
mu_player[35],-2.88549,0.242886,-3.2896,-2.89778,-2.49368,1.00113,1058.13
mu_player[36],-2.06813,0.143493,-2.30497,-2.06782,-1.83835,1.00006,808.038
mu_player[37],-1.82545,0.0648163,-1.9362,-1.82254,-1.72367,1.0026,1369.47
mu_player[38],-2.4456,0.169034,-2.71725,-2.44081,-2.17324,1.0008,908.609
mu_player[39],-2.71031,0.105631,-2.88173,-2.71135,-2.54129,1.00459,1425.92
mu_player[40],-2.1442,0.20081,-2.4783,-2.13959,-1.80104,0.99925,737.414
mu_player[41],-3.12747,0.140542,-3.36156,-3.12997,-2.8958,1.00266,1194.17
mu_player[42],-2.35137,0.0871438,-2.48552,-2.3516,-2.19923,1.00382,760.623
mu_player[43],-2.71293,0.125639,-2.9211,-2.71373,-2.51586,0.998166,1077.38
mu_player[44],-1.73747,0.0704328,-1.84897,-1.74069,-1.62577,1.00245,605.674
mu_player[45],-2.463,0.187291,-2.78005,-2.47107,-2.16807,1.00157,917.4
mu_player[46],-2.06091,0.073099,-2.18491,-2.0614,-1.94374,1.00533,1105.29
mu_player[47],-2.47695,0.12049,-2.69422,-2.47661,-2.28866,1.00519,1064.21
mu_player[48],-2.70034,0.0894363,-2.8477,-2.69909,-2.55903,0.999393,1469.46
mu_player[49],-1.65524,0.0795123,-1.789,-1.6545,-1.52671,1.00665,722.602
mu_player[50],-2.73394,0.0953652,-2.88745,-2.73364,-2.58176,1.00261,1082.22
mu_player[51],-2.93121,0.159931,-3.19329,-2.93176,-2.66827,1.00126,993.983
mu_player[52],-2.38153,0.108466,-2.55921,-2.38469,-2.19585,1.00206,713.846
mu_player[53],-1.72669,0.0561178,-1.8243,-1.72532,-1.6394,0.998802,1497.21
mu_player[54],-2.07863,0.0825637,-2.21442,-2.07577,-1.95136,1.00054,1108.11
mu_player[55],-2.81787,0.180396,-3.11624,-2.8148,-2.52464,1.00035,932.789
mu_player[56],-1.89674,0.0676149,-2.00191,-1.90081,-1.7859,1.00106,561.067
mu_player[57],-2.58822,0.0901624,-2.73663,-2.59108,-2.43683,0.998579,720.539
mu_player[58],-2.24759,0.0719194,-2.35924,-2.25055,-2.12383,1.00265,727.981
mu_player[59],-3.23772,0.104241,-3.40911,-3.23316,-3.0773,1.00104,1412.38
mu_player[60],-2.21649,0.114145,-2.40417,-2.21549,-2.03959,0.999904,1082.49
