param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-3.51857,0.124313,-3.71627,-3.50701,-3.34617,1.0051,314.865
mu_position[1],-3.41348,0.0369074,-3.47287,-3.41533,-3.35354,1.00555,316.238
mu_position[2],-3.55859,0.0403777,-3.62777,-3.5595,-3.49223,0.999223,433.421
mu_position[3],-3.56481,0.071922,-3.68114,-3.56595,-3.44596,1.00745,145.439
mu_player[1],-3.42759,0.161086,-3.69139,-3.42482,-3.1604,1.00401,659.454
mu_player[2],-3.02358,0.165177,-3.30436,-3.0278,-2.77442,1.00796,322.548
mu_player[3],-3.4098,0.152316,-3.6513,-3.40386,-3.16175,1.00113,406.854
mu_player[4],-3.47467,0.159542,-3.73141,-3.47334,-3.2084,1.0009,624.048
mu_player[5],-3.46339,0.200799,-3.77171,-3.47022,-3.11285,1.00652,370.571
mu_player[6],-3.16898,0.131528,-3.39211,-3.16861,-2.95982,0.999241,464.495
mu_player[7],-3.82368,0.176116,-4.1128,-3.82782,-3.5301,1.00527,423.442
mu_player[8],-3.3779,0.125189,-3.57904,-3.38363,-3.1522,1.00209,502.057
mu_player[9],-3.81982,0.163925,-4.10009,-3.81186,-3.55597,1.00398,893.195
mu_player[10],-3.79314,0.164967,-4.07132,-3.78957,-3.54403,1.00058,881.146
mu_player[11],-3.64833,0.174869,-3.92938,-3.64832,-3.37173,1.00638,613.547
mu_player[12],-3.25489,0.135596,-3.477,-3.25341,-3.03467,0.999639,675.572
mu_player[13],-3.84754,0.187961,-4.15876,-3.84853,-3.53674,0.999405,571.458
mu_player[14],-3.28989,0.117071,-3.47058,-3.29426,-3.10211,0.999735,750.531
mu_player[15],-3.33151,0.13058,-3.54261,-3.32651,-3.12242,1.00118,592.82
mu_player[16],-3.58922,0.123225,-3.78619,-3.59171,-3.38078,0.99968,862.362
mu_player[17],-3.07886,0.110528,-3.25554,-3.07888,-2.9042,1.00064,913.133
mu_player[18],-3.63178,0.144006,-3.85461,-3.63244,-3.39436,1.01237,439.075
mu_player[19],-3.10918,0.13363,-3.32869,-3.11475,-2.88713,1.00008,819.696
mu_player[20],-3.87605,0.133897,-4.11483,-3.87512,-3.66584,1.00081,692.28
mu_player[21],-3.39611,0.111463,-3.5739,-3.39763,-3.20667,1.00002,985.627
mu_player[22],-3.55314,0.131431,-3.77003,-3.55217,-3.3187,1.00075,630.424
mu_player[23],-3.79704,0.11963,-3.99446,-3.79542,-3.61089,0.999537,796.509
mu_player[24],-3.64633,0.131657,-3.85865,-3.64868,-3.41722,1.0018,793.619
