param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.92445,0.0909135,-3.04734,-2.93249,-2.7834,1.00059,365.528
mu_position[1],-2.94402,0.0385989,-3.00587,-2.94402,-2.87859,1.00098,465.173
mu_position[2],-2.98397,0.0469455,-3.06732,-2.98217,-2.90972,0.99967,318.473
mu_position[3],-2.86569,0.0839956,-2.99068,-2.87139,-2.72023,1.00975,121.609
mu_player[1],-2.32829,0.158755,-2.59505,-2.32957,-2.07832,1.00224,254.07
mu_player[2],-2.59143,0.154914,-2.86506,-2.58357,-2.35917,1.00053,275.981
mu_player[3],-2.48697,0.137322,-2.71388,-2.47589,-2.28501,1.00667,339.856
mu_player[4],-3.34492,0.178317,-3.62533,-3.34987,-3.03454,1.00186,307.502
mu_player[5],-3.076,0.207292,-3.3914,-3.09001,-2.72223,1.00342,385.243
mu_player[6],-2.68168,0.128793,-2.88798,-2.68173,-2.46735,1.00363,330.279
mu_player[7],-3.22747,0.163482,-3.47664,-3.23753,-2.9554,1.00326,310.868
mu_player[8],-2.15454,0.105327,-2.33001,-2.15602,-1.99152,1.00331,216.634
mu_player[9],-2.77305,0.12867,-2.97228,-2.77174,-2.55954,1.01092,487.971
mu_player[10],-2.7597,0.12652,-2.96972,-2.75335,-2.55986,1.00327,499.855
mu_player[11],-3.12145,0.169778,-3.4163,-3.11897,-2.84987,0.999564,582.285
mu_player[12],-3.34714,0.150625,-3.59619,-3.34828,-3.10272,0.998964,599.793
mu_player[13],-2.63882,0.16796,-2.90905,-2.64322,-2.3552,1.00439,561.744
mu_player[14],-2.10621,0.0989065,-2.27087,-2.09898,-1.95724,1.00496,232.978
mu_player[15],-2.40555,0.120479,-2.6296,-2.39959,-2.22228,1.00823,232.789
mu_player[16],-2.73975,0.0971563,-2.89925,-2.73262,-2.58541,1.00396,374.636
mu_player[17],-2.50648,0.0946566,-2.66033,-2.50371,-2.35602,1.00078,453.539
mu_player[18],-3.22364,0.133579,-3.45027,-3.21833,-3.01272,1.00161,453.596
mu_player[19],-2.27796,0.10259,-2.44643,-2.27696,-2.1196,1.00223,336.422
mu_player[20],-2.63946,0.0911151,-2.79398,-2.63687,-2.49183,1.00384,549.973
mu_player[21],-3.16804,0.102928,-3.33987,-3.16958,-2.99727,1.0026,582.769
mu_player[22],-2.92544,0.105494,-3.09478,-2.92512,-2.74259,1.00386,377.136
mu_player[23],-3.06451,0.0871756,-3.20688,-3.06752,-2.91772,1.00144,904.997
mu_player[24],-2.61874,0.100058,-2.78289,-2.61711,-2.45922,1.00438,413.075
mu_player[25],-2.94989,0.1033,-3.12253,-2.94626,-2.78407,0.999838,883.405
mu_player[26],-2.77626,0.108377,-2.94858,-2.77486,-2.59793,1.00482,342.534
mu_player[27],-2.77662,0.114861,-2.96257,-2.77508,-2.58827,1.00678,352.084
mu_player[28],-2.82422,0.0999561,-2.97806,-2.8205,-2.66061,1.00305,1102.2
mu_player[29],-2.46442,0.0817942,-2.59836,-2.46821,-2.33216,0.99824,759.815
mu_player[30],-2.56684,0.0971974,-2.72533,-2.56868,-2.40654,0.999221,493.109
mu_player[31],-2.39094,0.0875026,-2.53652,-2.3899,-2.24977,0.998954,749.79
mu_player[32],-3.18965,0.0980693,-3.34869,-3.18949,-3.02717,1.00604,695.614
mu_player[33],-2.41918,0.0985578,-2.59121,-2.4139,-2.263,1.00257,293.789
mu_player[34],-2.51441,0.0924204,-2.67085,-2.50845,-2.36303,1.00176,365.227
mu_player[35],-3.4554,0.131438,-3.66838,-3.45492,-3.24486,0.99996,505.375
mu_player[36],-2.99021,0.0971754,-3.14661,-2.99192,-2.83655,1.00358,595.757
mu_player[37],-2.50976,0.0805616,-2.64202,-2.50595,-2.37924,0.998339,657.033
mu_player[38],-2.74443,0.107354,-2.92734,-2.74273,-2.57465,1.00149,487.694
mu_player[39],-3.21703,0.0982864,-3.37253,-3.21623,-3.0515,1.00217,789.759
mu_player[40],-2.76333,0.115942,-2.95685,-2.75826,-2.58993,1.00583,343.297
mu_player[41],-2.83421,0.0889834,-2.97243,-2.83457,-2.68729,1.0002,627.17
mu_player[42],-2.89535,0.0965656,-3.04874,-2.89189,-2.73941,1.00148,922.028
mu_player[43],-3.37161,0.1282,-3.58334,-3.37101,-3.15648,1.00333,1088.72
mu_player[44],-2.29474,0.0739783,-2.41844,-2.29478,-2.16947,1.00033,453.993
mu_player[45],-3.0301,0.106187,-3.20383,-3.02907,-2.85458,1.00789,704.736
mu_player[46],-2.57889,0.0703375,-2.69349,-2.57881,-2.46257,1.00121,735.665
mu_player[47],-2.78479,0.0835088,-2.92782,-2.78672,-2.64538,1.00232,725.47
mu_player[48],-3.34192,0.125212,-3.55144,-3.34051,-3.13925,1.00687,874.115
mu_player[49],-2.763,0.0902142,-2.91762,-2.76239,-2.60622,1.00284,942.902
mu_player[50],-2.97422,0.0974407,-3.14136,-2.97275,-2.80965,1.00587,977.671
mu_player[51],-3.34553,0.131489,-3.56207,-3.34449,-3.13343,1.01013,808.763
mu_player[52],-2.85815,0.0898947,-3.01475,-2.85841,-2.7153,1.0028,515.339
mu_player[53],-2.7569,0.0873286,-2.89735,-2.7597,-2.61181,1.00128,1087.97
mu_player[54],-3.03842,0.0945485,-3.20115,-3.03195,-2.88415,1.00012,1076.41
mu_player[55],-3.22951,0.133165,-3.4578,-3.22321,-3.00845,1.0028,744.423
mu_player[56],-2.44011,0.0672698,-2.54598,-2.4398,-2.32834,0.999681,700.088
mu_player[57],-2.98885,0.0865347,-3.12089,-2.98855,-2.84375,1.00966,927.666
mu_player[58],-2.33511,0.075213,-2.45943,-2.33772,-2.20893,1.00552,506.674
mu_player[59],-3.41606,0.113435,-3.60698,-3.41674,-3.22888,1.0079,1041.91
mu_player[60],-3.12922,0.114541,-3.32114,-3.12468,-2.94576,1.00334,818.383
mu_player[61],-2.3059,0.0674434,-2.41734,-2.30441,-2.19703,1.00297,409.212
mu_player[62],-2.9872,0.100584,-3.15614,-2.9878,-2.81978,0.99938,974.026
mu_player[63],-2.82111,0.136273,-3.03879,-2.8258,-2.58485,1.00384,339.698
mu_player[64],-2.68291,0.105956,-2.86981,-2.6838,-2.51311,1.00816,515.833
mu_player[65],-3.32341,0.126697,-3.5243,-3.32525,-3.10915,1.00489,1010.09
mu_player[66],-3.17296,0.112029,-3.35665,-3.17216,-2.99852,1.00707,1206.22
mu_player[67],-2.50424,0.0863766,-2.64532,-2.49933,-2.37062,1.00336,666.245
mu_player[68],-2.41625,0.0791932,-2.55856,-2.41308,-2.29405,1.0057,713.687
mu_player[69],-3.25317,0.107074,-3.4426,-3.24419,-3.08637,1.00912,720.786
mu_player[70],-2.57185,0.0851255,-2.71476,-2.56834,-2.4306,0.998764,362.472
mu_player[71],-2.66942,0.110959,-2.85229,-2.66795,-2.49687,1.00333,1215.62
mu_player[72],-3.04099,0.12258,-3.2422,-3.03957,-2.83829,1.00675,361.899
mu_player[73],-3.19404,0.131367,-3.41184,-3.19397,-3.00159,1.00708,1427.84
mu_player[74],-3.0813,0.0984279,-3.24492,-3.07682,-2.91824,1.00107,1244.83
mu_player[75],-3.29141,0.126521,-3.5042,-3.28735,-3.0904,0.998556,1246.09
mu_player[76],-3.0496,0.085872,-3.18209,-3.04765,-2.91067,1.00362,547.799
mu_player[77],-2.9675,0.100135,-3.12691,-2.97046,-2.80351,1.00739,832.004
mu_player[78],-3.60091,0.133272,-3.81296,-3.60146,-3.38245,1.00022,1190.06
mu_player[79],-3.02254,0.100814,-3.19,-3.02081,-2.8634,0.999896,1200.97
mu_player[80],-3.29958,0.0987377,-3.46327,-3.29844,-3.13681,1.00273,687.231
mu_player[81],-3.04433,0.104839,-3.22205,-3.04199,-2.88151,1.00259,577.847
mu_player[82],-2.39366,0.0818996,-2.52423,-2.39541,-2.25586,1.00193,613.008
mu_player[83],-3.39096,0.122619,-3.59958,-3.39013,-3.19479,1.00003,1220.58
mu_player[84],-2.82918,0.082443,-2.97234,-2.82858,-2.69299,1.00468,818.229
mu_player[85],-2.56456,0.093792,-2.72909,-2.56035,-2.41564,1.00929,223.232
mu_player[86],-2.71434,0.0874559,-2.86675,-2.70806,-2.57977,1.00915,1197.7
mu_player[87],-2.7043,0.0794626,-2.8341,-2.70104,-2.57436,1.00164,682.193
mu_player[88],-2.77826,0.12879,-2.99237,-2.77309,-2.5598,1.00514,964.935
mu_player[89],-2.9723,0.101247,-3.14011,-2.97595,-2.79916,1.01124,639.675
mu_player[90],-2.93737,0.116524,-3.12665,-2.93504,-2.75872,0.999342,918.998
mu_player[91],-2.61943,0.0796782,-2.7475,-2.61747,-2.4921,1.00021,581.813
mu_player[92],-3.21143,0.114093,-3.40872,-3.20785,-3.03035,1.006,886.167
mu_player[93],-2.72832,0.0780524,-2.85943,-2.72805,-2.59717,1.00632,1341.73
mu_player[94],-2.7896,0.12246,-2.98889,-2.78872,-2.59496,1.01093,501.323
mu_player[95],-3.45668,0.107686,-3.64268,-3.45603,-3.28279,0.999046,706.587
mu_player[96],-2.81946,0.0778507,-2.94824,-2.8171,-2.69855,0.999282,879.683
