param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.696921,0.0931571,-0.804951,-0.690651,-0.594635,1.01355,312.235
mu_position[1],-0.665923,0.0334669,-0.717334,-0.667533,-0.608401,1.00098,578.364
mu_position[2],-0.693533,0.0345295,-0.749948,-0.694278,-0.636996,1.00199,596.608
mu_position[3],-0.708152,0.0488025,-0.792093,-0.705256,-0.633843,1.00567,618.266
mu_player[1],-0.427977,0.191768,-0.742238,-0.435142,-0.100753,1.00102,1775.89
mu_player[2],-0.536867,0.21332,-0.903811,-0.546053,-0.172991,0.999627,1751.33
mu_player[3],-0.720417,0.190397,-1.02715,-0.723901,-0.394754,1.0074,1512.71
mu_player[4],-0.730164,0.222975,-1.10434,-0.735464,-0.366638,1.00522,1955.35
mu_player[5],-0.768155,0.219797,-1.11852,-0.7657,-0.417936,1.00027,2261.12
mu_player[6],-0.453914,0.191691,-0.77592,-0.452569,-0.154989,1.00057,1230.34
mu_player[7],-0.44025,0.18476,-0.743203,-0.444578,-0.138364,0.998491,1204.07
mu_player[8],-0.574024,0.203639,-0.887858,-0.572071,-0.263999,1.0002,1088.68
mu_player[9],-0.551294,0.192917,-0.862661,-0.559269,-0.239082,0.998936,1569.82
mu_player[10],-0.45822,0.209279,-0.792657,-0.455448,-0.12608,1.00211,1767.14
mu_player[11],-0.70223,0.204477,-1.03289,-0.704384,-0.389531,1.00394,1269.73
mu_player[12],-0.386082,0.185317,-0.683141,-0.389253,-0.0818246,0.99841,1461.79
mu_player[13],-0.818996,0.212243,-1.16706,-0.821676,-0.477432,1.01685,1776.23
mu_player[14],-0.576529,0.218674,-0.92926,-0.580171,-0.210139,1.00777,1632.81
mu_player[15],-0.259804,0.177419,-0.560144,-0.260049,0.0245218,0.998553,1672.88
mu_player[16],-0.746466,0.1891,-1.06474,-0.748718,-0.42675,1.00307,2037.84
mu_player[17],-0.530494,0.182418,-0.828848,-0.528126,-0.244263,1.0003,2322.47
mu_player[18],-0.689804,0.179919,-0.985855,-0.687623,-0.383631,0.998152,2033.35
mu_player[19],-0.677275,0.175107,-0.959585,-0.682262,-0.394282,1.00192,1428.34
mu_player[20],-0.824391,0.22494,-1.20854,-0.820423,-0.471813,1.00291,1697.35
mu_player[21],-0.414325,0.143034,-0.65244,-0.410421,-0.182198,1.00255,1465.64
mu_player[22],-0.579927,0.158468,-0.831674,-0.581994,-0.32375,1.00548,1949.91
mu_player[23],-0.492453,0.161444,-0.750293,-0.488676,-0.230005,0.997975,1313.71
mu_player[24],-0.489391,0.1646,-0.757553,-0.494013,-0.226078,1.00988,1905.0
mu_player[25],-0.682,0.188763,-0.998049,-0.67743,-0.38058,1.02219,1625.31
mu_player[26],-0.629535,0.182308,-0.914599,-0.633176,-0.314646,0.999478,2107.93
mu_player[27],-0.745823,0.18067,-1.0483,-0.742071,-0.457399,1.00735,1801.25
mu_player[28],-0.687688,0.17382,-0.970567,-0.691031,-0.416665,1.00193,1146.08
mu_player[29],-0.608938,0.161819,-0.873676,-0.611604,-0.34391,1.0044,1554.95
mu_player[30],-0.82725,0.168694,-1.11274,-0.820437,-0.534091,1.01142,1622.23
