param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.62675,0.292364,-2.09321,-1.61425,-1.15143,1.00214,1043.2
mu_position[1],-2.03652,0.0299094,-2.08593,-2.03721,-1.98713,1.00498,675.265
mu_position[2],-1.54472,0.0358138,-1.60301,-1.54509,-1.48504,1.00144,666.335
mu_position[3],-1.09636,0.0533356,-1.18153,-1.09857,-1.00678,0.999919,618.288
mu_player[1],-1.39187,0.170027,-1.67653,-1.39447,-1.1041,1.00223,1046.9
mu_player[2],-1.5881,0.171737,-1.86737,-1.5897,-1.2845,1.00394,1289.74
mu_player[3],-0.88341,0.156059,-1.15028,-0.877026,-0.619751,1.00571,800.552
mu_player[4],-1.80094,0.203416,-2.13297,-1.79673,-1.44815,1.00026,1161.22
mu_player[5],-1.57629,0.171334,-1.86024,-1.57037,-1.30816,1.01117,821.878
mu_player[6],-1.88353,0.169544,-2.17388,-1.87746,-1.60389,1.00109,977.528
mu_player[7],-2.07602,0.167464,-2.34516,-2.07829,-1.79717,1.00665,1048.71
mu_player[8],-1.2556,0.165894,-1.52246,-1.25446,-0.977909,1.00023,807.079
mu_player[9],-1.40312,0.15982,-1.66731,-1.3945,-1.15358,1.00273,944.041
mu_player[10],-2.10021,0.190924,-2.4113,-2.09904,-1.77977,1.00243,977.382
mu_player[11],-1.88146,0.178504,-2.17877,-1.8819,-1.58951,1.00294,957.776
mu_player[12],-1.85635,0.169827,-2.1471,-1.85896,-1.58431,0.99934,1348.09
mu_player[13],-1.54299,0.1652,-1.81448,-1.5416,-1.27985,1.00246,978.305
mu_player[14],-1.38415,0.178528,-1.68105,-1.38345,-1.1007,1.00459,739.96
mu_player[15],-1.51854,0.146093,-1.74593,-1.52018,-1.28648,1.00242,1222.19
mu_player[16],-1.2522,0.150552,-1.50767,-1.25392,-1.02152,1.0027,801.706
mu_player[17],-2.07291,0.153183,-2.31463,-2.07197,-1.82455,1.00066,894.159
mu_player[18],-1.73805,0.156785,-2.01007,-1.7365,-1.48111,1.0017,1064.49
mu_player[19],-1.42585,0.142199,-1.66532,-1.42888,-1.1947,1.00218,822.135
mu_player[20],-1.22877,0.188766,-1.52934,-1.23555,-0.890175,1.00097,1192.92
mu_player[21],-1.45462,0.120767,-1.65607,-1.45129,-1.25853,1.00793,1013.1
mu_player[22],-1.20378,0.143401,-1.44376,-1.20155,-0.967617,1.00201,586.902
mu_player[23],-1.59737,0.129109,-1.81332,-1.60236,-1.38431,1.00164,1103.73
mu_player[24],-2.36663,0.149795,-2.60492,-2.37446,-2.10704,1.0015,784.029
