param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.39664,0.225573,-2.73773,-2.39968,-2.02683,1.00124,473.307
mu_position[1],-2.12332,0.0568474,-2.21676,-2.1254,-2.02624,1.00207,449.591
mu_position[2],-2.50658,0.0576435,-2.59927,-2.50531,-2.41409,1.00499,361.836
mu_position[3],-2.65806,0.0955479,-2.80872,-2.6544,-2.51118,0.999664,709.74
mu_player[1],-2.06315,0.247328,-2.44568,-2.0622,-1.65551,1.00412,702.56
mu_player[2],-2.76353,0.354523,-3.36382,-2.75908,-2.18599,1.00288,553.801
mu_player[3],-2.95434,0.33458,-3.45449,-2.95572,-2.38434,0.998585,697.756
mu_player[4],-2.10148,0.338602,-2.67869,-2.09604,-1.5663,1.00259,570.443
mu_player[5],-2.66704,0.312654,-3.21293,-2.66874,-2.16201,1.01092,834.339
mu_player[6],-1.68398,0.260208,-2.12773,-1.67293,-1.27819,1.00371,604.023
mu_player[7],-1.83242,0.28486,-2.30477,-1.84085,-1.3669,0.999042,659.62
mu_player[8],-2.725,0.335829,-3.27098,-2.73445,-2.17086,1.00342,747.729
mu_player[9],-2.66708,0.296263,-3.16014,-2.67175,-2.19385,1.00244,618.523
mu_player[10],-2.3387,0.345111,-2.9074,-2.32892,-1.77635,0.998848,741.839
mu_player[11],-1.68056,0.310002,-2.19511,-1.67376,-1.1807,1.00336,657.156
mu_player[12],-1.46609,0.251901,-1.88375,-1.4603,-1.06318,1.00003,676.409
mu_player[13],-2.65111,0.325453,-3.17472,-2.65358,-2.08946,1.00169,646.27
mu_player[14],-2.55622,0.314031,-3.0675,-2.54903,-2.02246,0.999958,479.171
mu_player[15],-1.89661,0.229456,-2.26967,-1.89791,-1.50975,0.999844,628.943
mu_player[16],-2.204,0.281588,-2.65974,-2.21068,-1.74956,1.00152,514.367
mu_player[17],-1.88523,0.229373,-2.2625,-1.88203,-1.50695,1.01001,703.775
mu_player[18],-2.7681,0.300816,-3.27444,-2.75472,-2.27986,1.00408,561.341
mu_player[19],-2.26749,0.235174,-2.67689,-2.25672,-1.88821,1.00146,709.969
mu_player[20],-2.35962,0.337969,-2.93575,-2.35424,-1.81101,1.00185,614.294
mu_player[21],-1.44952,0.184275,-1.73359,-1.44761,-1.14248,0.998924,853.987
mu_player[22],-2.56233,0.239501,-2.9385,-2.5587,-2.15586,1.00285,712.735
mu_player[23],-2.7642,0.256262,-3.2238,-2.75214,-2.36491,1.00186,578.547
mu_player[24],-2.33106,0.23465,-2.7037,-2.33072,-1.93611,1.00524,829.405
mu_player[25],-1.87772,0.259746,-2.2666,-1.88657,-1.44836,1.00183,817.749
mu_player[26],-3.04978,0.281798,-3.51045,-3.05837,-2.57678,0.998904,731.601
mu_player[27],-2.84971,0.281722,-3.27226,-2.85478,-2.41226,0.999053,696.988
mu_player[28],-3.04473,0.298252,-3.53709,-3.0561,-2.55667,0.998898,665.444
mu_player[29],-2.77906,0.246174,-3.18825,-2.77154,-2.38604,1.00314,716.761
mu_player[30],-2.40907,0.258935,-2.82778,-2.41044,-1.9742,1.00575,474.163
mu_player[31],-2.11018,0.279725,-2.55498,-2.10598,-1.64632,1.00149,673.164
mu_player[32],-2.7023,0.255597,-3.13934,-2.69528,-2.29303,1.00212,839.709
mu_player[33],-1.91345,0.274843,-2.36871,-1.91019,-1.45952,1.00011,635.072
mu_player[34],-2.34024,0.233816,-2.73138,-2.33282,-1.96575,0.999533,699.517
mu_player[35],-1.5183,0.16437,-1.78429,-1.51653,-1.25598,1.00203,528.258
mu_player[36],-1.44116,0.166288,-1.72059,-1.44193,-1.16989,1.0015,715.181
mu_player[37],-1.8877,0.22662,-2.27348,-1.89518,-1.52273,1.00271,501.983
mu_player[38],-1.82932,0.182067,-2.11182,-1.8274,-1.53363,1.00054,635.227
mu_player[39],-2.41367,0.284965,-2.89472,-2.40054,-1.97875,0.998757,839.939
mu_player[40],-1.52987,0.149573,-1.76648,-1.53409,-1.26442,1.00232,822.418
mu_player[41],-1.83626,0.246023,-2.25027,-1.83933,-1.43616,1.01302,778.899
mu_player[42],-2.85245,0.340185,-3.39621,-2.86824,-2.29184,1.01069,493.702
mu_player[43],-2.55853,0.313583,-3.07672,-2.553,-2.05943,1.00402,589.014
mu_player[44],-2.04534,0.249837,-2.45705,-2.04533,-1.62394,1.00046,856.511
mu_player[45],-2.62108,0.301279,-3.09434,-2.61405,-2.10767,1.00027,514.483
mu_player[46],-2.39262,0.245082,-2.78594,-2.38814,-1.9718,0.999814,545.994
mu_player[47],-2.3821,0.281361,-2.83795,-2.3986,-1.92106,1.00569,657.222
mu_player[48],-2.62855,0.299475,-3.08882,-2.63872,-2.10427,0.999467,625.2
mu_player[49],-2.9662,0.238355,-3.36238,-2.96668,-2.5871,1.00448,1231.01
mu_player[50],-2.27574,0.19364,-2.60266,-2.2651,-1.96299,1.00544,674.227
mu_player[51],-1.90926,0.199112,-2.23473,-1.91911,-1.576,1.00058,682.509
mu_player[52],-2.78303,0.29343,-3.28165,-2.78242,-2.31102,1.00395,1102.4
mu_player[53],-1.89197,0.193653,-2.20829,-1.88828,-1.57416,1.00238,686.799
mu_player[54],-2.83716,0.226377,-3.20238,-2.84423,-2.45695,1.01009,794.841
mu_player[55],-3.21283,0.254604,-3.63922,-3.21683,-2.78722,1.01543,612.259
mu_player[56],-2.33103,0.25759,-2.75653,-2.33371,-1.93079,1.00475,514.157
mu_player[57],-1.82578,0.207889,-2.18112,-1.81671,-1.49918,0.999447,726.872
mu_player[58],-1.82205,0.130167,-2.04085,-1.81509,-1.6199,1.00347,756.934
mu_player[59],-3.04719,0.21918,-3.42174,-3.05472,-2.68159,0.999812,1222.61
mu_player[60],-2.84454,0.20548,-3.18631,-2.83814,-2.51397,1.00192,751.74
mu_player[61],-2.66254,0.143417,-2.89983,-2.66487,-2.41466,1.00155,687.429
mu_player[62],-2.82119,0.17349,-3.12182,-2.81601,-2.54143,1.00202,912.816
mu_player[63],-1.96382,0.186791,-2.2765,-1.95708,-1.66862,1.0034,543.924
mu_player[64],-2.40279,0.245186,-2.82634,-2.3878,-2.02575,0.999792,590.257
mu_player[65],-2.24533,0.171175,-2.51037,-2.24816,-1.97069,1.00236,680.49
mu_player[66],-2.69333,0.251628,-3.11195,-2.68926,-2.26893,1.00662,492.274
mu_player[67],-2.85346,0.22744,-3.21574,-2.85742,-2.46993,0.998777,595.7
mu_player[68],-1.98802,0.158442,-2.2395,-1.98657,-1.7379,1.00086,790.233
mu_player[69],-2.32691,0.177811,-2.603,-2.32076,-2.02434,1.00271,704.005
mu_player[70],-2.39669,0.127094,-2.60607,-2.39492,-2.20314,0.999621,708.607
mu_player[71],-2.02039,0.200977,-2.35379,-2.01612,-1.68551,1.0013,604.828
mu_player[72],-1.99172,0.143396,-2.24257,-1.99368,-1.76895,1.00001,661.084
mu_player[73],-1.78593,0.177303,-2.07958,-1.78336,-1.50069,1.00182,614.046
mu_player[74],-2.75396,0.224669,-3.11839,-2.74787,-2.38011,1.00037,711.807
mu_player[75],-3.06761,0.162676,-3.32912,-3.06642,-2.80541,0.999257,852.233
mu_player[76],-2.42148,0.118825,-2.61607,-2.42655,-2.22232,1.00206,710.801
mu_player[77],-1.95665,0.0935307,-2.11078,-1.96185,-1.79908,1.00063,555.35
mu_player[78],-1.72436,0.15313,-1.98015,-1.71952,-1.48409,1.00033,762.249
mu_player[79],-2.67538,0.179404,-2.96361,-2.68567,-2.36669,1.00366,602.83
mu_player[80],-2.78304,0.137971,-3.00501,-2.78179,-2.55651,1.00189,611.384
mu_player[81],-2.67033,0.14622,-2.9062,-2.66517,-2.42881,0.999412,711.191
mu_player[82],-2.56936,0.151456,-2.80832,-2.56875,-2.31899,1.00173,904.895
mu_player[83],-2.50928,0.180573,-2.81213,-2.50322,-2.21927,1.00144,722.626
mu_player[84],-3.07157,0.202238,-3.4088,-3.0598,-2.75979,1.00107,908.747
mu_player[85],-2.41481,0.132864,-2.62183,-2.41439,-2.19344,0.998917,534.908
mu_player[86],-2.62951,0.20202,-2.96112,-2.62885,-2.29895,1.00712,728.776
mu_player[87],-1.54389,0.172147,-1.82671,-1.53991,-1.26268,1.00076,764.057
mu_player[88],-1.97289,0.140959,-2.21062,-1.97324,-1.74783,0.999311,847.22
mu_player[89],-2.18974,0.174725,-2.47765,-2.18866,-1.89967,1.00703,568.449
mu_player[90],-2.59405,0.22439,-2.94556,-2.60363,-2.2211,1.00306,906.475
mu_player[91],-2.8883,0.232906,-3.27309,-2.88148,-2.53312,1.00208,873.074
mu_player[92],-2.91341,0.222297,-3.27583,-2.92121,-2.54872,1.00272,826.701
mu_player[93],-2.81308,0.325293,-3.32641,-2.81994,-2.26872,1.00018,854.192
mu_player[94],-3.15647,0.194257,-3.47702,-3.15512,-2.84272,1.00052,1916.35
mu_player[95],-2.66905,0.154634,-2.93238,-2.66008,-2.42932,1.00249,822.116
mu_player[96],-2.9792,0.170218,-3.24279,-2.98147,-2.69909,0.997989,1819.03
mu_player[97],-2.01414,0.143407,-2.26072,-2.01234,-1.77936,0.999829,717.996
mu_player[98],-2.55965,0.159573,-2.82908,-2.54974,-2.30178,0.999377,1225.36
mu_player[99],-1.83747,0.0865517,-1.98236,-1.84013,-1.69469,0.999213,821.694
mu_player[100],-2.99512,0.264465,-3.43702,-2.98974,-2.54765,1.00325,726.855
mu_player[101],-2.49794,0.248401,-2.91842,-2.49537,-2.08939,1.00161,490.389
mu_player[102],-2.43306,0.172747,-2.719,-2.43836,-2.14295,1.00181,682.899
mu_player[103],-2.637,0.125149,-2.8593,-2.63182,-2.43422,1.00051,666.047
mu_player[104],-2.08166,0.195346,-2.38618,-2.07855,-1.75854,1.00748,664.258
mu_player[105],-2.9397,0.221512,-3.32092,-2.93187,-2.59623,1.00206,749.821
mu_player[106],-2.7106,0.172022,-3.00826,-2.70762,-2.44635,0.999678,1238.29
mu_player[107],-2.88646,0.202494,-3.2351,-2.87685,-2.54543,1.00234,689.066
mu_player[108],-2.96832,0.19851,-3.29419,-2.96647,-2.6562,1.00209,642.206
mu_player[109],-3.16,0.155199,-3.42308,-3.15977,-2.90471,1.00147,557.884
mu_player[110],-2.35108,0.112293,-2.52637,-2.35401,-2.16009,0.99955,932.495
mu_player[111],-2.71343,0.160561,-2.98151,-2.71293,-2.45785,0.999809,626.571
mu_player[112],-2.76296,0.202625,-3.09036,-2.75734,-2.43072,0.999771,855.789
mu_player[113],-1.76705,0.0615603,-1.86594,-1.76679,-1.66558,1.00086,667.163
mu_player[114],-2.30457,0.192643,-2.62916,-2.30168,-1.99108,1.00054,601.419
mu_player[115],-2.14526,0.0645094,-2.25197,-2.14588,-2.03712,0.999792,512.883
mu_player[116],-1.77499,0.119977,-1.97915,-1.77205,-1.58713,1.00115,1235.67
mu_player[117],-2.40874,0.136691,-2.64714,-2.40304,-2.19614,0.999741,557.283
mu_player[118],-2.77312,0.102734,-2.94095,-2.77219,-2.60827,0.999239,898.786
mu_player[119],-1.63923,0.0997302,-1.80804,-1.64209,-1.48189,0.999258,742.625
mu_player[120],-2.76782,0.209668,-3.13191,-2.76254,-2.42376,1.01861,1131.5
mu_player[121],-2.69008,0.0955976,-2.85057,-2.68368,-2.54107,1.00248,708.084
mu_player[122],-2.66597,0.171899,-2.95488,-2.65732,-2.40591,1.0,671.117
mu_player[123],-2.84871,0.166823,-3.12057,-2.85355,-2.55984,1.00276,731.391
mu_player[124],-2.23093,0.0633051,-2.33419,-2.23108,-2.12807,1.00475,845.604
mu_player[125],-1.73655,0.0779948,-1.86559,-1.73805,-1.60925,1.00047,657.166
mu_player[126],-2.0199,0.0943593,-2.17225,-2.02059,-1.86589,1.00396,508.637
mu_player[127],-2.87921,0.189168,-3.19216,-2.87884,-2.55729,0.998511,652.77
mu_player[128],-2.05581,0.0619822,-2.16032,-2.05534,-1.96032,1.0017,770.897
mu_player[129],-2.63168,0.0848259,-2.77021,-2.63096,-2.49282,1.00045,1297.39
mu_player[130],-2.24897,0.0919162,-2.40503,-2.24839,-2.09363,1.0011,682.982
mu_player[131],-2.32337,0.118189,-2.5114,-2.32362,-2.1305,0.999349,812.907
mu_player[132],-3.17619,0.112426,-3.36592,-3.17498,-2.9858,1.00394,644.649
mu_player[133],-2.24782,0.131254,-2.46469,-2.25184,-2.0334,1.00113,468.608
mu_player[134],-2.12605,0.0925718,-2.28082,-2.12668,-1.978,1.00116,822.189
mu_player[135],-1.42827,0.0499038,-1.51079,-1.42944,-1.33873,1.00583,569.598
mu_player[136],-2.64139,0.0758856,-2.77074,-2.63929,-2.52011,1.00058,1095.27
mu_player[137],-2.62487,0.228112,-3.03967,-2.61573,-2.2657,0.999209,1580.4
mu_player[138],-2.08407,0.235994,-2.47583,-2.08182,-1.70165,1.0016,716.347
mu_player[139],-1.5142,0.120983,-1.7212,-1.51181,-1.31234,1.00097,448.902
mu_player[140],-1.43473,0.0497952,-1.50842,-1.43734,-1.35305,1.0073,611.078
mu_player[141],-2.71155,0.119268,-2.91863,-2.71239,-2.51532,1.00577,757.822
mu_player[142],-1.9469,0.127393,-2.16201,-1.94105,-1.74141,1.00373,841.809
mu_player[143],-1.57964,0.0511769,-1.66742,-1.5797,-1.49644,1.00203,743.7
mu_player[144],-2.19636,0.0661738,-2.29546,-2.19804,-2.08789,1.00894,966.547
mu_player[145],-3.08907,0.148664,-3.33723,-3.08829,-2.85531,1.00014,782.14
mu_player[146],-3.08632,0.0981099,-3.24164,-3.08876,-2.92769,1.01075,1295.22
mu_player[147],-1.78175,0.0616466,-1.8803,-1.78168,-1.68355,1.00023,636.627
mu_player[148],-1.64491,0.0828741,-1.78821,-1.64229,-1.5149,1.00218,688.698
mu_player[149],-3.10339,0.0978092,-3.27347,-3.10023,-2.94664,1.00696,979.635
mu_player[150],-2.85915,0.0964011,-3.01571,-2.85947,-2.71188,1.00308,950.617
mu_player[151],-2.23029,0.140952,-2.47571,-2.22933,-1.99574,1.00407,799.762
mu_player[152],-2.90545,0.0952472,-3.06141,-2.90484,-2.7538,0.999425,1118.13
mu_player[153],-2.21346,0.0702053,-2.33364,-2.21333,-2.0955,1.00309,1113.9
mu_player[154],-2.03713,0.080065,-2.17512,-2.03619,-1.90675,1.00519,668.528
mu_player[155],-2.77153,0.132473,-2.97866,-2.76884,-2.54995,1.00127,563.543
mu_player[156],-2.70857,0.143039,-2.94101,-2.7043,-2.47241,1.00341,638.019
mu_player[157],-2.37874,0.109781,-2.55426,-2.3771,-2.19386,0.999935,678.201
mu_player[158],-2.50267,0.13207,-2.73706,-2.49764,-2.29274,1.00133,578.191
mu_player[159],-2.38415,0.105983,-2.5617,-2.38354,-2.21352,1.00375,811.254
mu_player[160],-2.45632,0.0793643,-2.59171,-2.45507,-2.3347,1.00037,1230.22
mu_player[161],-1.57981,0.046282,-1.65093,-1.58151,-1.50152,1.00326,516.657
mu_player[162],-2.84538,0.0898354,-2.99711,-2.8466,-2.70372,1.00537,970.605
mu_player[163],-2.4076,0.108549,-2.58525,-2.40806,-2.22981,1.00077,781.473
mu_player[164],-1.77815,0.0799514,-1.90703,-1.7814,-1.643,1.00095,604.007
mu_player[165],-1.95188,0.0717719,-2.06676,-1.9535,-1.82972,1.00108,584.448
mu_player[166],-1.68833,0.0528146,-1.7768,-1.68816,-1.59678,1.00358,464.692
mu_player[167],-1.58093,0.063636,-1.68222,-1.58093,-1.48138,1.00713,645.515
mu_player[168],-2.37328,0.0724591,-2.49211,-2.36827,-2.2585,1.00678,1294.35
mu_player[169],-2.74812,0.11386,-2.93657,-2.74892,-2.56375,0.999021,814.761
mu_player[170],-2.28552,0.0700192,-2.39934,-2.28716,-2.16496,1.00299,633.014
mu_player[171],-1.77333,0.11008,-1.96088,-1.77207,-1.59776,1.00255,882.567
mu_player[172],-2.93601,0.145121,-3.18282,-2.94088,-2.69801,1.00295,681.018
mu_player[173],-2.07963,0.0739221,-2.20471,-2.08119,-1.95898,1.00325,476.314
mu_player[174],-2.95738,0.10154,-3.12056,-2.95988,-2.79148,1.00006,1168.6
mu_player[175],-2.92988,0.124944,-3.13251,-2.9315,-2.72422,1.00288,737.893
mu_player[176],-1.72476,0.0717913,-1.84187,-1.72489,-1.60792,1.00351,403.42
mu_player[177],-3.13125,0.115917,-3.32025,-3.12875,-2.93887,1.00084,1037.35
mu_player[178],-1.85991,0.0797571,-1.99045,-1.86081,-1.73254,1.00733,671.12
mu_player[179],-1.97958,0.0831961,-2.1175,-1.9749,-1.84671,1.00025,652.984
mu_player[180],-1.6068,0.0878523,-1.74806,-1.6114,-1.45667,0.999101,694.937
mu_player[181],-2.8334,0.0967208,-2.98234,-2.83692,-2.66773,0.999308,776.502
mu_player[182],-1.92059,0.0618751,-2.02242,-1.92139,-1.81379,1.00342,578.145
mu_player[183],-2.21176,0.0819922,-2.35038,-2.20967,-2.07587,1.00132,863.093
mu_player[184],-3.08524,0.111066,-3.26635,-3.08221,-2.90748,1.00024,872.465
mu_player[185],-2.75469,0.103416,-2.92356,-2.7572,-2.58622,1.00439,660.481
mu_player[186],-2.53585,0.115297,-2.71174,-2.54051,-2.3471,1.00653,684.527
mu_player[187],-2.26745,0.0837199,-2.39449,-2.27146,-2.12887,1.0022,501.057
mu_player[188],-2.27626,0.0642371,-2.3804,-2.2762,-2.16509,0.997945,1012.38
mu_player[189],-1.92336,0.0749842,-2.05396,-1.92214,-1.79956,1.00147,496.857
mu_player[190],-2.17799,0.0670882,-2.28867,-2.17776,-2.07352,1.00521,571.461
mu_player[191],-2.64469,0.0717092,-2.7632,-2.64531,-2.52794,1.0142,947.719
mu_player[192],-2.85941,0.213653,-3.20993,-2.85792,-2.50205,1.00852,564.977
mu_player[193],-2.33578,0.0629732,-2.43823,-2.33786,-2.23282,1.00199,504.415
mu_player[194],-2.24557,0.0665882,-2.35392,-2.24474,-2.1312,1.00456,790.638
mu_player[195],-1.71521,0.0523176,-1.80194,-1.71329,-1.6303,1.00493,470.803
mu_player[196],-1.75201,0.101094,-1.91603,-1.74937,-1.58848,1.00498,569.647
mu_player[197],-2.14242,0.0838143,-2.28008,-2.14163,-2.01115,1.00123,1329.37
mu_player[198],-2.24299,0.122235,-2.44291,-2.24331,-2.03343,1.00081,704.154
mu_player[199],-1.27534,0.0939985,-1.42583,-1.27245,-1.12361,1.00056,543.27
mu_player[200],-1.50079,0.101407,-1.66587,-1.50392,-1.33936,1.00147,576.134
sigma_position,0.395072,0.228486,0.159101,0.334863,0.861602,1.00719,449.498
sigma_player,0.455689,0.0291277,0.41283,0.454865,0.506155,0.998953,717.011
peak_age_pos[1],28.1403,1.54765,25.6327,28.128,30.7737,1.00185,195.079
peak_age_pos[2],28.2238,1.46518,25.7778,28.2101,30.59,1.00473,316.499
peak_age_pos[3],28.1651,1.65824,25.5266,28.188,30.9838,1.00482,418.17
gamma_pos[1],0.00359946,0.00111079,0.0017748,0.00358847,0.00545767,1.00233,358.918
gamma_pos[2],0.00313666,0.00123313,0.00121734,0.00307519,0.00535676,1.00158,554.621
gamma_pos[3],0.00175588,0.00140503,0.000103047,0.00146245,0.00469947,1.00292,467.831
beta_age_pos[1],0.0156914,0.0139334,-0.00507912,0.0146461,0.0386241,0.999578,185.589
beta_age_pos[2],0.0252672,0.0133344,0.00403175,0.0248518,0.0475163,1.01688,222.656
beta_age_pos[3],0.0120641,0.0167727,-0.0162317,0.0120323,0.040162,1.00696,308.926
sigma_age_player,0.0475054,0.0056096,0.038359,0.0473364,0.0568865,1.01274,206.698
age_tilt_player_z[1],1.02123,0.54424,0.0845573,1.04618,1.90918,1.00423,618.663
age_tilt_player_z[2],-0.582431,0.735713,-1.75482,-0.626499,0.592493,1.00071,646.823
age_tilt_player_z[3],-0.461065,0.833103,-1.79779,-0.453711,0.916482,0.999136,690.405
age_tilt_player_z[4],0.61497,0.714434,-0.587196,0.614739,1.80671,1.00229,627.422
age_tilt_player_z[5],-0.349214,0.737399,-1.54555,-0.356764,0.824906,1.00644,820.409
age_tilt_player_z[6],1.15478,0.555006,0.308648,1.15254,2.08546,1.00228,494.567
age_tilt_player_z[7],0.0307557,0.8152,-1.25732,0.0184511,1.35016,0.999002,701.598
age_tilt_player_z[8],-0.320399,0.784234,-1.64809,-0.313059,0.981126,0.998994,786.417
age_tilt_player_z[9],-0.160597,0.728931,-1.30937,-0.177748,1.03869,1.00067,645.647
age_tilt_player_z[10],-0.366648,0.797726,-1.70332,-0.350193,0.940453,0.998127,792.875
age_tilt_player_z[11],0.798001,0.786155,-0.530416,0.774162,2.09767,1.0023,553.178
age_tilt_player_z[12],-0.366096,0.592681,-1.33813,-0.370893,0.621498,0.999415,547.017
age_tilt_player_z[13],-0.876848,0.665084,-1.96182,-0.870955,0.22928,0.998336,665.511
age_tilt_player_z[14],-0.0442533,0.708146,-1.18082,-0.0695199,1.16939,0.998986,555.682
age_tilt_player_z[15],-0.293685,0.63956,-1.38652,-0.30638,0.74689,1.005,512.268
age_tilt_player_z[16],-0.0780467,0.666829,-1.13016,-0.104389,1.07463,0.999319,484.768
age_tilt_player_z[17],0.896023,0.592445,-0.126676,0.908637,1.86498,1.00721,624.711
age_tilt_player_z[18],-0.366308,0.707144,-1.50701,-0.404665,0.80966,1.00263,565.098
age_tilt_player_z[19],0.201563,0.696981,-0.904665,0.212896,1.35805,1.00478,737.502
age_tilt_player_z[20],0.465358,0.77162,-0.803814,0.461157,1.70016,1.00648,676.404
age_tilt_player_z[21],0.0263116,0.582156,-0.900153,0.0272631,0.985773,0.999195,803.785
age_tilt_player_z[22],0.61876,0.710669,-0.571787,0.638877,1.71034,0.999706,810.44
age_tilt_player_z[23],0.163055,0.748222,-1.02147,0.127393,1.44245,1.00198,648.188
age_tilt_player_z[24],-0.494562,0.685738,-1.59127,-0.50202,0.63375,1.00086,901.465
age_tilt_player_z[25],-0.00666742,0.804567,-1.36797,0.0476807,1.28082,1.00271,775.762
age_tilt_player_z[26],0.137798,0.732446,-1.06973,0.125742,1.32906,1.00079,744.454
age_tilt_player_z[27],-0.0198637,0.851688,-1.37983,-0.0256952,1.31074,0.997975,700.762
age_tilt_player_z[28],-0.419033,0.808157,-1.65212,-0.409681,0.89012,0.999584,761.778
age_tilt_player_z[29],-0.425871,0.90341,-1.94765,-0.461746,1.06109,1.0022,721.106
age_tilt_player_z[30],-0.242898,0.76179,-1.53486,-0.22194,0.973145,1.00597,670.784
age_tilt_player_z[31],0.188789,0.689165,-0.939748,0.193276,1.27679,0.999694,678.829
age_tilt_player_z[32],-0.235585,0.808208,-1.55985,-0.263609,1.13605,1.009,865.368
age_tilt_player_z[33],0.596879,0.690727,-0.511492,0.570259,1.73442,0.998784,646.22
age_tilt_player_z[34],0.228044,0.79472,-1.0656,0.233989,1.51921,1.00062,839.587
age_tilt_player_z[35],0.598562,0.542606,-0.245702,0.59638,1.45833,1.00188,545.45
age_tilt_player_z[36],-0.29198,0.828821,-1.6825,-0.301108,1.08692,1.00502,816.482
age_tilt_player_z[37],0.374972,0.625061,-0.668552,0.369343,1.41624,1.0008,527.321
age_tilt_player_z[38],-0.490964,0.599423,-1.50438,-0.500915,0.482193,1.01245,620.667
