param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-3.53425,0.119655,-3.73225,-3.52671,-3.36273,1.0017,511.64
mu_position[1],-3.43561,0.0428041,-3.50383,-3.43654,-3.36664,1.00504,194.996
mu_position[2],-3.55605,0.0424059,-3.62458,-3.55486,-3.48567,1.00436,306.44
mu_position[3],-3.58765,0.0667207,-3.69856,-3.58839,-3.48541,1.00109,255.352
mu_player[1],-3.43347,0.137687,-3.66226,-3.43712,-3.20782,1.00348,472.176
mu_player[2],-3.57922,0.187928,-3.8737,-3.57766,-3.26513,1.00601,892.648
mu_player[3],-3.41662,0.200935,-3.72674,-3.41837,-3.08786,1.01287,666.445
mu_player[4],-3.29193,0.19514,-3.61584,-3.29851,-2.9846,1.0017,553.508
mu_player[5],-3.43761,0.202094,-3.7671,-3.43305,-3.1195,1.00161,889.426
mu_player[6],-3.04995,0.141972,-3.27965,-3.04168,-2.8251,1.00135,377.947
mu_player[7],-3.45266,0.192368,-3.77299,-3.44345,-3.13766,1.0085,640.794
mu_player[8],-3.66137,0.229704,-4.03134,-3.65752,-3.30039,1.00771,614.749
mu_player[9],-3.60349,0.178392,-3.89595,-3.60623,-3.31826,1.00278,889.18
mu_player[10],-3.60755,0.218164,-3.97389,-3.60969,-3.26437,1.00678,1115.32
mu_player[11],-3.25687,0.195059,-3.57717,-3.25122,-2.93477,1.00348,723.125
mu_player[12],-3.38681,0.147793,-3.62454,-3.38864,-3.12814,0.999753,326.648
mu_player[13],-3.57729,0.153163,-3.81953,-3.57249,-3.33481,0.999518,587.635
mu_player[14],-3.42819,0.195572,-3.74641,-3.42894,-3.11183,1.00171,734.1
mu_player[15],-3.70089,0.134109,-3.92125,-3.69918,-3.48149,1.0061,702.387
mu_player[16],-3.4658,0.177906,-3.75261,-3.46326,-3.18901,1.00081,401.625
mu_player[17],-3.19648,0.1183,-3.39496,-3.18947,-3.00784,1.00369,379.363
mu_player[18],-3.91805,0.164251,-4.19204,-3.91506,-3.64504,1.00271,659.059
mu_player[19],-3.03841,0.145607,-3.26929,-3.04347,-2.80091,1.00612,369.458
mu_player[20],-3.50151,0.223244,-3.85457,-3.50213,-3.12915,1.00292,710.986
mu_player[21],-3.24591,0.120236,-3.43955,-3.24828,-3.04788,1.003,510.203
mu_player[22],-3.88022,0.161411,-4.14118,-3.87643,-3.62734,1.00284,662.675
mu_player[23],-3.74174,0.149373,-3.99268,-3.73989,-3.49593,0.999929,1065.64
