param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-3.35583,0.404641,-4.03025,-3.35907,-2.70053,1.00038,2251.78
mu_position[1],-2.78807,0.0996708,-2.95006,-2.78885,-2.62485,1.00499,1664.13
mu_position[2],-3.1665,0.111049,-3.35457,-3.16363,-2.98604,1.0018,1507.8
mu_position[3],-4.85418,0.205187,-5.19724,-4.85366,-4.52019,1.00192,952.181
mu_player[1],-2.75601,0.382051,-3.39258,-2.75161,-2.11934,1.00199,1385.56
mu_player[2],-2.72994,0.454458,-3.50689,-2.71258,-2.01395,1.00222,1664.1
mu_player[3],-5.22822,0.617037,-6.23661,-5.21715,-4.27138,0.999965,1438.55
mu_player[4],-3.11313,0.507693,-3.94567,-3.11808,-2.28934,1.00165,1297.06
mu_player[5],-2.94318,0.437543,-3.6393,-2.93708,-2.24657,1.0016,1704.65
mu_player[6],-3.3967,0.397073,-4.04352,-3.40616,-2.7331,1.00695,1044.94
mu_player[7],-2.94954,0.39405,-3.60085,-2.95122,-2.29098,1.006,1594.55
mu_player[8],-4.11778,0.506384,-4.95246,-4.11906,-3.27682,1.00194,1654.38
mu_player[9],-2.78429,0.398798,-3.4607,-2.77333,-2.13719,0.999759,1480.42
mu_player[10],-2.35635,0.443793,-3.09183,-2.35824,-1.62412,0.999525,1211.7
mu_player[11],-2.5184,0.364568,-3.10298,-2.53899,-1.91124,1.00267,1515.82
mu_player[12],-3.1276,0.434802,-3.82194,-3.11611,-2.39506,1.00321,1449.56
mu_player[13],-3.16126,0.467181,-3.94547,-3.15879,-2.39387,0.999071,1438.46
mu_player[14],-2.92168,0.326023,-3.45551,-2.91775,-2.39874,1.00604,1543.84
mu_player[15],-3.49232,0.404086,-4.17143,-3.4814,-2.86095,1.00641,1539.3
mu_player[16],-2.55679,0.303882,-3.03789,-2.5523,-2.07759,0.999889,1718.05
mu_player[17],-3.2552,0.396223,-3.94227,-3.23974,-2.64558,1.00197,1699.81
mu_player[18],-3.89673,0.404687,-4.5676,-3.8907,-3.2454,1.00158,1314.23
mu_player[19],-3.50883,0.323498,-4.04927,-3.49662,-2.98903,1.00761,2094.51
mu_player[20],-2.44322,0.306868,-2.95572,-2.43618,-1.9374,1.00021,1360.69
mu_player[21],-2.54817,0.315323,-3.09566,-2.54512,-2.0254,1.00134,1178.55
mu_player[22],-2.62261,0.306895,-3.12307,-2.60892,-2.11922,1.00014,1525.58
mu_player[23],-2.7734,0.372633,-3.42271,-2.76568,-2.17507,1.00023,1451.49
mu_player[24],-3.2813,0.358264,-3.86969,-3.27509,-2.7157,1.00418,1295.1
mu_player[25],-4.82281,0.508701,-5.64889,-4.82859,-4.00521,0.998742,1635.63
mu_player[26],-5.46643,0.557621,-6.41498,-5.44313,-4.6169,1.00435,1836.99
mu_player[27],-3.13705,0.329933,-3.69344,-3.12834,-2.61391,1.0017,1598.54
mu_player[28],-2.81694,0.313406,-3.31536,-2.81414,-2.31856,0.999092,1838.6
