param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.8884,0.102012,-3.02757,-2.9,-2.73458,,
mu_position[1],-2.88962,0.0413575,-2.93688,-2.89345,-2.8179,,
mu_position[2],-2.92502,0.0416602,-2.99775,-2.92985,-2.85203,,
mu_position[3],-2.83055,0.0858151,-2.93029,-2.83564,-2.68213,,
mu_player[1],-2.42105,0.240216,-2.68143,-2.41216,-2.03536,,
mu_player[2],-2.85889,0.279584,-3.29529,-2.87289,-2.51315,,
mu_player[3],-2.64857,0.207257,-2.95048,-2.70835,-2.27338,,
mu_player[4],-2.79616,0.214231,-3.11159,-2.85955,-2.3994,,
mu_player[5],-3.10948,0.218118,-3.45723,-3.18891,-2.71455,,
mu_player[6],-2.5696,0.162183,-2.86099,-2.55402,-2.301,,
mu_player[7],-2.4887,0.251581,-2.91327,-2.50629,-2.18464,,
mu_player[8],-2.87921,0.203646,-3.24792,-2.86755,-2.53394,,
mu_player[9],-2.9039,0.193928,-3.18649,-2.95305,-2.55802,,
mu_player[10],-2.8354,0.217999,-3.22612,-2.81806,-2.46159,,
mu_player[11],-2.55049,0.163844,-2.843,-2.51607,-2.32042,,
mu_player[12],-3.21407,0.193648,-3.52774,-3.23855,-2.85251,,
mu_player[13],-2.85307,0.199241,-3.18502,-2.87141,-2.50849,,
mu_player[14],-2.39556,0.139773,-2.60292,-2.43037,-2.15018,,
mu_player[15],-3.17584,0.202111,-3.47107,-3.23092,-2.80062,,
mu_player[16],-2.75135,0.14438,-2.98213,-2.77379,-2.4957,,
mu_player[17],-3.1386,0.21897,-3.37755,-3.14774,-2.75576,,
mu_player[18],-2.8344,0.175116,-3.08054,-2.87289,-2.51724,,
mu_player[19],-2.17735,0.13319,-2.4208,-2.16643,-1.95573,,
mu_player[20],-2.72097,0.164543,-3.02931,-2.68363,-2.50812,,
mu_player[21],-3.18007,0.178573,-3.46703,-3.21061,-2.84958,,
mu_player[22],-2.79313,0.188213,-3.09328,-2.80503,-2.57309,,
mu_player[23],-2.76004,0.1753,-3.05497,-2.77677,-2.45686,,
mu_player[24],-2.96652,0.163688,-3.25754,-2.92359,-2.71674,,
mu_player[25],-2.74765,0.19307,-3.00567,-2.78824,-2.41856,,
mu_player[26],-2.48596,0.175181,-2.77358,-2.52486,-2.18049,,
mu_player[27],-2.82339,0.179291,-3.1482,-2.79918,-2.52667,,
mu_player[28],-3.1914,0.186465,-3.52696,-3.17314,-2.96908,,
mu_player[29],-2.9182,0.192897,-3.26238,-2.86337,-2.62685,,
mu_player[30],-2.67973,0.174145,-2.93245,-2.73141,-2.36873,,
mu_player[31],-2.49438,0.175627,-2.79676,-2.48368,-2.19706,,
mu_player[32],-2.35215,0.1932,-2.6051,-2.32857,-2.06432,,
mu_player[33],-2.71235,0.171603,-2.89234,-2.72058,-2.42018,,
mu_player[34],-2.36816,0.138955,-2.62638,-2.3667,-2.14098,,
mu_player[35],-2.81631,0.131335,-3.04689,-2.79097,-2.62956,,
mu_player[36],-2.84562,0.193937,-3.1144,-2.89081,-2.49786,,
mu_player[37],-2.59397,0.113748,-2.78626,-2.58211,-2.39163,,
mu_player[38],-2.8778,0.214747,-3.25938,-2.85831,-2.60628,,
mu_player[39],-2.99062,0.161365,-3.21545,-3.04683,-2.68923,,
mu_player[40],-2.97219,0.209219,-3.34886,-2.94297,-2.73256,,
mu_player[41],-3.07845,0.190718,-3.28769,-3.09281,-2.74685,,
mu_player[42],-2.91857,0.194513,-3.27249,-2.87284,-2.65443,,
mu_player[43],-3.24648,0.203847,-3.62032,-3.17287,-2.93961,,
mu_player[44],-3.22328,0.195251,-3.57488,-3.25722,-2.8807,,
mu_player[45],-2.8484,0.126576,-3.04898,-2.87778,-2.61426,,
mu_player[46],-2.46753,0.117348,-2.64826,-2.50371,-2.26617,,
mu_player[47],-2.62716,0.150656,-2.85538,-2.67752,-2.36449,,
mu_player[48],-2.80756,0.18897,-3.13425,-2.81684,-2.48322,,
mu_player[49],-2.72915,0.175875,-2.93108,-2.74627,-2.43136,,
mu_player[50],-2.74335,0.101671,-2.92882,-2.7185,-2.61203,,
mu_player[51],-3.03729,0.251581,-3.36085,-3.00671,-2.64206,,
mu_player[52],-2.93333,0.149861,-3.15895,-2.99065,-2.66342,,
mu_player[53],-2.62364,0.0972091,-2.79872,-2.62808,-2.45511,,
mu_player[54],-2.90067,0.172243,-3.10592,-2.88927,-2.62554,,
mu_player[55],-2.84865,0.160975,-3.12472,-2.86429,-2.57958,,
mu_player[56],-2.81932,0.137575,-3.06222,-2.79337,-2.61459,,
mu_player[57],-3.0389,0.151601,-3.29757,-3.03422,-2.8577,,
mu_player[58],-2.80992,0.217602,-3.19337,-2.79854,-2.57854,,
mu_player[59],-3.06308,0.146071,-3.32856,-3.01798,-2.83015,,
mu_player[60],-2.79634,0.113675,-2.99783,-2.78014,-2.61314,,
mu_player[61],-2.92946,0.109664,-3.11759,-2.9158,-2.74167,,
mu_player[62],-3.08462,0.109173,-3.27992,-3.06015,-2.93139,,
mu_player[63],-2.59248,0.159602,-2.87026,-2.59278,-2.40817,,
mu_player[64],-2.99003,0.124375,-3.22754,-2.94592,-2.80443,,
mu_player[65],-2.89524,0.16341,-3.06759,-2.89986,-2.62161,,
mu_player[66],-2.66297,0.130823,-2.89736,-2.68546,-2.44205,,
mu_player[67],-3.42448,0.156007,-3.66766,-3.47663,-3.14787,,
mu_player[68],-2.76512,0.0876174,-2.89278,-2.7917,-2.60507,,
mu_player[69],-2.62296,0.0876163,-2.75087,-2.65116,-2.46616,,
mu_player[70],-2.52969,0.128572,-2.66767,-2.52969,-2.31478,,
mu_player[71],-3.13308,0.196072,-3.35949,-3.12209,-2.80192,,
mu_player[72],-2.53813,0.0943683,-2.68805,-2.57134,-2.36779,,
mu_player[73],-3.37608,0.118015,-3.53243,-3.41445,-3.15379,,
mu_player[74],-3.17936,0.168407,-3.4813,-3.15489,-2.99026,,
mu_player[75],-3.20011,0.244663,-3.46989,-3.20615,-2.77006,,
mu_player[76],-3.04044,0.126962,-3.26326,-3.03843,-2.82772,,
mu_player[77],-3.30569,0.15885,-3.5949,-3.25009,-3.06758,,
mu_player[78],-2.38005,0.12143,-2.5843,-2.41002,-2.17471,,
mu_player[79],-2.49192,0.110244,-2.62608,-2.50504,-2.29712,,
mu_player[80],-2.85012,0.156603,-3.13763,-2.83101,-2.67426,,
mu_player[81],-2.83742,0.192036,-3.17841,-2.77916,-2.56657,,
mu_player[82],-3.23667,0.246938,-3.63653,-3.25528,-2.92433,,
mu_player[83],-2.8355,0.171732,-3.14509,-2.80746,-2.61858,,
mu_player[84],-2.82499,0.139209,-3.00394,-2.85297,-2.57052,,
mu_player[85],-2.98743,0.209449,-3.37081,-2.95958,-2.72285,,
mu_player[86],-2.82258,0.0986579,-3.0033,-2.81604,-2.65669,,
mu_player[87],-2.77301,0.25208,-3.17234,-2.80312,-2.4407,,
mu_player[88],-2.6816,0.0790995,-2.78834,-2.70317,-2.54312,,
mu_player[89],-2.78615,0.234161,-3.06093,-2.77867,-2.39621,,
mu_player[90],-2.76476,0.209098,-3.05261,-2.8072,-2.38594,,
mu_player[91],-2.56429,0.160908,-2.77629,-2.53778,-2.32261,,
mu_player[92],-3.27098,0.0950816,-3.43745,-3.2488,-3.10574,,
mu_player[93],-2.77959,0.133222,-3.01045,-2.74125,-2.5645,,
mu_player[94],-3.31957,0.166583,-3.62078,-3.2996,-3.03452,,
mu_player[95],-3.33736,0.187219,-3.63341,-3.38788,-3.00693,,
mu_player[96],-3.55823,0.155403,-3.78927,-3.60102,-3.2872,,
mu_player[97],-3.13163,0.149955,-3.40347,-3.09306,-2.9204,,
mu_player[98],-2.90575,0.0962763,-3.06742,-2.90887,-2.73468,,
mu_player[99],-2.73469,0.105964,-2.92058,-2.75306,-2.5553,,
mu_player[100],-3.42862,0.136261,-3.59291,-3.44462,-3.18236,,
mu_player[101],-3.31319,0.189349,-3.62275,-3.33044,-2.99031,,
mu_player[102],-2.31599,0.0646522,-2.43504,-2.29981,-2.22902,,
mu_player[103],-3.06152,0.143314,-3.31429,-3.03083,-2.86325,,
mu_player[104],-2.62238,0.0662833,-2.74186,-2.60056,-2.51806,,
mu_player[105],-2.41232,0.121975,-2.64148,-2.36707,-2.2258,,
mu_player[106],-2.58221,0.12416,-2.72556,-2.57448,-2.37834,,
mu_player[107],-3.44388,0.122782,-3.61485,-3.47152,-3.21769,,
mu_player[108],-2.88762,0.0909706,-3.04483,-2.86653,-2.7338,,
mu_player[109],-2.95824,0.0842165,-3.0943,-2.98756,-2.81044,,
mu_player[110],-3.22905,0.146392,-3.45258,-3.28153,-2.95734,,
mu_player[111],-3.21329,0.136574,-3.46559,-3.17029,-3.02129,,
mu_player[112],-2.95127,0.0679273,-3.07384,-2.94551,-2.83602,,
mu_player[113],-2.62742,0.0842479,-2.75963,-2.65692,-2.4738,,
mu_player[114],-2.94541,0.0968939,-3.12279,-2.92487,-2.78232,,
mu_player[115],-3.13674,0.137733,-3.33909,-3.1837,-2.89252,,
mu_player[116],-2.45937,0.0652313,-2.55122,-2.47269,-2.3394,,
mu_player[117],-2.91411,0.104247,-3.09174,-2.91141,-2.80153,,
mu_player[118],-2.35098,0.0776374,-2.46913,-2.37211,-2.21042,,
mu_player[119],-2.66954,0.110958,-2.86817,-2.65279,-2.49005,,
mu_player[120],-3.20516,0.117424,-3.40983,-3.1963,-3.08324,,
mu_player[121],-3.00158,0.0985856,-3.15057,-3.02977,-2.82397,,
mu_player[122],-2.47141,0.0769152,-2.57927,-2.48827,-2.3327,,
mu_player[123],-2.40524,0.0642336,-2.48752,-2.415,-2.29289,,
mu_player[124],-2.98475,0.0874225,-3.09755,-3.00336,-2.82634,,
mu_player[125],-2.76529,0.188349,-2.95961,-2.7751,-2.43862,,
mu_player[126],-2.50776,0.10076,-2.69793,-2.47448,-2.35601,,
mu_player[127],-3.18924,0.0924808,-3.35864,-3.16997,-3.06952,,
mu_player[128],-3.01024,0.146042,-3.22062,-3.05106,-2.75046,,
mu_player[129],-3.18765,0.158333,-3.45249,-3.17981,-3.01899,,
mu_player[130],-2.62362,0.0740086,-2.70804,-2.63087,-2.49104,,
mu_player[131],-2.46173,0.0610998,-2.54997,-2.48199,-2.34944,,
mu_player[132],-3.0733,0.136632,-3.32359,-3.05714,-2.92187,,
mu_player[133],-3.13704,0.0858585,-3.29149,-3.10808,-3.00742,,
mu_player[134],-2.61498,0.0620775,-2.69398,-2.62664,-2.50072,,
mu_player[135],-2.7525,0.0987904,-2.93259,-2.72555,-2.61682,,
mu_player[136],-2.99298,0.112383,-3.14837,-2.97692,-2.82122,,
mu_player[137],-3.29842,0.100239,-3.46503,-3.31135,-3.12175,,
mu_player[138],-3.01765,0.0880471,-3.18479,-2.99913,-2.89577,,
mu_player[139],-3.28356,0.0971255,-3.45858,-3.25158,-3.1394,,
mu_player[140],-2.94112,0.0865679,-3.10369,-2.91453,-2.81284,,
mu_player[141],-2.91131,0.10231,-3.09297,-2.89351,-2.77895,,
mu_player[142],-3.34941,0.124746,-3.58097,-3.31,-3.1528,,
mu_player[143],-3.02091,0.107639,-3.21583,-3.01785,-2.83864,,
mu_player[144],-3.18603,0.117108,-3.38701,-3.18334,-2.98766,,
mu_player[145],-3.14001,0.0943534,-3.31339,-3.11252,-2.99404,,
