param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.965443,0.104515,-1.14253,-0.960201,-0.824357,1.00854,1305.68
mu_position[1],-0.902911,0.0314791,-0.951619,-0.904713,-0.847046,1.0037,690.955
mu_position[2],-0.961304,0.0309685,-1.01147,-0.961643,-0.910857,1.00094,1794.46
mu_position[3],-1.02176,0.0541209,-1.11446,-1.0195,-0.937025,1.00202,1092.77
mu_player[1],-0.595791,0.143381,-0.829904,-0.59926,-0.349802,0.99914,2815.59
mu_player[2],-0.811091,0.189111,-1.11676,-0.810952,-0.5004,0.999837,3013.29
mu_player[3],-1.13471,0.186847,-1.43765,-1.13887,-0.833925,1.00203,2495.97
mu_player[4],-0.992117,0.194389,-1.32377,-0.993,-0.666298,1.00052,2247.64
mu_player[5],-1.04395,0.183057,-1.34707,-1.04767,-0.735144,1.00174,2078.49
mu_player[6],-0.736257,0.150917,-0.976797,-0.737799,-0.488508,0.999409,3337.86
mu_player[7],-0.706176,0.163259,-0.977553,-0.703242,-0.441435,1.00409,2305.31
mu_player[8],-0.85902,0.181457,-1.14037,-0.860209,-0.570329,0.999315,2441.45
mu_player[9],-0.818402,0.166375,-1.09042,-0.82008,-0.543764,0.999712,3191.48
mu_player[10],-0.78026,0.183749,-1.07185,-0.781658,-0.471064,1.00377,3246.02
mu_player[11],-0.715184,0.158489,-0.972687,-0.717145,-0.455083,0.99998,2887.22
mu_player[12],-1.14316,0.18454,-1.44826,-1.14806,-0.830778,1.00251,2267.04
mu_player[13],-0.894402,0.177324,-1.1811,-0.893428,-0.605417,1.01222,2854.53
mu_player[14],-0.657271,0.138285,-0.89053,-0.657064,-0.428236,0.999124,2712.2
mu_player[15],-1.04896,0.162785,-1.30782,-1.0452,-0.78686,1.00292,2944.04
mu_player[16],-0.704025,0.137793,-0.929821,-0.706594,-0.471581,1.00046,3415.23
mu_player[17],-1.0492,0.157182,-1.30101,-1.04963,-0.792876,1.00463,3042.46
mu_player[18],-0.905985,0.152311,-1.15701,-0.905767,-0.660411,1.00014,2583.14
mu_player[19],-0.595529,0.110232,-0.774899,-0.595228,-0.416867,1.00117,2886.66
mu_player[20],-0.900281,0.13545,-1.12417,-0.900756,-0.678371,1.00016,3328.46
mu_player[21],-0.815205,0.14022,-1.03945,-0.81686,-0.585555,1.00518,3066.32
mu_player[22],-0.77211,0.136923,-0.991974,-0.771023,-0.540423,1.00452,2811.41
mu_player[23],-0.962994,0.16207,-1.22703,-0.957216,-0.692085,0.999724,2529.38
mu_player[24],-0.877905,0.142426,-1.11668,-0.877363,-0.643652,1.00119,3313.78
mu_player[25],-1.07361,0.159254,-1.33959,-1.07351,-0.808778,1.00112,2999.38
mu_player[26],-0.997016,0.156151,-1.25564,-0.993837,-0.742769,1.00094,3102.68
mu_player[27],-0.861017,0.130472,-1.06589,-0.861971,-0.649719,1.00009,2747.91
mu_player[28],-1.08144,0.149961,-1.32352,-1.08294,-0.843068,1.0027,2448.37
mu_player[29],-0.965109,0.181982,-1.26846,-0.962742,-0.656988,1.0007,2459.9
mu_player[30],-1.25486,0.150374,-1.50071,-1.25381,-1.00329,0.999239,2168.97
mu_player[31],-0.77172,0.177774,-1.05963,-0.769497,-0.482624,1.00088,2626.57
mu_player[32],-0.886682,0.103786,-1.06245,-0.886281,-0.715516,1.00093,2182.18
mu_player[33],-1.00941,0.115475,-1.19648,-1.00979,-0.823776,1.00279,2277.42
mu_player[34],-0.665577,0.119056,-0.855438,-0.668827,-0.467966,1.00008,2860.11
mu_player[35],-0.82765,0.100809,-0.988671,-0.830044,-0.659579,1.00113,2516.15
mu_player[36],-0.981599,0.166498,-1.24763,-0.988733,-0.706169,1.00365,3234.61
mu_player[37],-0.586628,0.0991891,-0.752924,-0.587036,-0.422974,1.00364,2288.95
mu_player[38],-1.1317,0.181649,-1.4328,-1.12791,-0.840303,1.0047,2102.49
mu_player[39],-1.07048,0.15274,-1.32124,-1.07401,-0.815837,1.00013,2510.36
mu_player[40],-0.997032,0.162549,-1.26294,-1.00038,-0.72483,1.00065,2574.87
mu_player[41],-0.862582,0.134024,-1.08379,-0.864688,-0.634942,1.00331,2645.57
mu_player[42],-0.990732,0.167531,-1.26767,-0.989227,-0.718233,1.00184,2874.44
mu_player[43],-1.05276,0.171828,-1.33268,-1.05178,-0.777476,1.00203,2990.86
mu_player[44],-1.2309,0.131566,-1.45153,-1.23006,-1.01806,1.0017,2617.52
mu_player[45],-0.821624,0.121115,-1.02197,-0.820583,-0.628992,1.00141,2802.65
mu_player[46],-0.610195,0.107074,-0.789946,-0.610187,-0.430192,1.00011,2806.17
mu_player[47],-0.880814,0.122264,-1.07235,-0.882019,-0.680529,1.00373,1825.65
mu_player[48],-1.0213,0.140702,-1.25473,-1.02076,-0.783055,1.00244,2128.18
mu_player[49],-0.872168,0.141774,-1.10712,-0.870796,-0.639582,1.00087,2228.6
mu_player[50],-0.545775,0.0825341,-0.682546,-0.544964,-0.413187,1.00205,2001.86
mu_player[51],-1.14122,0.109032,-1.32106,-1.1419,-0.972323,1.00775,2962.7
mu_player[52],-1.19974,0.119757,-1.39188,-1.19898,-0.999162,1.00491,2031.72
mu_player[53],-0.888788,0.0758249,-1.01413,-0.888347,-0.766876,1.00261,2311.6
mu_player[54],-1.39824,0.105626,-1.57753,-1.3955,-1.23117,1.00255,2542.14
mu_player[55],-0.758685,0.122283,-0.961527,-0.75636,-0.558471,1.00137,3110.3
mu_player[56],-0.512096,0.12745,-0.717805,-0.509115,-0.303397,1.00063,2489.75
mu_player[57],-0.910775,0.0952615,-1.06907,-0.908036,-0.756832,1.00587,2375.67
mu_player[58],-0.960554,0.13643,-1.18888,-0.960788,-0.735691,0.998664,2736.52
mu_player[59],-0.795992,0.127819,-1.0125,-0.795756,-0.585437,1.00444,2596.98
mu_player[60],-0.628506,0.0904109,-0.776315,-0.630248,-0.477887,1.00085,3208.01
mu_player[61],-0.769726,0.0933939,-0.920908,-0.766121,-0.613667,1.00015,2084.41
mu_player[62],-0.806815,0.0713191,-0.924667,-0.805327,-0.685233,1.00335,2702.82
mu_player[63],-0.707678,0.121294,-0.916035,-0.707728,-0.510795,1.0029,2380.23
mu_player[64],-1.22215,0.102502,-1.38967,-1.22099,-1.05629,1.00931,2603.75
mu_player[65],-0.802972,0.109916,-0.991406,-0.80373,-0.613271,1.00111,2477.66
mu_player[66],-0.839817,0.122144,-1.04253,-0.837709,-0.639835,1.00115,2007.17
mu_player[67],-1.03843,0.0846096,-1.17776,-1.04089,-0.89633,1.0066,2748.71
mu_player[68],-0.686351,0.0681473,-0.794328,-0.688917,-0.571726,1.00207,2751.6
mu_player[69],-0.649142,0.0625912,-0.747939,-0.650471,-0.544116,1.00327,1470.62
mu_player[70],-0.626152,0.0918991,-0.771369,-0.626084,-0.471142,1.00332,2689.26
mu_player[71],-0.859007,0.103185,-1.03175,-0.85888,-0.688874,1.00498,2689.96
mu_player[72],-0.978881,0.073252,-1.09993,-0.977101,-0.859807,1.01617,2365.32
mu_player[73],-1.15395,0.078571,-1.28426,-1.15363,-1.02506,1.00394,2637.18
mu_player[74],-1.23277,0.0958926,-1.39159,-1.22837,-1.07752,1.00106,2745.74
mu_player[75],-0.940485,0.106385,-1.11719,-0.941629,-0.759664,1.00368,2318.76
mu_player[76],-0.881497,0.0775286,-1.00599,-0.884634,-0.752125,1.00233,2026.8
mu_player[77],-1.1152,0.119624,-1.30569,-1.11999,-0.911272,1.00258,2887.93
mu_player[78],-1.43046,0.122903,-1.63398,-1.42995,-1.23205,1.00462,2519.48
mu_player[79],-0.681124,0.0884649,-0.825606,-0.67848,-0.537565,1.00885,2742.68
mu_player[80],-0.903742,0.104373,-1.07605,-0.904702,-0.729019,1.00708,2299.34
mu_player[81],-1.04663,0.139619,-1.26624,-1.05022,-0.815305,1.00034,2335.37
mu_player[82],-1.05069,0.133864,-1.26272,-1.0535,-0.826538,1.00267,2575.02
mu_player[83],-1.07252,0.124645,-1.27977,-1.07059,-0.870455,1.00229,3165.29
mu_player[84],-1.36762,0.101689,-1.53435,-1.36869,-1.20044,1.00709,2102.9
mu_player[85],-0.878104,0.07966,-1.00673,-0.878456,-0.750181,0.999533,2262.61
mu_player[86],-0.680314,0.0786092,-0.811208,-0.677375,-0.552341,1.00275,2254.74
mu_player[87],-1.12439,0.102664,-1.29572,-1.12108,-0.960643,1.00098,2397.88
mu_player[88],-0.931047,0.0615755,-1.03284,-0.930791,-0.831668,1.00315,1602.88
mu_player[89],-1.06287,0.150805,-1.31012,-1.06073,-0.810409,1.0008,3124.23
mu_player[90],-1.07823,0.137225,-1.30379,-1.07868,-0.861583,0.999007,2629.93
mu_player[91],-1.05132,0.107005,-1.23039,-1.0508,-0.879652,1.01069,3545.82
mu_player[92],-1.14702,0.0731219,-1.26503,-1.14623,-1.02107,1.00644,1974.61
mu_player[93],-1.20436,0.128455,-1.41908,-1.20252,-0.994256,0.998875,1823.95
mu_player[94],-1.03985,0.127838,-1.24493,-1.0401,-0.823583,0.99943,2683.69
mu_player[95],-1.15075,0.0954328,-1.31118,-1.14936,-1.00302,1.00138,3956.98
mu_player[96],-1.14463,0.115495,-1.32808,-1.146,-0.959786,1.00049,2331.24
mu_player[97],-1.16649,0.113776,-1.34741,-1.17033,-0.981726,1.00947,3010.95
mu_player[98],-1.2703,0.0849078,-1.405,-1.27083,-1.13384,1.00178,2319.03
mu_player[99],-1.40549,0.081384,-1.54121,-1.40415,-1.26851,1.00447,2266.66
mu_player[100],-0.762649,0.0807653,-0.892229,-0.764307,-0.625636,1.00618,2080.69
mu_player[101],-1.34756,0.118202,-1.55185,-1.34525,-1.15348,0.999809,2815.09
mu_player[102],-0.574696,0.0381683,-0.639591,-0.573116,-0.51649,1.00195,1927.01
mu_player[103],-0.918662,0.111478,-1.09793,-0.916721,-0.735012,1.0042,2015.44
mu_player[104],-0.739176,0.0390527,-0.804159,-0.739581,-0.674113,1.00264,1311.62
mu_player[105],-1.06649,0.0828551,-1.20066,-1.0634,-0.925445,1.00088,2248.49
mu_player[106],-0.626599,0.0775247,-0.75629,-0.625166,-0.500562,1.00525,2724.06
mu_player[107],-1.21572,0.0593149,-1.31216,-1.21761,-1.11724,1.00065,1983.75
mu_player[108],-0.852828,0.0726029,-0.968864,-0.855135,-0.734307,1.0043,1871.88
mu_player[109],-0.834245,0.0514069,-0.923498,-0.833314,-0.750444,1.00436,2705.6
mu_player[110],-0.997208,0.0976456,-1.1611,-0.996955,-0.840901,0.999055,2272.74
mu_player[111],-0.887555,0.0939934,-1.04138,-0.887668,-0.73415,1.00057,2359.01
mu_player[112],-1.03414,0.0384487,-1.09804,-1.03384,-0.970757,0.999976,2403.81
mu_player[113],-1.09969,0.0606958,-1.19715,-1.09886,-0.994918,1.00182,2314.01
mu_player[114],-1.17151,0.0733273,-1.28886,-1.17335,-1.05289,1.00411,2342.35
mu_player[115],-1.36391,0.124703,-1.56756,-1.36543,-1.15208,1.00066,1654.41
mu_player[116],-0.73364,0.0378858,-0.796063,-0.734285,-0.672044,1.00079,2056.2
mu_player[117],-0.807854,0.0406401,-0.873751,-0.807748,-0.738842,1.00074,2111.3
mu_player[118],-0.614093,0.0494706,-0.691726,-0.614699,-0.531356,1.0004,1745.28
mu_player[119],-1.00839,0.0734804,-1.1273,-1.009,-0.884303,1.00267,2644.9
mu_player[120],-1.11777,0.0625963,-1.22223,-1.117,-1.01454,1.01048,2271.7
mu_player[121],-0.791215,0.079428,-0.923848,-0.791041,-0.660515,1.0001,2142.13
mu_player[122],-1.02984,0.063717,-1.13092,-1.03099,-0.924522,1.00226,1871.04
mu_player[123],-0.726733,0.0400811,-0.793378,-0.726777,-0.661008,1.00504,1385.14
mu_player[124],-0.740643,0.0383026,-0.804048,-0.74079,-0.67863,1.00001,2266.33
mu_player[125],-1.02499,0.156197,-1.28359,-1.02388,-0.766864,1.00547,2595.29
mu_player[126],-1.11579,0.0943397,-1.27521,-1.11809,-0.962183,1.00139,2277.82
mu_player[127],-1.04774,0.0369751,-1.10734,-1.04813,-0.986217,1.00413,1307.41
mu_player[128],-0.996199,0.0672408,-1.10772,-0.99615,-0.888543,1.00197,2780.88
mu_player[129],-1.27904,0.0946446,-1.42761,-1.28089,-1.12279,1.00185,2090.72
mu_player[130],-0.778092,0.0349846,-0.83384,-0.779111,-0.719739,1.00294,1235.76
mu_player[131],-0.70535,0.0353894,-0.760904,-0.706247,-0.64489,1.00197,1654.85
mu_player[132],-1.20787,0.0816845,-1.34192,-1.21101,-1.07405,1.00112,2990.62
mu_player[133],-0.811305,0.0347686,-0.870288,-0.811502,-0.752009,1.00181,1657.52
mu_player[134],-0.670744,0.0286434,-0.71645,-0.671314,-0.622984,1.00455,1009.82
mu_player[135],-0.851635,0.0604441,-0.950263,-0.851543,-0.753857,1.00021,2042.98
mu_player[136],-0.964918,0.0393017,-1.02664,-0.965701,-0.900929,1.00211,1518.77
mu_player[137],-1.1946,0.0504101,-1.27719,-1.19534,-1.1145,1.00256,2510.75
mu_player[138],-0.778476,0.0450845,-0.853603,-0.77836,-0.703687,0.998519,2378.08
mu_player[139],-1.48527,0.0506243,-1.56757,-1.48521,-1.40193,1.0013,2865.62
mu_player[140],-0.727263,0.0500179,-0.808791,-0.72751,-0.644102,1.00329,1385.55
mu_player[141],-0.875025,0.0689727,-0.986039,-0.874306,-0.759348,1.00109,2579.62
mu_player[142],-1.2224,0.0847025,-1.36344,-1.22296,-1.08413,0.999946,2620.11
mu_player[143],-1.01092,0.0650053,-1.11929,-1.00916,-0.900183,1.0024,1834.63
mu_player[144],-1.33856,0.0926774,-1.49466,-1.33557,-1.18972,1.0063,2947.36
mu_player[145],-1.47359,0.0741622,-1.59493,-1.47287,-1.35274,1.00242,3151.44
mu_player[146],-1.04984,0.0506864,-1.13456,-1.04886,-0.965557,0.998914,2295.65
mu_player[147],-1.00519,0.0299008,-1.05478,-1.00501,-0.956313,1.00404,1542.93
mu_player[148],-0.836665,0.0327957,-0.889599,-0.836647,-0.781521,1.0009,1092.77
mu_player[149],-1.19078,0.0833557,-1.32874,-1.19105,-1.05345,1.00048,2742.53
mu_player[150],-0.838907,0.0642037,-0.943914,-0.83879,-0.73214,1.00209,1941.57
mu_player[151],-0.726803,0.0449193,-0.800103,-0.727564,-0.650205,1.0013,2791.24
mu_player[152],-0.820235,0.0481637,-0.895723,-0.820539,-0.739121,1.00193,1738.62
mu_player[153],-0.725888,0.030929,-0.774793,-0.725799,-0.67316,1.00572,958.198
mu_player[154],-0.735317,0.0323255,-0.787559,-0.73692,-0.680374,1.00717,1085.67
mu_player[155],-1.14651,0.0449608,-1.21708,-1.14855,-1.07019,0.999916,1572.48
mu_player[156],-1.07295,0.0665559,-1.18446,-1.07256,-0.963632,1.00161,2067.45
mu_player[157],-0.673762,0.0296118,-0.718835,-0.67503,-0.623405,1.00376,977.483
mu_player[158],-0.7683,0.0718583,-0.887511,-0.767329,-0.649042,1.00227,2307.75
mu_player[159],-1.05833,0.072475,-1.17801,-1.05878,-0.940295,1.00524,2686.93
mu_player[160],-0.778739,0.0481127,-0.860258,-0.776968,-0.699481,0.999219,2342.98
mu_player[161],-1.12247,0.0363206,-1.17911,-1.12491,-1.0617,1.00188,1185.66
mu_player[162],-1.26958,0.0708452,-1.38444,-1.2694,-1.15885,1.00074,3021.24
mu_player[163],-0.860908,0.0501329,-0.945427,-0.862404,-0.77754,1.00129,1462.75
mu_player[164],-1.23313,0.0415836,-1.30228,-1.23365,-1.1648,1.0029,1929.99
mu_player[165],-1.36843,0.0709247,-1.48465,-1.36846,-1.25208,1.00368,2178.99
mu_player[166],-0.684552,0.036434,-0.743528,-0.685815,-0.624178,1.00058,1338.05
mu_player[167],-0.641248,0.0348869,-0.699019,-0.640641,-0.585649,1.00204,2099.59
mu_player[168],-0.812832,0.0386178,-0.872208,-0.814279,-0.748258,1.00405,1362.68
mu_player[169],-0.754821,0.0349761,-0.809466,-0.755665,-0.69507,1.00465,2070.73
mu_player[170],-0.582535,0.0302914,-0.629794,-0.583776,-0.531727,1.00943,829.716
mu_player[171],-1.13392,0.0432602,-1.2025,-1.1359,-1.06077,1.00206,1625.54
mu_player[172],-0.905193,0.0415929,-0.973864,-0.906466,-0.835909,0.999758,2230.05
mu_player[173],-0.96086,0.0330915,-1.01374,-0.961111,-0.9049,1.01259,2778.83
mu_player[174],-1.15485,0.0465174,-1.22962,-1.15541,-1.07462,1.0013,1738.09
mu_player[175],-0.880787,0.033854,-0.933277,-0.88196,-0.823989,1.00199,1389.62
mu_player[176],-0.750712,0.0346321,-0.80768,-0.750862,-0.696304,1.00185,2124.62
mu_player[177],-1.02785,0.055601,-1.11638,-1.02893,-0.935193,1.00367,1922.59
mu_player[178],-1.28902,0.0492031,-1.36955,-1.28984,-1.20811,1.00225,1537.45
mu_player[179],-0.827368,0.0341758,-0.880172,-0.828018,-0.770572,1.00391,950.836
mu_player[180],-1.32902,0.105875,-1.4939,-1.33005,-1.15356,1.00015,2954.54
mu_player[181],-1.17318,0.118758,-1.36578,-1.17256,-0.978129,1.00678,2142.21
mu_player[182],-1.16997,0.0450315,-1.24373,-1.16935,-1.09511,1.00076,1580.42
mu_player[183],-0.897973,0.0294272,-0.944608,-0.899222,-0.847986,1.00318,1157.12
mu_player[184],-0.732909,0.0382632,-0.795087,-0.73351,-0.670123,1.00532,1873.3
mu_player[185],-1.13267,0.0397993,-1.19627,-1.13363,-1.06529,1.00436,1796.87
mu_player[186],-0.691598,0.028248,-0.735283,-0.693111,-0.64365,1.00493,786.031
mu_player[187],-0.969148,0.0354249,-1.0272,-0.969901,-0.911966,1.0045,1381.08
mu_player[188],-0.618761,0.0413131,-0.685952,-0.619302,-0.550072,1.00349,1217.05
mu_player[189],-1.07217,0.0478574,-1.14856,-1.07223,-0.995863,1.00157,2103.29
mu_player[190],-1.01752,0.0484078,-1.09668,-1.01553,-0.9389,1.00276,1577.26
mu_player[191],-0.66535,0.0526615,-0.748678,-0.665759,-0.579914,1.00026,2604.72
mu_player[192],-0.742674,0.0489938,-0.821342,-0.742916,-0.661318,1.00168,2120.43
mu_player[193],-0.935254,0.0485965,-1.01771,-0.933183,-0.855616,1.00197,2455.28
mu_player[194],-0.762803,0.0422369,-0.831812,-0.762328,-0.695237,1.00756,1312.17
mu_player[195],-0.617949,0.0461827,-0.694004,-0.617246,-0.542347,1.00309,2007.1
mu_player[196],-1.03497,0.0566034,-1.12827,-1.03399,-0.944117,1.00309,2426.0
mu_player[197],-1.22681,0.040162,-1.29495,-1.22793,-1.15808,1.00929,1495.64
mu_player[198],-0.872966,0.0581806,-0.96591,-0.872883,-0.774748,1.00857,2083.31
mu_player[199],-0.709613,0.0564483,-0.799934,-0.708975,-0.617253,1.00045,2260.3
mu_player[200],-0.878668,0.0603812,-0.97335,-0.880433,-0.779355,1.00209,2153.26
sigma_position,0.142016,0.136793,0.0218327,0.0992388,0.402855,1.00603,556.152
sigma_player,0.232678,0.0144427,0.210436,0.232216,0.257605,1.00379,1939.52
peak_age_pos[1],27.8972,1.3851,25.6774,27.8704,30.2237,1.01039,396.733
peak_age_pos[2],27.8895,1.46514,25.4675,27.9145,30.1841,1.0063,509.568
peak_age_pos[3],28.1247,1.57879,25.5331,28.0839,30.8592,1.00465,719.428
gamma_pos[1],0.00349978,0.000584598,0.00251791,0.00351836,0.00447568,1.00587,1394.68
gamma_pos[2],0.00283735,0.000707371,0.00168994,0.00282001,0.00400981,0.999809,1723.98
gamma_pos[3],0.00265337,0.00109028,0.000932852,0.00262102,0.00443298,0.999824,1293.06
beta_age_pos[1],-0.0144207,0.0108678,-0.0326053,-0.0146429,0.00340927,1.00967,397.024
beta_age_pos[2],-0.0107317,0.00967982,-0.0256799,-0.011155,0.00558012,1.00377,549.185
beta_age_pos[3],-0.00443735,0.0120443,-0.0227545,-0.00471865,0.0164142,1.00593,817.713
sigma_age_player,0.0298686,0.00278048,0.0254879,0.029707,0.0345861,1.00565,648.232
age_tilt_player_z[1],1.10916,0.473202,0.312782,1.11318,1.88239,0.998775,2301.18
age_tilt_player_z[2],0.922282,0.641142,-0.135123,0.917314,1.98586,0.99928,3419.46
age_tilt_player_z[3],-0.448754,0.733172,-1.59082,-0.463315,0.789501,1.00304,2903.04
age_tilt_player_z[4],-0.507224,0.64487,-1.54423,-0.515416,0.57621,1.00048,2163.81
