param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.32235,0.172322,-2.58957,-2.31637,-2.0711,1.00362,1180.78
mu_position[1],-2.42754,0.0658098,-2.53534,-2.4257,-2.32055,1.00231,911.76
mu_position[2],-2.31564,0.0690681,-2.42597,-2.31719,-2.20329,1.00062,1424.6
mu_position[3],-2.16326,0.107933,-2.33812,-2.16458,-1.99253,1.0028,939.958
mu_player[1],-1.7428,0.335258,-2.29452,-1.74038,-1.22012,0.999393,1521.82
mu_player[2],-2.0566,0.373373,-2.69677,-2.04009,-1.46792,1.00015,1627.28
mu_player[3],-1.73287,0.342153,-2.29033,-1.73043,-1.15789,1.00509,960.266
mu_player[4],-2.48741,0.389342,-3.12767,-2.48521,-1.84971,1.00003,2205.32
mu_player[5],-2.41245,0.376922,-3.01355,-2.40903,-1.80111,1.00226,1591.11
mu_player[6],-1.85035,0.346068,-2.38842,-1.85505,-1.26113,1.00146,1807.62
mu_player[7],-1.86689,0.319129,-2.40333,-1.86002,-1.35287,1.00201,1524.09
mu_player[8],-2.05122,0.365149,-2.64921,-2.05445,-1.45819,1.0037,1552.92
mu_player[9],-2.20396,0.324501,-2.75743,-2.19477,-1.6726,0.999617,1832.34
mu_player[10],-2.0537,0.357381,-2.62547,-2.05508,-1.45281,1.00193,1683.85
mu_player[11],-1.89945,0.319279,-2.41377,-1.89305,-1.37694,0.999906,1470.72
mu_player[12],-2.74053,0.370539,-3.36149,-2.74186,-2.11688,1.0051,917.804
mu_player[13],-2.06872,0.35832,-2.66731,-2.05628,-1.49167,1.00081,1612.37
mu_player[14],-1.60646,0.28565,-2.0675,-1.60722,-1.14113,0.999417,1579.1
mu_player[15],-2.71956,0.346893,-3.29771,-2.70944,-2.14531,1.00142,1403.4
mu_player[16],-2.08526,0.289833,-2.54784,-2.09201,-1.60399,1.00302,1515.56
mu_player[17],-2.00962,0.323367,-2.53913,-2.00548,-1.47931,1.00041,1621.99
mu_player[18],-2.60694,0.292088,-3.08518,-2.61195,-2.12967,1.00152,1381.77
mu_player[19],-1.77796,0.250452,-2.19112,-1.77669,-1.35257,1.00153,1384.75
mu_player[20],-2.11947,0.287388,-2.57504,-2.11752,-1.65761,1.00004,1331.19
mu_player[21],-1.92507,0.27995,-2.3921,-1.92139,-1.47785,1.00204,1539.64
mu_player[22],-2.17586,0.26618,-2.61406,-2.1765,-1.74872,1.00201,1603.78
mu_player[23],-2.21004,0.312794,-2.72384,-2.21254,-1.67794,1.00403,1664.02
mu_player[24],-2.1122,0.287407,-2.54707,-2.11915,-1.62677,1.00059,1428.03
mu_player[25],-2.26439,0.303961,-2.76775,-2.26341,-1.775,1.00083,1407.05
mu_player[26],-2.02561,0.310588,-2.52923,-2.01429,-1.54031,1.00305,1501.68
mu_player[27],-2.41435,0.288318,-2.87144,-2.41492,-1.9316,1.00095,1740.66
mu_player[28],-2.91019,0.308479,-3.40189,-2.91459,-2.39244,1.00253,1074.98
mu_player[29],-2.21184,0.343273,-2.77938,-2.20683,-1.65267,1.0015,1596.73
mu_player[30],-2.18514,0.289514,-2.65144,-2.19443,-1.71603,1.00264,1286.65
mu_player[31],-2.03391,0.331122,-2.60044,-2.03429,-1.51879,1.00183,1064.98
mu_player[32],-1.60495,0.244978,-2.00894,-1.59699,-1.22811,1.00056,1191.11
mu_player[33],-2.31733,0.241414,-2.7039,-2.32107,-1.92235,1.0008,2367.5
mu_player[34],-1.90262,0.286507,-2.37036,-1.90531,-1.43298,1.0036,1162.79
mu_player[35],-1.65358,0.235273,-2.03191,-1.65426,-1.26924,0.99947,760.104
mu_player[36],-2.34852,0.333566,-2.89043,-2.36128,-1.80179,1.00171,1537.12
mu_player[37],-2.31618,0.239768,-2.72392,-2.32449,-1.91479,1.00284,1350.24
mu_player[38],-2.30354,0.345678,-2.87702,-2.30525,-1.73295,1.00361,1522.71
mu_player[39],-2.43304,0.298109,-2.92389,-2.42548,-1.94441,1.00169,1495.96
mu_player[40],-3.00672,0.341811,-3.57925,-3.00642,-2.44322,1.00338,1898.55
mu_player[41],-2.65029,0.294918,-3.11996,-2.64554,-2.16411,1.00177,1351.76
mu_player[42],-2.52937,0.325561,-3.06493,-2.53032,-2.01546,1.00279,1797.94
mu_player[43],-2.53965,0.324074,-3.08943,-2.54627,-2.01627,1.00072,1994.32
mu_player[44],-2.66767,0.2789,-3.12633,-2.66629,-2.19432,1.00233,2250.38
mu_player[45],-2.20742,0.23999,-2.6009,-2.20765,-1.80434,1.00259,1628.92
mu_player[46],-1.84822,0.236346,-2.23886,-1.8472,-1.47018,1.00556,1490.62
mu_player[47],-2.12774,0.257805,-2.56281,-2.12573,-1.7046,0.999924,1936.34
mu_player[48],-1.87405,0.273173,-2.31606,-1.86854,-1.44379,1.00534,1275.89
mu_player[49],-3.01308,0.320169,-3.53605,-3.01744,-2.49134,1.00175,1148.19
mu_player[50],-2.03039,0.193138,-2.34372,-2.03003,-1.70387,0.999829,1321.91
mu_player[51],-2.33674,0.237522,-2.72754,-2.33454,-1.94488,1.0003,2396.0
mu_player[52],-2.17593,0.232766,-2.5575,-2.17896,-1.79994,1.00033,1452.75
mu_player[53],-2.10225,0.176935,-2.39156,-2.10502,-1.80465,0.999292,1486.7
mu_player[54],-2.29569,0.196917,-2.61077,-2.29701,-1.96841,1.00136,1382.26
mu_player[55],-2.17109,0.263475,-2.60048,-2.17193,-1.73477,1.00079,2247.12
mu_player[56],-2.44168,0.273374,-2.89452,-2.45596,-1.97775,1.00087,1517.94
mu_player[57],-1.95352,0.196571,-2.27072,-1.96077,-1.62388,1.00191,1414.62
mu_player[58],-2.67248,0.304359,-3.1715,-2.67779,-2.18398,1.00054,1838.99
mu_player[59],-2.3059,0.252156,-2.72095,-2.3136,-1.88605,1.00735,1583.41
mu_player[60],-1.71741,0.206495,-2.06009,-1.71164,-1.38443,1.00746,1803.21
mu_player[61],-2.67331,0.231556,-3.0566,-2.67503,-2.28575,1.00001,1577.21
mu_player[62],-2.3441,0.179828,-2.63592,-2.34613,-2.0436,1.0028,1535.33
mu_player[63],-2.45659,0.237784,-2.84184,-2.45988,-2.06134,1.00121,1464.61
mu_player[64],-2.71161,0.22046,-3.07299,-2.70998,-2.35145,1.0006,1651.13
mu_player[65],-1.43376,0.233432,-1.82069,-1.4314,-1.06313,0.998809,1285.29
mu_player[66],-1.90861,0.258773,-2.33017,-1.90792,-1.5,1.00447,2050.82
mu_player[67],-2.75487,0.209241,-3.09669,-2.76511,-2.4048,1.00041,1845.35
mu_player[68],-1.58334,0.145689,-1.82737,-1.57952,-1.33672,1.00248,1606.28
mu_player[69],-2.06391,0.141123,-2.29862,-2.06861,-1.83304,1.0033,1414.73
mu_player[70],-1.56937,0.226945,-1.95242,-1.56037,-1.21656,1.0008,917.521
mu_player[71],-2.47636,0.231006,-2.85791,-2.47257,-2.10025,1.00157,1461.46
mu_player[72],-1.86219,0.143083,-2.08414,-1.86091,-1.6315,1.00169,1739.77
mu_player[73],-2.00925,0.160318,-2.26428,-2.00377,-1.7529,1.00113,1890.28
mu_player[74],-2.91459,0.227177,-3.28671,-2.91433,-2.55194,1.00168,2362.16
mu_player[75],-2.23303,0.238592,-2.61218,-2.23768,-1.84841,0.999714,2499.14
mu_player[76],-2.62076,0.178927,-2.9088,-2.62115,-2.32467,1.00452,1885.45
mu_player[77],-2.75196,0.250197,-3.1656,-2.74719,-2.32817,1.00337,1795.69
mu_player[78],-2.62817,0.250921,-3.04332,-2.6331,-2.20841,1.00159,1451.84
mu_player[79],-2.02523,0.189135,-2.33736,-2.0277,-1.70947,1.00308,1559.21
mu_player[80],-2.58871,0.23637,-2.98766,-2.5815,-2.21869,1.00316,1682.75
mu_player[81],-2.5279,0.300134,-3.02157,-2.53067,-2.0296,0.999671,2529.23
mu_player[82],-3.00495,0.28905,-3.47681,-3.01448,-2.52627,1.00186,1174.05
mu_player[83],-2.44649,0.263691,-2.87992,-2.44902,-2.02064,1.00658,1765.1
mu_player[84],-2.42759,0.192746,-2.73078,-2.42846,-2.09675,1.00149,1807.3
mu_player[85],-2.64875,0.242704,-3.04492,-2.64764,-2.24324,1.001,3229.01
mu_player[86],-2.40245,0.211041,-2.75875,-2.40591,-2.07226,1.0016,953.984
mu_player[87],-1.97834,0.196427,-2.3003,-1.97918,-1.65204,1.00069,2469.24
mu_player[88],-2.16531,0.134066,-2.38442,-2.1664,-1.94099,1.00519,1799.58
mu_player[89],-2.11433,0.289442,-2.60485,-2.12261,-1.66039,1.00225,1994.24
mu_player[90],-2.35031,0.297263,-2.82841,-2.35379,-1.86702,0.999611,1718.68
mu_player[91],-2.19371,0.220575,-2.55684,-2.19298,-1.83146,1.00375,1416.81
mu_player[92],-2.71345,0.165978,-2.98423,-2.72069,-2.43633,1.00133,1714.04
mu_player[93],-1.96387,0.24167,-2.35372,-1.96575,-1.56932,1.00167,1392.1
mu_player[94],-2.77223,0.250195,-3.1832,-2.78037,-2.36156,1.00045,1754.4
mu_player[95],-2.88131,0.251239,-3.28727,-2.88433,-2.47466,1.00423,2416.59
mu_player[96],-3.31957,0.260813,-3.74503,-3.31817,-2.90344,0.999017,1472.98
mu_player[97],-2.83135,0.234797,-3.21442,-2.82609,-2.44382,1.00099,1740.97
mu_player[98],-1.60257,0.161572,-1.87026,-1.60034,-1.34495,1.00111,1545.12
mu_player[99],-2.08965,0.156255,-2.35134,-2.09095,-1.8185,1.0047,1535.42
mu_player[100],-2.35641,0.182329,-2.64941,-2.35458,-2.06189,1.00196,1626.66
mu_player[101],-3.42785,0.339953,-4.01186,-3.41594,-2.88371,1.00269,2552.7
mu_player[102],-1.1435,0.0949423,-1.29644,-1.14371,-0.983663,1.002,1399.67
mu_player[103],-2.68306,0.245609,-3.07603,-2.68902,-2.27393,1.0036,1225.14
mu_player[104],-2.07811,0.0980141,-2.23884,-2.07803,-1.9218,1.00054,1663.82
mu_player[105],-2.98836,0.216478,-3.34581,-2.98923,-2.64235,1.00004,2712.85
mu_player[106],-2.20997,0.181314,-2.51791,-2.20505,-1.91122,1.00479,1094.25
mu_player[107],-3.09115,0.163615,-3.36017,-3.08801,-2.8265,1.00197,2859.07
mu_player[108],-1.94009,0.145145,-2.18156,-1.94386,-1.70397,1.00297,1649.15
mu_player[109],-1.92859,0.125727,-2.13576,-1.92916,-1.72016,1.00248,1664.58
mu_player[110],-3.2007,0.252444,-3.62449,-3.19426,-2.7932,1.00225,1836.58
mu_player[111],-2.8973,0.214316,-3.25273,-2.90376,-2.52392,1.00417,1301.21
mu_player[112],-2.07031,0.093049,-2.21942,-2.06966,-1.91767,1.00256,2696.99
mu_player[113],-2.4449,0.141325,-2.67881,-2.44046,-2.21898,0.999398,1695.12
mu_player[114],-2.45125,0.149396,-2.69462,-2.4512,-2.20863,1.00258,1549.55
mu_player[115],-1.99181,0.214544,-2.35312,-1.99401,-1.63974,1.00114,1544.31
mu_player[116],-1.81978,0.100999,-1.9796,-1.82146,-1.65265,1.00077,1771.61
mu_player[117],-2.20549,0.107868,-2.37809,-2.20946,-2.02106,1.00078,1602.1
mu_player[118],-1.18247,0.121253,-1.39428,-1.1793,-0.982993,0.999926,1406.13
mu_player[119],-2.32332,0.156605,-2.58907,-2.31791,-2.06242,1.0052,2207.95
mu_player[120],-2.32421,0.129597,-2.54441,-2.32465,-2.11671,1.00384,1731.5
mu_player[121],-2.67069,0.182526,-2.97789,-2.6663,-2.37088,1.00405,1360.92
mu_player[122],-1.9968,0.127952,-2.20869,-1.99928,-1.78379,1.00202,1758.71
mu_player[123],-1.81029,0.0987909,-1.96919,-1.81003,-1.65244,1.00048,1960.11
mu_player[124],-1.75918,0.0962703,-1.92086,-1.7568,-1.59731,1.00198,2242.18
mu_player[125],-2.69156,0.32039,-3.22186,-2.68811,-2.18279,1.00055,1620.42
mu_player[126],-2.90427,0.208755,-3.24691,-2.90892,-2.55033,1.00255,1413.98
mu_player[127],-3.33158,0.118375,-3.52856,-3.32907,-3.14049,0.998882,2491.61
mu_player[128],-1.77465,0.14382,-2.00651,-1.77714,-1.52904,1.00403,3134.64
mu_player[129],-2.7356,0.198348,-3.05928,-2.73039,-2.41709,1.00054,1813.07
mu_player[130],-2.30948,0.0994911,-2.46934,-2.31127,-2.14358,1.00702,2170.92
mu_player[131],-1.76907,0.0890456,-1.91423,-1.76934,-1.62362,1.00058,2139.88
mu_player[132],-2.38392,0.161777,-2.6557,-2.37852,-2.12257,0.999732,2073.25
mu_player[133],-2.1628,0.0979169,-2.32299,-2.16329,-1.99526,1.00039,1961.63
mu_player[134],-1.8025,0.0808369,-1.93224,-1.80492,-1.67214,1.00096,1626.41
mu_player[135],-2.7305,0.150234,-2.97894,-2.73067,-2.48626,1.00129,1930.43
mu_player[136],-2.10571,0.0865561,-2.24626,-2.10572,-1.9644,1.00265,2630.09
mu_player[137],-2.52178,0.112298,-2.69929,-2.52328,-2.33839,1.00403,2332.06
mu_player[138],-2.66028,0.121748,-2.85441,-2.66217,-2.45105,1.00116,2104.72
mu_player[139],-2.50239,0.109286,-2.68196,-2.50157,-2.33073,1.0011,2967.62
mu_player[140],-2.41936,0.126775,-2.62956,-2.42033,-2.20973,1.00184,1718.48
