param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.69156,0.060811,-0.777936,-0.690472,-0.611627,1.00087,1095.24
mu_position[1],-0.679535,0.0299595,-0.725609,-0.681562,-0.627708,1.00156,581.154
mu_position[2],-0.69199,0.0302234,-0.741892,-0.691856,-0.642221,1.00067,901.916
mu_position[3],-0.695624,0.0385874,-0.761671,-0.694882,-0.634097,1.00119,1551.36
mu_player[1],-0.439623,0.179283,-0.733613,-0.438867,-0.140553,0.999984,1782.82
mu_player[2],-0.549406,0.202314,-0.886552,-0.545956,-0.220608,1.00033,2149.43
mu_player[3],-0.701297,0.187517,-1.00645,-0.704775,-0.392824,1.00528,2189.81
mu_player[4],-0.77947,0.214427,-1.1392,-0.782696,-0.43891,0.999974,1838.32
mu_player[5],-0.754928,0.191174,-1.06271,-0.757087,-0.434767,1.00437,1245.16
mu_player[6],-0.503492,0.180467,-0.813657,-0.496622,-0.205415,1.00054,1480.18
mu_player[7],-0.392121,0.179443,-0.686423,-0.388925,-0.0953988,0.999264,1870.12
mu_player[8],-0.527621,0.190145,-0.828101,-0.539266,-0.223925,1.00353,1719.97
mu_player[9],-0.560145,0.1851,-0.854426,-0.555581,-0.258518,1.00005,1523.55
mu_player[10],-0.466331,0.200709,-0.800306,-0.458044,-0.140564,1.00558,1854.2
mu_player[11],-0.484511,0.172867,-0.74853,-0.489696,-0.194922,1.00118,1765.21
mu_player[12],-0.88273,0.179694,-1.17136,-0.88629,-0.587223,1.0019,1785.49
mu_player[13],-0.580293,0.198831,-0.916073,-0.584779,-0.253031,1.0083,2124.93
mu_player[14],-0.293532,0.146782,-0.531689,-0.294787,-0.0456669,1.00002,1849.82
mu_player[15],-0.697238,0.174801,-0.99313,-0.694817,-0.415553,0.998136,2009.35
mu_player[16],-0.507008,0.147149,-0.734871,-0.508981,-0.270703,1.00177,1750.27
mu_player[17],-0.709835,0.171325,-0.988498,-0.707445,-0.427011,1.00371,2148.65
mu_player[18],-0.694173,0.145918,-0.934046,-0.696336,-0.450379,1.00542,1993.78
