param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.63451,0.283425,-2.11419,-1.61909,-1.19882,1.00002,1605.43
mu_position[1],-2.03582,0.0302872,-2.08563,-2.03608,-1.98512,0.99974,1987.47
mu_position[2],-1.55808,0.0336782,-1.61381,-1.55839,-1.50543,0.999824,1943.25
mu_position[3],-1.10757,0.0496496,-1.18808,-1.1073,-1.0271,1.00584,2280.39
mu_player[1],-1.3694,0.1511,-1.61467,-1.36794,-1.12264,1.00742,2020.56
mu_player[2],-1.59337,0.170504,-1.87093,-1.59764,-1.31739,1.0028,2324.37
mu_player[3],-0.888741,0.160801,-1.1698,-0.880552,-0.629932,1.00236,2572.6
mu_player[4],-1.78306,0.183198,-2.09648,-1.7767,-1.48551,0.999405,1953.39
mu_player[5],-1.61048,0.15956,-1.87096,-1.6094,-1.35509,0.999645,3234.35
mu_player[6],-1.87371,0.157579,-2.13484,-1.86714,-1.61798,1.00135,1688.0
mu_player[7],-2.08537,0.14712,-2.33118,-2.08339,-1.85493,1.00215,2475.45
mu_player[8],-1.24228,0.148279,-1.48793,-1.24216,-0.998395,1.00363,2075.33
mu_player[9],-1.36927,0.148613,-1.61814,-1.37122,-1.13765,1.003,3223.63
mu_player[10],-2.15652,0.186264,-2.47485,-2.14811,-1.85319,1.00193,2065.76
mu_player[11],-1.85864,0.139984,-2.08615,-1.85939,-1.6252,0.998948,2433.99
mu_player[12],-1.5679,0.149989,-1.82055,-1.56749,-1.31724,1.0021,2522.21
mu_player[13],-1.35155,0.156993,-1.62143,-1.34688,-1.10898,1.00504,1769.29
mu_player[14],-1.54831,0.118253,-1.74137,-1.54881,-1.3595,0.999918,2510.26
mu_player[15],-1.28614,0.142168,-1.5138,-1.28824,-1.04479,0.999751,2913.48
mu_player[16],-2.09728,0.13905,-2.32719,-2.09445,-1.86261,0.999396,3903.44
mu_player[17],-1.75727,0.14121,-1.98875,-1.7573,-1.51873,1.00029,2382.14
mu_player[18],-1.42681,0.115985,-1.62283,-1.42864,-1.23784,1.00047,1936.4
mu_player[19],-1.366,0.110093,-1.54579,-1.36865,-1.1908,1.00192,2467.29
mu_player[20],-1.16329,0.125939,-1.37375,-1.15979,-0.96431,1.00329,1363.81
mu_player[21],-1.58985,0.125451,-1.80164,-1.58853,-1.38527,1.00208,2329.6
mu_player[22],-2.42794,0.13384,-2.64125,-2.43269,-2.20737,1.00068,1941.45
mu_player[23],-2.24426,0.14611,-2.48336,-2.24372,-2.00531,1.00174,2410.67
mu_player[24],-1.49461,0.127427,-1.70734,-1.49578,-1.28065,1.00057,2240.23
mu_player[25],-1.48114,0.138521,-1.70157,-1.48257,-1.25036,1.00036,2131.02
mu_player[26],-0.990189,0.128134,-1.2027,-0.989708,-0.78517,1.00087,2502.26
mu_player[27],-1.23637,0.104587,-1.40656,-1.23689,-1.06117,1.0004,1973.37
mu_player[28],-1.72813,0.123486,-1.93152,-1.73307,-1.52063,0.999523,2736.62
mu_player[29],-2.00641,0.15911,-2.27463,-2.0076,-1.74786,1.01026,2461.55
mu_player[30],-0.894744,0.114667,-1.08635,-0.896474,-0.710282,1.00235,2675.74
mu_player[31],-2.0212,0.155954,-2.27555,-2.02426,-1.76061,1.00232,2551.41
mu_player[32],-1.63136,0.101858,-1.79997,-1.63064,-1.4621,1.00042,2710.78
mu_player[33],-1.95225,0.105849,-2.12901,-1.95377,-1.77734,0.999654,3212.18
mu_player[34],-1.7711,0.130151,-1.98441,-1.76937,-1.55916,1.01167,2437.49
mu_player[35],-1.87525,0.109762,-2.05546,-1.87695,-1.695,1.00363,2644.5
mu_player[36],-1.59916,0.137189,-1.82771,-1.59957,-1.37463,1.00311,2423.16
mu_player[37],-1.88525,0.103314,-2.06614,-1.88185,-1.72108,1.00021,1827.99
mu_player[38],-1.29599,0.150062,-1.54641,-1.2958,-1.04984,1.00403,2105.71
mu_player[39],-1.78065,0.122164,-1.98228,-1.77818,-1.58804,1.00205,2483.22
mu_player[40],-1.94603,0.143767,-2.18947,-1.9417,-1.71267,1.0037,2883.17
mu_player[41],-2.35772,0.13474,-2.57436,-2.36367,-2.13731,0.999196,2682.15
mu_player[42],-2.00837,0.146852,-2.25553,-2.00389,-1.77107,1.00229,1701.31
mu_player[43],-2.12178,0.150011,-2.37991,-2.1177,-1.8805,1.00287,2040.16
mu_player[44],-1.10186,0.082486,-1.24134,-1.10019,-0.966034,1.00663,2512.46
mu_player[45],-1.71662,0.10285,-1.8904,-1.71637,-1.54678,1.00486,2315.69
mu_player[46],-1.56621,0.0989852,-1.72852,-1.56656,-1.39792,0.999916,2632.89
mu_player[47],-1.6955,0.152714,-1.95657,-1.69291,-1.45044,1.00304,3533.2
mu_player[48],-1.92491,0.113769,-2.10121,-1.92658,-1.73407,1.00227,3209.08
mu_player[49],-0.818295,0.0990868,-0.97918,-0.81733,-0.653803,0.998785,2291.77
mu_player[50],-1.96556,0.133846,-2.1894,-1.96647,-1.74542,0.999258,3064.81
mu_player[51],-1.9391,0.0812046,-2.07502,-1.93849,-1.80467,1.00022,2684.3
mu_player[52],-0.85874,0.0758571,-0.982981,-0.856477,-0.737304,1.00132,4188.6
mu_player[53],-1.06808,0.0837632,-1.20388,-1.06911,-0.925187,1.00102,2351.58
mu_player[54],-0.898854,0.0637675,-1.00985,-0.897697,-0.79133,1.00038,2933.88
mu_player[55],-1.2265,0.0766234,-1.35601,-1.22626,-1.09741,1.00036,2068.74
mu_player[56],-2.04548,0.111868,-2.23395,-2.04522,-1.86036,0.999985,2734.8
mu_player[57],-2.01822,0.115914,-2.21665,-2.01433,-1.83393,1.01026,2555.39
mu_player[58],-1.79828,0.0877724,-1.93822,-1.79961,-1.65516,1.00409,2405.19
mu_player[59],-1.55032,0.119583,-1.75141,-1.54988,-1.35377,1.00566,2225.68
mu_player[60],-1.69592,0.107232,-1.86359,-1.69938,-1.51765,1.00043,2281.28
mu_player[61],-1.56804,0.0877373,-1.70976,-1.56981,-1.41575,1.00348,2531.64
mu_player[62],-1.02141,0.0842638,-1.15523,-1.02413,-0.878253,1.0053,2442.53
mu_player[63],-1.57002,0.0666002,-1.67644,-1.56896,-1.46018,1.00156,2466.7
mu_player[64],-2.14539,0.110252,-2.32815,-2.14721,-1.95982,1.00543,2400.72
mu_player[65],-2.16381,0.0978923,-2.32098,-2.16423,-2.0035,0.999264,3300.8
mu_player[66],-1.59475,0.102303,-1.76524,-1.59932,-1.43005,1.00334,2258.86
mu_player[67],-1.89314,0.11742,-2.0818,-1.89336,-1.70314,1.00247,1906.02
mu_player[68],-1.99924,0.0930922,-2.14978,-1.99974,-1.84403,1.00091,2441.68
