param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.41619,0.225832,-2.76523,-2.41613,-2.05673,1.00153,1439.89
mu_position[1],-2.10562,0.0522861,-2.18824,-2.10793,-2.01772,1.00711,1340.28
mu_position[2],-2.52485,0.060014,-2.62008,-2.52517,-2.42441,1.00085,1018.54
mu_position[3],-2.6724,0.0871967,-2.8166,-2.67283,-2.53225,1.00275,1557.68
mu_player[1],-1.96384,0.235377,-2.36071,-1.95867,-1.5659,1.00161,1740.04
mu_player[2],-2.81447,0.325812,-3.34471,-2.81376,-2.30432,1.001,1488.77
mu_player[3],-2.96352,0.305515,-3.46723,-2.96551,-2.45765,1.0015,1636.59
mu_player[4],-2.06059,0.310387,-2.58132,-2.06093,-1.53833,1.00938,2168.97
mu_player[5],-2.57514,0.294476,-3.04767,-2.57367,-2.07032,1.00244,1651.63
mu_player[6],-1.64928,0.225821,-2.01564,-1.65135,-1.28783,1.00078,1714.24
mu_player[7],-1.77131,0.247364,-2.18548,-1.77773,-1.35123,1.00386,1702.73
mu_player[8],-2.68575,0.292418,-3.15144,-2.68809,-2.19618,1.00252,1805.47
mu_player[9],-2.62354,0.273736,-3.08068,-2.61055,-2.18594,1.00111,1573.84
mu_player[10],-2.32386,0.296563,-2.80682,-2.32869,-1.83521,1.0028,1527.44
mu_player[11],-1.37274,0.222058,-1.74301,-1.37147,-1.00537,1.00794,1439.07
mu_player[12],-2.79461,0.292448,-3.28054,-2.79424,-2.3057,1.00016,1381.69
mu_player[13],-2.61269,0.290363,-3.10481,-2.60834,-2.13629,1.00431,1907.1
mu_player[14],-1.8824,0.195275,-2.2033,-1.88372,-1.54371,1.00019,1558.63
mu_player[15],-2.10803,0.240672,-2.49978,-2.1064,-1.71307,1.00234,1610.47
mu_player[16],-1.85872,0.199446,-2.18592,-1.85241,-1.53769,1.00076,1658.47
mu_player[17],-2.78648,0.266222,-3.22284,-2.79149,-2.35444,1.00025,1845.32
mu_player[18],-2.38503,0.212167,-2.74161,-2.38382,-2.0442,1.00209,1731.87
mu_player[19],-1.37526,0.157513,-1.6284,-1.37623,-1.11922,1.00086,1688.69
mu_player[20],-2.57005,0.23755,-2.95886,-2.57614,-2.16948,1.00709,1568.49
mu_player[21],-2.726,0.219555,-3.07903,-2.72392,-2.35899,1.00408,1753.48
mu_player[22],-2.44139,0.209045,-2.77887,-2.43586,-2.09963,1.00147,1590.61
mu_player[23],-1.81414,0.231452,-2.19839,-1.81723,-1.43216,1.00325,1374.65
mu_player[24],-3.08901,0.244712,-3.49798,-3.08284,-2.6845,1.00147,1450.16
mu_player[25],-2.8735,0.260683,-3.30619,-2.86725,-2.43702,1.00234,1834.73
mu_player[26],-3.09624,0.261439,-3.52221,-3.1023,-2.65734,1.00145,1779.77
mu_player[27],-2.85168,0.212215,-3.1953,-2.85286,-2.51092,1.00013,1987.17
mu_player[28],-2.3714,0.209906,-2.71992,-2.3694,-2.02037,1.00222,1512.02
mu_player[29],-2.14815,0.280715,-2.60503,-2.15572,-1.68746,1.00207,1896.87
mu_player[30],-2.67526,0.235598,-3.06951,-2.67165,-2.28088,0.999989,1794.92
mu_player[31],-1.91152,0.261047,-2.33795,-1.90826,-1.50469,1.00107,1572.74
mu_player[32],-1.58375,0.137939,-1.81162,-1.57833,-1.35585,1.0011,1697.87
mu_player[33],-1.46331,0.133539,-1.68092,-1.46299,-1.24293,1.00618,2170.64
mu_player[34],-1.90309,0.193347,-2.21562,-1.89935,-1.58637,1.00023,1486.09
mu_player[35],-1.78026,0.158658,-2.04182,-1.78337,-1.51895,0.999274,1653.27
mu_player[36],-2.4102,0.270288,-2.85426,-2.40435,-1.97567,1.00043,1610.7
mu_player[37],-1.53886,0.134999,-1.75776,-1.53853,-1.31632,1.00121,1603.63
mu_player[38],-2.9046,0.300545,-3.38782,-2.90492,-2.43504,1.00155,1562.59
mu_player[39],-2.00781,0.196628,-2.33172,-2.01546,-1.67785,1.00062,1430.32
mu_player[40],-2.62564,0.254928,-3.03774,-2.63499,-2.20015,1.00286,1601.05
mu_player[41],-2.2842,0.211236,-2.63057,-2.28439,-1.94028,1.00439,1710.68
mu_player[42],-2.50424,0.275437,-2.9618,-2.49988,-2.05663,1.00048,1689.68
mu_player[43],-2.57869,0.267026,-3.02704,-2.5743,-2.14181,1.0012,1232.49
mu_player[44],-2.98719,0.197301,-3.32143,-2.98297,-2.66445,0.999477,2487.53
mu_player[45],-2.2448,0.168808,-2.52135,-2.2443,-1.96912,1.0001,1584.77
mu_player[46],-2.01443,0.156227,-2.27421,-2.01724,-1.74625,1.00061,1662.29
mu_player[47],-2.8721,0.27259,-3.34413,-2.8674,-2.43958,1.00042,2195.0
mu_player[48],-1.84231,0.163228,-2.11544,-1.83784,-1.59087,1.00293,1928.35
mu_player[49],-3.24926,0.246655,-3.65266,-3.25343,-2.84701,1.00209,2216.91
mu_player[50],-1.84505,0.192296,-2.16248,-1.84125,-1.52795,1.00165,1519.44
mu_player[51],-1.76106,0.115748,-1.95484,-1.76021,-1.57405,1.00098,1709.83
mu_player[52],-2.96511,0.175128,-3.25745,-2.9606,-2.6736,1.00038,2891.53
mu_player[53],-2.80514,0.188089,-3.12065,-2.80503,-2.50046,1.00252,1641.58
mu_player[54],-2.64456,0.135094,-2.8717,-2.64384,-2.42126,1.0026,1228.79
mu_player[55],-2.83256,0.158947,-3.08543,-2.83512,-2.56713,1.00148,2129.63
mu_player[56],-1.92022,0.153218,-2.17993,-1.92056,-1.67391,0.999914,1885.1
mu_player[57],-2.46392,0.198392,-2.79491,-2.46622,-2.13025,1.00099,1313.44
mu_player[58],-2.27758,0.147696,-2.52108,-2.27541,-2.02364,1.00727,1042.03
mu_player[59],-2.73596,0.220141,-3.10013,-2.73367,-2.36863,1.00195,2128.01
mu_player[60],-2.90368,0.212604,-3.2462,-2.90346,-2.55682,1.00219,1407.84
mu_player[61],-2.06957,0.140382,-2.3086,-2.06679,-1.83719,1.00935,1583.06
mu_player[62],-2.29393,0.150689,-2.54985,-2.29354,-2.04803,1.00625,1645.57
mu_player[63],-2.41922,0.112077,-2.59475,-2.41789,-2.22845,1.00102,1582.56
mu_player[64],-2.0071,0.154788,-2.25928,-2.00626,-1.75723,1.00182,1682.05
mu_player[65],-1.95008,0.12975,-2.16849,-1.94672,-1.74857,1.0012,1874.98
mu_player[66],-1.89257,0.161082,-2.16317,-1.89421,-1.62091,1.00195,1642.16
mu_player[67],-2.80286,0.195337,-3.11954,-2.79998,-2.47393,1.00231,1894.32
mu_player[68],-3.03514,0.155403,-3.29634,-3.03265,-2.79096,1.0051,1636.38
mu_player[69],-2.38,0.107139,-2.55356,-2.38054,-2.20122,1.00362,1787.85
mu_player[70],-1.94508,0.0806806,-2.07662,-1.94767,-1.81374,0.999359,1777.84
mu_player[71],-1.70872,0.132978,-1.91942,-1.70988,-1.50092,1.00349,1445.93
mu_player[72],-2.68966,0.165007,-2.95742,-2.69097,-2.43307,1.00258,1677.26
mu_player[73],-2.86673,0.119265,-3.06525,-2.86572,-2.67077,1.00223,1848.23
mu_player[74],-2.7524,0.127843,-2.96122,-2.75362,-2.54351,0.999998,1392.18
mu_player[75],-2.55249,0.134429,-2.78099,-2.55375,-2.33625,0.999236,2247.08
mu_player[76],-2.52589,0.156592,-2.78788,-2.52777,-2.27858,1.00524,3314.52
mu_player[77],-3.03922,0.179636,-3.34783,-3.03621,-2.74664,1.00236,3545.53
mu_player[78],-2.38643,0.110701,-2.56495,-2.38652,-2.20032,1.00171,1800.65
mu_player[79],-2.67827,0.17602,-2.97655,-2.67495,-2.39998,1.0039,1651.49
mu_player[80],-1.54947,0.146215,-1.78973,-1.55158,-1.31091,1.00451,1355.83
mu_player[81],-1.9844,0.116714,-2.17813,-1.98379,-1.78725,1.00321,1586.54
mu_player[82],-2.19002,0.150511,-2.42989,-2.19088,-1.949,1.00177,1432.97
mu_player[83],-2.5379,0.20932,-2.87279,-2.53798,-2.19215,1.00147,1526.57
mu_player[84],-2.93471,0.200244,-3.26376,-2.93522,-2.60188,1.00022,1843.53
mu_player[85],-2.99038,0.207156,-3.33202,-2.99412,-2.64991,1.00043,2192.51
mu_player[86],-3.15239,0.188303,-3.47075,-3.15003,-2.85208,1.00323,3068.11
mu_player[87],-2.67571,0.139018,-2.90968,-2.67444,-2.45269,1.00569,2759.72
mu_player[88],-2.98723,0.179616,-3.2907,-2.98496,-2.69948,1.00225,2642.61
mu_player[89],-2.07701,0.11583,-2.27087,-2.08014,-1.89017,1.00273,1495.89
mu_player[90],-2.54325,0.145374,-2.78828,-2.54168,-2.30777,1.00252,2244.69
mu_player[91],-1.83489,0.0748276,-1.95907,-1.8354,-1.71565,0.998727,1472.63
mu_player[92],-2.97006,0.240918,-3.36309,-2.97413,-2.55432,1.00013,1818.76
mu_player[93],-2.53273,0.213612,-2.89066,-2.5288,-2.19774,1.00368,1772.46
mu_player[94],-2.45619,0.145243,-2.71594,-2.45143,-2.2253,1.00079,1174.16
mu_player[95],-2.65872,0.108393,-2.84185,-2.65735,-2.48068,1.00022,1672.46
mu_player[96],-2.0791,0.168276,-2.35343,-2.08065,-1.80292,0.999837,1627.64
mu_player[97],-2.9278,0.190659,-3.23422,-2.91901,-2.61925,1.00056,1816.69
mu_player[98],-2.7096,0.15727,-2.97321,-2.70307,-2.47057,1.00146,2589.89
mu_player[99],-2.85344,0.179784,-3.15136,-2.85091,-2.55893,1.00645,1863.75
mu_player[100],-2.99974,0.172814,-3.29559,-2.99511,-2.72376,1.00519,1482.43
mu_player[101],-3.11203,0.135807,-3.33959,-3.11071,-2.90585,1.00562,1915.06
mu_player[102],-2.41482,0.0943137,-2.56689,-2.41404,-2.2612,1.00303,2665.04
mu_player[103],-2.69265,0.133642,-2.91163,-2.69051,-2.47527,1.00129,1692.51
mu_player[104],-2.77844,0.183949,-3.08443,-2.7736,-2.49781,1.00124,2564.21
mu_player[105],-1.75732,0.0580516,-1.84984,-1.75796,-1.66137,1.00146,1201.34
mu_player[106],-2.39856,0.173235,-2.69,-2.39636,-2.12134,1.00221,1509.14
mu_player[107],-2.1341,0.0618806,-2.23666,-2.13287,-2.0326,1.00365,2601.39
mu_player[108],-1.7111,0.108732,-1.88753,-1.71058,-1.53749,0.998915,3063.34
mu_player[109],-2.35592,0.120234,-2.5585,-2.35062,-2.15283,1.00295,1313.37
mu_player[110],-2.74554,0.0966448,-2.90419,-2.74663,-2.59031,1.0034,2157.58
mu_player[111],-1.68664,0.0859746,-1.8257,-1.68702,-1.54429,1.00049,1692.56
mu_player[112],-2.7416,0.0878155,-2.88699,-2.73986,-2.59713,0.99947,1890.3
mu_player[113],-2.64387,0.148557,-2.88598,-2.64386,-2.40405,1.00345,1828.27
mu_player[114],-2.86809,0.153938,-3.1218,-2.87322,-2.61627,1.00199,1751.85
mu_player[115],-2.21058,0.0614326,-2.30942,-2.21014,-2.10535,1.00476,1554.52
mu_player[116],-1.75035,0.0649661,-1.85872,-1.74931,-1.65002,1.00396,1809.9
mu_player[117],-2.01779,0.0892058,-2.16399,-2.01895,-1.87004,1.0007,1380.73
mu_player[118],-2.85814,0.163659,-3.1283,-2.8581,-2.59804,1.00281,1332.61
mu_player[119],-2.06004,0.0588359,-2.1563,-2.06061,-1.96185,1.00392,1304.88
mu_player[120],-2.62756,0.07892,-2.75181,-2.62584,-2.49524,1.00526,2001.28
mu_player[121],-2.22698,0.0774179,-2.34939,-2.22582,-2.10238,1.00157,1746.08
mu_player[122],-2.34486,0.103611,-2.51717,-2.34393,-2.17462,1.00254,1960.75
mu_player[123],-3.15701,0.11088,-3.33536,-3.15705,-2.97832,1.00379,2181.28
mu_player[124],-2.20011,0.105236,-2.37058,-2.20076,-2.02192,0.99994,1793.33
mu_player[125],-2.10306,0.0812857,-2.23802,-2.10103,-1.97195,1.00275,2360.65
mu_player[126],-1.41639,0.0416605,-1.48474,-1.41695,-1.34884,1.00182,1703.56
mu_player[127],-2.63848,0.0799184,-2.77048,-2.63625,-2.50708,1.00102,1624.97
mu_player[128],-2.0125,0.206234,-2.3481,-2.01137,-1.67954,1.00267,1616.08
mu_player[129],-1.53624,0.108447,-1.71234,-1.538,-1.35638,1.00026,1599.12
mu_player[130],-1.43854,0.0496974,-1.52192,-1.43813,-1.35596,1.00444,2067.34
mu_player[131],-2.68841,0.112948,-2.87576,-2.68461,-2.50489,1.00218,2731.22
mu_player[132],-1.94091,0.110862,-2.12919,-1.94005,-1.75883,1.00139,1635.25
mu_player[133],-1.58234,0.0450283,-1.65747,-1.5823,-1.51022,1.00264,1791.0
mu_player[134],-2.20478,0.0651089,-2.31128,-2.20635,-2.09671,0.999703,2629.4
mu_player[135],-3.07647,0.140193,-3.30624,-3.07452,-2.84645,1.00303,2631.25
mu_player[136],-3.07646,0.0947458,-3.23584,-3.0755,-2.9205,1.00394,2503.09
mu_player[137],-1.79416,0.0546936,-1.88504,-1.79568,-1.70477,1.00051,1494.37
mu_player[138],-1.66586,0.0746769,-1.79056,-1.66521,-1.54444,0.999423,2197.27
mu_player[139],-3.0901,0.0885823,-3.23907,-3.0869,-2.94445,0.998321,2869.83
mu_player[140],-2.83219,0.104538,-3.00551,-2.82953,-2.66188,1.0027,2531.03
mu_player[141],-2.90958,0.0923929,-3.0657,-2.90871,-2.75877,1.00371,2004.42
mu_player[142],-2.21148,0.0760503,-2.33717,-2.2132,-2.09098,1.00086,2083.78
mu_player[143],-2.02187,0.0703055,-2.14111,-2.01788,-1.91294,1.00282,1819.06
mu_player[144],-2.75588,0.117491,-2.9531,-2.75599,-2.5659,1.00237,1713.19
mu_player[145],-2.65661,0.129197,-2.86717,-2.65407,-2.45195,1.00071,1465.25
mu_player[146],-2.33417,0.0910495,-2.48622,-2.3338,-2.18635,0.999902,1887.91
mu_player[147],-2.43667,0.115008,-2.62774,-2.43513,-2.2512,1.00426,1930.98
mu_player[148],-2.3957,0.0957188,-2.55094,-2.39312,-2.23374,1.00075,1585.91
mu_player[149],-2.44778,0.0747646,-2.57162,-2.44808,-2.33023,1.00092,1326.85
mu_player[150],-1.57785,0.0452807,-1.65,-1.57864,-1.50157,1.00302,1084.0
mu_player[151],-2.85286,0.0869635,-2.9938,-2.8522,-2.71204,1.00574,2872.93
mu_player[152],-1.66552,0.087467,-1.80826,-1.66719,-1.52582,1.00449,1905.69
mu_player[153],-2.41333,0.097501,-2.5776,-2.41329,-2.25615,1.00214,1498.22
mu_player[154],-1.76267,0.0739855,-1.88686,-1.76214,-1.64086,1.00383,1369.19
mu_player[155],-1.94393,0.0689659,-2.06479,-1.94368,-1.83581,1.00104,1671.09
mu_player[156],-1.69294,0.0501908,-1.77473,-1.69264,-1.611,1.00663,1534.7
mu_player[157],-1.5847,0.0623708,-1.68903,-1.58413,-1.4821,1.00128,2062.31
mu_player[158],-2.37912,0.070917,-2.4952,-2.3781,-2.26406,1.00494,3511.82
