param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-3.90618,0.326787,-4.46968,-3.89947,-3.38779,1.0037,1975.99
mu_position[1],-4.5739,0.0677318,-4.69039,-4.57282,-4.46662,1.00347,767.251
mu_position[2],-3.96101,0.0744579,-4.08674,-3.9605,-3.83923,1.00233,728.793
mu_position[3],-3.10214,0.0991563,-3.27191,-3.10342,-2.94417,1.00109,882.425
mu_player[1],-3.83145,0.215066,-4.19565,-3.83288,-3.47736,1.00202,843.953
mu_player[2],-3.7092,0.284341,-4.17153,-3.70483,-3.23934,1.00067,1335.8
mu_player[3],-2.8377,0.276119,-3.30427,-2.83155,-2.36776,1.00232,1315.63
mu_player[4],-3.97588,0.315169,-4.51344,-3.9737,-3.47237,1.00233,1635.77
mu_player[5],-4.0389,0.376144,-4.68492,-4.02719,-3.42298,1.00188,2455.25
mu_player[6],-4.7894,0.232696,-5.16518,-4.78923,-4.40609,1.00619,869.609
mu_player[7],-4.90272,0.366208,-5.51558,-4.90165,-4.3086,1.00831,2241.53
mu_player[8],-2.85383,0.297964,-3.35161,-2.84528,-2.3847,1.0098,1422.85
mu_player[9],-3.74974,0.265098,-4.18562,-3.74179,-3.33139,0.999613,1757.01
mu_player[10],-4.7748,0.418356,-5.47589,-4.77542,-4.09831,1.00275,2279.4
mu_player[11],-4.52285,0.234621,-4.90878,-4.51571,-4.14755,1.00221,1170.85
mu_player[12],-4.27056,0.259284,-4.71234,-4.26369,-3.85855,1.00495,1648.81
mu_player[13],-3.63933,0.321974,-4.17697,-3.63476,-3.12489,1.00282,1977.84
mu_player[14],-3.33748,0.156997,-3.58966,-3.34002,-3.07648,1.00281,752.748
mu_player[15],-2.98704,0.199928,-3.32061,-2.98458,-2.67289,1.00637,587.678
mu_player[16],-4.85953,0.221272,-5.23016,-4.86051,-4.50923,0.998988,1343.61
mu_player[17],-3.90692,0.218778,-4.28928,-3.90006,-3.56273,1.00708,1142.66
mu_player[18],-4.08166,0.263495,-4.52207,-4.07121,-3.64709,1.00173,2267.8
mu_player[19],-4.37441,0.180143,-4.67301,-4.37202,-4.0957,1.00294,1092.28
mu_player[20],-4.32022,0.245645,-4.72884,-4.31579,-3.91027,1.00196,1872.82
mu_player[21],-4.47583,0.300887,-4.96562,-4.46545,-3.98206,1.01079,2096.35
mu_player[22],-4.40057,0.206486,-4.75159,-4.39522,-4.07603,1.00142,1613.0
mu_player[23],-5.05384,0.398093,-5.72734,-5.04476,-4.39678,1.00098,2598.2
mu_player[24],-2.36749,0.158813,-2.62344,-2.36544,-2.11514,1.0031,640.084
mu_player[25],-3.13561,0.264418,-3.57004,-3.12679,-2.71461,1.00382,1440.3
mu_player[26],-2.47198,0.194684,-2.80208,-2.47464,-2.15474,1.00159,838.083
mu_player[27],-3.41233,0.260888,-3.84776,-3.41045,-2.99125,1.00427,2126.38
mu_player[28],-3.84749,0.167408,-4.12704,-3.84607,-3.57507,1.00272,1138.85
mu_player[29],-4.88151,0.367696,-5.50204,-4.87066,-4.29612,1.00737,1854.41
mu_player[30],-2.88044,0.199297,-3.2056,-2.87021,-2.553,1.00194,1047.05
mu_player[31],-4.9045,0.363782,-5.50448,-4.89101,-4.3232,1.00291,2126.57
mu_player[32],-4.04987,0.15554,-4.30811,-4.04565,-3.8064,1.00658,1013.06
mu_player[33],-4.86722,0.32378,-5.40694,-4.8657,-4.34508,1.00462,2324.75
